@relation data

@attribute id string
@attribute 1109 numeric
@attribute 1312 numeric
@attribute 1543 numeric
@attribute 1545 numeric
@attribute 1581 numeric
@attribute 1583 numeric
@attribute 1584 numeric
@attribute 1585 numeric
@attribute 1586 numeric
@attribute 1588 numeric
@attribute 1645 numeric
@attribute 1646 numeric
@attribute 3283 numeric
@attribute 3284 numeric
@attribute 3290 numeric
@attribute 3291 numeric
@attribute 3292 numeric
@attribute 3293 numeric
@attribute 3294 numeric
@attribute 412 numeric
@attribute 51144 numeric
@attribute 64816 numeric
@attribute 6715 numeric
@attribute 6716 numeric
@attribute 6718 numeric
@attribute 6783 numeric
@attribute 6820 numeric
@attribute 7363 numeric
@attribute 7367 numeric
@attribute 7923 numeric
@attribute 79644 numeric
@attribute 79799 numeric
@attribute 8630 numeric
@attribute 8644 numeric
@attribute 9420 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0603850419,0.6170743442,-0.1202163581,0.7293696620,-0.1544413325,-0.1147729017,-0.0517968129,-0.1769262291,-0.1309749240,-0.1228340823,1.3275626773,0.7676460057,-0.1260690584,-0.0256852076,-0.0922256988,0.4867376287,0.1209003572,-0.1429194720,-0.0728070050,0.3401092235,0.5754676619,-0.0330274620,1.0674731356,-0.0395175935,-0.1656120817,1.1620511407,0.7004951883,-0.1943919704,-0.0970270767,1.0778997848,0.7044622623,0.1040648428,0.2038474953,1.5595350713,0.0954549246,BRCA
GSM480985,-0.1008843696,0.4934272951,1.0736091864,2.2176613409,-0.1390370326,-0.0912522956,-0.0892233979,-0.1370573881,-0.0923405911,-0.1156065138,1.5055468778,1.2493124794,-0.1144559782,-0.0291254468,-0.1370548489,0.6926691660,0.0197411521,-0.1560796877,0.1736502965,0.5813474674,0.4789477518,-0.0749827864,0.8356086315,0.0335659466,-0.1166585766,1.0402346791,0.0757334134,-0.1303444079,-0.1138358139,0.9264117928,0.8519205018,0.0615224490,0.0529117548,2.5808295309,-0.0450604692,BRCA
GSM480986,-0.1126963974,0.6510740553,-0.1028040711,1.0990289526,-0.1350079182,-0.0649920244,-0.0634685013,-0.0958758904,-0.1266649387,-0.1046364038,0.8419799158,1.0305129449,-0.1050936194,-0.0985102969,-0.0124238449,0.2774769764,0.3379922339,-0.0796284940,-0.0558224962,0.4459124969,0.6265777171,-0.0886509950,1.3187157279,-0.0594687434,-0.1731365281,0.8495923495,0.3200254116,-0.1330824345,-0.1455396849,0.7865797480,0.7821881056,0.0310431373,0.0190087112,2.0737384705,0.1338707320,BRCA
GSM480987,0.0270504221,0.5156495034,-0.0515038227,2.3661137527,-0.0826320147,0.2199507061,-0.0553565302,-0.1723883862,-0.0253170796,-0.0626044612,2.3526196578,1.4789157124,-0.1282167191,-0.0155444950,0.6024631615,0.0495060748,-0.1424398097,-0.0075824690,-0.0436341722,0.2220704825,0.4829243553,-0.0685498110,0.7922568151,-0.0006211091,-0.0503693871,0.5134265045,-0.0694628949,-0.1518100676,-0.1065452471,0.2423434977,0.8560753604,0.0550774226,0.0245568745,1.9748254269,-0.0983005570,BRCA
GSM480988,-0.0918342666,0.5688883008,-0.0469103540,0.7674112484,-0.1273434198,-0.1088257607,-0.0301224504,-0.1353240655,-0.1252377212,-0.1157026491,1.8602003532,0.7938106889,-0.0730814949,-0.0813058030,-0.1610025196,1.0873904038,0.0377835845,-0.1005168288,-0.1099256956,0.3929341396,0.6951681417,-0.0920797429,0.9938261644,0.0285861781,-0.0842867750,0.3776471032,0.2593932352,-0.1931611510,-0.0363523996,0.6856917127,0.8146514874,0.1881210339,0.1396927383,2.1536184771,0.0181000009,BRCA
GSM480989,0.0076348343,0.8071330839,-0.1129060328,0.4940663807,-0.1256726845,-0.1328392287,0.0409154554,-0.1486729315,-0.1070825364,-0.1049361101,0.9089711140,1.2952080020,-0.1276980924,-0.0991844043,-0.1520772361,1.1657223206,0.3192833078,-0.1277233974,-0.1494886382,0.5196153829,0.3772383579,-0.0734241998,1.2116045283,-0.0989466374,-0.1216344851,0.3611072223,0.6512511216,-0.2524973428,-0.0633024936,1.4411792423,0.8178271667,0.1479941550,0.1397450360,2.3587976099,0.0366498826,BRCA
GSM480990,-0.1060551690,0.5359435843,0.0552899428,1.0830645378,-0.1488304301,-0.0083417500,-0.0791482217,-0.0982952890,-0.0834655177,-0.1077634457,1.3686230032,0.9362233743,-0.0601342270,0.0115911391,-0.1075533706,0.2500543118,0.4201285970,-0.0837320657,0.0523997165,0.2074523290,0.5401646089,-0.0705312940,1.4848145869,-0.0569173282,-0.1358257774,0.0870581015,0.5836368038,-0.0809249143,-0.0661942896,0.9306979958,0.5761173925,0.1857933091,0.1171620259,0.9532193281,-0.1474319339,Control
GSM480991,-0.0503578847,0.6528987948,0.0042331508,0.7792083147,-0.1028993103,-0.0849322803,-0.0849389998,-0.1509645747,-0.0430091283,-0.0972463663,1.0475129027,1.2330769667,-0.1294300689,-0.0397146810,-0.0759593549,0.7923134402,0.4001076651,-0.0762571709,0.1464952251,0.5036540674,0.5605306197,-0.0885361155,1.6337118094,0.0326598138,-0.0881593771,0.7000952411,0.6930784614,-0.1561417199,-0.0526123513,0.9897109412,1.2913837835,0.1144852304,0.1546326798,2.0944589375,0.0047732129,Control
GSM480992,-0.1083797440,0.7939494476,0.1664125780,1.4310810535,-0.0901375347,-0.0575757432,-0.1149426852,-0.1024882624,-0.0906604110,-0.0779794156,0.7252684210,0.9623046112,-0.0696773364,-0.0641887224,-0.0405308739,1.2348393011,0.9709473291,-0.0776803730,-0.0190994365,0.2959418288,0.4548225136,-0.0749789558,1.2929970313,-0.0188429219,-0.0956189347,0.1474121032,1.3029671907,-0.1349615111,-0.1451092663,1.0990623439,0.6079997422,0.1443828500,0.1000222520,1.8842641711,-0.0679638069,Control
GSM480993,-0.0765873460,0.7298902228,-0.0502332724,1.2485483829,-0.1405898641,-0.0515962133,-0.0705317267,-0.1026405304,-0.0734561855,-0.1179086042,1.3280267988,0.7131542340,-0.1106595818,-0.0312253192,-0.0555869135,0.7579089783,0.6871608440,-0.0487826172,-0.0591375790,0.4306917357,0.5173503090,-0.1220572389,1.1622991124,0.0006410889,-0.1441562103,0.5505233227,0.5220676139,-0.1118281528,-0.0774704300,1.3612310224,1.0421213462,0.0180592308,0.0382417034,2.0618845971,0.1803422486,Control
