@relation data

@attribute id string
@attribute 10189 numeric
@attribute 10250 numeric
@attribute 10914 numeric
@attribute 10921 numeric
@attribute 10978 numeric
@attribute 11051 numeric
@attribute 11338 numeric
@attribute 1477 numeric
@attribute 1478 numeric
@attribute 1479 numeric
@attribute 22916 numeric
@attribute 29894 numeric
@attribute 4116 numeric
@attribute 4686 numeric
@attribute 4799 numeric
@attribute 51362 numeric
@attribute 51585 numeric
@attribute 51692 numeric
@attribute 53981 numeric
@attribute 6426 numeric
@attribute 6427 numeric
@attribute 6428 numeric
@attribute 6429 numeric
@attribute 6430 numeric
@attribute 6431 numeric
@attribute 6432 numeric
@attribute 65109 numeric
@attribute 7307 numeric
@attribute 79869 numeric
@attribute 8106 numeric
@attribute 8683 numeric
@attribute 9295 numeric
@attribute 9785 numeric
@attribute 9939 numeric
@attribute Class {Control,BRCA}

@data
GSM427170,8.22629228433,11.70577504,10.48635768,10.141140676,8.739916541,7.4061050705,8.8176146935,5.69896750125,8.490831953,8.38020334225,7.79970309167,10.25937581,9.900855914,8.627160965,8.4616146785,10.5358394,9.610111812,10.66477195,9.3986738585,11.59799678,12.21133327,7.159423477,12.35583566,13.165696105,13.18898907,11.37306376,8.657829719,9.470052751,6.82419862,11.93859466,12.75717127,7.337602112,9.413057256,6.658286918,BRCA
GSM427171,8.04211853267,12.12152875,11.13074769,9.604246865,8.488313278,7.519117707,9.471872742,5.82904310025,8.67256777,9.05502104575,8.12538379433,9.859325559,10.05503195,8.94526175,8.598018257,10.30263925,10.00910118,10.49951734,9.047905292,11.69911488,12.66384721,7.84153763,12.42907592,13.527799245,13.074006,11.36217961,8.6399303195,8.847168067,5.679488016,11.82274022,13.0583047,6.213644369,8.215534365,6.411854672,Control
GSM427172,7.90933980433,12.00831666,10.60821349,9.8263898165,8.482224233,7.451015844,9.4681403765,5.72020384725,8.557617943,8.8598701745,7.94777078533,9.984319163,10.0481807,8.413100175,8.47997578475,10.2159337,9.440080724,10.25576659,8.340414702,11.36448778,12.53522562,8.100447105,12.44389288,13.544191545,13.17957018,11.17748823,8.490118018,8.9851584535,6.21014104,11.83642135,12.83993603,6.405912077,8.640083234,6.517083235,Control
GSM427178,7.565709867,12.3793121,9.439779534,10.5463097655,8.70215634,7.318978508,9.8524245665,6.09104138625,9.25803663,9.182953627,7.86579001867,10.41110342,9.880571175,8.634194938,7.91776161125,10.36439217,9.746254447,9.515749664,9.0127074755,11.09730811,13.12663112,7.403304156,12.6218253,14.16852811,13.591191,11.81310789,9.1728338105,8.0691422925,6.5739922,12.5708958,13.04201932,6.0664182,9.461173034,6.073504957,BRCA
GSM427181,7.87444804233,12.45384813,10.10480876,10.0394737835,8.692197997,7.501323971,8.935019442,5.9374754535,8.955374654,8.47632447475,7.92189120167,11.19776361,8.702805674,8.7754466,8.091043774,10.76155147,10.25287861,10.01526211,9.245197702,11.22892405,12.97797754,7.445891568,12.83366697,13.91978853,14.17314893,11.70152102,8.7551738165,7.7611686765,5.760760691,12.13627672,13.18229429,5.895551805,9.19777027,5.964982644,BRCA
GSM427182,7.957705743,12.49713337,9.417336261,10.4308296955,9.115603659,7.3465208585,9.341754095,5.55354459375,9.265123395,9.19928350825,7.704054153,10.63563676,9.861979055,8.217813694,7.968982717,10.39216207,9.819365272,9.62089845,9.280760217,11.08223906,13.14121392,7.528725991,12.72627038,13.76499321,13.48222565,11.64198185,9.2113615035,8.3163910215,6.0664182,12.36549278,13.09561052,5.853877943,9.211511834,6.215781112,BRCA
GSM427183,7.59650558,12.46187723,9.281014944,10.475278206,8.898632467,7.095375512,9.724109558,5.98073217525,9.443410392,9.0901231735,8.021174851,10.29339725,9.852381692,8.266787858,7.93708405075,10.74815115,10.17560604,9.421265976,9.112059712,10.81174016,13.03973478,7.802191444,12.48900128,14.007905805,13.55093015,11.64933041,9.043457461,8.1233197735,6.313659102,12.35200901,13.19976669,5.908279272,9.151492997,6.251156317,BRCA
GSM427187,8.01162467867,12.13627672,9.383110854,10.337582237,8.845945624,7.2293503555,9.321718893,5.8687237215,9.50460109,9.41126739625,7.97594459867,10.71605229,10.04336266,8.794043061,7.8559090795,10.65453335,9.627643826,9.776844695,9.600703265,11.06502412,12.97187766,7.8530890995,12.35733627,13.35941783,13.58212966,11.68740205,9.035920511,8.166182069,6.153811034,12.30454677,13.2860567,5.500970312,9.164744253,6.173632793,BRCA
GSM427189,7.53985346133,12.19504004,9.378501395,10.6361310425,8.774162024,7.0805532545,9.9694334985,5.9990123905,9.432949558,8.9780825095,8.11810553467,10.11070551,9.546605663,8.485971282,7.570555329,10.48064156,9.659657526,9.6831969,9.1220206095,10.80850192,13.0288437,7.3846553455,12.29328779,13.62724298,13.45687162,11.37148006,8.9359344845,7.8261510905,5.877014897,12.33696264,13.40233131,5.897247233,8.877515073,6.109888752,BRCA
GSM427193,7.63561587967,9.226822258,8.765229007,10.4145259685,9.051678743,6.704301737,9.957873685,5.655621217,9.030143702,8.8357239415,7.85652075367,11.93178472,10.41961292,8.170802781,8.70890101275,10.45645738,9.989636156,10.29305807,9.5870150065,11.18378596,12.61421528,7.454799409,12.45954952,13.882006925,13.91614961,11.6604752,6.8565885325,8.621319833,5.852005861,13.01560762,10.21801255,5.577739426,9.969027107,6.501563046,BRCA
