@relation data

@attribute id string
@attribute 5436 numeric
@attribute 5437 numeric
@attribute 5434 numeric
@attribute 6637 numeric
@attribute 5435 numeric
@attribute 6635 numeric
@attribute 83443 numeric
@attribute 9343 numeric
@attribute 6636 numeric
@attribute 5438 numeric
@attribute 6633 numeric
@attribute 5439 numeric
@attribute 6634 numeric
@attribute 9410 numeric
@attribute 10992 numeric
@attribute 5440 numeric
@attribute 10262 numeric
@attribute 5441 numeric
@attribute 4809 numeric
@attribute 6431 numeric
@attribute 23020 numeric
@attribute 6432 numeric
@attribute 6628 numeric
@attribute 4686 numeric
@attribute 57819 numeric
@attribute 23451 numeric
@attribute 23450 numeric
@attribute 10907 numeric
@attribute 24148 numeric
@attribute 2963 numeric
@attribute 2962 numeric
@attribute 22916 numeric
@attribute 51639 numeric
@attribute 5431 numeric
@attribute 10594 numeric
@attribute 5430 numeric
@attribute 5433 numeric
@attribute 6632 numeric
@attribute 5432 numeric
@attribute 6427 numeric
@attribute 9416 numeric
@attribute 6426 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.4112,1.1046,0.9985,0.6929,0.7216,0.5393,1.7864,1.6472,0.6668,0.1991,0.9394,0.8592,1.6003,0.7034,1.4756,1.1193,0.4909,0.8237,1.0093,2.1735,1.752,2.2702,1.5199,1.7929,0.332,2.83,1.9706,1.0524,1.2851,0.4304,0.9239,1.228,0.7469,2.0596,1.6577,1.5867,0.7907,0.7255,1.1733,2.3095,1.2073,2.8911,Control
A02,1.1321,0.9106,0.873,0.5338,0.4074,0.2707,1.7176,1.4202,0.3637,0.0868,0.7028,0.7115,1.668,0.5653,1.2715,0.925,0.4614,0.6974,0.8276,1.7474,1.6427,2.036,1.3475,1.5167,0.1952,2.911,1.8463,0.8073,1.1116,0.2268,0.7645,0.9567,0.692,2.0604,1.4519,1.4247,0.6527,0.3679,0.913,2.0165,0.9948,2.6935,Control
A03,1.3466,0.9876,1.0436,0.635,0.7004,0.2773,1.8541,1.6622,0.6334,0.1291,0.8459,0.8542,1.6184,0.6397,1.4787,1.1115,0.6454,0.691,1.0107,2.0116,1.6723,2.1659,1.6746,1.7126,0.2853,2.8046,1.8952,1.1463,1.1602,0.3748,0.9173,1.0935,0.8054,2.0325,1.543,1.6028,0.7658,0.5765,1.1436,2.1911,1.1365,2.6791,Control
A04,1.2275,1.0146,0.9307,0.5804,0.5789,0.3436,2.0021,1.5342,0.5622,0.2888,0.9409,0.8809,1.779,0.5243,1.4306,1.1223,0.4931,0.7874,1.0072,1.9063,1.7849,2.176,1.5055,1.4294,0.3077,3.0863,1.8554,0.902,1.1644,0.2631,0.8758,1.0721,0.8215,2.1122,1.6252,1.4929,0.672,0.4359,1.0835,1.9852,0.9847,2.5789,Control
A05,1.4238,1.0117,1.1613,0.692,0.7281,0.2408,2.073,1.7656,0.4635,0.4039,0.8733,0.9178,1.7681,0.594,1.5178,1.0206,0.6191,0.9355,0.9469,1.9366,1.7487,2.1737,1.4552,1.6256,0.3871,2.8756,1.8885,1.0478,1.1992,0.3658,1.0592,1.0768,0.843,2.0898,1.5555,1.6063,0.7545,0.4464,1.0597,2.1671,1.2459,2.6019,Control
A06,1.3221,0.9888,1.0126,0.5792,0.634,0.3452,1.9745,1.6141,0.3598,0.2062,0.8754,0.9302,1.6954,0.572,1.4095,0.9865,0.4782,0.8716,0.9509,2.0514,1.7074,2.0081,1.5464,1.6166,0.248,2.7528,1.8633,0.9567,1.1477,0.2454,0.9599,0.9676,0.7446,1.991,1.5661,1.4852,0.6394,0.4611,1.063,2.0113,1.0822,2.6824,Control
A07,1.2395,1.0136,0.9793,0.554,0.7275,0.4681,1.798,1.6609,0.5965,0.1469,0.7726,0.7142,1.7195,0.6198,1.3046,0.932,0.5823,0.6767,0.8841,2.0905,1.6506,2.2862,1.4757,1.7605,0.284,2.7818,1.9102,1.0986,1.1925,0.4286,0.9639,1.1628,0.7163,2.0837,1.5481,1.5124,0.805,0.5863,1.107,2.1291,1.0849,2.8005,Control
A08,1.0783,0.8421,0.6605,0.5159,0.5969,0.2034,1.6183,1.481,0.5281,0.0162,0.9205,0.8682,1.3928,0.7863,1.3165,0.9012,0.4619,0.6333,0.8516,1.641,1.7016,2.1701,1.3759,1.7461,0.2439,2.8214,1.9336,0.9896,1.0651,0.4778,0.7215,1.045,0.5952,1.9818,1.6942,1.6185,0.6453,0.5366,0.9158,1.8502,0.9888,2.6332,Control
A09,1.3253,0.9198,0.9128,0.434,0.5718,0.2678,1.6105,1.6686,0.5848,0.2098,0.9224,0.8829,1.6852,0.5462,1.3245,0.8544,0.4566,0.5969,0.8848,1.9394,1.5636,2.0113,1.451,1.6503,0.2195,2.7775,1.9409,0.9665,1.2359,0.4178,0.9838,0.9815,0.6447,2.0086,1.4885,1.4899,0.6954,0.4354,0.9853,2.2148,0.9181,2.8913,Control
A10,1.2843,0.9751,0.9619,0.6059,0.6541,0.3413,1.8564,1.6204,0.5032,0.3109,0.9783,0.9141,1.6194,0.5769,1.2785,1.0208,0.5456,0.7347,0.8484,1.8103,1.7525,2.2992,1.3975,1.665,0.2726,2.8991,1.9864,1.017,1.0981,0.4091,0.8506,1.0572,0.7047,2.1441,1.5554,1.5522,0.6526,0.4564,0.9887,1.955,1.0745,2.6129,Control
A11,1.2475,0.711,0.8973,0.4213,0.6742,0.1479,1.3624,1.5694,0.276,0.0991,0.8376,0.7153,1.7427,0.4649,1.1946,0.846,0.2257,0.7589,0.9592,1.7073,1.4397,1.7098,1.3945,1.5237,0.0832,2.4554,1.8805,0.8968,1.0331,0.3151,0.9439,0.7633,0.4133,1.7045,1.3482,1.4025,0.4505,0.5076,1.0555,1.976,0.9348,2.6775,Control
A12,1.1583,0.7826,0.6337,0.2586,0.5294,0.3439,1.8318,0.9745,0.3837,0.1122,0.9841,0.8973,1.4178,0.5582,0.8153,0.9515,0.2311,0.497,0.7263,1.3797,1.2406,1.7566,1.1977,0.9894,0.1933,2.5694,1.2817,0.7336,0.7328,0.0478,0.5304,0.8428,0.6135,1.8167,1.1311,0.7673,0.5827,0.1466,0.7905,1.4614,0.4331,2.0686,Control
B01,1.2525,0.8662,0.5247,1.0878,0.5571,0.7022,1.2402,1.3027,0.751,-0.3053,0.656,0.7137,1.3379,0.8324,1.1763,1.0235,0.3762,0.3209,0.9314,2.1985,1.5902,2.2004,1.5309,1.7065,0.0817,2.9017,1.658,1.1036,0.9994,0.3314,0.6221,1.0742,0.7021,1.936,1.631,1.3474,0.6138,0.7465,0.978,2,0.8279,2.8976,Control
B02,1.611,1.0667,1.0367,1.06,0.7054,0.7028,1.8675,1.6477,0.7744,0.2371,0.8128,0.9853,1.7989,0.7896,1.5522,1.2088,0.7097,0.7714,1.2225,2.1642,1.8527,2.5252,1.814,1.6553,0.2888,3.1464,1.8942,1.0947,1.2986,0.3239,0.9797,1.238,0.9395,2.2019,1.7716,1.5897,0.7973,0.6915,1.2326,2.4962,1.0141,3.0124,Control
B03,1.3213,0.9483,0.8148,0.9543,0.595,0.6036,1.6196,1.5518,0.7395,0.0438,0.7758,0.8147,1.6214,0.7314,1.3233,1.1992,0.6345,0.6098,0.9999,2.1591,1.7377,2.467,1.7092,1.6575,0.2499,3.1002,1.8529,1.0687,1.1328,0.3325,0.8378,1.1642,0.8683,2.1622,1.6987,1.4671,0.6726,0.6691,1.0497,2.2256,0.9769,3.0116,BRCACancer
B04,0.9619,0.8338,0.6093,0.6005,0.4756,0.3255,1.0582,1.1892,0.26,-0.14,0.6346,0.5546,1.135,0.7678,1.0247,0.6159,0.4508,0.3947,0.7485,1.5814,1.641,1.9773,1.0242,1.4549,0.1301,2.7904,1.6926,0.8709,0.9307,0.4398,0.5942,0.9463,0.4731,1.8849,1.5041,1.4587,0.6048,0.4129,0.6361,1.634,0.8424,2.4734,BRCACancer
B05,1.496,0.8989,0.7161,0.6604,0.6659,0.2607,2.1425,1.2402,0.6206,0.0773,1.0603,0.8101,1.4839,0.6385,1.2245,0.6801,0.4816,0.6307,0.944,1.8264,1.6223,1.9713,1.6957,1.4554,0.2839,2.7192,1.6484,1.1601,0.9819,0.2577,0.6653,0.8237,0.7191,1.8468,1.5649,1.5494,0.5767,0.4068,0.8684,1.8716,0.6428,2.5714,BRCACancer
B06,0.8712,0.7192,0.3441,0.4222,0.4378,0.4035,0.8486,1.0441,0.2478,-0.4577,0.2118,0.3681,1.1646,0.5573,0.903,0.5665,0.1299,0.1865,0.4813,1.9595,1.3341,2.1671,1.0496,1.3102,-0.0612,2.9391,1.3828,0.6473,0.6324,0.217,0.2771,0.8716,0.3247,1.8817,1.2488,0.9651,0.5313,0.2809,0.6859,1.8832,0.6406,2.7216,BRCACancer
B07,1.3279,1.1566,0.9643,0.8249,0.519,0.5154,1.5486,1.5806,0.5922,0.0347,0.731,0.8504,1.6059,0.7647,1.4597,0.9882,0.726,0.6016,0.9737,2.036,1.7578,2.4866,1.5828,1.7108,0.2643,3.0379,1.9346,1.0633,1.2134,0.313,0.9223,1.2636,0.8248,2.2505,1.7185,1.571,0.705,0.6756,1.0443,2.3191,1.1135,3.0649,BRCACancer
B08,1.3769,0.9479,1.0342,0.4696,0.7393,0.3392,1.5665,1.6552,0.5966,0.2248,0.7777,0.7132,1.8623,0.4634,1.2901,0.7849,0.4611,0.9357,0.9723,2.2121,1.4657,2.0392,1.5221,1.5983,0.1754,2.8276,1.8643,0.8904,1.1221,0.3006,0.9242,0.9532,0.6361,1.9753,1.4398,1.3787,0.5037,0.5469,1.0582,2.3702,0.9527,2.8851,Control
B09,0.9209,0.5953,0.5649,0.6418,0.4232,0.3577,0.7942,1.1094,0.4292,-0.1696,0.5278,0.368,0.9544,0.4941,1.1108,0.7082,0.3261,0.387,0.8745,1.8108,1.458,1.9261,1.2878,1.5389,0.0082,2.8077,1.4881,0.8415,0.9355,0.5048,0.4984,0.7782,0.3675,1.4207,1.3666,1.4136,0.4468,0.4325,0.5648,1.7012,0.9499,2.4839,Control
B10,0.8522,0.8108,0.5254,0.3642,0.5061,0.1684,1.3074,1.1473,0.3851,-0.074,0.5686,0.5215,1.3659,0.5084,1.0405,0.6915,0.4052,0.3781,0.6092,1.5112,1.4921,2.0277,1.0396,1.392,0.0201,2.9687,1.6656,0.7475,0.8299,0.2805,0.5878,0.8841,0.5075,1.9325,1.3335,1.2532,0.4638,0.3406,0.6508,1.6842,0.7967,2.4933,Control
B11,1.4866,0.8171,0.8894,0.4101,0.8273,0.4828,2.5356,1.2951,0.7217,0.3812,1.2699,1.0443,1.4867,0.529,1.2329,1.0406,0.4618,0.755,0.766,1.8219,1.4882,2.0721,1.5749,1.3856,0.3477,2.5641,1.804,1.1507,1.0274,0.3017,0.7734,0.8928,0.7847,1.8635,1.3984,1.4091,0.5827,0.4184,0.7067,1.7672,0.7812,2.36,Control
B12,0.5549,0.616,0.4045,0.2256,0.2059,0.1894,0.5527,0.7547,0.2187,-0.1584,0.1743,0.406,0.7694,0.2055,0.771,0.2866,0.1961,0.2547,0.4621,1.271,1.2805,1.4947,0.6544,1.1255,-0.1857,2.9166,1.253,0.5349,0.74,0.3047,0.2967,0.5491,0.1104,1.2733,1.1647,1.1117,0.3002,0.0491,0.3764,1.3296,0.4557,2.4341,Control
C01,1.3218,1.0033,1.0894,0.5833,0.6895,0.3076,1.6334,1.6453,0.4165,0.1753,0.6497,0.9884,1.528,0.5856,1.3715,0.8537,0.5428,0.8688,0.8956,1.9034,1.5921,1.966,1.3624,1.6088,0.3708,2.6474,1.8091,1.0819,1.1416,0.34,0.9144,0.8854,0.5979,1.798,1.6043,1.6457,0.6901,0.5086,1.0892,2.0675,1.0882,2.5651,BRCACancer
C02,1.2608,1.0841,1.1473,0.4584,0.7028,0.2807,1.5823,1.616,0.392,0.2802,0.7452,1.0124,1.675,0.5278,1.3213,1.0179,0.6021,0.984,0.8098,1.7568,1.7638,2.1515,1.3347,1.3942,0.4076,3.0057,1.8641,0.8035,1.1568,0.2379,1.0088,1.1277,0.6443,2.0101,1.515,1.4864,0.7356,0.4184,1.0738,2.2655,1.0518,2.483,BRCACancer
C03,1.4177,1.2054,1.2697,0.5367,0.7546,0.289,1.5879,1.6423,0.5717,0.2827,0.7017,0.9869,1.5581,0.6354,1.5381,1.0147,0.7472,1.1057,0.8347,1.8708,1.8728,2.1603,1.3932,1.6451,0.3577,2.9868,1.9344,1.0332,1.3379,0.2977,1.0674,1.0708,0.6475,1.9891,1.7767,1.7799,0.7402,0.4978,1.2177,2.308,1.361,2.561,BRCACancer
C04,1.0105,0.7416,1.0875,0.2727,0.4103,-0.0508,1.0439,1.1199,-0.0332,0.0819,0.6913,0.4406,1.512,0.253,1.1163,0.6635,0.2254,0.7739,0.6645,1.4674,1.3699,1.1613,1.0477,1.0162,0.0565,2.4364,1.4966,0.5045,0.8739,0.1687,0.6909,0.5851,0.4991,1.3289,1.3333,1.2902,0.358,0.2585,0.7859,1.5919,0.6914,2.0879,Control
C05,0.9252,0.6505,0.9064,0.3378,0.3906,0.2239,1.1876,1.0623,0.2629,0.0543,0.6058,0.6169,1.4824,0.3469,1.0305,0.5592,0.2653,0.8224,0.5625,1.1032,1.467,1.4575,0.8605,0.9869,0.167,2.7701,1.5632,0.4695,0.9339,0.2182,0.7776,0.6392,0.4166,1.6061,1.3888,1.3637,0.3559,0.2056,0.8526,1.7759,0.6791,2.0208,BRCACancer
C06,0.5952,0.3275,0.3542,0.2038,0.3575,0.1172,0.3536,0.4227,0.014,-0.1733,0.2915,0.1469,0.2994,0.1967,0.5718,0.2049,-0.3085,0.5702,0.4193,0.3319,0.6595,0.4413,0.5417,0.515,-0.1548,0.9073,0.5474,0.2056,0.4603,-0.024,0.4772,0.3007,-0.0548,0.4214,0.4858,0.4507,0.1489,-0.3287,0.3861,0.5861,0.3517,1.0479,Control
C07,0.9807,0.7777,0.943,0.3695,0.5529,0.139,1.5554,1.2364,0.3614,0.1702,0.6837,0.666,1.5555,0.3843,1.136,0.82,0.378,0.7846,0.6372,1.4091,1.5594,1.7135,0.979,1.1278,0.2772,2.8791,1.7555,0.6216,1.0473,0.2018,0.8054,0.7172,0.3958,1.8707,1.4584,1.4013,0.5001,0.2193,0.8429,1.7463,0.7562,2.2513,Control
C08,1.2385,0.8713,0.9042,0.3601,0.6917,0.1911,1.6172,1.5396,0.5371,0.12,0.8262,0.7756,1.6815,0.4881,1.3224,0.8703,0.3946,0.9318,0.7971,1.661,1.6073,1.8602,1.3345,1.4881,0.407,2.7119,1.9295,0.8261,1.1267,0.2561,1.0361,0.9445,0.5146,1.8919,1.5021,1.5823,0.6505,0.6068,1.1236,1.9545,0.9687,2.3848,Control
C09,1.0087,0.8793,0.8093,0.3638,0.5444,0.1817,1.3513,1.1725,0.3328,0.1397,0.5956,0.826,1.5366,0.3986,1.1217,0.7126,0.4282,0.856,0.643,1.3751,1.5959,1.9704,1.1133,1.048,0.3814,2.9603,1.7112,0.6575,0.947,0.1692,0.782,0.8603,0.5247,1.9741,1.4311,1.3668,0.5611,0.286,0.808,1.8481,0.7573,2.0714,Control
C10,0.9783,0.8137,0.9478,0.3381,0.5362,0.198,1.8669,1.2506,0.3469,0.1718,0.6858,0.6358,1.594,0.4392,1.1094,0.8202,0.5362,0.9446,0.5656,1.3264,1.5855,1.8879,1.0197,1.02,0.3427,3.1203,1.6885,0.6521,0.939,0.1285,0.829,1.0038,0.502,1.9513,1.4427,1.2433,0.5908,0.1472,0.8335,1.7132,0.7781,2.1437,BRCACancer
C11,1.3659,0.8979,1.1262,0.365,0.6419,0.2432,1.5126,1.4726,0.524,0.2667,0.8249,0.8221,1.5687,0.4186,1.444,0.8528,0.5606,1.0046,0.8957,1.8716,1.6175,1.9172,1.3331,1.4529,0.3655,2.8324,1.903,0.9171,1.2646,0.2812,1.0036,0.9104,0.5167,1.8334,1.4693,1.5567,0.583,0.5428,0.9963,2.0943,1.1391,2.4544,Control
