@relation data

@attribute id string
@attribute 2068 numeric
@attribute 2071 numeric
@attribute 2957 numeric
@attribute 2958 numeric
@attribute 2959 numeric
@attribute 2960 numeric
@attribute 2961 numeric
@attribute 2962 numeric
@attribute 2963 numeric
@attribute 2965 numeric
@attribute 2967 numeric
@attribute 2968 numeric
@attribute 4331 numeric
@attribute 5430 numeric
@attribute 5431 numeric
@attribute 5432 numeric
@attribute 5433 numeric
@attribute 5434 numeric
@attribute 5435 numeric
@attribute 5436 numeric
@attribute 5437 numeric
@attribute 5438 numeric
@attribute 5440 numeric
@attribute 5441 numeric
@attribute 6872 numeric
@attribute 6874 numeric
@attribute 6875 numeric
@attribute 6877 numeric
@attribute 6878 numeric
@attribute 6880 numeric
@attribute 6881 numeric
@attribute 6882 numeric
@attribute 6883 numeric
@attribute 6884 numeric
@attribute 6908 numeric
@attribute 902 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.4126746371,0.2471734286,0.2383359553,0.0906067842,0.7547164150,1.0509015229,1.1007672102,0.5599901921,0.4458390437,0.6988280033,0.0819270354,0.0983569717,-0.0370083206,0.5999198465,1.1703704466,0.9321065918,1.4741522832,0.9073006092,0.4790607486,1.7162887493,1.4991112350,2.0225933196,0.9153220130,1.7382117063,-0.1583751188,0.4168757227,0.0728702907,0.3052451733,0.6343491939,1.0029649917,3.0581478050,0.5832996126,0.4173973020,0.3184341924,1.2010568232,0.5309962821,BRCA
GSM481003,0.4332668259,0.0809217530,0.2747887051,0.1846046733,0.4586253045,0.8243662465,0.8811046965,0.6384328385,0.6027689856,0.3816985116,0.0240194796,0.1887621529,-0.0238657131,0.6650603986,1.0737781454,1.1258171098,1.7355406609,0.9993794023,0.5170908664,1.9700247826,1.5653517170,2.5304655898,0.7923391349,2.0476801031,-0.0973149922,0.7153645026,0.0492603374,0.3918772508,0.8002846026,0.7616112100,2.8898250034,0.4728500716,0.3233149223,-0.0029849011,1.1262631044,0.4128580279,BRCA
GSM481004,0.4885377014,0.1856753364,0.2367155888,0.1024241596,0.3359913605,0.7271636734,1.1675606072,0.6563029549,0.3990541024,0.5249313446,0.0484137601,0.2071125326,-0.0298508255,0.7186753850,1.1400992890,1.2078082544,1.6407811478,0.9113441620,0.4213451779,1.9015568991,1.4534333797,2.2714820702,0.7345321434,1.6009336627,-0.1153269707,0.5872448813,0.1411118815,0.2843696062,0.8842598241,0.6844078890,2.9055919306,0.4223953024,0.3469175598,-0.0543811637,1.1409199387,0.5674291466,BRCA
GSM481005,0.3385402066,0.2276329494,0.4807807191,0.1936575438,0.8805289233,1.1579132770,1.0909686759,0.5496870449,0.7022237635,0.8590674320,0.0543346737,0.0273029770,0.0502684904,0.7103806155,1.3566492122,1.0428239462,1.3264736316,0.8533831697,0.4386936296,1.7013532322,1.7193023414,1.9966017007,1.0200565478,1.9018808902,-0.1056181231,0.5506231701,0.1837407271,0.6400177626,0.7105728437,0.9815075132,3.0030772516,0.5575813177,0.4846579498,0.0773010736,1.1419735849,0.7514979797,BRCA
GSM481006,0.3733979295,0.2647651799,0.8074913803,0.0611016917,0.8063432573,1.1381052789,0.8399142101,0.4691815671,0.6386246402,0.6036217285,0.1995508763,0.1172757720,0.0267637424,0.5777717888,1.1537876290,0.8935009884,1.3338032147,1.1468729097,0.8161036820,1.9389057817,1.9559061824,1.9949334397,0.9471551222,1.5737857412,-0.0899926591,0.7299188625,0.1150850698,0.3735145565,0.8356646830,1.0122438353,2.7181605953,0.7192454645,0.3771707124,0.1458438428,1.4694229141,0.8258214549,BRCA
GSM481007,0.4745502664,0.3188221376,0.1432938852,0.1314855173,0.7956781611,0.6185048596,0.4002298619,0.8353145834,0.4642803039,0.4712725024,-0.1117293039,0.1932108493,-0.0726720185,0.6028448843,1.1978196736,0.9925808908,1.1345281925,1.2312760055,0.5469112565,1.5477014357,1.8655931726,2.2120503649,1.2255379280,2.0267416139,-0.1482739324,0.6721877849,0.2003353058,0.2188478281,0.7503083249,1.0569616092,2.9764111553,0.4060934352,0.2641590943,-0.0860239120,1.1679450347,0.7083978821,BRCA
GSM481008,0.3531635934,0.3203204544,0.4369532046,0.1836562879,0.4085291569,0.9825936984,1.0172724797,0.6851009033,0.6192824858,0.4346267902,0.0583050080,0.3393358754,-0.0353264075,0.7579538683,1.2731039599,1.2073366213,1.9825742786,1.0815599343,0.4978935979,1.6882617438,1.5542730316,3.0121067630,0.9354278338,1.7811089233,-0.0448968701,0.7473594771,0.2809578223,1.0972871921,1.2251141302,1.2004337243,2.9143880094,0.4969488367,0.1495838914,-0.0849555681,1.1166355086,0.4965368061,Control
GSM481009,-0.2521326546,0.0021543601,0.5774719996,0.1179424838,0.4835997663,0.9025512821,0.4654669211,0.3922241374,0.5486693074,0.4665545274,-0.0902150421,-0.2240744946,-0.0664649450,0.3907827812,1.1732181000,0.6326582934,1.3352790693,0.6703982333,0.2487644386,1.6573938705,0.8164385689,1.6586243511,0.5219870231,1.2621933153,-0.2176044459,0.2659734973,-0.0322749298,0.4211244771,0.3041267951,0.9468902548,2.8520378044,0.5601938599,0.0518219231,-0.1462492339,0.8392247669,0.3113005406,Control
GSM481010,0.3869085910,0.2743913706,0.5491992806,0.2395316256,0.9532468469,1.2086761862,1.4036198706,0.6619493134,0.8299167638,0.8621499950,0.0677283619,0.2553931049,0.0522999922,0.5453053902,1.5307855830,0.9316960965,1.5254069404,0.9289203385,0.4621615706,1.8113816211,1.6379111709,2.1416127816,0.9562062303,1.7091990142,-0.0432222268,0.4745809243,0.2429058418,0.6081705928,0.5712917046,1.2568792252,2.9373107467,0.4888918611,0.4420024807,0.2379431982,1.2852867135,1.1656297360,Control
GSM481011,0.7533496341,0.0953976019,0.2210800921,0.1951110267,0.4027502070,0.7280937658,0.4456378898,0.7387057178,0.3450502634,0.3670035432,0.1960499127,0.1669592507,0.0150719955,0.7055492616,0.9410156570,1.2711931691,1.2921597741,1.2070852319,0.7072479838,2.0018711016,1.7775148304,2.3741526338,1.2171910213,2.2196026619,-0.1380161169,0.3788965333,-0.0021427302,0.3106789259,1.0169320570,1.0467387270,3.3159812860,0.5623153693,0.3627227369,0.4031923678,1.0673799255,0.7662111923,Control
