@relation data

@attribute 783 numeric
@attribute 114 numeric
@attribute 784 numeric
@attribute 112 numeric
@attribute 2641 numeric
@attribute 111 numeric
@attribute 5577 numeric
@attribute 2740 numeric
@attribute 59345 numeric
@attribute 9495 numeric
@attribute 3630 numeric
@attribute 94235 numeric
@attribute 6616 numeric
@attribute 773 numeric
@attribute 776 numeric
@attribute 777 numeric
@attribute 3710 numeric
@attribute 775 numeric
@attribute 26251 numeric
@attribute 9254 numeric
@attribute 6833 numeric
@attribute 3790 numeric
@attribute 8826 numeric
@attribute 51764 numeric
@attribute 3747 numeric
@attribute 3708 numeric
@attribute 3745 numeric
@attribute 3709 numeric
@attribute 6804 numeric
@attribute 2788 numeric
@attribute 2787 numeric
@attribute 6844 numeric
@attribute 2784 numeric
@attribute 2783 numeric
@attribute 2786 numeric
@attribute 2785 numeric
@attribute 2790 numeric
@attribute 2770 numeric
@attribute 2791 numeric
@attribute 2771 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 54331 numeric
@attribute 55970 numeric
@attribute 6812 numeric
@attribute 10411 numeric
@attribute 5906 numeric
@attribute 5908 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 10681 numeric
@attribute 5568 numeric
@attribute 2778 numeric
@attribute 2775 numeric
@attribute 2782 numeric
@attribute 5573 numeric
@attribute 3767 numeric
@attribute 5576 numeric
@attribute 6861 numeric
@attribute 5575 numeric
@attribute 11069 numeric
@attribute Class {Control,BRCA}

@data
5.3368584114,5.645450388,9.864136271,10.327292123,5.006535067,6.614529956,4.767140212,5.651059765,7.4230773135,5.51286784,5.169936271,5.641987591,6.78737685,5.584807399,5.857677033,5.135464327,11.35799469,7.11619091,5.8304193005,6.4084029945,7.354780789,7.3458626735,9.638590278,5.232287804,5.35666533467,10.99802289,9.199452197,9.844635599,6.586768964,8.735353884,8.440434347,10.05577764,5.893611729,8.698011038,5.516024013,5.692518737,9.885094283,7.1915641815,12.98372673,11.95442182,5.028139516,6.38362276,9.177283189,10.1038422,7.410489684,9.235386689,7.005431822,6.582741757,6.36946717,5.4829326402,6.888464479,5.48205062,8.533866741,5.32399731333,13.02719506,9.78527191267,5.261729425,8.786482932,5.354567863,7.409181146,7.241175503,Control
5.5997153768,5.65593226,10.03404273,10.2384186075,5.663779561,5.841225451,5.442455259,5.394043544,8.3643319965,5.291687581,5.773212576,5.277995204,6.609192948,5.792651171,6.190817922,5.926302666,12.08864757,6.780445033,5.521001402,6.3285160135,7.397078021,7.450467363,10.06753558,5.31868854,5.26574968367,10.75503384,8.555107826,9.525335383,6.975192016,9.217703977,8.487841164,10.58383522,6.113748025,8.720142595,5.853378958,5.195063332,8.481901451,6.0573658185,12.07225833,11.95691889,5.682862067,6.120295558,7.381134364,9.681370693,7.18529977367,8.739072693,6.434568757,6.355006684,6.0929297895,5.5428379012,7.24025073833,5.804719114,8.84345400733,5.80333317067,13.00956452,9.789873514,5.648473532,8.66542575,5.309804873,7.391761545,6.635395722,BRCA
5.5487285326,6.0290173,10.64948099,9.769915947,5.862458365,6.323194968,5.112503363,5.539167536,7.196995946,5.751484642,5.870864797,5.72110688,7.114893166,5.7152048405,6.360369215,5.210828387,12.01135666,6.671085011,5.3193077685,6.69622707,7.545024544,7.802053703,9.809000815,5.206732344,4.811665929,11.137683,7.158006546,10.74066222,7.081033649,10.16381668,8.83146649,10.30762238,6.074361597,8.686203838,5.92077637,5.30807618,8.913937397,5.457103785,10.57663577,11.84327345,4.963487128,6.323194968,6.36768175,9.362086899,6.48546311533,8.061480724,6.699751273,6.466000385,5.9034588485,5.4641368762,6.84021840933,5.527329405,9.29076107,5.697396068,12.9979954,9.801472324,5.485435883,8.815320146,5.496822826,7.677704008,6.918270314,BRCA
5.542221699,5.876032641,10.47438056,10.3820872935,5.646026713,6.331145921,5.7109519,5.03343539,6.7231615275,5.259471408,5.793122872,5.842043069,8.223815268,5.8742058665,6.966479856,4.645326303,11.97218475,6.621982704,5.468042825,6.642795088,9.99314401,6.3817998255,9.305851495,4.790526167,4.81166389233,10.00164081,8.727955437,9.439182162,7.715191761,10.21758854,8.646667718,10.51475871,5.455665247,9.066695429,5.504788206,5.693773551,6.563810693,5.725019338,9.832676886,11.56304622,5.29683478,6.198794315,4.851263383,7.986995525,6.57239004733,9.674898929,5.6556447465,6.3700012095,6.323322532,5.1156792046,6.610917172,5.655216748,8.629147321,5.12699757367,13.11510467,9.34823014567,6.114997467,8.115695415,5.134643221,6.105076296,5.903768142,Control
5.3915724186,5.824138541,9.820243246,9.671974648,5.421401099,5.680472929,5.377654117,5.218210843,9.010303599,5.575169544,5.536217098,5.615159695,7.3756054295,5.812614186,6.091970181,4.940179966,11.58766984,6.262194115,5.3608415355,6.5955976525,6.751447402,8.0653889735,10.42552569,4.850263431,4.75630398567,10.864964,7.436713884,9.689574849,6.458370212,9.669660678,9.506942805,10.6829685,5.954086504,8.97289446,5.228252321,5.349976695,9.337042659,6.8901006515,11.68740205,12.12850358,5.536217098,6.63172683,7.573687183,9.546605663,6.82339386,7.997322226,6.4308542,6.499527711,6.52394041,5.466218321,6.84786461333,6.407145055,9.35589447533,5.43099958733,12.87743566,7.772929909,5.580832327,9.518791383,5.771100681,7.418993406,6.64810992,BRCA
5.1447686846,6.352798794,9.840207941,9.753034207,5.614718124,6.872247394,5.316879984,5.357033992,7.9243325035,5.719464975,5.73607124,5.093825554,6.477823674,4.8024680715,5.840847932,5.066316611,12.06588572,6.244178877,5.9299836535,6.3549356545,7.622731127,8.181390762,10.7254091,5.178725843,5.063180499,11.45443311,7.746952815,9.814991395,6.86505622,9.433805075,8.217135121,9.907754874,6.143337929,8.838889641,5.268482349,6.086619917,9.258413586,6.5536864175,11.15310882,11.63993091,5.717272857,6.186714102,8.547261958,11.06412655,7.517797043,8.241317194,7.3002942325,6.8410633585,5.9174340255,5.6759717936,6.695170111,5.625863148,9.078168623,5.06825095367,12.98372673,9.84054935,6.010897998,9.231287868,5.036295892,7.890402801,6.912892703,BRCA
5.2238573746,5.779661087,10.87936138,9.1297731835,5.319230665,5.057462456,4.904497645,5.544509535,8.7523926965,5.114586962,5.705709271,5.486079796,8.418540522,5.83224047,7.11691865,5.105815554,12.23463043,6.679695168,5.4986208805,7.0119988995,10.26424938,6.666869391,9.083067818,4.959319531,5.91541417267,9.557684409,8.795261354,7.511675823,6.698639127,9.675551824,8.678425073,9.785085055,5.821334729,7.985772397,5.66903474,5.86196234,6.875906358,5.366277458,10.10831572,11.48011881,5.442621133,7.026996771,6.049582442,9.132211242,6.31398031067,9.018235741,7.2132301705,7.062352436,6.330484187,5.5322651396,7.252915346,6.430289978,8.46320594233,5.72716198833,12.64120964,9.55785931,5.540408023,8.344585666,4.920902135,7.572418149,5.946152572,BRCA
5.5835800438,5.862458365,10.26782285,9.643814388,5.632130956,6.091811548,5.023045997,5.796890531,7.0132000305,5.290029217,5.451879748,5.42266296,6.8454990825,5.67851949,6.444274162,5.409145868,11.37383049,6.842353879,5.731165932,6.497368881,8.376419679,7.697436341,9.918028798,5.229406468,5.44528943267,10.66388964,6.764676316,9.583290187,6.560413565,8.751335778,9.414337005,10.28801852,6.338875075,8.510330132,5.967463325,5.380600673,10.49178825,6.2928801065,12.76004735,11.95442182,5.865554662,6.403016818,8.11035427,10.18190731,7.00778646933,7.568927286,6.7375606535,6.2456860685,5.9718598575,5.3094441946,6.439102376,5.233822166,8.875123686,5.32302536333,12.98945487,7.854087509,5.388371455,8.118825763,5.593212758,7.90344675,7.211745052,Control
5.4135094614,5.813403636,10.02337358,9.557649091,5.894703343,6.099511534,5.398154738,5.469406774,7.2793614545,5.529517425,5.541182786,5.104977394,7.2681816375,5.8641492925,6.015254046,5.427950757,11.74966846,6.535201976,5.3469146595,6.4613233895,8.463423345,7.86465928,10.28837619,5.411944154,5.30316465067,10.78521972,6.949946687,10.67301333,6.832007438,9.919504381,8.843419494,10.82820416,6.092128797,9.04011237,5.496742949,5.789736585,9.495266002,6.2675959045,11.3442156,11.46383867,5.659076304,5.886008211,6.738839176,9.085353696,6.956630158,8.057817296,6.6237057305,6.516538676,6.3825279205,5.291675395,6.907508702,5.844493149,9.29028807333,5.793978829,12.96993872,9.60954968233,6.124695819,9.026662535,4.314057196,7.548207573,7.451110377,BRCA
5.3116906826,5.659004925,10.02260748,10.0619138165,5.308713308,6.072647808,5.778347403,5.163308771,7.9356885615,5.353156751,5.233822166,5.034976365,6.8123894965,5.2712024945,6.271748387,5.32446073,11.77144213,6.666902575,5.9332104895,7.036744875,8.043247602,7.4389758455,9.733392952,4.607083101,5.493173752,11.44285036,9.047881282,9.67905828,6.971661738,9.681765982,8.872952717,10.65531183,6.563963185,8.934008606,5.619861398,6.135253322,8.717951507,6.489380715,11.6604752,11.67867508,4.958159726,6.083910741,7.211063618,8.350852048,6.571316384,8.457730865,6.458550254,6.496219087,6.3457281585,5.3589494338,6.995387545,5.913135501,8.55731348,5.527496062,13.02126635,9.492243668,5.476390801,8.794173061,5.71081418,7.121070136,6.356941039,BRCA
