@relation data

@attribute id string
@attribute 10560 numeric
@attribute 113235 numeric
@attribute 113278 numeric
@attribute 151056 numeric
@attribute 158835 numeric
@attribute 2346 numeric
@attribute 25974 numeric
@attribute 2694 numeric
@attribute 335 numeric
@attribute 337 numeric
@attribute 338 numeric
@attribute 4363 numeric
@attribute 5406 numeric
@attribute 55788 numeric
@attribute 5948 numeric
@attribute 6573 numeric
@attribute 686 numeric
@attribute 6948 numeric
@attribute 8029 numeric
@attribute 80704 numeric
@attribute 8884 numeric
@attribute 9227 numeric
@attribute 949 numeric
@attribute 9963 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,5.606154407,7.239553481,7.147538525,6.013356873,4.176945829,6.401309563,8.493075988,5.447588494,5.287261033,5.434637608,7.52571875,6.6092351115,5.692518737,11.36547782,5.996451597,6.921011149,9.90490971,9.736123312,7.919550328,11.53140597,11.2302278,5.631985502,11.30621853,6.004972716,Control
GSM427159,5.456322582,6.282676674,7.822477025,6.225646687,4.624139064,6.4204138145,8.52722395,5.313618859,4.752897783,4.435394156,6.348379055,5.771439849,5.7109519,11.05968771,5.841225451,5.887288406,9.063247518,8.948652767,7.936109529,10.62285742,11.21556957,6.168126147,10.61404749,5.7989104825,BRCA
GSM427160,6.23055429,6.685173215,8.522033306,6.783656769,5.905393774,6.926426285,8.95654396,5.387682411,5.161092822,4.707652488,5.194176951,6.2028306405,5.496822826,11.27608385,5.894703343,7.503172055,8.928326737,8.915133289,7.169627227,8.048106907,12.04611629,5.841225451,10.89094843,6.022446646,BRCA
GSM427162,6.018929689,6.476183696,8.264185854,6.183293584,5.057029153,7.0978786885,8.934251932,5.558352786,5.62000808,5.530298057,6.832450574,5.299286888,4.151027186,10.67081359,6.114997467,7.850001018,9.012345976,9.134337192,6.269599511,10.50534045,12.46042141,5.268575917,10.69485433,6.535365077,Control
GSM427163,5.749273627,6.820246387,7.887511753,6.391506215,5.346612346,7.192552794,8.047070901,5.645882653,5.368603583,5.297935366,5.764215595,5.803377825,4.980952113,11.28858078,5.671725924,7.332867062,9.018235741,8.753451711,7.722348399,10.64926541,11.39216863,6.251156317,10.71141341,6.1183543025,BRCA
GSM427164,5.79064906,6.824389583,7.376236382,6.20653151,5.057462456,6.493379111,7.858060473,5.751685476,5.202134845,4.846131289,5.663352625,6.4424979595,5.057462456,11.71748591,5.535906174,7.069103653,9.129592857,9.01326762,6.579810423,9.822443813,11.21374538,6.108007529,10.14979827,6.107207767,BRCA
GSM427165,6.165867356,6.365014999,7.161134718,5.205168882,5.255511354,6.5464307535,9.396541167,5.634383622,5.472984221,4.981180512,5.761026747,5.555589806,5.477281673,9.138438926,6.658144078,6.846872885,7.956406833,9.376641543,7.224969077,8.015862602,11.10564356,5.46859248,10.08948727,6.387237168,BRCA
GSM427166,6.288825133,7.602441151,6.930592839,6.389055329,5.334149236,6.560702453,8.424608401,5.81109287,4.29432028,4.756238089,5.862458365,6.153071572,5.277995204,11.4521693,5.528970731,5.72261032,9.414051539,9.416111966,6.252481536,9.940402111,10.86957864,5.692100223,10.51584792,6.168118681,Control
GSM427167,5.889723735,6.569176337,8.282220999,6.383147516,5.092557633,7.1604693885,9.045678533,5.570167841,6.078850631,4.839217974,5.589022814,6.069391638,5.835425946,11.48011881,5.733497552,7.762782524,8.813541624,8.908453514,6.000682441,8.424335459,12.22921997,6.169830446,10.43324145,6.239291372,BRCA
GSM427169,5.816350905,6.532710954,9.093642782,6.088741207,5.109790179,6.590951728,8.684530469,5.320314304,5.630093262,5.340750292,6.161087152,6.3085827065,5.476390801,11.05105615,5.961861317,7.552325432,9.547965054,8.432939709,7.391761545,11.25929767,10.7004573,5.300134022,10.93507131,6.6129230105,BRCA
