@relation data

@attribute id string
@attribute 10000 numeric
@attribute 1017 numeric
@attribute 1019 numeric
@attribute 1021 numeric
@attribute 1027 numeric
@attribute 103 numeric
@attribute 10332 numeric
@attribute 10379 numeric
@attribute 10399 numeric
@attribute 1147 numeric
@attribute 1457 numeric
@attribute 1459 numeric
@attribute 1460 numeric
@attribute 1796 numeric
@attribute 1965 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2213 numeric
@attribute 23118 numeric
@attribute 23533 numeric
@attribute 23586 numeric
@attribute 2534 numeric
@attribute 25898 numeric
@attribute 27102 numeric
@attribute 27113 numeric
@attribute 29110 numeric
@attribute 2932 numeric
@attribute 30835 numeric
@attribute 3303 numeric
@attribute 3304 numeric
@attribute 3305 numeric
@attribute 3306 numeric
@attribute 3310 numeric
@attribute 3440 numeric
@attribute 3442 numeric
@attribute 3443 numeric
@attribute 3445 numeric
@attribute 3454 numeric
@attribute 3455 numeric
@attribute 3456 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 355 numeric
@attribute 3552 numeric
@attribute 3553 numeric
@attribute 3558 numeric
@attribute 3559 numeric
@attribute 356 numeric
@attribute 3560 numeric
@attribute 3561 numeric
@attribute 3565 numeric
@attribute 3569 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3596 numeric
@attribute 3654 numeric
@attribute 3661 numeric
@attribute 3665 numeric
@attribute 3716 numeric
@attribute 3717 numeric
@attribute 3718 numeric
@attribute 4068 numeric
@attribute 4179 numeric
@attribute 440275 numeric
@attribute 4478 numeric
@attribute 4599 numeric
@attribute 4615 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 4938 numeric
@attribute 4939 numeric
@attribute 4940 numeric
@attribute 51135 numeric
@attribute 51284 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 54106 numeric
@attribute 5588 numeric
@attribute 5610 numeric
@attribute 57506 numeric
@attribute 595 numeric
@attribute 5970 numeric
@attribute 64135 numeric
@attribute 6504 numeric
@attribute 6772 numeric
@attribute 6773 numeric
@attribute 6774 numeric
@attribute 6776 numeric
@attribute 6777 numeric
@attribute 6869 numeric
@attribute 6885 numeric
@attribute 7097 numeric
@attribute 7099 numeric
@attribute 7128 numeric
@attribute 7157 numeric
@attribute 7161 numeric
@attribute 7297 numeric
@attribute 8503 numeric
@attribute 8667 numeric
@attribute 868 numeric
@attribute 8743 numeric
@attribute 8793 numeric
@attribute 8794 numeric
@attribute 8795 numeric
@attribute 8797 numeric
@attribute 894 numeric
@attribute 896 numeric
@attribute 898 numeric
@attribute 9134 numeric
@attribute 915 numeric
@attribute 916 numeric
@attribute 917 numeric
@attribute 9367 numeric
@attribute 940 numeric
@attribute 9451 numeric
@attribute 9641 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.6797332095,0.2967640855,1.6509813072,0.1233450275,1.0775432256,2.9771206644,-0.1087933058,0.8013423606,1.6167570399,0.2841429040,0.7051456760,1.0094681883,2.8780034483,0.5558045100,1.8814041996,2.3584245311,0.3070585448,-0.0699640611,0.1697420499,-0.0131690648,0.1134383871,0.4023514937,0.3013632788,2.3954706938,0.0987937071,0.4318454124,0.8950817100,-0.0454457970,3.3360325097,1.4604665521,0.0961254319,1.6467683423,-0.0080917718,-0.2249800251,-0.1665054104,-0.0429045095,-0.2226108248,0.2954013840,0.8029777308,-0.0765595098,-0.1280158754,0.4557906479,2.5938532501,0.2668822305,0.1661164924,0.4983481401,-0.0354637797,-0.1253930259,-0.0072285445,0.0105891902,-0.1065405529,-0.2027328952,2.1287122038,-0.1095083857,-0.2430928978,-0.0840812914,1.3582962865,0.6669441158,0.2263285354,0.5082450581,0.0485487563,-0.1298386080,-0.0895365121,0.3817618542,0.5089742961,0.9690112035,0.6653350294,1.6197582881,0.0372776528,0.8098630121,0.4748031217,-0.0235252257,-0.0191743008,-0.0293770547,0.0010604149,-0.1858537384,0.3417825494,-0.1444193100,0.8497827404,-0.0743738270,0.0027666772,1.1555331424,-0.0664558089,-0.0339868274,1.9755727945,-0.0782060734,1.4593906332,1.2157194917,-0.0678910387,-0.0695940489,0.7381155855,1.3586393981,0.9251024214,0.2833559974,0.2282767607,-0.1380141170,0.2768544875,-0.1099566451,0.0593719746,0.7341231736,0.9853307140,-0.1418566337,1.3983509587,-0.0795126762,2.7587464451,0.4943281158,-0.1282253968,0.9353066368,-0.0773547562,1.1674721982,0.5663754909,0.0639185195,1.1050196102,1.2872339672,-0.1655763679,-0.0656518902,-0.2278303034,-0.0177773779,0.5729787516,-0.1893430850,0.0167097403,0.1133302221,BRCA
GSM481003,0.3007907103,0.3862321187,2.0218701660,0.2763891428,1.1811751007,2.8821675512,-0.0572891490,1.3039462345,1.5621709718,0.2877502063,0.7230326441,1.0571843554,3.2229644954,0.4904778033,1.5683274246,2.5114432043,0.3973698837,0.0044546400,0.1789068290,-0.0067144994,0.2578673878,0.4055141435,0.3562259941,2.3148648290,0.1474804727,0.2659453608,0.9718543944,-0.0272780787,3.7385061980,1.4981101879,0.0768241495,1.5004176329,0.0151357161,-0.1369568799,-0.0251908779,-0.1373027871,-0.1710536411,0.3482769076,0.6120431169,-0.0320325630,-0.1236682045,0.3250210694,2.2865577637,0.0943974674,0.2313655682,1.0770822940,0.0204832373,-0.0970763126,-0.1151960538,-0.1221363903,-0.0966594915,-0.1808650321,0.8208781174,-0.1299268159,-0.1419386838,-0.0543713750,1.6018303342,1.0017318409,0.3318944417,0.4776535522,0.0121588141,-0.0583250998,-0.0964975743,0.4061143419,0.4833609190,1.0180387526,1.0762086313,1.9719548359,0.0608519517,1.4016762564,0.6189834172,0.1377903160,0.3017719027,0.1726856656,-0.0124293140,-0.1650580419,0.1791957579,-0.1042557524,1.4233998538,-0.0506758328,0.0220997693,1.4443705760,-0.0716271501,0.0360388891,1.7989932150,0.0668444213,1.6346685103,1.5458108518,-0.0262409266,-0.0624019636,0.8860665159,1.3704885968,0.6155722956,0.3305765474,0.2317580214,-0.0847430224,0.2633005434,-0.1016684996,0.1131282425,1.6662467514,0.9925875762,-0.1054004595,1.6564943293,0.1190332978,2.2908105254,0.3135727806,0.3719748261,0.9308475525,-0.1514042468,1.1896560479,0.5572360409,0.6913303141,1.8609408588,1.2527999394,-0.1131820252,-0.0770565563,-0.1819517889,-0.0574515264,0.8203063310,-0.1096670431,0.2228077530,0.1237864323,BRCA
GSM481004,0.4733082638,0.2243766762,2.4203961939,0.1680494515,1.0930646748,3.0301364262,-0.0441927485,0.9033278694,1.6489727131,0.3929689074,0.6788964829,1.3136175796,2.8852460086,0.9364781044,1.5315217208,2.2194539971,0.4676012300,-0.1226504015,0.1745311046,-0.0146582856,0.0943860217,0.6183126943,0.2179949742,2.4449367372,0.1012091970,0.1809112631,1.3618418052,-0.0569916015,3.5415028036,1.4487049720,0.3432159574,1.7273583860,0.0078934972,-0.2329448065,-0.0903554935,-0.0811381615,-0.2396499637,0.5104742534,0.6699566353,-0.0809765638,-0.1066800437,0.2758434620,2.1729679853,0.0639764964,0.4731824256,2.5220021768,0.1090250993,-0.1208847655,-0.0492128852,-0.0429479314,-0.0254715456,-0.1681409277,2.5183840991,-0.2246398431,-0.1927705000,0.0425960776,1.6827038777,0.8182048470,0.2741605306,0.5671119911,0.1063429446,-0.0912097394,-0.1287589650,0.3932907750,0.4677596172,0.9555479154,0.5029152234,2.0826415886,0.1890115326,1.3433312625,0.5926850402,0.0595248666,0.0524455112,0.1309789316,-0.0288742959,-0.0771531412,0.1934292825,-0.0326631340,1.4479867770,-0.1540841441,0.0015714503,1.2018412555,-0.0003620527,-0.0419302782,1.7910277940,0.0014579335,1.6619296756,1.4715695732,-0.0436022890,-0.0959633406,0.9381063713,1.3747833751,0.6308917645,0.6760884334,0.3548092483,-0.1118434867,0.2940910289,-0.0486927830,0.0708280785,2.2457597777,0.8802483742,-0.1264804162,1.6212597584,0.1043470586,2.6694981901,0.4560373420,-0.0596923572,1.0682750038,-0.0854552429,1.2871998267,0.3523355551,0.3320232958,1.6100524143,1.4226152879,-0.1450435588,-0.0345862663,-0.0889438873,-0.1026754117,1.0499831702,-0.1200933228,0.3544005380,0.2383639384,BRCA
GSM481005,0.7983672971,0.2160567825,1.6965493859,0.4926643759,1.2595446937,2.7276941934,-0.1444636270,0.9801748655,1.5116046052,0.7559128657,0.7450451644,0.9442990496,2.9610547424,0.8108165357,2.1133898829,2.3890128664,0.4302809539,-0.0291266756,0.3455587844,0.0304015636,0.1966569814,0.4258142904,0.3935884928,2.1318827421,0.0411741138,0.5191381499,0.9572651076,-0.0093667451,3.3680374623,1.9808702840,0.2347528819,1.5588450597,-0.0180728749,-0.0999731669,-0.0703464779,-0.0872558476,-0.2208455736,0.4722485527,0.4170022305,-0.0306531701,-0.1683066803,0.5546432902,2.3114442678,0.5774546972,0.1596501422,0.5863126215,-0.0447170497,-0.1742364263,-0.0388775236,-0.0383897772,-0.0875499745,-0.1635580101,2.3123772144,-0.1439297993,-0.1125736402,-0.0997576411,1.3759988721,0.7161384635,0.1504838930,0.5830370403,0.0221718806,-0.0796489555,-0.0837354421,0.7021943238,0.5853463492,0.8562280420,-0.0166885190,1.8920790091,0.0661443981,0.7793831442,0.5579776450,-0.0090508434,0.0721410551,-0.1194298074,0.3720061620,-0.1147388830,0.2936143763,-0.0949890131,1.0055721670,-0.1223234448,0.3289049813,0.9524374414,-0.0973110587,-0.0755055607,2.0473213992,-0.0416853791,2.1236051734,1.2129281088,-0.1172703595,-0.0981904836,1.1652991205,1.3042705339,0.7679728692,0.4335148484,0.3095768749,-0.0947836615,0.6410530742,-0.0665274850,0.1918886058,0.8339812591,0.9015575944,-0.1242654657,1.4486135101,0.0457376592,2.5832812042,0.3629836582,-0.0834746774,1.7809230832,-0.0506385198,1.0606739779,0.3563172465,0.6047610591,1.0460347944,1.3357575516,-0.1234659266,0.0022492817,-0.1447939863,-0.0165831194,0.6882322034,-0.1127792553,0.4822234372,0.0908193721,BRCA
GSM481006,0.6102282105,0.2957256202,2.0035383105,0.3021721042,1.2238033216,3.1241360372,-0.1388590125,1.5043064431,1.4632926072,0.5505344721,0.8821366779,1.0398484450,3.2310776710,0.8002853990,1.6681061672,2.7993582883,0.4174783649,-0.0567736244,0.2942350855,0.0247047886,0.1397973734,0.4241999837,0.3496538764,2.3138150723,0.1608413260,0.8215927878,1.0202108809,-0.0289178999,3.5637452900,2.5200958339,0.0350272738,1.7369166166,-0.0188967757,-0.1273475336,-0.0825599241,-0.1263899816,-0.0908440640,0.4692675604,0.6032770029,-0.1508883867,-0.2032751216,0.5267736223,2.5094886421,0.3577389630,-0.0282404839,0.4520055540,-0.0910276576,-0.1047275276,-0.0263599712,0.0017853410,-0.1657815402,-0.2067404358,1.9709999030,-0.1509048072,-0.1688726571,-0.0221030360,1.4395066746,0.7342622624,0.3730837394,0.5490418825,0.0171736931,-0.0806952232,-0.1259135717,0.4896877964,0.3838178466,0.9164443077,1.3960986138,1.6438614859,0.1223146532,1.0869957842,0.5536829033,0.4553928423,0.5462261703,0.2135882769,-0.0003746613,-0.1224833112,0.2433270854,-0.0674328190,1.3385462081,-0.0515387084,0.2390861619,1.1112498336,-0.0106408464,-0.0672901499,2.0817749200,0.1719122964,1.6552993021,1.3122026393,-0.0018096346,-0.0756011664,1.0724941031,1.6334221279,1.0187069334,0.6613827465,0.3820596916,-0.0804990871,0.5432311448,-0.0274221951,0.0774115979,1.2444021347,1.3752852871,-0.1623826850,1.1674732929,0.1659671659,2.4797439874,0.2727268643,0.1952458235,0.8443966531,-0.1066208704,1.0853338932,0.4698832383,0.9767439025,1.1141627877,1.1979828272,-0.0528207624,-0.0095844398,-0.1266725116,-0.0899901250,0.9490123987,-0.1203887555,0.3069176489,0.1165632101,BRCA
GSM481007,0.3836162349,0.2692059731,2.3997609466,0.3125831992,1.6133605374,2.6898285150,-0.0937998258,1.4407327399,1.5660036803,0.2756707471,0.6039152184,0.7462176346,3.1068616510,1.3824942856,0.9793251456,2.4604020782,0.2757121727,-0.0662077655,0.1864653531,0.0693962222,0.0208879143,0.3561066310,0.3756847288,1.6468955875,0.1345880213,0.3530144862,0.5586554259,-0.0331106518,4.0088908971,2.3397507334,0.0523501606,2.0733233160,-0.0275460564,-0.0661921823,-0.0938017999,-0.0554567706,-0.1144838074,0.2278537135,0.7096840223,-0.0492152067,-0.1352403009,0.5209690785,2.2709788829,0.0829495256,0.0713577823,0.3051382034,0.0635063079,-0.0901606191,0.0419518193,0.0060583847,-0.0861694003,-0.1542351009,1.5888246496,-0.1511262000,-0.1798202869,0.0722521155,1.4693711392,1.0078562256,0.5372872902,0.2825788311,0.0266022543,-0.1316772176,-0.0437203417,0.4559681396,0.1522244551,0.9327400733,1.3623950516,1.7544682556,0.0016019143,1.3999506757,0.8652860147,0.5777955761,0.2040355860,0.2120414744,-0.0786241875,-0.1125906017,0.1014056848,-0.0381952070,1.4767880777,-0.1263724936,0.1471414633,1.4279245571,-0.0579688576,-0.0740866984,1.9390442867,0.0930828013,1.2351145123,1.4910032429,0.0935127583,-0.0481576921,0.6220977374,1.4995795300,0.7596731636,0.6584754725,0.2433287780,-0.0693639725,0.3382505102,-0.0349783328,-0.0378676735,1.2126304870,1.2977375326,-0.0792220943,1.4454073766,0.0523188741,1.9125008286,0.2431423812,0.6190081456,0.8966612873,-0.0669076062,1.0645730355,0.8653598267,1.2270470462,2.1608109623,1.3696007534,-0.1275766564,-0.0307395773,-0.1174677125,-0.0112537179,0.5933657852,-0.0767766709,0.3703389459,0.2020286458,BRCA
GSM481008,0.5217626055,0.7145212810,2.6693531871,0.1836714248,1.3575888276,2.8177720441,-0.1165276822,0.9255458786,1.7937271446,0.9329660580,0.6618162519,1.2344367709,3.0788669290,0.7773364465,1.5196910524,2.1300801171,0.4476290999,-0.0606938041,0.2346924801,-0.0033952392,0.1826523155,0.5704126423,0.1711445458,2.1306690572,0.0755405649,0.6830283503,1.0892350491,-0.0326988541,3.3265556395,1.4499554337,0.0775617939,0.9374861609,0.0790676896,-0.1489817619,-0.0607080726,-0.0912060768,-0.2021448404,0.2882225191,0.5572936486,-0.0616991531,-0.2036045082,0.1998051750,2.1560482681,0.1062172761,1.0422426972,3.7100130320,0.0322303700,-0.0697390577,-0.0779219265,-0.0566330204,-0.1323584576,-0.1944486666,2.6366142299,-0.0432277814,-0.1796682819,-0.0122994950,1.2875107631,1.7556691429,0.5325295541,0.4309778051,0.0374788624,-0.1384186480,-0.1179118602,0.1843490397,0.4864594223,0.8795420449,0.9041088157,1.6684907476,0.2086261566,1.2762110606,0.7326664201,0.1032618052,0.0872350109,0.4331294297,0.0643475656,-0.1551202779,0.1758980179,-0.0852505426,1.1338950680,-0.0720937303,0.0879067641,1.1462765579,-0.0964413439,-0.0904428245,2.1634827453,0.0539069232,1.6781765093,1.3571830794,-0.0088964156,-0.0730491283,0.6182682188,1.1095502487,0.4238343863,0.1243573846,0.2195734002,-0.1178967995,0.3780345452,-0.0688331930,0.0077770210,1.4501453694,0.9878225434,-0.1285337275,1.9935437673,0.0282589524,2.6278585494,0.2833427329,-0.0424767471,0.9147618901,-0.1415943518,1.2882454568,0.2147425574,0.0363795552,1.9954392909,1.2536895500,0.1622534281,-0.0317761449,-0.1770474609,-0.0888971100,0.4913566080,-0.1233326021,0.2940741609,0.2243411231,Control
GSM481009,0.5489170128,0.1897917593,1.6445278376,0.0485912423,1.3927305539,3.0793819560,-0.1042107936,0.8612471522,1.5888487662,0.4141671401,0.5734758147,0.6160131872,2.9805388450,0.4482306284,1.6043706046,1.7882246540,0.1436777954,0.0736083997,0.1587574715,-0.0460119554,0.0530971003,0.1867759509,0.2681043972,2.1660677790,-0.2291027958,0.4289031363,0.4939206066,-0.1178367677,3.9816480276,1.3098543568,-0.0297452279,1.4653621209,-0.0791558773,-0.1239943903,-0.0897535325,-0.0273430940,-0.1830840958,0.3001605223,0.3775896081,-0.0367782738,-0.2011497214,0.3250879490,2.0593769551,0.3526260266,0.0095844022,0.3269794668,-0.2402149611,-0.1146336404,-0.1702981595,0.0340205391,-0.0851247029,-0.1727654666,0.9991316413,-0.1940156351,-0.1676231830,-0.0348780382,1.0581297616,0.2589526535,-0.0786988957,0.4693481246,0.0230332860,-0.2643748682,-0.1357413541,0.2588808322,0.3358363450,1.1191137618,0.4978156702,1.4121935302,0.0623427681,0.6739098801,0.3036365448,0.0128405209,0.0402721704,-0.1047370113,0.0831366837,-0.1736543342,0.2437746771,-0.0950082633,0.4174557194,-0.1321362915,0.1336468826,0.6547553167,-0.1029173690,-0.0895921919,2.0095697095,-0.0235427395,0.9449293574,0.9630623995,-0.0817797176,-0.0795235046,0.7020093558,1.6191287208,0.7435965043,0.1552610239,0.1357923958,-0.1745778539,0.2541130532,-0.0637761413,0.0715685539,0.2920936868,0.9829903326,-0.2542286972,1.0330606219,0.0289410084,2.3551643641,0.2563690741,0.0144388925,0.7276877964,-0.3131299153,1.1498214635,-0.0364983041,0.1835387064,0.7593061587,0.7984491094,-0.1511437901,0.0485846690,-0.2456428629,-0.0362032268,0.4312148911,-0.1733742767,0.1947119617,0.0822769133,Control
GSM481010,0.6249280034,0.4230568399,1.7503523453,0.5237364813,1.3314499458,2.8907169766,-0.0752815895,0.9825154283,1.4589860748,0.8322192047,0.7929901754,1.1948124951,2.7892232836,0.6904408708,2.2511457157,2.1086231072,0.3798376370,-0.0738389365,0.2935420768,0.0036142197,0.5213647071,0.7505683312,0.4940643645,2.4862021207,0.0796245421,0.6135787980,0.9262991083,-0.0636401029,3.1308566926,1.7001854380,0.3878406688,1.5045344481,0.1231469990,-0.1164575414,-0.0778342285,-0.1084122991,-0.0943694549,0.4574914529,0.6511187900,-0.1134077050,-0.1147065031,0.7057379800,2.1362189799,0.2218772557,0.4967245454,1.3842930889,-0.0780208683,-0.1113122021,-0.0221168976,-0.1176704593,-0.1204783785,-0.1556283878,1.8094631367,-0.1489029545,-0.0178994006,-0.0184666414,1.3806106646,0.5641342404,0.2963772680,0.6016551096,-0.0186596700,-0.0452238933,-0.0946856324,0.5321491440,0.5731501886,0.8364932744,0.6925614236,1.7936493554,0.1809599443,1.1876550054,0.5544574002,0.0457369326,0.2558836674,0.1693220082,0.1684411286,-0.0815405784,0.2892597577,0.0721562371,1.1752510060,-0.0223426086,0.1319778106,1.1194783820,-0.0688042777,-0.0383458782,1.9168759485,-0.0780998039,1.1449683505,1.2152642781,0.0074156855,-0.0922113388,0.9930470879,1.2437989137,0.8288929381,0.1787025944,0.2733712041,-0.0860468113,0.5448883692,0.0407279982,0.3634714415,1.5668195374,0.7534921082,-0.0639650809,1.4427850469,0.2118905579,2.7614262403,0.2596243354,0.4432143136,1.0391662078,-0.0741450872,1.1100221166,0.1913179628,0.8237188119,1.0468303748,1.4125341330,-0.0933580918,-0.0380152711,-0.0665421138,-0.0303304419,1.0586464009,-0.0924790782,0.5355324250,0.1356136227,Control
GSM481011,0.3773361022,0.3164373107,2.3434683681,0.1649496774,1.4352504081,2.4534712169,-0.1073576104,1.0120979585,1.7830837827,0.2562781054,0.5969067344,0.7706187674,3.1945065558,0.8965701946,1.2710189652,2.7272794777,0.4895673924,-0.0326026935,0.1356315169,0.0986143788,0.1554444713,0.2638565085,0.2292297420,1.8489870131,0.1976368877,0.1925543140,0.8232649406,-0.0195445688,3.7609323560,1.4794516588,0.3495889383,1.7575806147,0.0052794646,-0.1018765384,-0.1155099279,-0.0170110600,-0.1619128032,0.1784434234,0.2532051102,-0.0754183352,-0.0782974666,0.2512683526,2.0899075419,0.2600723965,0.1365389772,0.0802930284,0.0246799973,-0.0677558711,-0.0394266611,0.0337433787,0.0555257600,-0.2382253656,1.6893038817,-0.0954395305,-0.2198452753,0.0439800650,1.4644612165,1.1238542651,0.3830517459,0.3680541691,0.0504960761,-0.1287815349,-0.0789540725,0.3830843015,0.4053333829,0.8791750836,0.3102836974,1.9562136729,0.0443784665,1.0963865406,0.6543434733,-0.1016769999,0.0456327671,0.0279580391,0.0234519974,-0.0810519515,0.2223992294,-0.1192103243,0.9093435548,-0.0940577877,0.0018939260,1.3710955015,-0.0975409582,-0.0510652071,1.6695550482,0.1133250008,2.1114134911,1.4994342731,-0.0795147948,-0.0992120464,0.6050271742,1.0904010859,0.5340521790,0.3469468820,0.2940408219,-0.1119122593,0.1588936072,-0.1487344496,-0.0516900792,0.6742480231,0.9952894231,-0.0921708685,1.7791477543,-0.0562693753,1.8593606202,0.3612306045,-0.0992656249,0.7576547213,-0.0037421076,1.2261578285,0.1277517480,0.5914034456,2.4305225610,1.5210852401,-0.1891083614,-0.0931687449,-0.1829459285,-0.0012088869,0.4109861223,-0.0911662719,0.0262312180,0.1268164561,Control
