@relation data

@attribute id string
@attribute 1869 numeric
@attribute 8317 numeric
@attribute 5682 numeric
@attribute 9861 numeric
@attribute 8318 numeric
@attribute 5686 numeric
@attribute 5685 numeric
@attribute 5684 numeric
@attribute 5683 numeric
@attribute 9491 numeric
@attribute 10926 numeric
@attribute 10197 numeric
@attribute 6117 numeric
@attribute 6119 numeric
@attribute 6118 numeric
@attribute 81620 numeric
@attribute 23649 numeric
@attribute 5708 numeric
@attribute 5709 numeric
@attribute 5706 numeric
@attribute 5707 numeric
@attribute 5704 numeric
@attribute 5691 numeric
@attribute 5690 numeric
@attribute 5705 numeric
@attribute 5693 numeric
@attribute 5702 numeric
@attribute 51053 numeric
@attribute 5692 numeric
@attribute 7314 numeric
@attribute 5695 numeric
@attribute 5700 numeric
@attribute 5694 numeric
@attribute 5701 numeric
@attribute 5696 numeric
@attribute 5687 numeric
@attribute 5688 numeric
@attribute 5689 numeric
@attribute 5717 numeric
@attribute 5718 numeric
@attribute 5719 numeric
@attribute 5557 numeric
@attribute 5710 numeric
@attribute 5558 numeric
@attribute 5711 numeric
@attribute 5713 numeric
@attribute 5714 numeric
@attribute 5715 numeric
@attribute 5716 numeric
@attribute 5422 numeric
@attribute 84515 numeric
@attribute 5699 numeric
@attribute 5698 numeric
@attribute 23594 numeric
@attribute 4173 numeric
@attribute 5427 numeric
@attribute 4172 numeric
@attribute 4175 numeric
@attribute 4174 numeric
@attribute 4176 numeric
@attribute 5426 numeric
@attribute 1017 numeric
@attribute 10213 numeric
@attribute 5720 numeric
@attribute 5721 numeric
@attribute 4171 numeric
@attribute 1871 numeric
@attribute 1870 numeric
@attribute 4998 numeric
@attribute 4999 numeric
@attribute 55388 numeric
@attribute 5000 numeric
@attribute 5001 numeric
@attribute 990 numeric
@attribute 23595 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.1478,0.3292,0.8596,1.6985,0.045,1.3837,2.23,1.1859,1.0788,1.2257,0.4968,1.8062,1.4243,0.3897,0.8764,0.0046,0.9998,1.083,1.1006,0.987,1.202,1.2375,1.0647,0.4652,1.0043,0.7959,1.0985,0.2115,2.2354,0.6845,0.8796,0.6496,1.8241,0.9471,2.1298,0.6655,1.2318,1.6119,1.3754,1.3764,1.1096,0.8292,0.3589,0.3167,1.3609,1.6253,1.2572,0.3515,1.0593,0.5104,0.7065,1.094,1.6112,-0.001,0.4565,0.321,0.788,0.9857,1.0037,1.4817,0.5743,1.0793,0.6743,0.9103,0.8422,0.4132,0.4915,0.1122,0.004,1.1416,-0.0416,1.111,0.8205,0.033,0.568,Control
A02,-0.0079,0.1374,0.5137,1.4954,0.01,1.2128,2.3945,0.8084,0.9698,0.93,0.2809,1.7625,1.2092,0.2466,0.7208,-0.0088,0.7348,0.9447,0.9215,0.7092,1.0822,0.9832,0.8826,0.3431,0.7985,0.5899,0.9748,0.1687,1.975,0.7725,0.6531,0.3519,1.5839,0.7812,2.0411,0.4068,1.1461,1.386,1.1564,1.2653,0.8281,0.5779,0.31,0.2128,1.0224,1.5575,1.1112,0.2465,1.1872,0.3386,0.3835,1.0415,1.5619,-0.0215,0.3615,0.2286,0.6,0.6678,0.8758,1.1904,0.3491,0.8152,0.5746,0.9193,0.7539,0.2821,0.3068,0.1624,-0.0124,0.7519,-0.0789,0.8976,0.5587,-0.1072,0.3769,Control
A03,0.1982,0.4537,0.6591,1.6515,0.0675,1.3296,2.4264,1.1197,1.0437,1.1693,0.5447,1.931,1.3513,0.2993,0.8257,0.0934,0.9759,1.1458,1.0988,0.9629,1.2534,1.2057,1.1098,0.4919,1.0279,0.8136,1.2869,0.3104,2.1623,0.8244,0.8751,0.5382,2.0253,0.8826,2.2441,0.5077,1.3087,1.5998,1.3995,1.4239,1.0135,0.5596,0.3245,0.2911,1.2787,1.6677,1.3112,0.3817,1.1068,0.4342,0.5521,1.2538,1.848,0.0414,0.5726,0.2738,0.7343,0.9903,1.1697,1.319,0.5142,1.0301,0.7213,1.0651,1.0982,0.3834,0.4835,0.3585,0.1175,0.8215,-0.0481,0.8587,0.7039,0.1372,0.4887,Control
A04,0.0725,0.2497,0.5814,1.6076,-0.0619,1.1802,2.3475,0.6941,0.8841,1.0336,0.3786,1.7866,1.3715,0.2713,0.8193,0.139,0.7354,1.0659,0.9659,0.6328,1.1143,1.1178,0.8817,0.356,0.8572,0.6132,1.0465,0.189,2.2238,0.6344,0.6542,0.4617,1.922,0.8397,2.1637,0.4136,1.1375,1.5159,1.1596,1.044,0.7962,0.5527,0.3075,0.1634,1.014,1.5881,1.077,0.2675,1.0605,0.3117,0.3751,1.1602,1.5433,-0.0125,0.3725,0.1775,0.6015,0.826,1.026,1.2993,0.4075,0.827,0.6248,1.061,0.5499,0.3431,0.2684,0.1316,0.0039,0.8322,-0.0978,0.9722,0.6059,-0.1101,0.3989,Control
A05,0.2314,0.2276,0.6486,1.677,0.0718,1.2792,2.4234,0.8807,1.1057,1.1974,0.4424,1.9942,1.3842,0.2845,0.8622,0.2006,0.9211,1.1685,1.1384,0.7171,1.2123,1.2175,1.1094,0.391,0.9576,0.8145,1.2642,0.2322,2.3325,0.7355,0.784,0.3854,2.1175,0.8281,2.4047,0.5258,1.2508,1.5606,1.3354,1.2825,1.0444,0.5885,0.346,0.2152,1.1785,1.6254,1.1774,0.3777,1.0914,0.3877,0.4774,1.3544,1.5122,0.1129,0.4319,0.2964,0.7094,0.9458,1.1395,1.4389,0.4979,1.0253,0.6159,1.1497,0.7752,0.3894,0.467,0.2786,0.0425,0.8949,-0.0316,0.9432,0.7105,0.0437,0.4199,Control
A06,0.1291,0.2354,0.614,1.588,0.0177,1.1631,2.323,0.8395,0.9386,1.133,0.3472,1.8308,1.287,0.2325,0.8196,-0.0159,0.8274,1.0339,1.0316,0.64,1.1286,1.1539,1.0529,0.4003,0.8887,0.6042,1.1888,0.243,2.1362,0.8108,0.7977,0.4191,1.848,0.7339,1.9984,0.4726,1.2155,1.4008,1.2841,1.1788,1.0107,0.5236,0.3383,0.1806,1.1669,1.504,1.2096,0.3347,1.0992,0.4295,0.4317,1.143,1.4404,-0.0525,0.3802,0.1922,0.6382,0.7717,0.9665,1.2901,0.4418,0.8221,0.5752,0.9374,0.6033,0.3386,0.4588,0.0767,0.0406,0.7485,-0.1221,0.881,0.5472,0.0239,0.4621,Control
A07,0.0777,0.3531,0.7558,1.6846,0.0468,1.2924,2.2649,1.0875,1.0653,1.3766,0.3749,1.795,1.3544,0.3008,0.8758,-0.0116,0.8487,1.0345,1.0484,0.9209,1.2592,1.141,1.063,0.4197,0.9701,0.8618,1.1147,0.2531,2.0729,0.5046,0.9085,0.5,1.9482,0.9266,2.111,0.552,1.2479,1.6201,1.3049,1.4461,0.9255,0.6477,0.4804,0.3543,1.3321,1.558,1.1801,0.3942,1.1426,0.4729,0.4825,1.0979,1.7103,0.0639,0.4826,0.2586,0.7192,0.9225,1.0081,1.3969,0.4592,0.8887,0.7026,0.8786,0.8229,0.3804,0.6855,0.2028,0.0728,0.9491,-0.093,1.1111,0.7826,0.0934,0.5398,Control
A08,0.1985,0.3617,0.8117,1.5603,0.0574,1.4062,1.9507,1.0718,0.9549,1.3436,0.3849,1.5846,1.3442,0.2751,0.7175,-0.0483,0.839,0.9188,0.9226,1.0001,1.2006,0.9362,0.7853,0.5345,0.7956,0.6076,0.9098,0.2987,1.8304,0.6334,1.0102,0.5945,1.4112,0.8591,1.7088,0.5216,1.0216,1.4567,1.2899,1.2874,0.8967,0.581,0.3119,0.489,1.2892,1.3457,1.0848,0.3676,0.9656,0.5478,0.6165,0.9641,1.6054,-0.0944,0.4312,0.1634,0.6932,0.8827,0.8645,1.2526,0.4898,0.8162,0.6891,0.8766,0.811,0.2229,0.8414,0.1055,-0.0072,1.0353,-0.051,1.2298,0.8143,-0.0538,0.6135,Control
A09,0.128,0.114,0.6932,1.4845,0.0782,1.1457,2.2969,1.0093,0.8813,1.2973,0.3331,1.7204,1.3771,0.2256,0.8179,-0.0433,0.8173,0.9393,0.9544,0.7607,1.0908,1.142,0.9023,0.3836,0.9042,0.6346,1.0608,0.2362,2.0341,0.5004,0.9319,0.445,1.6625,0.7139,1.9348,0.5396,1.1176,1.3751,1.2522,1.3846,0.7321,0.7235,0.3283,0.2837,1.2524,1.5017,1.2131,0.245,1.0221,0.4494,0.4808,1.081,1.5146,-0.044,0.3506,0.197,0.6185,0.8811,1.0055,1.2673,0.4228,0.8193,0.5883,0.9465,0.7246,0.297,0.5653,0.1348,0.0174,0.8835,-0.088,0.9594,0.6165,-0.0279,0.4122,Control
A10,0.1218,0.2437,0.6794,1.7632,0.023,1.2511,2.1439,0.9286,1.0886,1.355,0.3152,1.6673,1.4058,0.2379,0.8841,0.0803,0.8269,1.0189,0.9143,0.78,1.3758,1.1031,1.0174,0.4269,0.9095,0.5937,1.0714,0.2469,2.0354,0.4407,0.9633,0.5078,1.8548,0.9036,2.0257,0.4968,1.1384,1.5005,1.3111,1.2411,0.815,0.5757,0.3729,0.379,1.2615,1.5067,1.191,0.3562,1.0037,0.4606,0.3742,1.1476,1.7638,-0.0075,0.3403,0.3155,0.6597,0.8586,0.9451,1.2472,0.4739,0.8978,0.6375,0.9281,0.7918,0.2809,0.8037,0.0646,0.0292,0.9963,-0.0737,1.1536,0.8012,0.0023,0.5131,Control
A11,0.058,0.2845,0.585,1.1936,0.0326,0.9883,2.2286,0.8748,0.7516,1.1058,0.1583,1.6685,1.3033,0.2224,0.7719,-0.0304,0.7262,0.7995,0.9272,0.7511,0.9528,1.0996,0.8815,0.2885,0.8324,0.825,1.0586,0.0908,1.6339,0.5305,0.832,0.3238,1.6854,0.6414,1.4992,0.3452,1.0691,1.1518,1.2313,1.2384,0.6714,0.6496,0.2759,0.1566,1.0747,1.4312,1.1469,0.2557,1.1067,0.4227,0.4734,0.8531,1.1196,-0.0729,0.2228,0.1637,0.4547,0.6649,0.9502,0.9638,0.3314,0.9388,0.5458,0.8753,0.5915,0.1501,0.3734,-0.0012,2e-04,0.6262,-0.0713,0.7399,0.5495,-0.0043,0.2737,Control
A12,-0.0552,0.0958,0.3652,1.2599,0.1275,0.939,1.9029,0.5428,0.9784,0.6348,0.1632,1.167,0.8703,0.2135,0.7697,-0.2099,0.4696,0.7864,0.6944,0.4542,0.902,0.7322,0.6958,0.2495,0.6778,0.5796,0.6685,0.1311,1.7065,0.4607,0.5795,0.2052,1.3073,0.6498,1.5259,0.2055,0.7378,1.0816,0.766,0.757,0.3484,0.4081,0.3756,0.2054,0.7248,1.149,1.3116,0.1231,0.886,0.1873,0.009,0.6773,1.3175,-0.2474,0.3053,0.0746,0.4392,0.6503,0.6001,0.9552,0.1281,0.5469,0.4399,0.772,0.2977,0.2853,0.2724,0.0383,0.023,0.5321,-0.0668,0.6632,0.5524,-0.0716,0.3554,Control
B01,-0.0727,0.1954,0.8563,1.8514,0.209,1.3317,2.1445,1.2244,1.0008,1.0492,0.417,1.51,1.1711,0.3664,0.5696,-0.3563,0.8148,0.9729,1.0462,1.0753,1.0835,0.9367,1.0209,0.6025,0.9379,0.7297,0.7754,0.1336,2.2184,0.4343,0.8857,0.8477,1.1651,1.086,1.6543,0.7373,1.1609,1.6792,1.187,1.4605,0.9288,0.6063,0.3814,0.3315,1.1887,1.5552,1.1045,0.1868,1.0667,0.4327,0.3987,0.7151,1.4645,-0.0819,0.4501,0.1554,0.6005,0.8822,0.7837,1.3763,0.3749,0.7844,0.6514,0.6241,0.8103,0.2231,0.5023,0.1099,0.0468,0.8927,-0.0129,1.0574,0.6714,0.0634,0.6136,Control
B02,0.13,0.297,0.7688,1.9282,0.1035,1.564,2.4844,1.108,1.293,1.0682,0.4995,1.7891,1.4325,0.343,0.9138,-0.0035,0.9346,1.2302,1.1897,0.9424,1.2675,1.2854,1.2738,0.4576,1.0896,0.8319,1.1604,0.2926,2.6023,0.6361,0.8035,0.83,1.8514,1.0471,2.3486,0.6642,1.3278,1.8491,1.3093,1.4475,0.9847,0.674,0.4518,0.2699,1.1965,1.7962,1.3069,0.3724,1.2664,0.3736,0.4496,1.2249,1.9031,0.0386,0.5746,0.2244,0.7585,1.0389,1.1744,1.5462,0.5041,0.9593,0.7055,0.9866,0.7801,0.4098,0.3833,0.206,0.0351,0.9276,-0.0966,1.0144,0.6996,0.043,0.5174,Control
B03,0.0976,0.2593,0.7735,1.9,0.1569,1.4246,2.2587,1.1294,1.0765,1.0269,0.4572,1.7423,1.2712,0.3227,0.7349,-0.1068,0.872,1.0638,1.1031,0.9654,1.1977,1.0429,1.1478,0.5217,0.9568,0.7717,1.0038,0.2176,2.3838,0.541,0.8214,0.7996,1.4485,1.0593,1.8944,0.6455,1.259,1.7637,1.2657,1.4706,0.9937,0.5862,0.404,0.3033,1.2546,1.6753,1.259,0.3047,1.1165,0.3796,0.4701,1.0112,1.5793,-0.0245,0.4382,0.1247,0.6413,0.9269,0.9694,1.3594,0.4335,0.7222,0.6848,0.8462,0.7102,0.2616,0.4464,0.0436,0.0519,0.9091,-0.0369,0.9494,0.7113,0.0136,0.4455,BRCACancer
