@relation data

@attribute id string
@attribute 1020 numeric
@attribute 1432 numeric
@attribute 183 numeric
@attribute 186 numeric
@attribute 2147 numeric
@attribute 2185 numeric
@attribute 2534 numeric
@attribute 2767 numeric
@attribute 2770 numeric
@attribute 2782 numeric
@attribute 2792 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 3717 numeric
@attribute 3827 numeric
@attribute 4137 numeric
@attribute 4638 numeric
@attribute 5335 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5605 numeric
@attribute 5894 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6772 numeric
@attribute 6773 numeric
@attribute 6774 numeric
@attribute 6775 numeric
@attribute 6776 numeric
@attribute 6777 numeric
@attribute 6778 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.2358186120,0.6466643338,-0.0169406613,-0.1636614356,-0.1416186203,0.2269297111,-0.0119043016,0.9435579393,0.9581370279,0.7260348580,-0.1126273656,1.3452941188,1.0380567778,0.0567569479,-0.1335369201,-0.1144442779,0.5541366695,0.5204422609,0.1474579691,-0.1072664774,0.5276523813,0.4586358647,0.7139937217,0.0778244350,0.6409841057,1.9096234484,0.1797246685,0.6816845689,0.9369924123,0.8531475714,0.1474283342,0.0372537282,0.1224982199,1.1582233984,1.5891594400,0.9537983259,2.1997757852,-0.0635502934,-0.0643923931,0.6420336235,0.1409569047,BRCA
GSM480985,0.2468691167,0.5214375071,0.2199821969,-0.1441256028,-0.1930294107,0.3187140897,0.0315317513,0.7473870953,0.9909502640,0.6644044377,-0.1372473919,1.1583383579,0.5481084954,0.1556939161,-0.1607838665,-0.1194314305,0.6572212968,0.6196571301,0.0900841358,-0.0931613796,0.4521202200,0.5649788797,0.7487222366,0.0538346215,0.6127393824,1.9413004944,0.2011654340,0.8107330653,1.1877501093,1.0000824235,0.0046246843,0.5274472088,0.2041423073,1.3112308734,1.2845784730,0.9828057632,1.9199515841,-0.0360112713,-0.0954384340,0.7133841506,0.1554803168,BRCA
GSM480986,0.4068633393,0.5058162958,0.0197999421,-0.1377647213,-0.1844459021,0.2534925254,0.0265829566,0.9827568145,1.1200479176,0.6901387549,-0.0677840849,1.5127595663,0.9493732134,0.0812981193,-0.1717571287,-0.0597866220,0.6469340230,0.5424212613,0.1559347632,-0.1167993353,0.5276161861,0.5706250406,0.7966307569,0.0844743560,0.4839221177,2.0243224118,0.0952468054,0.8439718666,1.0308837134,0.8920400335,0.1853220856,0.1005128598,0.1247599432,1.3085676936,1.6418533209,0.7694473286,2.1900971755,-0.1068710505,-0.0770829322,0.6441054073,0.1217694167,BRCA
GSM480987,0.1170820677,0.6135009341,0.8610898719,-0.1460094441,-0.2081336734,0.0220875726,0.6367091207,0.8988900241,1.4479325302,0.7412058433,-0.0742860082,1.4599798470,0.6616964770,0.0791740535,-0.1545500847,-0.0847599605,0.4042619580,0.7127369387,0.0835026311,-0.1432857454,0.4570317386,0.5260457562,0.7170214796,0.0511663564,0.3882937707,1.9975022057,0.0700896732,1.6194223358,1.2035289304,0.6242419429,0.5702428611,0.2219263650,0.1830839837,1.3077710932,1.3375803794,0.6854064385,1.7749855086,-0.0885894268,-0.0640990646,0.8422779248,0.0131572660,BRCA
GSM480988,0.0976537560,0.4483090917,0.0694702046,-0.1096123965,-0.1149176441,0.1364912806,-0.0273392516,0.8038834569,0.7840176249,0.5931581249,-0.1394877574,1.6300611323,0.4589619954,0.0942390446,-0.1194969818,-0.0445661712,0.3890996335,0.5192004788,0.0817065693,-0.0806064152,0.4923907940,0.4829891018,0.6912962379,-0.0383270433,0.4704262694,1.9610705971,0.0896705153,0.7314281068,0.8725124588,0.5880402816,0.0663063029,0.1684060337,0.1357062248,1.3680833202,1.4518957679,0.8568994044,2.2009519134,-0.0432362018,-0.1012624690,0.6047102776,0.1260813951,BRCA
GSM480989,0.5341739923,0.4561344552,0.2477838278,-0.1249572750,-0.2880127502,0.1775155949,-0.0600568494,1.2212249650,0.4984121071,0.7107484369,-0.2168419232,1.6843677122,1.1103506463,0.1149073330,-0.1463200598,-0.0804080172,0.4228847174,0.5099837124,0.0811992555,-0.1211765001,0.4168803811,0.8519349658,0.5911021925,0.0375365682,0.4437155496,1.9755967301,-0.0037837656,0.5177749856,1.0442203304,0.9483558725,-0.0039724103,0.2980536016,0.2224860404,1.4873243147,1.5590544180,0.7983118814,2.9188919440,-0.0476141433,-0.1131204681,0.5547810792,0.1083134365,BRCA
GSM480990,0.3835640923,0.3805084057,0.0095471656,-0.1415980963,-0.2131876319,0.3475599620,0.2139598701,1.2928899753,1.2059587278,0.8782710590,-0.1018510503,1.6475978081,1.1067612915,0.0679819035,-0.1518631868,-0.0639093516,0.5807186725,0.7009938896,0.1371517299,-0.1211324487,0.4040678319,0.5468216389,0.5124700949,0.1245269666,0.3387474729,2.5765053460,0.0120991491,0.4939969672,1.0843852511,0.7514938833,0.2327149478,-0.0418846110,0.1009955318,1.2057764653,1.4453520321,0.6829452796,2.5856389926,-0.0387971694,-0.0783020266,0.5480292028,0.0558532586,Control
GSM480991,0.4622921833,0.4695376563,0.2282817443,-0.1217969772,-0.2291514151,0.2744439769,0.0233230338,1.1701500476,0.8869519606,0.7888649646,-0.1039781785,1.5652074934,0.9763167946,0.0256183829,-0.1317327398,-0.0478810930,0.6529166640,0.5280418684,0.0569693500,-0.0960165404,0.5071865046,0.6482640730,0.7236467786,0.0588836264,0.3654298311,2.1101571236,0.0441448208,0.7248970133,1.1135392351,0.9142858364,0.0445867920,0.2253412083,0.1830051345,1.3618421853,1.5451146222,0.7246558555,2.3986895680,-0.0434597657,-0.0664389667,0.5891530063,0.1548473247,Control
GSM480992,0.5325466043,0.3800862124,-0.0145717701,-0.0814970876,-0.2514961897,0.2888478639,0.0886958316,1.2670981353,0.8968451944,0.7672556795,-0.1357910544,1.5792976092,1.1827308424,0.1000183866,-0.1015912014,-0.0944941031,0.6435555792,0.6497552522,0.1225340664,-0.1356904655,0.4130200728,0.9082788116,0.4097217267,0.1346057261,0.3105769333,2.4270785623,0.0183351703,0.4897415630,1.1896179910,0.9575954077,-0.0388068711,0.0872129699,0.1292670868,1.2438420756,1.4246134289,0.7415068230,2.6897532866,-0.0718402782,-0.0227440883,0.5535295457,0.0925191902,Control
GSM480993,0.3221832017,0.5930127984,0.1377103847,-0.1099790488,-0.1717529876,0.2887215831,0.0776393937,0.9880169092,0.9020118648,0.7363728955,-0.0948902335,1.5582134934,0.9945207685,-0.0802424204,-0.1651523414,-0.0648814374,0.6101985172,0.5661468516,0.1051260916,-0.1144585606,0.4741801064,0.7940912880,0.7140314231,0.0415849929,0.3602931440,2.0765592329,0.0562111053,0.7950845586,1.0815802749,0.9188969735,-0.1003067271,0.3359975065,0.2098610063,1.4111531396,1.5856227239,0.8005855027,2.4490207491,-0.0968572793,-0.0807639728,0.6798162911,0.1127858115,Control
