@relation data

@attribute id string
@attribute 10714 numeric
@attribute 10856 numeric
@attribute 121504 numeric
@attribute 128312 numeric
@attribute 1736 numeric
@attribute 1763 numeric
@attribute 2237 numeric
@attribute 23649 numeric
@attribute 255626 numeric
@attribute 25913 numeric
@attribute 26277 numeric
@attribute 3012 numeric
@attribute 3013 numeric
@attribute 3014 numeric
@attribute 3015 numeric
@attribute 3017 numeric
@attribute 3018 numeric
@attribute 3978 numeric
@attribute 474382 numeric
@attribute 5111 numeric
@attribute 54145 numeric
@attribute 5422 numeric
@attribute 5424 numeric
@attribute 5425 numeric
@attribute 5426 numeric
@attribute 5427 numeric
@attribute 54386 numeric
@attribute 55135 numeric
@attribute 5557 numeric
@attribute 5558 numeric
@attribute 55651 numeric
@attribute 57804 numeric
@attribute 5981 numeric
@attribute 5982 numeric
@attribute 5983 numeric
@attribute 5984 numeric
@attribute 5985 numeric
@attribute 6117 numeric
@attribute 6118 numeric
@attribute 6119 numeric
@attribute 65057 numeric
@attribute 7013 numeric
@attribute 7014 numeric
@attribute 7015 numeric
@attribute 8290 numeric
@attribute 8294 numeric
@attribute 8330 numeric
@attribute 8334 numeric
@attribute 8335 numeric
@attribute 8337 numeric
@attribute 8338 numeric
@attribute 8339 numeric
@attribute 8340 numeric
@attribute 8341 numeric
@attribute 8342 numeric
@attribute 8343 numeric
@attribute 8344 numeric
@attribute 8345 numeric
@attribute 8346 numeric
@attribute 8347 numeric
@attribute 8348 numeric
@attribute 8349 numeric
@attribute 8359 numeric
@attribute 8360 numeric
@attribute 8361 numeric
@attribute 8362 numeric
@attribute 8363 numeric
@attribute 8364 numeric
@attribute 8365 numeric
@attribute 8366 numeric
@attribute 8367 numeric
@attribute 8368 numeric
@attribute 8370 numeric
@attribute 85236 numeric
@attribute 8607 numeric
@attribute 8970 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,7.2083497295,9.622427606,5.823629162,5.118745153,11.13121409,6.8981231695,8.6356430945,9.058425498,4.663367841,5.794650695,11.46435444,6.080503777,5.174537499,7.8736305755,12.06323168,7.428939017,5.155031965,8.306085763,5.213358218,7.30666968733,9.603728853,7.122160823,7.558728975,12.66507944,7.905163024,7.168850407,11.4675955,7.157551892,7.9259666445,5.97561041567,9.8075468025,8.824450546,8.7287213215,6.4996565905,6.65416022267,8.8069355085,7.105454747,10.83471386,11.61752958,10.66108355,8.791530131,6.27599381767,9.823908995,5.564530124,5.197719213,5.536217098,6.051867589,8.487007054,5.434637608,10.55455797,10.76039169,6.680046949,4.871364705,5.279853137,6.49377991,6.139557107,5.139767484,5.264922245,4.708204487,5.568040657,5.261729425,8.440029384,5.952107108,5.257964097,5.169936271,8.127196202,6.059945345,14.05593823,7.01480474,5.68566776,6.730643776,4.668481241,6.917524621,12.04345466,7.69872235233,9.079385528,Control
GSM427159,7.3078710955,9.744102689,5.808134829,5.096779711,11.57959421,6.8766851245,8.8318933355,9.413279443,4.173910121,5.60696957133,11.66204091,5.730104109,4.964758163,7.8908509875,12.24301336,6.353301929,5.110416751,9.214775128,4.663367841,7.18042006333,8.215303806,6.409474951,7.88603356,12.99332148,7.56639873,7.041826475,11.4871292,7.688776797,7.9503875055,6.06639047267,10.34597512,8.865378449,8.46553658,6.4959528655,6.803627506,8.3511951665,7.5130075585,10.800436875,11.88379655,10.48441034,8.448705991,6.66413084,9.941260812,5.282010214,4.981180512,5.157863534,5.576228285,6.276594949,5.580530872,8.9788285505,9.674329611,5.789606185,5.323740468,5.331285345,6.432128971,5.36458228,5.076613872,5.076613872,4.905220009,5.70044752,5.124960054,8.322132227,5.385785842,4.689877288,5.268108014,6.839868676,5.817246707,13.96600025,5.776374632,5.919108385,6.170531632,4.881923051,6.546165695,11.42963442,7.53613586367,7.646272708,BRCA
GSM427160,7.33191487,10.57151592,5.583918611,4.628224624,12.00382718,6.9445841975,9.620597091,9.650235514,4.950248224,5.601736039,11.5054743,6.272308437,4.558389106,8.4900776405,12.53965448,7.52248330367,5.16953547,9.862320087,4.419595675,7.63223048933,9.670085752,7.180493836,8.575114814,13.23568448,8.099283532,8.010949209,11.40579844,7.909009687,8.517100268,5.72399821567,10.76802122,8.72987657,8.908217113,7.0004963375,7.26523884267,9.396101263,7.613135391,11.330452225,12.02968073,10.72737618,9.084051721,6.59450135867,9.835837694,5.4876065925,4.628224624,4.720021333,5.316879984,8.190863129,5.757030749,9.582685718,9.896635567,6.451215749,4.919591852,5.202624638,6.236545833,5.583918611,4.933585915,4.919591852,4.47893856,4.971786376,5.001702332,8.532999807,5.042218873,5.144669712,5.066316611,7.800286988,5.395243853,14.10257573,6.079650777,5.598879718,5.995434345,5.245658467,7.132579734,12.29684318,8.08989895367,8.797792112,BRCA
GSM427162,6.472480484,9.792209165,5.332538997,5.693773551,11.74127222,7.4451283935,9.0906394765,10.18060575,4.667062321,5.363247585,11.55186698,6.528106825,4.916490079,8.530230259,12.30321003,6.90529433767,4.766080198,9.825110289,4.748208435,6.55166353833,8.044122393,7.023923823,9.123553123,13.52549699,8.251862414,7.627900667,11.59410425,9.163857905,8.4986833315,5.36854192167,10.867448075,9.24062507,8.594608411,6.4544177505,6.47039307033,8.859174667,7.7690752125,11.057611095,12.38193096,10.83441597,9.42208113,6.64360809167,9.574508914,5.551388961,4.766080198,5.689726348,5.859106883,6.408122185,5.182703468,10.5173890535,10.88094205,6.311526388,5.438135838,5.229406468,5.89251929,5.438135838,5.377480603,5.450890591,4.608266403,4.938534277,5.01682082,9.896446364,5.554290497,4.814821191,5.352274105,8.863443805,5.850631456,14.49088818,6.090118375,5.916363929,6.701137054,4.366293438,7.152338403,12.79374357,7.717739228,4.92244912,Control
GSM427163,7.2216641085,10.41210434,6.139403622,5.406342144,11.91053229,6.885292262,9.329909791,9.590110341,4.91887665,5.58178575633,11.34349681,5.776374632,5.057679059,8.185466732,12.39294532,6.983161939,5.17473722,8.767556421,4.927672792,7.35432909133,9.171627882,6.9330908945,7.821010387,12.73729283,7.31664612,7.098298285,11.42258795,6.7486998,8.3791173545,5.95280065933,10.590691195,8.91062109,8.8095545205,7.0312218105,7.072920173,8.74540583,7.403741513,10.93374845,11.96009799,10.45090222,8.740810482,6.85724003533,9.695555047,5.6004877035,5.447836413,5.297935366,5.291135005,7.142926798,4.985285523,9.383214294,9.72142441,5.957921126,5.025484272,5.689866096,6.718844926,5.65593226,5.029244428,4.649642211,4.734183662,6.022207581,5.297935366,8.186907968,4.972360944,5.241660263,5.133924369,6.890693297,5.403788568,14.08054111,5.148335483,4.870871734,5.759829109,5.213747029,7.365100051,11.858053,7.82510007933,8.821312505,BRCA
GSM427164,7.523174648,10.4054024,5.214330049,5.36773034,12.11709445,6.6341623465,9.476334725,9.225973251,5.46712559,6.11200878633,11.68900437,5.545359333,4.900638916,7.6042942415,12.29242381,6.330174048,4.972360944,9.430484502,5.401742447,7.408697217,8.035817876,6.8500213875,8.467973436,12.65702034,8.336909437,7.395150919,11.55657325,7.358280041,8.4061773715,6.237969269,9.1867040865,7.992656742,8.81729114,7.138537016,7.68158217733,9.358156732,7.0064152045,11.641461875,11.54965727,9.132050545,8.591747779,6.608823679,9.510972362,5.1806045875,5.127025752,5.163308771,4.769786816,7.455781587,5.427783188,8.316796841,8.508201951,6.195057794,5.241850906,5.234397132,6.237741162,5.440131024,5.249266367,5.075972442,5.062436111,5.625863148,5.515077886,8.772645411,4.862465343,4.925775462,5.447257868,6.326794047,5.080669653,12.24753009,6.261065912,5.804912672,5.109685724,4.985513237,6.331549038,10.93481154,7.70145242267,7.866569768,BRCA
GSM427165,6.6588492955,8.926311656,6.053334703,5.36650691,11.66997027,7.7532903405,8.2961196055,9.935902096,4.867169068,5.44361563733,11.22961513,6.194663913,4.732013908,8.160140768,11.25779165,7.23571497,5.744303238,8.95908991,5.046808884,6.44602920733,7.601810012,6.349361739,8.346005182,13.63244094,7.690279365,6.452575359,10.90219441,8.847167874,7.114956815,5.788693131,10.208375227,9.121676695,7.738491062,6.220650197,6.54805513767,7.4871109445,7.0904318015,10.3458464955,12.52245777,10.38702135,8.591018414,7.36590583167,9.628928997,5.579336685,5.164113728,5.149758548,6.488889022,6.658144078,5.391983545,9.692660621,10.66841992,6.5560888,4.595204309,6.117700885,5.971607496,6.13566376,5.579701547,5.650629048,5.213941395,5.899484569,5.460260315,8.33257494,5.077041333,5.114586962,4.93712219,8.740068382,6.149549624,14.7817055,7.246291987,6.62585904,8.870627591,5.139972076,6.893972281,13.074006,7.41693158233,6.097827379,BRCA
GSM427166,7.325273656,10.16613832,5.929442617,5.844744204,11.28804432,6.773364932,8.609435701,9.369358036,4.835559392,6.00729484233,11.55749974,6.264072495,5.2209212,7.787027341,12.45804007,8.36211980967,5.346169084,9.111501597,4.81315432,8.02092389867,10.42177586,7.048256226,7.539955806,12.59766508,7.956610113,6.995289824,11.56304622,6.953966871,8.4155051985,6.32473713233,10.424072825,9.20124246,8.303306849,6.9810465865,6.93605146533,9.1247667975,7.5927585855,11.06229666,11.90810746,10.88785292,8.792042831,6.322827848,9.542626187,5.06495125,4.703782956,5.047681518,5.93470004,9.946928611,4.983234478,10.0318327905,10.17096442,6.9557694,5.163308771,5.002490161,6.272261775,5.638081984,5.277995204,5.193979903,4.918399651,5.313437469,5.479142629,8.732490639,5.154424477,4.898947471,5.540872931,8.533603375,6.211553127,13.7210223,7.126784799,5.256643908,5.716175548,4.688059546,7.831435711,12.29242381,7.96243818933,9.433126963,Control
GSM427167,7.244781381,10.95801997,5.751417692,5.419801156,12.26689494,6.7731098095,9.642109982,9.357783524,4.897254041,5.64992613367,11.31253714,5.993510911,5.255700175,8.5057825605,12.89900003,7.731063702,5.233246971,9.394248914,5.511603435,7.82590120133,10.00810682,7.4543940705,8.608200408,13.17297049,8.048106907,7.782983675,11.46239505,7.554667747,9.0643521695,6.02795948867,10.963600715,8.811664588,8.9257842175,7.2222320135,7.65912161233,9.70168359,7.7796863265,11.49735519,11.92126273,10.77226531,8.830325945,6.88067378067,9.670935523,5.3963354245,5.032113243,5.570167841,5.839966671,8.894060699,5.427950757,10.549058171,10.68693842,6.853562589,4.715361226,5.700724934,6.314610999,6.316060301,5.144669712,5.250403832,4.672729652,5.763950127,5.229983196,9.982822895,5.662925563,5.545359333,5.178725843,7.364881259,5.69600164,13.31043176,6.715691352,5.117810604,5.936526788,4.497725104,7.621669354,12.3968015,8.14481967667,8.876387348,BRCA
GSM427169,7.099785483,10.07634836,6.320850743,5.557663769,11.5798723,6.7659262955,8.75940589,9.162543096,4.42789603,5.667427373,11.27319403,5.970169897,4.585033079,7.7151803595,12.22983432,7.94413342067,4.937593039,9.143141549,5.250782787,7.315615812,9.091846003,7.011695558,8.45693048,12.92825655,7.391761545,6.840718531,11.51908594,7.581278035,8.3222045595,5.43016628233,10.43348514,9.25541878,8.7210455935,6.8236640905,6.42676862133,8.509561114,7.4371940695,10.656153568,12.52742331,10.47860813,9.125801619,6.86057592467,9.567148551,5.2898639185,5.168332398,5.745379368,6.090647705,8.2864551,5.279296008,10.2223433115,10.4183642,6.723152797,5.2209212,5.476390801,6.408334517,5.360725299,5.634020526,5.229598736,4.421060285,5.279296008,5.422747045,9.05864872,4.981865493,4.821979637,4.490583929,8.647873119,6.021041727,14.29890208,6.228150688,4.963487128,5.822354928,5.233822166,7.713525923,12.26341894,7.575934857,9.033320526,BRCA
