@relation data

@attribute id string
@attribute 27010 numeric
@attribute 79178 numeric
@attribute 84284 numeric
@attribute 9054 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0521936193,0.3904092780,0.9557888499,0.1930206687,BRCA
GSM480985,-0.0078136070,0.1658302147,1.0492121232,0.1431524696,BRCA
GSM480986,0.1115313896,0.3012430949,1.2464839574,0.2887606355,BRCA
GSM480987,0.1165297983,0.1496916197,1.1638425161,0.1736798336,BRCA
GSM480988,0.1031750540,0.2026185082,1.5175340959,0.2799783304,BRCA
GSM480989,0.0472173709,0.4392563357,1.3591615195,0.1964479616,BRCA
GSM480990,0.0402784785,0.2188456059,1.1516244841,0.1417907773,Control
GSM480991,0.0032727012,0.4245489871,0.9447481651,0.2909592039,Control
GSM480992,-0.0425613652,0.3415809748,1.0847868426,0.2245251153,Control
GSM480993,-0.0234460148,0.4234178890,1.5084516965,0.2985393357,Control
GSM480994,0.0081891117,0.4789967438,1.0998223592,0.1681846365,Control
GSM480995,0.1522456954,0.2195939281,0.9462437005,0.2303829469,Control
GSM480996,0.0816712743,0.3515173096,1.3189572682,0.2639146103,BRCA
GSM480997,0.1622071359,0.2671472992,1.1400579647,0.1229557121,BRCA
GSM480998,-0.0122411959,0.3644805952,1.2467629518,0.2040775357,BRCA
GSM480999,0.1597505043,0.2230359870,0.9343094476,0.2192069646,BRCA
GSM481000,0.0870129079,0.2812389693,1.3993875719,0.3231944129,BRCA
GSM481001,0.0466763995,0.1642263023,0.6313391468,0.0416928466,BRCA
