@relation data

@attribute id string
@attribute 79717 numeric
@attribute 79646 numeric
@attribute 60490 numeric
@attribute 80347 numeric
@attribute 2194 numeric
@attribute 60496 numeric
@attribute 8884 numeric
@attribute 53354 numeric
@attribute 80025 numeric
@attribute 8034 numeric
@attribute 55229 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.4998,1.4454,0.4031,0.9612,0.4001,1.4416,0.5798,0.1257,1.2412,0.9285,0.7898,Control
A02,1.4207,1.4197,0.2178,0.7565,0.2694,1.0558,0.3943,-0.0098,1.1577,0.6481,0.6334,Control
A03,1.3923,1.4124,0.4595,0.9958,0.4241,1.2679,0.4708,0.0561,1.3606,0.7945,0.7459,Control
A04,1.6098,1.4117,0.3912,0.8217,0.4369,1.072,0.5102,0.0554,1.0554,0.5741,0.6633,Control
A05,1.5884,1.6128,0.4168,1.0212,0.5348,1.2277,0.5836,0.1113,1.2611,0.695,0.762,Control
A06,1.4034,1.3598,0.3592,0.8813,0.3337,1.1256,0.4389,0.0058,1.1391,0.6559,0.6424,Control
A07,1.5516,1.5237,0.3387,0.8803,0.2736,1.3796,0.4451,0.0496,1.3228,0.7796,0.667,Control
A08,1.3746,1.393,0.3121,0.725,0.2836,1.0689,0.4397,0.0395,1.1463,0.8589,0.6115,Control
A09,1.1886,1.2917,0.4032,0.8185,0.2624,1.2621,0.4312,0.0765,1.1431,0.6948,0.6354,Control
A10,1.3862,1.58,0.397,0.7631,0.3517,1.2482,0.4987,0.1452,1.1408,0.7591,0.6127,Control
A11,1.1074,1.0581,0.2876,0.7305,0.2521,1.2277,0.251,0.0194,1.0614,0.6836,0.5245,Control
A12,0.9828,0.875,0.0528,0.5322,0.0558,0.66,0.3617,-0.131,0.5937,0.3337,0.4438,Control
B01,1.4071,1.2457,0.2143,0.6452,0.0171,1.2034,0.4468,-0.0697,1.1565,0.8534,0.5387,Control
B02,1.6457,1.417,0.4347,1.0099,0.4253,1.3451,0.6825,0.0322,1.2608,0.8384,0.7798,Control
B03,1.5018,1.3969,0.2519,0.7881,0.2764,1.2963,0.5138,0.0131,1.2266,0.7955,0.6258,BRCACancer
B04,1.0776,1.2883,0.3836,0.5794,0.2269,0.6478,0.3478,0.0409,1.1684,0.7959,0.6746,BRCACancer
B05,1.2686,1.0551,0.3456,0.7179,0.2666,0.8423,0.4622,-0.0749,1.1027,0.5926,0.5745,BRCACancer
B06,1.2798,0.9692,-0.13,0.4556,-0.2081,0.7738,0.2141,-0.1527,0.982,0.4916,0.4143,BRCACancer
B07,1.6181,1.4509,0.2545,0.9178,0.3185,1.2769,0.583,0.1543,1.4555,0.9442,0.8699,BRCACancer
B08,1.5334,1.3291,0.2749,0.933,0.3043,1.3755,0.393,0.0792,1.3045,0.6606,0.6409,Control
B09,1.0352,1.1503,0.2563,0.4739,0.2068,0.5316,0.2271,3e-04,0.9989,0.8039,0.5285,Control
B10,1.0243,1.2163,0.0609,0.4018,0.1767,0.8843,0.3309,-0.001,0.9328,0.5906,0.4741,Control
B11,1.2016,1.2073,0.2465,0.7348,0.2728,0.9707,0.3518,0.0963,1.0552,0.5825,0.6281,Control
B12,0.6154,0.9422,0.1594,0.3268,0.0578,0.2549,0.1869,-0.0787,0.8041,0.5242,0.4806,Control
C01,1.4535,1.427,0.4491,0.9705,0.4763,1.0399,0.6036,3e-04,1.2378,0.7779,0.847,BRCACancer
