@relation data

@attribute 6812 numeric
@attribute 5330 numeric
@attribute 23236 numeric
@attribute 5578 numeric
@attribute 5331 numeric
@attribute 3708 numeric
@attribute 3710 numeric
@attribute 6804 numeric
@attribute 2769 numeric
@attribute 3709 numeric
@attribute 2767 numeric
@attribute 2776 numeric
@attribute 6844 numeric
@attribute 2775 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 4082 numeric
@attribute 1131 numeric
@attribute 6861 numeric
@attribute 3630 numeric
@attribute 6616 numeric
@attribute 9630 numeric
@attribute Class {Control,BRCA}

@data
7.410489684,7.476788978,6.8772890085,8.688181342,5.876585242,10.99802289,11.35799469,6.586768964,8.935666829,9.844635599,12.11539657,9.668318219,10.05577764,5.32399731333,7.1915641815,11.95442182,12.55838012,6.499212576,5.354567863,5.169936271,6.78737685,6.639670365,Control
7.18529977367,7.453231788,6.8906417385,9.433471275,6.036839159,10.75503384,12.08864757,6.975192016,9.171240063,9.525335383,12.64178371,8.930930318,10.58383522,5.80333317067,6.0573658185,11.95691889,12.40857396,7.270111035,5.309804873,5.773212576,6.609192948,5.605858198,BRCA
6.48546311533,7.462177348,6.771545835,8.48506563,5.98687237,11.137683,12.01135666,7.081033649,9.060122471,10.74066222,12.18094263,9.213384421,10.30762238,5.697396068,5.457103785,11.84327345,12.71111204,7.135045173,5.496822826,5.870864797,7.114893166,5.95414468,BRCA
6.57239004733,7.601141445,7.226006717,9.211511834,6.1476177,10.00164081,11.97218475,7.715191761,9.612320761,9.439182162,12.07926902,7.435526765,10.51475871,5.12699757367,5.725019338,11.56304622,12.08918571,7.91055448,5.134643221,5.793122872,8.223815268,5.391983545,Control
6.82339386,6.773076963,6.848015995,8.977409535,5.887775801,10.864964,11.58766984,6.458370212,9.312021348,9.689574849,12.56435203,9.924501194,10.6829685,5.43099958733,6.8901006515,12.12850358,12.68048706,6.580602003,5.771100681,5.536217098,7.3756054295,6.316965376,BRCA
7.517797043,7.658927519,6.727722821,8.467749328,5.94872421,11.45443311,12.06588572,6.86505622,9.80023708,9.814991395,12.03287579,10.54993411,9.907754874,5.06825095367,6.5536864175,11.63993091,12.9168993,6.603185402,5.036295892,5.73607124,6.477823674,6.506966537,BRCA
6.31398031067,6.111350232,7.4861886795,9.024558716,5.48205062,9.557684409,12.23463043,6.698639127,9.550891589,7.511675823,12.83993603,7.39744174,9.785085055,5.72716198833,5.366277458,11.48011881,11.96009799,8.018076529,4.920902135,5.705709271,8.418540522,5.583918611,BRCA
7.00778646933,6.898937271,6.719520862,8.419813926,6.202570157,10.66388964,11.37383049,6.560413565,9.068624547,9.583290187,11.35299256,9.665460782,10.28801852,5.32302536333,6.2928801065,11.95442182,13.11183912,6.988971848,5.593212758,5.451879748,6.8454990825,6.749873197,Control
6.956630158,7.321975714,6.995146243,8.419971893,5.352274105,10.78521972,11.74966846,6.832007438,9.270663911,10.67301333,12.07015459,9.303998235,10.82820416,5.793978829,6.2675959045,11.46383867,12.80969082,8.215303806,4.314057196,5.541182786,7.2681816375,6.020263967,BRCA
6.571316384,7.469827229,6.432879816,8.01888328,5.586623085,11.44285036,11.77144213,6.971661738,8.89464433,9.67905828,12.53965448,8.352640608,10.65531183,5.527496062,6.489380715,11.67867508,12.90048482,7.830675431,5.71081418,5.233822166,6.8123894965,5.69321599,BRCA
7.228641719,7.616550911,6.4844860445,8.202296649,5.199683385,9.330368553,11.5968724,6.922498552,9.246622521,8.417642766,11.36612562,6.808774778,10.98552909,5.31994319167,6.097670028,11.98415862,12.69883927,5.729492441,5.644873832,6.062214149,7.2233732875,6.563429392,BRCA
7.04003560967,7.210454923,6.6696596965,8.474558864,5.628781795,10.4353997,11.78113439,6.294671862,8.878435012,9.772677934,11.23978961,9.546605663,10.45871961,5.67424901833,6.6687748565,12.06588572,12.89900003,6.02879635,5.445520838,5.773212576,6.8815510025,6.288640599,Control
7.45962413033,7.225668073,6.8308282135,8.584390499,5.637792259,10.86238187,11.47029296,6.691782333,8.70989467,9.630713575,11.54241539,9.998851701,10.57581366,5.34585836067,7.184102984,12.19850959,12.39041358,6.658286918,5.182107523,5.252865266,6.2958628705,5.916841601,Control
7.33583168833,8.314312607,6.0566410755,7.646632733,5.427447991,11.40394419,12.30526243,8.021647846,8.919415413,9.432772131,11.88448737,9.061277435,11.2546007,5.51542661367,5.4787995935,12.44264168,12.89900003,5.83390919,5.805041697,5.69544494,7.746916147,6.469727786,BRCA
