@relation data

@attribute 717 numeric
@attribute 735 numeric
@attribute 729 numeric
@attribute 718 numeric
@attribute 727 numeric
@attribute 721 numeric
@attribute 4153 numeric
@attribute 720 numeric
@attribute 731 numeric
@attribute 10747 numeric
@attribute 730 numeric
@attribute 5648 numeric
@attribute Class {Control,BRCA}

@data
8.673575084,4.927435762,7.474316635,9.984080577,9.118734206,6.173532859,5.217435519,6.548787718,4.424648213,4.91435600033,7.244818397,5.702474374,Control
7.328004187,5.133410684,7.447953386,8.261532137,9.091660914,5.621180996,4.863209057,5.7109519,4.670607054,5.186951856,6.657501119,5.2974858328,BRCA
6.421228033,5.047245267,6.40837698,9.077998072,9.298968193,6.531307861,5.014814152,7.321975714,4.976605648,4.95899230267,5.948373802,5.2469885464,BRCA
7.084173582,4.893861206,5.776111392,7.478529234,9.796177999,5.182703468,5.144669712,5.59724157,5.29683478,5.222893164,5.327517838,5.1420860782,Control
7.578374814,5.100779273,7.627900667,10.22558136,8.630058784,6.05474607,5.115211455,6.559649064,5.137105138,5.08995010033,7.397078021,5.2296592122,BRCA
7.709361509,5.006983802,6.284297232,10.27605783,8.584211958,6.120295558,4.989151782,6.449648548,4.73377711,4.806993404,6.336020558,5.6137205426,BRCA
7.186711317,4.915773338,5.278924469,5.442621133,9.778964625,5.887288406,5.349799819,5.361953639,5.169134558,5.17394369333,5.532793245,5.3934476678,BRCA
8.913054791,4.937828406,7.7194592,10.32139858,8.838747853,7.209456107,4.709583584,6.167122676,5.125580074,4.99305370267,7.638763741,5.572613708,Control
7.160580214,5.004514032,6.001752288,9.687682355,8.902421187,5.771232765,4.820703945,6.104919098,4.517251297,5.243037915,6.29655434,5.3250683426,BRCA
7.170979399,5.272033689,6.090647705,7.986440979,9.801199537,5.524354632,4.889243844,6.112705996,5.081308998,5.488490067,6.232282407,5.4176929334,BRCA
9.202485753,5.590370909,6.189879523,10.13161943,9.094098227,5.338612717,4.541969328,6.120399247,5.557816912,5.108431835,6.663526528,5.4778574062,BRCA
7.790610985,4.327000131,9.27603198,10.28695653,8.994976437,6.267072826,4.645902559,6.240701309,5.364932404,5.195554997,7.805116889,5.5325586518,Control
7.996531569,5.499695432,8.473138629,9.936741399,9.503095822,7.355331548,4.822489599,6.832703733,4.65680675,4.79497450133,6.282259665,5.5947367508,Control
7.831973999,5.149758548,9.281014944,9.100032254,9.507299682,5.774135558,4.961404834,6.209166382,4.80453284,5.203892012,5.956237471,5.2789079548,BRCA
8.593597591,4.702259784,7.126294382,9.202638794,9.933580429,5.224784328,4.850638494,6.472573571,5.488973851,5.12373846333,6.26697916,5.7051782334,BRCA
7.802356618,5.442455259,7.353766841,8.429700821,9.727627431,5.449157932,4.762629799,6.165716644,4.708204487,4.95714582967,6.31764381,5.4598011604,BRCA
7.440414751,5.22343341,6.948136864,8.501002294,9.47543003,5.551986008,4.688758955,5.984140004,5.908279272,5.390620698,5.589247584,5.325793402,BRCA
8.219411924,4.542740612,7.178368875,9.230429477,9.214671934,5.242517955,5.066101302,5.782219336,4.82618143,5.033824754,6.025976276,5.2999294774,BRCA
7.768880894,5.377480603,7.213301407,9.226111776,9.024766466,6.09909068,4.37083793,6.81458607,4.92411325,5.216817016,5.675259326,5.2013286924,BRCA
8.423285204,4.891432858,7.069372226,9.522278016,9.68371449,6.924786158,4.779274646,6.924786158,5.167730486,5.47215116333,5.244707519,5.670954472,BRCA
