@relation data

@attribute id string
@attribute 1292 numeric
@attribute 64096 numeric
@attribute 782 numeric
@attribute 1293 numeric
@attribute 783 numeric
@attribute 1290 numeric
@attribute 784 numeric
@attribute 1291 numeric
@attribute 785 numeric
@attribute 1297 numeric
@attribute 5894 numeric
@attribute 8128 numeric
@attribute 9048 numeric
@attribute 2675 numeric
@attribute 2674 numeric
@attribute 1289 numeric
@attribute 1287 numeric
@attribute 7903 numeric
@attribute 1280 numeric
@attribute 5747 numeric
@attribute 1281 numeric
@attribute 1282 numeric
@attribute 5605 numeric
@attribute 9252 numeric
@attribute 1284 numeric
@attribute 375790 numeric
@attribute 57731 numeric
@attribute 1285 numeric
@attribute 775 numeric
@attribute 1286 numeric
@attribute 5604 numeric
@attribute 778 numeric
@attribute 779 numeric
@attribute 1385 numeric
@attribute 2260 numeric
@attribute 2668 numeric
@attribute 51332 numeric
@attribute 4893 numeric
@attribute 2885 numeric
@attribute 1277 numeric
@attribute 5595 numeric
@attribute 1278 numeric
@attribute 5786 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute 3265 numeric
@attribute 4684 numeric
@attribute 3845 numeric
@attribute 6708 numeric
@attribute 6709 numeric
@attribute 4902 numeric
@attribute 6900 numeric
@attribute 6714 numeric
@attribute 7529 numeric
@attribute 6712 numeric
@attribute 6710 numeric
@attribute 1298 numeric
@attribute 1299 numeric
@attribute 1463 numeric
@attribute 6711 numeric
@attribute 256076 numeric
@attribute 5623 numeric
@attribute 5621 numeric
@attribute 8912 numeric
@attribute 8913 numeric
@attribute 8911 numeric
@attribute 131873 numeric
@attribute 2534 numeric
@attribute Class {Control,BRCACancer}

@data
A11,0.2933,-0.1626,0.1763,0.0383,-0.081,-0.0831,0.1141,-0.0665,-0.0295,-0.1069,1.2804,-0.0588,-0.0897,0.0237,-0.0657,-0.073,-0.1445,1.2615,-0.0255,0.1375,-0.0042,-0.008,0.4262,0.6477,-0.0431,0.0733,-0.0979,-0.1373,-0.0803,-0.0673,0.6056,-0.0098,-0.0141,1.3699,0.0462,-0.0689,0.0066,2.4753,1.5523,-0.1374,0.9926,-0.1513,0.701,0.7415,1.8347,0.2904,0.2622,1.4146,-0.0724,1.6232,-0.1775,-0.0218,0.2186,2.3845,0.0257,-0.0213,-0.1047,-0.0233,-0.0813,0.4347,0.0409,-0.0336,0.7299,-0.0164,-0.0243,0.139,-0.1538,1.3506,Control
A12,0.0913,-0.2661,0.0342,0.2304,-0.1243,-0.0612,0.1872,-0.1565,0.0199,-0.0024,1.1644,-0.0217,-0.1072,-0.0626,-0.0733,-0.1059,-0.1909,0.8916,-0.0049,0.1142,0.0417,-0.0791,0.1908,0.2102,-0.0456,-0.0228,-0.1839,-0.0228,-0.0359,-0.0293,0.3165,0.0132,0.0573,1.1942,0.0382,-0.0066,-0.0964,2.575,1.1373,-0.1423,0.6672,-0.0605,0.3995,0.5292,1.3126,0.2032,0.0562,0.8721,9e-04,1.1268,-0.4271,0.0636,0.1258,1.7589,-0.0674,0.0105,-0.0499,-0.1,-0.1279,0.4632,0.1366,0.0042,0.5164,-0.0755,0.0058,0.0511,-0.0293,0.9467,Control
B01,-0.0454,-0.3311,0.0185,0.1253,-0.0631,-0.1094,0.0766,-0.1786,0.0399,-0.0843,1.6434,-0.0204,-0.2977,-0.134,-0.0335,-0.2749,-0.192,1.1906,-0.1391,0.2109,-0.0563,-0.0633,0.1449,0.7033,-0.1472,-0.2169,-0.2851,-0.0649,-0.0381,-0.0477,0.6567,0.0526,-0.0412,1.6304,0.0425,-0.2228,-0.1958,2.5536,1.5002,-0.2605,0.7793,-0.1237,0.6994,0.9141,1.5662,0.1584,0.0523,1.5366,-0.1025,1.6424,-0.553,-0.107,0.1574,2.4393,-0.1603,-0.043,-0.2185,-0.2836,-0.203,0.8355,0.0402,-0.155,0.7817,-0.3151,-0.1959,0.1053,-0.0858,1.5006,Control
B02,0.306,-0.0848,0.2652,0.0444,-0.0798,-0.1064,0.1804,0.0369,-0.0343,-0.0493,1.8632,-0.0272,-0.0396,0.0036,-0.0695,-0.0803,-0.14,1.2716,0.0045,0.1703,-0.0086,-0.0557,0.4126,0.5372,-0.0826,0.0688,-0.0455,-0.0826,-0.0632,-0.0519,0.6188,0.0182,-0.0299,1.7362,0.0591,-0.0197,0.051,3.1429,1.6034,-0.1146,1.0963,-0.1015,0.6935,0.8807,1.7427,0.3404,0.0985,1.5341,-0.0744,1.8512,-0.1396,-0.0603,0.4168,2.6837,-0.0181,-0.0032,0.0299,0.0354,-0.079,0.751,0.0472,0.0509,1.0832,-0.0377,-0.0247,0.296,-0.0703,1.543,Control
B03,0.2441,-0.132,0.1966,0.0707,-0.0313,-0.1231,0.1619,-0.033,-0.0081,-0.0924,1.7244,0.0469,-0.2308,-0.0676,-0.0517,-0.1434,-0.1567,1.3594,-0.0014,0.0978,-0.048,-0.0169,0.3093,0.6291,-0.0854,-0.017,-0.084,-0.0892,-0.0499,-0.0673,0.6536,0.0164,-0.0484,1.7208,0.1362,-0.079,-0.0128,2.9071,1.5674,-0.1932,0.9479,-0.1453,0.71,0.9276,1.7521,0.2646,0.0989,1.6305,-0.1064,1.7613,-0.3193,-0.1192,0.269,2.664,-0.0595,-0.0645,-0.0405,-0.0552,-0.0616,0.761,0.0297,-0.0262,1.1227,-0.1095,-0.0793,0.2231,-0.1088,1.6673,BRCACancer
B04,0.1886,-0.2139,0.2201,0.056,-0.1206,-0.0854,0.1386,-0.0214,0.0277,-0.0466,1.7237,-0.099,-0.0761,-0.0453,-0.1426,-0.1594,-0.1584,1.7555,-0.0772,0.225,-0.0154,-0.087,0.3653,0.8367,-0.1151,0.0283,-0.101,-0.0406,-0.1014,-0.0402,0.8115,-0.0327,-0.0127,1.7166,0.1108,-0.0693,-0.0283,2.4183,1.6385,-0.1745,0.7243,-0.1033,0.7537,1.4335,1.9229,0.1782,0.2244,1.3969,-0.0348,1.7091,-0.3212,-0.0414,0.3471,2.0315,-0.0136,-0.0678,-0.0554,-0.0456,-0.1198,0.7188,-0.0474,-0.0922,0.6233,-0.1546,-0.1285,0.0863,-0.1098,2.1402,BRCACancer
B05,0.2499,-0.1924,0.1484,0.1393,-0.1173,-0.0646,0.1027,-0.0894,0.0097,-0.0334,1.4156,-0.0729,0.0211,-0.0124,-0.1483,-0.135,-0.1613,1.0025,-0.0721,0.098,0.0663,-0.1137,0.3668,0.4121,-0.0891,-0.0338,-0.1246,-0.0162,-0.1106,0.0154,0.4972,-0.0135,0.0514,1.3458,0.0165,0.049,-0.041,2.3386,1.4949,-0.1527,0.8239,-0.0453,0.6322,0.7814,1.8007,0.2381,0.1882,1.2745,-0.0437,1.5446,-0.2516,0.0214,0.2846,2.5651,-0.0397,-0.0541,-0.0461,-0.0182,-0.1678,0.5586,0.0473,0.0221,0.946,-0.1157,-0.0653,0.1209,-0.0576,1.5799,BRCACancer
B06,-0.0388,-0.3982,-0.0463,0.1046,-0.0541,-0.061,-0.0143,-0.3586,0.0463,-0.0663,1.4461,-0.0761,-0.1998,-0.1817,-0.0486,-0.3343,-0.1627,0.9779,-0.2012,0.1786,-0.0117,-0.1655,-0.0057,0.3762,-0.21,-0.2726,-0.3056,-0.0634,-0.0897,-0.0126,0.5394,-0.0817,-0.0632,1.4075,-0.0879,-0.1651,-0.221,2.0849,1.1292,-0.3408,0.5177,-0.0659,0.4749,0.7812,1.3023,-0.0061,0.1182,1.0451,-0.0158,1.2264,-0.7272,-0.115,-0.0707,2.1686,-0.2214,-0.2072,-0.2499,-0.3149,-0.283,0.6137,0.1287,-0.2475,0.517,-0.4132,-0.2828,-0.0797,-0.1181,1.4278,BRCACancer
B07,0.3856,-0.0657,0.3299,0.0587,-0.1091,-0.0882,0.2279,0.0213,-0.0382,-0.0474,1.9525,-0.0722,-0.0259,-0.047,-0.0909,-0.1387,-0.1555,1.5045,-0.0667,0.1564,0.0128,-0.1042,0.4908,0.6958,-0.0993,0.0297,-0.0313,-0.0154,-0.1119,-0.0291,0.6951,-0.0017,-0.029,1.8107,0.0808,-7e-04,0.0658,2.8997,1.6266,-0.1852,1.0487,-0.0646,0.7716,1.1751,1.8217,0.38,0.0497,1.5831,-0.0464,1.8837,-0.1468,0.002,0.3629,2.5674,0.015,0.0046,0.0388,-0.0145,-0.046,0.6823,0.0426,-0.0641,0.9308,-0.0576,-0.0483,0.2024,-0.0909,1.7729,BRCACancer
B08,0.2653,0.0403,0.2497,0.0664,-0.0509,-0.0816,0.1712,0.102,-0.0567,-0.0406,1.5696,-0.0347,-0.0388,0.0084,-0.0591,-0.0434,-0.1066,1.1192,0.0525,0.257,-0.0252,-0.0284,0.4491,0.5908,-0.0437,0.1371,-0.0112,-0.0623,-0.0741,-0.083,0.682,0.0169,-0.0415,1.561,0.0415,-0.0239,0.0627,3.0033,1.6339,-0.1054,1.0739,-0.0953,0.6832,0.7597,1.7268,0.3687,0.0842,1.4559,-0.1248,1.606,-0.1093,-0.0916,0.5462,2.5843,0.0024,0.125,0.041,0.1336,-0.0176,0.4677,-0.0505,0.0328,0.8729,0.0253,0.0137,0.2633,-0.1115,1.1603,Control
B09,0.1748,-0.1178,0.1535,0.0306,-0.0479,-0.1132,0.0126,-0.0583,-0.0218,-0.1122,1.5166,-0.0434,-0.1175,-0.0854,-0.0246,-0.1478,-0.1815,1.1061,-0.0819,0.2831,-0.0348,-0.1043,0.3222,0.9194,-0.0859,0.0254,-0.0907,-0.0827,-0.0699,-0.1001,0.7372,0.0025,-0.072,1.426,0.1247,-0.0379,0.0033,2.1589,1.6507,-0.1306,0.6235,-0.1185,0.8326,1.2186,1.8556,0.2599,0.3155,1.1881,-0.1125,1.6218,-0.0554,-0.0851,0.3244,2.1412,-0.0437,0.0589,-0.1119,-0.0633,-0.0277,0.7228,-0.0385,-0.0931,0.9559,-0.1004,-0.1155,0.1415,-0.1374,2.0697,Control
B10,0.1356,-0.1099,0.0836,0.1011,-0.0793,-0.0956,0.0423,-0.0088,-0.0043,-0.0103,1.4615,-0.0289,-0.0826,-0.0855,-0.0961,-0.1101,-0.1667,1.3345,-0.0857,0.0953,-0.011,-0.1064,0.1829,0.558,-0.0937,0.0098,-0.0818,-0.0768,-0.0924,-0.0639,0.624,-0.0567,7e-04,1.5588,0.0345,0.0033,0.008,2.6593,1.509,-0.151,0.645,-0.1011,0.607,1.0541,1.7685,0.2443,0.2274,1.2227,-0.0735,1.4421,-0.1925,-0.0681,0.2328,2.0443,-0.0328,-0.0441,-0.006,-0.0563,-0.0838,0.6351,-0.0149,-0.0462,0.6528,-0.0785,-0.0608,0.1178,-0.0617,1.7842,Control
B11,0.1688,0.0271,0.1764,0.0828,-0.0695,-0.0704,0.088,-0.0297,-0.0154,-0.0202,1.3717,-0.0618,-0.0647,-0.0353,-0.0739,-0.0864,-0.1418,1.2551,-0.0591,0.1896,-0.0168,-0.0998,0.4011,0.6058,-0.0582,0.0814,-0.0225,-0.0673,-0.088,-0.0723,0.5479,0.0072,-0.056,1.4854,0.0242,1e-04,-0.0039,2.6495,1.7392,-0.2027,0.929,-0.1173,0.6331,0.949,1.6655,0.4126,0.1217,1.3354,-0.0613,1.5148,9e-04,-0.0802,0.4267,2.3807,0.015,0.0319,0.0121,0.0066,-0.0771,0.5318,0.0285,0.0115,0.9264,-0.0383,-0.0139,0.1786,-0.0581,1.4134,Control
B12,0.1626,-0.0884,0.0351,0.0231,-0.0656,-0.0523,0.0015,0.0423,-0.0584,-0.0377,1.2848,-0.0795,-0.0596,-0.0864,-0.0929,-0.093,-0.1216,1.0992,-0.0425,0.1111,0.0405,-0.1044,0.3052,0.5849,-0.0979,0.0255,-0.075,-0.0629,-0.1139,-0.0709,0.6269,-0.0424,0.0129,1.2024,0.0633,0.0473,-0.0498,1.1387,1.3322,-0.0643,0.5105,-0.1022,0.4662,1.0091,1.4468,0.223,0.0773,0.938,-0.0887,1.3146,-0.2341,-0.079,0.2132,1.8035,-0.0182,-0.1285,-0.0189,-0.0384,-0.105,0.6044,0.0399,-0.1279,0.6024,-0.0986,-0.0536,0.167,-0.0753,1.9103,Control
C01,0.2819,-0.0386,0.3189,0.0776,-0.1645,-0.0617,0.1852,0.0026,0.0423,-0.0398,1.7078,-0.062,-0.0023,-0.0324,-0.1294,-0.1247,-0.196,1.3887,-0.0699,0.194,0.0011,-0.0988,0.5572,0.6582,-0.1037,0.0683,-0.0839,-0.0187,-0.1124,-0.0189,0.8022,-0.0406,0.0052,1.6154,0.0686,-0.0355,0.0317,2.7168,1.7966,-0.2028,1.0546,-0.1132,0.6847,1.0332,1.9339,0.4383,0.2402,1.499,-0.0685,1.7176,-0.2199,-0.028,0.5989,2.4614,0.005,0.0155,0.0124,-0.0495,-0.0702,0.5661,-0.0178,-0.0128,0.8136,-0.0789,-0.0405,0.1528,-0.1098,1.58,BRCACancer
C02,0.4537,-0.0014,0.3297,0.1041,-0.1002,-0.0596,0.205,0.1406,0.025,-0.0124,1.7071,-0.0715,0.0801,-0.0106,-0.0901,-0.0886,-0.1545,1.1169,0.0038,0.1482,0.0579,-0.0717,0.5124,0.5762,-0.0762,0.116,-0.0142,0.0055,-0.0994,0.0062,0.5312,0.0317,-0.043,1.631,0.0877,0.0856,0.0542,2.9549,1.5019,-0.1654,1.0889,-0.0263,0.6323,0.9069,1.6487,0.5255,0.1931,1.2044,-0.0306,1.7717,-0.1164,-0.0034,0.5092,2.3715,0.0103,0.0148,0.1311,0.1111,-0.0293,0.6705,0.0139,0.0251,0.7446,0.045,-0.0133,0.253,-0.0718,1.3461,BRCACancer
C03,0.5637,-0.0056,0.4415,0.1025,-0.1009,-0.0441,0.2683,0.1248,-0.0144,-0.0064,1.8793,-0.1068,-0.0069,0.0443,-0.1411,-0.1153,-0.1546,1.3337,-0.0269,0.1063,0.0593,-0.0707,0.6953,0.5902,-0.0903,0.1584,-0.0637,-0.0105,-0.1339,-0.0576,0.6598,-0.0246,-0.0288,1.6581,0.1548,0.0161,0.1371,2.8229,1.5147,-0.1529,1.1527,-0.038,0.7622,1.1291,1.846,0.5881,0.2277,1.3542,-0.0075,1.9121,-0.1234,-0.0245,0.541,2.4307,0.0049,0.0685,0.138,0.1079,-0.0742,0.7107,-0.0779,0.0804,0.9793,0.0316,-0.0618,0.2602,-0.1093,1.6334,BRCACancer
