@relation data

@attribute id string
@attribute 23169 numeric
@attribute 7358 numeric
@attribute 7360 numeric
@attribute 7363 numeric
@attribute 7367 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.2785046258,2.2365244479,0.6616171403,-0.2121124591,-0.0962539443,BRCA
GSM481003,0.0665125143,1.9874361891,0.3880148977,-0.1256563828,-0.0842307139,BRCA
GSM481004,0.0833760723,1.8657788941,0.4700412273,-0.1349669725,-0.0850919253,BRCA
GSM481005,0.2465488742,2.7006301207,0.9003476574,-0.1150697751,-0.0451880510,BRCA
GSM481006,0.0882896964,2.6225316746,0.8564451805,-0.0919221442,-0.1436340136,BRCA
GSM481007,0.0405883084,2.0715633314,0.4364703491,-0.0882182437,-0.0111406069,BRCA
GSM481008,0.0595258983,2.6296842805,0.5649071467,-0.1635736044,-0.0905286293,Control
GSM481009,0.0629010418,3.1472170354,0.4039630862,-0.1308127437,-0.0163137240,Control
GSM481010,-0.0029043004,2.5327712614,1.2861410024,-0.1056606520,-0.1018224571,Control
GSM481011,0.0105521748,2.1196054201,0.4093329090,-0.1457992264,-0.0463264186,Control
GSM481012,0.1053085331,2.2135863211,0.8383542529,-0.1972912079,-0.0854950804,Control
GSM481013,-0.0472314776,2.3714138195,0.3891849156,-0.0876232781,-0.1254279501,Control
GSM481014,-0.0130318826,2.8149989099,0.5577192924,-0.1122836885,-0.0842493333,BRCA
GSM481015,0.1350362306,2.1545671857,0.3779156431,-0.1456721369,-0.0932158169,BRCA
GSM481016,0.3269035312,2.6596886590,0.8983935602,-0.1529431811,-0.0874464523,BRCA
GSM481017,0.2189984432,2.8403725775,1.2879396920,-0.1305233248,-0.1013469107,BRCA
GSM481018,0.0186772668,2.2804854661,0.3094654954,-0.2083821466,-0.0498806644,BRCA
GSM481019,0.1308797962,2.1576906519,1.5836426116,-0.0541784616,-0.0878603101,BRCA
