@relation data

@attribute id string
@attribute 11019 numeric
@attribute 51601 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3879010567,0.5137291750,BRCA
GSM480985,0.1594657308,0.7308667097,BRCA
GSM480986,0.2541681669,0.6055179821,BRCA
GSM480987,0.2475991433,0.3864354079,BRCA
GSM480988,0.0958341832,0.7113489249,BRCA
GSM480989,-0.0261645542,0.1449191389,BRCA
GSM480990,-0.0243008351,0.2069752630,Control
GSM480991,0.0623680339,0.2785565373,Control
GSM480992,-0.0272264048,0.0735852148,Control
GSM480993,0.0802847817,0.3113314198,Control
GSM480994,0.0855424913,0.3736934343,Control
GSM480995,0.1582120952,0.2010211350,Control
GSM480996,0.2360437190,0.2278780353,BRCA
GSM480997,-0.0663271994,0.1414955826,BRCA
GSM480998,0.1463786402,0.2725660007,BRCA
GSM480999,0.3372590629,0.7059471276,BRCA
GSM481000,0.0873676532,0.4574953514,BRCA
GSM481001,0.0191619269,0.2083985508,BRCA
