@relation data

@attribute id string
@attribute 10535 numeric
@attribute 10714 numeric
@attribute 1763 numeric
@attribute 2237 numeric
@attribute 23649 numeric
@attribute 246243 numeric
@attribute 3978 numeric
@attribute 4171 numeric
@attribute 4172 numeric
@attribute 4173 numeric
@attribute 4174 numeric
@attribute 4175 numeric
@attribute 4176 numeric
@attribute 54107 numeric
@attribute 5422 numeric
@attribute 5424 numeric
@attribute 5425 numeric
@attribute 5426 numeric
@attribute 5427 numeric
@attribute 5557 numeric
@attribute 5558 numeric
@attribute 56655 numeric
@attribute 57804 numeric
@attribute 5981 numeric
@attribute 5982 numeric
@attribute 5983 numeric
@attribute 5984 numeric
@attribute 5985 numeric
@attribute 6118 numeric
@attribute 6119 numeric
@attribute 6742 numeric
@attribute 79621 numeric
@attribute 84153 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.2182329484,0.4357111652,0.2286346384,0.5603754408,0.0878751939,0.8061566892,0.1838241033,0.1765569712,0.3221741178,0.2696559448,0.1908118588,0.2408619631,-0.0763715608,0.9672374982,0.0603612382,-0.1353485043,0.3578091349,0.1289825939,0.2126304446,-0.0795651324,-0.0325809552,1.4529183112,0.6588075593,0.3816795254,0.3153306678,-0.0087363862,0.7234004603,1.0373973295,1.0895283597,0.8919484507,0.5277239651,-0.0096038452,0.8765032091,BRCA
GSM481003,0.7286047115,0.2274992413,0.2264937060,0.8219027189,0.3134257992,0.5111068293,0.3464375852,0.6493146348,0.3883218722,0.4563017235,0.6564176812,0.1376091786,0.0657878104,1.1437503397,0.0027308773,0.0028041706,0.3861183389,0.0986170489,0.4597762505,-0.0982767486,-0.0169048130,1.9406039927,0.5469102347,0.2651754541,0.1976965829,0.0045687593,0.4106555960,1.0455711573,1.2547097305,0.9998522750,0.4123638195,0.0159523848,1.1246729646,BRCA
GSM481004,0.6266567967,0.4892555573,0.2075825795,0.9162611681,0.2231258520,0.7235932377,0.3192347430,0.8534291757,0.4230842292,0.4408148461,0.5215240136,0.1511559193,0.0393371232,1.0411094329,0.0486587746,-0.0832465394,0.3749461847,0.1504041588,0.1190198336,-0.0912889238,-0.0756952716,1.8536115075,0.3739375479,0.1874095585,0.2921950936,-0.0067063898,0.7671577072,1.0033372874,1.1900032758,0.8835284437,0.3874199155,0.0391798627,1.1155549222,BRCA
GSM481005,0.4535938985,0.4787933329,0.2353742969,0.7042628014,0.1721082739,0.4532554739,0.1440887718,0.4252725690,0.2716857038,0.3561679962,0.1602804588,0.2540275803,-0.1030659234,1.2541826776,0.0227510889,-0.1238241902,0.2782131666,0.0754759258,0.2927482680,-0.0960048779,0.0541239166,1.5271951896,0.5725545524,0.5792565216,0.1621993348,0.0302901914,0.3827385456,0.8526280613,1.6216202178,0.6504926867,0.5585462036,-0.0496309941,1.1857030915,BRCA
GSM481006,0.4169649331,0.7219746874,0.1177017895,0.6144349980,0.1153987155,0.5151303501,0.3943760182,0.4806833156,0.1731166790,0.3756774217,0.1411956067,0.1725004707,0.0273663734,0.8961455804,-0.0420513736,-0.1093718979,0.3756188528,0.0471575968,0.2969489769,-0.0376998961,-0.0124659330,1.2811197191,0.7732842431,0.4449059242,0.2121967876,0.0378120298,0.6132007042,1.0749186548,1.2139846680,0.6832653410,0.5054190880,0.0090161094,0.8032719894,BRCA
GSM481007,0.1694637716,0.0016192900,0.2593151536,0.5070784445,0.0960486509,0.5545644562,0.4042738268,0.6808394640,0.1987711458,0.3747202562,0.0791026834,0.1134327814,0.0606442358,0.8934663888,-0.0358105850,0.0210265649,0.3911774081,-0.0756570313,-0.1149137928,-0.1368291117,-0.0834962379,2.1343841469,0.7441768796,0.3915002394,0.2412814564,-0.0242566722,0.5289818927,0.5846992452,1.0277428528,1.1128185045,0.3107643388,0.0238596242,0.9415444391,BRCA
GSM481008,2.0850075856,0.8999093904,0.4549021708,1.6515556350,0.4340666698,0.6836503391,1.1808935257,1.9233120830,0.9942466053,1.2343148517,2.0993367582,0.9348834902,0.7474286042,1.3376797364,0.1874638443,0.5310698947,0.5350037411,0.2799521475,0.7624854082,0.2419769994,-0.0534626984,1.8494437806,0.4578721970,0.6097803118,0.8295181207,0.2028517701,1.6502472160,1.2286708913,1.3371553920,1.6374257505,0.3719501790,0.1449865975,1.7552036275,Control
GSM481009,0.3341650115,0.3607809759,0.0977629225,0.4189390297,-0.1304075974,0.4484771028,0.0301794068,0.0956283484,0.1254777834,0.3314000392,-0.0305741900,0.2226989590,-0.0922884811,0.7847423981,-0.0327812024,-0.3359343167,0.1465625460,-0.0717729988,0.0250910065,-0.1071946226,-0.1098337934,1.1411041704,0.3970553539,0.3624271641,0.0296385280,-0.0177333261,0.4518495524,0.8489706275,0.8575766770,0.6228027097,0.3571535260,-0.0244086141,0.4923713628,Control
GSM481010,0.7312766556,0.7100994288,0.1722550709,0.9077929461,0.1652347021,0.5145174607,0.3504717362,0.6307177002,0.4082824711,0.4358616832,0.6026557744,0.4611468999,0.0634123954,1.3174293785,0.0435483375,-0.0939168603,0.2753915236,0.0356376837,0.4402461331,-0.0654773861,0.0461212377,1.6260069865,0.4094827466,0.7186442502,0.3255983432,0.1257149231,0.7624567913,1.0612251826,1.1413293185,0.9416430375,0.5087472350,0.1197865725,1.2575287889,Control
GSM481011,0.7898942025,0.0915678958,0.2750019096,0.9206070718,0.1211855995,0.5616720774,0.2604394792,0.3785834368,0.2690474956,0.2993407611,0.5016609616,0.1877087231,0.0178071807,0.9671969189,-0.0011738166,-0.1571170169,0.3933382846,0.0471152081,0.0915094231,-0.1127375636,0.0537881824,1.8634439494,0.6017916450,0.1393381451,0.2367916029,0.0021528411,0.6490977473,0.6507059951,0.9716276427,0.9736804315,0.4394402715,-0.0431124410,1.2748249721,Control
