@relation data

@attribute 994 numeric
@attribute 1022 numeric
@attribute 993 numeric
@attribute 4750 numeric
@attribute 1111 numeric
@attribute 7465 numeric
@attribute 1026 numeric
@attribute Class {Control,BRCA}

@data
8.3734885345,9.361681261,5.7113333935,8.358696387,6.612872643,10.19591385,11.459753229,Control
8.122874722,9.155780297,5.580948299,8.293794782,6.363920643,10.02692145,8.288611166,BRCA
7.833169232,9.394656215,6.1523191905,8.159506991,7.245317684,9.985543523,8.320702773,BRCA
8.242668288,9.99050151,5.697363916,8.961580736,6.97286817,9.827049342,8.2000896335,Control
7.873025333,9.627078354,5.9046360085,7.887511753,6.59529898,9.868004973,7.875076566,BRCA
8.1285894485,9.01498366,6.113079114,8.378404463,7.01111856,11.87540007,10.112371314,BRCA
8.1527838655,9.547121611,5.5721428055,9.267963593,6.009555025,9.557684409,7.8281740715,BRCA
8.2289934185,9.825825817,5.5654738825,7.941592183,6.619123639,9.923803275,9.436657679,Control
8.048147446,10.15470456,6.648397732,8.407417683,7.851094879,9.902390614,8.6840196725,BRCA
8.3509543715,9.154553037,5.7118445555,8.212400476,6.438214347,9.707877238,8.5305745065,BRCA
8.7201886955,9.6014742,5.91779079,8.303724962,6.638874358,8.911093174,8.836754421,BRCA
8.106706942,9.65659519,5.432572281,8.205415882,6.776897268,9.561431694,9.0515115425,Control
7.942992206,9.597587563,5.930654322,7.769244655,6.72451769,10.47980075,9.93093261,Control
8.4020917,9.617614907,6.061094089,6.980656926,6.864034824,10.95004389,9.024549301,BRCA
8.491969698,10.07000053,5.864740453,7.69282666,7.29489898,9.669284207,8.423284332,BRCA
8.6300583405,10.12919321,6.176494816,6.762884029,7.016031376,9.773922635,8.254945825,BRCA
8.4242110135,10.19591385,6.0364801365,6.881484531,7.104889949,10.22215524,9.9223698205,BRCA
8.149254864,10.21780056,6.3640118835,7.185572043,7.423160304,9.596921694,8.2659789275,BRCA
8.6019966815,10.13564553,5.8370662645,6.674831803,6.880137937,9.584314798,8.414155895,BRCA
9.1796482685,8.777182254,6.025769593,6.264447878,6.310890502,10.10111594,8.570169323,BRCA
