@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10298 numeric
@attribute 10319 numeric
@attribute 10398 numeric
@attribute 10451 numeric
@attribute 10627 numeric
@attribute 1101 numeric
@attribute 1277 numeric
@attribute 1278 numeric
@attribute 1280 numeric
@attribute 1281 numeric
@attribute 1282 numeric
@attribute 1284 numeric
@attribute 1286 numeric
@attribute 1287 numeric
@attribute 1288 numeric
@attribute 1289 numeric
@attribute 1290 numeric
@attribute 1291 numeric
@attribute 1292 numeric
@attribute 1293 numeric
@attribute 1301 numeric
@attribute 1302 numeric
@attribute 1311 numeric
@attribute 131873 numeric
@attribute 1398 numeric
@attribute 1399 numeric
@attribute 1499 numeric
@attribute 1729 numeric
@attribute 1793 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2002 numeric
@attribute 2064 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2277 numeric
@attribute 22798 numeric
@attribute 22801 numeric
@attribute 2316 numeric
@attribute 2317 numeric
@attribute 2318 numeric
@attribute 2321 numeric
@attribute 2324 numeric
@attribute 2335 numeric
@attribute 23396 numeric
@attribute 23533 numeric
@attribute 2534 numeric
@attribute 25759 numeric
@attribute 284217 numeric
@attribute 2885 numeric
@attribute 2889 numeric
@attribute 2909 numeric
@attribute 2932 numeric
@attribute 29780 numeric
@attribute 29895 numeric
@attribute 3082 numeric
@attribute 3265 numeric
@attribute 329 numeric
@attribute 330 numeric
@attribute 331 numeric
@attribute 3371 numeric
@attribute 3381 numeric
@attribute 3479 numeric
@attribute 3480 numeric
@attribute 3611 numeric
@attribute 3655 numeric
@attribute 3672 numeric
@attribute 3673 numeric
@attribute 3674 numeric
@attribute 3675 numeric
@attribute 3676 numeric
@attribute 3678 numeric
@attribute 3679 numeric
@attribute 3680 numeric
@attribute 3685 numeric
@attribute 3688 numeric
@attribute 3690 numeric
@attribute 3691 numeric
@attribute 3693 numeric
@attribute 3694 numeric
@attribute 3695 numeric
@attribute 3696 numeric
@attribute 3725 numeric
@attribute 3791 numeric
@attribute 387 numeric
@attribute 3908 numeric
@attribute 3909 numeric
@attribute 3910 numeric
@attribute 3911 numeric
@attribute 3912 numeric
@attribute 3913 numeric
@attribute 3914 numeric
@attribute 3915 numeric
@attribute 3918 numeric
@attribute 394 numeric
@attribute 399694 numeric
@attribute 4233 numeric
@attribute 4633 numeric
@attribute 4636 numeric
@attribute 4638 numeric
@attribute 4659 numeric
@attribute 50509 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 5154 numeric
@attribute 5155 numeric
@attribute 5156 numeric
@attribute 5159 numeric
@attribute 5170 numeric
@attribute 5228 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 53358 numeric
@attribute 5499 numeric
@attribute 5500 numeric
@attribute 5501 numeric
@attribute 55742 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 56034 numeric
@attribute 5649 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 572 numeric
@attribute 5728 numeric
@attribute 5747 numeric
@attribute 5829 numeric
@attribute 58498 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5894 numeric
@attribute 5906 numeric
@attribute 5923 numeric
@attribute 595 numeric
@attribute 596 numeric
@attribute 60 numeric
@attribute 6093 numeric
@attribute 63923 numeric
@attribute 64098 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6696 numeric
@attribute 6714 numeric
@attribute 673 numeric
@attribute 7057 numeric
@attribute 7058 numeric
@attribute 7059 numeric
@attribute 7060 numeric
@attribute 7094 numeric
@attribute 71 numeric
@attribute 7143 numeric
@attribute 7148 numeric
@attribute 7408 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 7414 numeric
@attribute 7422 numeric
@attribute 7423 numeric
@attribute 7424 numeric
@attribute 7450 numeric
@attribute 7791 numeric
@attribute 80310 numeric
@attribute 81 numeric
@attribute 824 numeric
@attribute 83660 numeric
@attribute 8503 numeric
@attribute 8515 numeric
@attribute 8516 numeric
@attribute 85366 numeric
@attribute 857 numeric
@attribute 858 numeric
@attribute 859 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 894 numeric
@attribute 896 numeric
@attribute 91807 numeric
@attribute 93408 numeric
@attribute 9475 numeric
@attribute 9564 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,0.7444360137,-0.0796705549,0.2969153779,0.0961183231,0.4329149295,-0.1457337679,0.3274698270,0.0578304728,-0.0842963397,-0.0277067070,0.1206448859,0.1617570012,-0.0485781644,0.1320036710,-0.0343059990,0.0155339099,0.0658800490,0.1209017527,-0.1688528511,0.6360145303,-0.1246051126,-0.1115475287,-0.1885957939,-0.0637077161,1.7323923409,1.2744317606,0.9433099893,0.7037939374,0.2016859578,0.6516626943,0.4345339728,0.2797568681,0.1590662479,1.9397812022,0.1866127024,-0.0629719339,-0.1267886296,-0.0965170566,1.4137831880,1.0073479920,0.0149031103,-0.1200183976,-0.0632519627,0.4116499636,1.2757258794,-0.0448427393,-0.0119043016,-0.1267139237,-0.1657973279,1.3452941188,0.3178953150,0.2518036054,1.2060972602,0.3420406629,-0.0825104880,-0.0906822892,1.0380567778,1.4761933286,0.7196765877,0.6591489996,0.2300594078,-0.0696442867,-0.0297777642,0.4079252350,1.0533246946,1.5895233715,0.1426907652,0.8780306708,-0.1136285241,1.0923797830,-0.0461405370,0.9300875217,-0.1346291925,-0.0525909742,0.3266050723,0.1778868698,-0.0655429406,0.5317557791,1.4327196976,0.4322272777,0.2677830725,0.6622457820,0.7463167697,0.7957299153,1.9894220193,-0.0784953023,0.1379500334,0.0119502894,1.2690671645,0.4863617653,1.1461898024,2.8730801045,1.0428791835,1.2228085171,1.6987377848,0.9685201588,0.8759700277,-0.1103945201,0.3339006490,0.5541366695,1.7265539813,-0.1126808740,0.3334267199,1.9176566821,0.2940123944,0.9836430031,0.1111394250,0.1106841764,-0.0511229581,0.7530524665,0.0673178224,0.6502234032,0.0817053106,0.1255568270,-0.1624264398,0.7694715564,0.5895123826,-0.0920968584,1.8940309816,2.7014698649,3.1685768234,0.4899523735,0.1474579691,-0.1072664774,-0.0825690696,0.5276523813,0.4586358647,0.7139937217,0.6164951165,-0.1298536299,1.0886658402,-0.0839421520,0.6115640560,-0.1086105190,0.2177100353,0.2529164747,0.3606912876,0.6176301669,-0.1533301767,2.7923812542,0.8595501635,-0.0037733043,0.6409841057,0.5759782564,-0.1038069789,1.5825335458,0.0813294935,1.9831620881,0.0312767470,-0.1173343774,-0.0755070757,1.9096234484,0.1797246685,0.5492388602,0.2177094128,-0.0230143287,0.3043230119,0.7807964061,0.3932873070,0.1708268752,-0.0471005226,0.3349262315,3.6226621756,0.0098719060,0.0742229731,0.4870980292,0.1073409411,-0.0013073965,1.4682459658,1.3665688769,0.0686248548,0.8612987929,-0.1005556820,0.8983925618,-0.0268816207,0.8557089394,1.5374995036,-0.0021476852,0.8580704628,0.1092547790,-0.1266479619,-0.0205399986,2.9090592596,2.5915459604,-0.1126525656,1.9086507757,-0.1027024567,-0.1061069645,0.3573680105,1.6426802428,-0.0589534636,-0.0164755607,-0.0796944764,0.2600470403,0.2693405723,BRCA
GSM480985,0.6712534413,0.6800185540,-0.0675047906,1.2289843920,0.5367252741,0.5741717123,-0.1187169944,1.0722436029,1.0740057206,-0.0916752003,0.7385366171,0.1024053941,0.3574818842,0.0682805988,0.3197791149,-0.1342293939,0.5991697517,0.6836575481,0.2890480000,0.0371414306,1.9121247233,0.1606231463,-0.1110232387,-0.1265682912,-0.1201832846,1.8688574894,1.0173018566,1.1109306672,0.5441041401,0.2490958688,1.2256539837,0.3325850749,0.3031341848,0.2177298777,1.4054429928,0.2867683454,-0.0129602510,-0.1616244048,-0.0919953969,1.5385420131,0.9137208311,0.3142425959,-0.1143669526,-0.0059183584,0.9644421138,1.3927584953,-0.0263181581,0.0315317513,0.3819071553,-0.1245732820,1.1583383579,0.4014708128,0.3546478246,0.8787267861,0.1329531121,-0.0431672486,-0.0898872891,0.5481084954,1.9360077248,1.7912453411,0.7464130471,0.6289087936,-0.1292853378,-0.0726949804,0.3550249918,1.3253519914,1.0445313049,0.0353192445,1.1276842743,-0.0775705003,1.3436165197,0.0015946848,0.9723499517,-0.1524036423,-0.0685593701,0.7101749634,0.1802411383,0.0941074097,0.5638625549,1.5330609464,0.4256975104,-0.0354555250,0.7598147792,0.9612028782,0.8631412884,1.8852531751,-0.0947870443,0.0312214195,-0.0298606013,1.4599158875,0.9241646117,1.9219437307,2.4061888755,1.1963308777,0.8882103669,2.1282451339,1.4703030177,0.7798522333,-0.1304085681,0.2557641288,0.6572212968,1.7172242928,-0.0590159904,0.5376056928,1.5525041097,0.9674722773,0.8162365453,0.1417041606,0.7138120158,0.0697612964,0.6827738690,-0.0204180353,0.8534231111,0.1992576002,0.3438852307,-0.1454714285,1.5476133191,0.4284647065,0.0089354969,1.3149515258,2.9909083748,3.0398633216,0.6221619517,0.0900841358,-0.0931613796,-0.0522140021,0.4521202200,0.5649788797,0.7487222366,0.6136501327,-0.1761504112,1.1290601162,-0.0459320055,0.2890646078,-0.0886895525,0.2315313540,0.1930055995,0.4434307657,0.4716516466,-0.1523001493,2.9129755730,0.7016111224,-0.0928695901,0.6127393824,0.6223576221,-0.0771098375,1.5935095322,0.1096045168,1.6668235234,0.0755929606,-0.1843704949,-0.0727339709,1.9413004944,0.2011654340,0.6409502427,2.1389200290,-0.0673303304,0.3713752488,0.8786496086,1.1186759538,0.6906665528,-0.0798309424,0.3543325623,3.7874552336,0.0440220284,0.0574071825,0.1326151800,0.1538996255,0.0045720668,1.6274614056,1.2024457616,0.1525115207,0.9331703361,-0.1352612934,0.8285193033,-0.1189935130,0.7819419997,1.7509559828,0.1433660957,1.1287610356,0.3972568138,-0.1284395039,-0.0418416476,2.6463640332,2.6767084109,-0.1956047171,2.2563728540,-0.1399921106,-0.0963063285,0.1432181572,1.4025407806,-0.1240296889,-0.0011372490,-0.0687286226,0.2547651702,0.2437138550,BRCA
GSM480986,0.3637514705,0.9048564412,-0.0986189611,0.4599690320,0.4511935614,0.5925924801,0.0139635027,0.1451111031,-0.0803552719,-0.0920874155,-0.1187075144,0.1571395738,0.4284097366,-0.0003269257,0.4033968100,0.0435658686,-0.0324737648,0.0340204159,0.2922329996,-0.0309096638,0.0264813202,-0.0819271886,-0.1021079721,-0.1488533476,-0.1381592705,1.9836026755,1.3584635346,0.9477347201,0.7493845811,0.0976221615,0.4262836435,0.3517915079,0.3711583552,0.1366518380,1.7577156492,0.2145363198,-0.1302052508,-0.1311915818,-0.0533097785,1.5913229489,1.1184008816,0.0526115424,-0.0964991849,-0.0579915325,0.2839689288,1.5559316410,-0.0236322101,0.0265829566,-0.0935982563,-0.1338378936,1.5127595663,0.4010225801,0.3488900970,1.3099040800,0.4528876995,-0.0145604891,-0.1205275572,0.9493732134,1.3394183649,0.7991103493,0.8325190790,0.2971674186,-0.0665622469,-0.0318582082,0.3144797006,1.1013028091,1.4131523895,-0.0074317108,1.1020021171,-0.0547917037,1.5552540933,0.0710682853,1.2477214833,-0.1314347821,-0.0618882411,0.5018700799,0.1151252413,-0.0747055229,0.5565157449,1.6527627745,0.4736345764,0.0656593170,0.6320545663,0.9059672051,0.5989148169,2.0062507787,-0.0920199818,0.1543111797,0.0227544954,1.4495338406,0.7442467228,1.3165270289,2.7993401586,1.1638828762,1.4813584436,1.4843510525,1.0006550774,0.9021996147,-0.0524439803,0.0931041796,0.6469340230,1.6410768640,-0.1201027680,0.5214103467,2.0052070367,0.4927383830,1.0151979217,0.1096048629,0.1403553155,-0.0249111570,0.6777039026,-0.0447395305,0.3758222094,0.0859145318,0.3109857890,-0.1337267348,0.9370587028,0.9117966590,-0.0258225916,1.8601526020,2.6549670554,3.1685580942,0.6586867693,0.1559347632,-0.1167993353,-0.0710934066,0.5276161861,0.5706250406,0.7966307569,0.5081571897,-0.1388460667,0.9183458069,0.0000665217,0.3945332915,-0.0471249062,0.3771760837,0.1655263530,0.2375885064,0.6545756165,-0.1652055924,3.0052631994,1.0316260259,-0.0443309298,0.4839221177,0.3411915212,-0.0858192758,1.9378681357,-0.0262396362,1.5463190164,0.0069230790,-0.1409965948,-0.0522991755,2.0243224118,0.0952468054,0.4793911673,1.3887420694,-0.0464315283,0.3954231461,0.8583921324,0.4738288340,0.2894723339,-0.0423304369,0.3472165334,3.6462782948,-0.0331180110,0.0323554560,0.3788658783,0.0129711927,0.0373677311,1.6394084916,1.2605346517,0.0833565186,1.1830323526,-0.0967900607,1.0727072134,-0.0124066453,0.5835656012,1.6413515536,0.2743312214,0.9668687962,0.0716069211,-0.0930490954,-0.0402566179,3.1166261037,2.6504969948,-0.1691494406,2.0866372263,-0.1202194508,-0.1493002576,0.7189214824,1.5648168326,-0.1231819661,-0.0086052558,-0.0732849970,0.3452177938,0.2337614380,BRCA
GSM480987,0.4741756265,0.5215355268,-0.0398789424,1.0110833760,-0.0624555265,0.4734868335,-0.1118373137,1.9734013707,2.4683750462,-0.0792982461,2.2193185563,1.2825283761,0.9133396048,-0.0280876425,-0.0148904576,-0.1230738403,1.6132985542,2.0930396530,0.9180735428,1.2106621109,3.6225910635,0.0640302088,-0.1252520739,-0.1636390826,-0.0671484381,2.0277992866,1.4724773936,0.7213038760,0.4197907550,0.0780553671,0.0239258781,0.1587947994,0.3778557302,-0.0431674495,1.6769249506,0.2593453904,0.0969642452,-0.0837386312,0.0988554610,1.6446021437,0.6381288879,2.0253902710,-0.0895480546,-0.0555419659,1.7582515876,1.4418686050,-0.0190172376,0.6367091207,0.0235757916,0.1396489982,1.4599798470,0.3367471980,0.2890557646,1.1273281686,0.5643936087,-0.0285129980,-0.0090221537,0.6616964770,1.0348310271,-0.0337228885,0.7040909265,0.2546661882,-0.1004747844,-0.0316742232,0.2098507082,1.1396798161,0.1342354619,0.0280109981,0.1360387512,-0.0518896750,0.1364817783,0.0973028606,2.4249016445,-0.0463094629,-0.0577306183,0.3068092785,0.0755187708,0.1449871157,0.1239360439,1.8311757351,-0.1678098129,-0.1750797953,-0.0621140206,1.2356612913,0.0024008016,1.8972162525,0.0581427524,-0.0761966856,0.3509984576,0.2552540119,1.6303720097,1.2436368333,0.2897317523,1.8314339920,0.2405148361,0.9749449359,0.1082936110,0.2276951068,-0.1087796988,0.3262296810,0.4042619580,1.4455049336,1.3327636150,0.4951465396,1.8267602669,0.1303720306,0.3447195155,-0.0844146820,0.5136479330,1.6619171948,0.5721121385,0.0734348032,0.4246866423,-0.0142156617,0.3279566426,-0.1022734639,0.9460729968,0.7047411791,0.2858547368,1.3803235757,2.4641138791,3.2913799816,0.8490934424,0.0835026311,-0.1432857454,-0.0616863377,0.4570317386,0.5260457562,0.7170214796,0.3891538004,-0.0662291722,0.7650982737,-0.0049066360,-0.0295104620,-0.0378936660,0.1247138026,0.0919696689,0.2307216385,0.3087009139,-0.0741597050,3.1002503070,0.6193592016,-0.0792779010,0.3882937707,0.3683751977,-0.0868379885,1.2294952867,0.1066961603,1.5882334240,0.0234027272,-0.1469495694,-0.0906312226,1.9975022057,0.0700896732,0.1445394283,-0.1098017574,-0.0569087189,0.2871097813,0.0778492043,3.6860260434,0.0506128571,-0.0087590822,0.5924646768,3.9579671080,-0.0409260631,0.1087314343,0.0768386433,-0.1229293533,0.0506385963,1.4971761177,1.0447641260,0.1967300554,0.7070286259,-0.1240961764,1.2259049601,-0.0200631739,0.1960985186,1.6044461300,0.3091196057,0.1919102957,0.4644670712,-0.1019112105,-0.0787319230,3.0037628079,1.4394032535,-0.1649246686,1.9076936618,-0.1064028313,-0.1212047814,1.1189205793,1.1219945923,-0.0423486412,0.0032414250,-0.0519221399,0.4364242047,0.2226472523,BRCA
GSM480988,0.3666419161,0.9508889556,-0.0617412134,0.3045283796,0.3249056081,0.2204826071,-0.0883606749,0.2451521079,-0.0702087163,-0.0993234109,-0.1358704105,0.1152882675,0.3064220885,0.1296488376,0.2849267037,-0.0295574355,-0.0347575470,0.0092139999,0.1449651504,-0.0097191192,0.0452819411,-0.1137281371,-0.0633943444,-0.2000510053,-0.0751479711,1.5429041887,1.2323150354,0.8318137222,0.4184546616,0.1084980830,0.3245137288,0.1726689534,0.1301916772,0.1687270667,1.1675294143,0.1712146028,-0.0832899991,-0.1022979560,-0.0306326698,0.8170455885,0.8348067112,-0.0526661786,-0.1162861438,-0.0721913572,0.0534828736,1.5323834520,-0.0933597851,-0.0273392516,-0.0450046172,-0.1101400175,1.6300611323,0.1791264165,0.3516025900,1.5309302174,0.2201563917,-0.0413609089,-0.0750667196,0.4589619954,1.0180345278,0.5330373620,0.2873332743,0.2720291912,-0.0964058157,-0.0315514604,0.2816516543,1.0330240380,1.0071759766,0.0697572162,0.8316011712,-0.0438940025,1.2964080999,-0.0622308738,0.9573691587,-0.1220452903,-0.0798689622,0.3357796439,0.1863922891,-0.0725438198,0.3697716742,1.6181330162,0.1826989257,0.0897573340,0.5768431955,0.5378554523,1.0063791970,1.6231118301,-0.0814858217,0.1022720824,0.0000085980,1.8156353834,0.7134743102,1.2713173296,2.2089852541,1.2746195192,0.8094071345,1.5539485991,1.2316838800,0.6423381358,-0.0551052652,0.1553012846,0.3890996335,1.4653990924,-0.1536124097,0.4710813121,1.9803916247,0.2542246198,0.7083761824,0.1243722733,0.3558236213,-0.1096154724,0.3119734156,-0.0289066475,0.5025178531,0.1213094126,0.3674768847,-0.0889533257,0.6583551200,0.6638981731,-0.0533301838,1.2907627622,2.4521004939,3.1034910150,0.4724213741,0.0817065693,-0.0806064152,-0.0384889170,0.4923907940,0.4829891018,0.6912962379,0.5512484685,-0.0789457363,0.7607839022,-0.0579604018,0.4609995752,-0.0761343380,0.0354253387,0.1527773529,0.3012423917,0.5326055884,-0.1144527541,3.0203843170,1.0542960657,-0.0808153128,0.4704262694,0.1660498078,-0.0390103232,1.0011213121,-0.0332379836,0.7069784941,0.0022991031,-0.0283503109,-0.0445064875,1.9610705971,0.0896705153,0.3725107078,1.3626062470,-0.0468429086,0.2504118828,0.5305066860,0.2420938261,0.3373033951,0.0140038898,0.3568265384,4.0240748362,0.0269716861,-0.1043775818,-0.0151271418,-0.0868716438,0.0609464488,1.5831342597,1.1743175082,0.1766428340,0.8957621546,-0.1385931212,0.7072099801,-0.0519959615,0.6675415863,1.6884383965,0.2802915609,1.0844853694,0.2152365428,-0.0711201752,-0.0445927659,2.9258966446,2.5779942484,-0.0396181529,1.9844101221,-0.1170340794,-0.1168790694,0.1301903638,1.1882289050,-0.1004713394,-0.0175715030,-0.0317350667,0.1747193907,0.1930281139,BRCA
GSM480989,0.2517094096,1.1523790095,-0.0282760009,0.8889694709,0.1505207717,0.2322244334,-0.1553960081,0.1720103051,-0.0465266853,-0.0828457875,-0.1046818197,0.0023976691,0.2114621343,-0.0788148742,0.1264852435,-0.1317963801,-0.0206390256,-0.0460088931,0.2369972344,-0.1861017614,0.0920736688,-0.1190775812,-0.1083698321,-0.2807606428,-0.1311550969,1.7117121220,1.5450224582,0.9154817797,0.8197797026,0.0041278873,0.6720767098,0.2135165615,0.4043724635,0.1614523797,2.3074461223,0.2270790681,-0.2187389196,-0.1269130425,-0.0588972108,1.4999871135,1.0012124331,0.0572505829,-0.1442647197,-0.1158366496,0.1024411910,2.0667102402,-0.0318046184,-0.0600568494,0.0840967809,-0.1714066644,1.6843677122,0.4287965108,0.3362449299,1.3318944331,0.3941425167,-0.1098221238,-0.0368859072,1.1103506463,0.5974664341,0.3198674378,0.4871916152,0.1270649689,-0.0187171672,-0.0311918096,0.3475496019,1.5353041391,0.9411138160,0.0137452483,0.4326143382,-0.1319063450,1.2272431041,-0.0301781461,1.2722444337,-0.0878284545,-0.0407345896,0.1799703843,0.1971728543,-0.0753753271,0.7903764260,1.6220573679,0.1283526309,0.0087692556,0.3919599233,0.5993327181,0.6803208704,2.4842128198,-0.0910003342,0.0753549911,-0.0230004254,1.4282411070,0.2128306846,2.0620698134,2.7516675143,0.7965289747,0.9261939702,1.0857525966,0.8857075591,0.7024636094,-0.0488451482,0.0759782588,0.4228847174,1.2460059362,-0.1843430687,0.5198385118,1.8099314634,0.1801736687,0.9575855513,0.0830807900,0.1486610471,-0.0582257844,0.6968581951,0.1523999498,0.3040667095,-0.0454611126,0.2117079990,-0.1893403782,0.5104212239,0.8988893313,-0.0157028841,2.4784270126,2.2944378067,3.1681633526,0.4928570789,0.0811992555,-0.1211765001,-0.1123442115,0.4168803811,0.8519349658,0.5911021925,0.2192373374,-0.0408563306,0.5987844912,-0.0426080965,0.3935015834,-0.0274831994,0.5766588003,0.0676769989,0.1835803039,0.6901691206,-0.0985118964,3.3091132243,1.1131860649,0.0289643569,0.4437155496,0.2493194217,0.0485742937,1.7276778767,0.0373846114,2.0641681383,0.0616616788,-0.0372722916,-0.0514655409,1.9755967301,-0.0037837656,0.2630944657,0.5202994129,-0.0013073004,0.2245239546,0.5293077247,0.3304908373,0.1493101121,0.0237075466,0.4247063940,4.1692070311,0.0874527934,-0.0032531122,0.5194235196,0.0192166491,-0.0004577507,1.4356221762,1.3540151653,0.2277008619,0.8898641691,-0.1692576788,0.9382903316,-0.0339701888,0.4191104986,1.5784802766,0.0471261013,1.0210926999,0.1298992306,-0.0661659099,-0.0091691538,3.1815136539,2.3783141725,-0.1173327582,2.0251179983,-0.0949734952,-0.1589803841,0.3798023226,1.8467159717,-0.1046753035,0.0515841471,-0.1349797046,0.3450037575,0.2852107126,BRCA
GSM480990,0.3166647480,0.9801169453,-0.0829147305,0.2422347792,0.1058793579,0.3227437143,-0.1462897814,0.2065962950,-0.0535455872,-0.0505823002,-0.1207838239,0.3157544133,0.5032480955,-0.0072702441,0.2984222376,0.0574288082,0.8829774104,0.6657902116,0.1991717919,-0.0734545157,0.2409686194,-0.1273809042,-0.0666504970,-0.1743133251,-0.1296795578,1.7694421830,1.5518309150,0.8344820888,0.7343355472,0.0316733850,0.0702140510,0.2635990058,0.4692344638,0.1174184632,2.3939645291,0.2749733657,-0.1126115849,-0.1107037542,0.0057877811,2.0414946509,1.2906053571,0.5474388824,-0.0927688235,-0.0658284049,1.1363781366,2.0407628848,-0.0240894286,0.2139598701,-0.0595817923,-0.1184214449,1.6475978081,0.5643529125,0.2518712170,1.3889006043,0.5579209376,0.0509526024,-0.0446085129,1.1067612915,1.0544136399,0.2184910625,0.5567332020,0.1097291169,-0.0475802972,-0.0190866980,0.4230530610,1.2197129198,1.8012763822,-0.0386362766,0.7486818395,-0.1277256025,1.8876137479,-0.0030183041,2.4141955973,-0.0866388205,-0.0750151868,0.3144868271,0.2156330049,-0.0633891400,0.7551646513,1.4704585286,0.0259682311,0.0730921239,0.2736983915,0.9502829010,0.2770986104,2.3151370526,-0.1012775036,0.2174830034,-0.0706661165,1.4184938782,0.9299927092,1.1477989686,3.0937303010,1.0866727181,1.6579041505,1.1924122118,0.5482411422,0.5615265150,-0.0724117002,0.2631287480,0.5807186725,1.6243841780,-0.1432696590,0.6607572544,2.1385234782,0.5839403074,1.2329029113,-0.0246153800,-0.0732167417,0.0055968963,0.6259951810,0.5197653237,0.4307222246,0.1950829520,0.8327552467,-0.1406402458,0.5701667320,1.2032701898,-0.0456517972,2.2206121683,2.6859600878,3.1901607512,0.5800779909,0.1371517299,-0.1211324487,-0.0606057024,0.4040678319,0.5468216389,0.5124700949,0.1815268757,-0.1292774052,0.6595550065,-0.0624642645,0.6784652798,-0.0090193702,0.4847173588,0.1218786214,0.2556535407,0.8938638121,-0.1496168084,3.4219261243,2.0059911716,-0.0021857500,0.3387474729,0.3149603538,-0.1068342536,1.6585228148,-0.0140931005,2.1704076527,0.0384436129,-0.1097832041,-0.0406034483,2.5765053460,0.0120991491,0.3107558547,0.0239703139,0.0237829644,0.2258322309,0.6818625948,2.7857392100,0.0977478973,-0.1419418324,0.4164225238,4.4571284381,0.0457392001,0.0497414079,0.5918795068,-0.0486021041,0.0988269611,1.4810826326,1.2007730559,0.1460647002,1.3386224535,-0.1387461073,1.4263392164,-0.0994900212,0.4373111957,1.5348875898,0.1054017474,0.6030732589,0.0535662380,-0.1135226277,-0.1029091439,3.6002920601,2.2819700311,-0.0696738769,2.5694656123,-0.1425240105,-0.1736178855,1.5520711685,1.8123139142,-0.1323382383,0.0041956005,-0.1541326487,0.4471253923,0.1617002876,Control
GSM480991,0.2500861962,1.1151435263,0.0002752949,1.1277292678,0.2550788322,0.4741094713,-0.0617218697,0.2203413378,-0.0661137348,-0.1126934538,-0.1195115780,0.0312546151,0.2466490643,-0.0549827734,0.1832314988,-0.0132853633,0.0151529085,0.0907690979,0.2549896827,0.0126553976,-0.0850544810,-0.0865579691,-0.0670819099,-0.1893013819,-0.1190178329,1.7440137619,1.3442317928,0.9456861730,0.7343472865,0.0810099094,0.8736306505,0.2092083807,0.3822606292,0.2442998450,1.8290236989,0.2449685031,-0.0630702980,-0.1227075521,-0.0399675009,1.7985366823,1.1273177753,0.1266657435,-0.1118575621,-0.0764699977,0.1799461975,1.9069757064,0.0096481766,0.0233230338,0.0277510266,-0.1445896720,1.5652074934,0.5228143445,0.2927795558,1.2929992116,0.4783531724,-0.0039792229,-0.1119926799,0.9763167946,1.1403018867,1.0789077615,0.6502202311,0.2215685476,-0.0592899831,-0.0214013296,0.2360625108,1.3581732910,1.1261571220,-0.0280346625,0.7665665333,-0.1080194482,1.7791062337,-0.0114926056,1.4173520208,-0.1456563554,-0.0582129353,0.4358905889,0.1428165244,0.0115238073,0.6704476510,1.7379832630,0.3575059540,0.1206107850,0.5965266380,0.9142568514,0.7077580467,2.0687043151,-0.0200670710,0.1427268101,-0.0430522394,1.6278021410,0.5212772403,1.9404056471,3.1154187915,1.0365661437,1.1283380045,1.4794757110,1.4444417358,0.7570488190,-0.0667334538,0.2238825480,0.6529166640,1.5097076177,-0.1500720008,0.5980931108,1.9004271532,0.3437215163,1.0221306102,0.1555605578,-0.0021417977,-0.1018400040,0.7252390346,0.0515845982,0.3718392522,0.0580118667,0.4582523614,-0.1590461786,0.6246844594,0.9586069049,-0.0301297272,2.0201644632,2.5304952479,3.0472761524,0.6226573870,0.0569693500,-0.0960165404,-0.0531655469,0.5071865046,0.6482640730,0.7236467786,0.3723191662,-0.1158871563,0.7990539124,0.0413342212,0.3850563242,-0.0346813186,0.4295866277,0.1739077011,0.2348265328,0.6825946626,-0.0866331489,3.2534763878,1.3671808253,-0.1098704728,0.3654298311,0.3179211385,-0.0982043197,2.0593645064,-0.0490740068,1.9666513886,0.0374511476,-0.1027097198,-0.0666866870,2.1101571236,0.0441448208,0.3851343730,0.4934772337,-0.0323408361,0.2893171571,0.8245584206,0.2750927868,0.2869539791,0.0469225929,0.4066644799,4.1061814696,0.0179719049,0.0736889700,0.5054169691,0.1669772696,0.0497137843,1.7032585504,0.9592461894,0.1525863922,1.1394003779,-0.1547345949,1.3445614352,-0.0116307199,0.5193989678,1.6580978928,0.2331668194,1.0204976901,0.1413418746,-0.0800299452,-0.1167807288,3.1164287462,2.6848460435,-0.0821105779,2.2730862697,-0.1247259681,-0.1255262513,0.9200850685,1.7544829695,-0.0849281779,0.0233059949,-0.0669590193,0.3696721135,0.2150321878,Control
