@relation data

@attribute 5330 numeric
@attribute 23236 numeric
@attribute 5331 numeric
@attribute 2788 numeric
@attribute 10681 numeric
@attribute 2787 numeric
@attribute 59345 numeric
@attribute 2784 numeric
@attribute 2783 numeric
@attribute 2786 numeric
@attribute 2785 numeric
@attribute 2790 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 2782 numeric
@attribute 54331 numeric
@attribute 51764 numeric
@attribute 55970 numeric
@attribute 94235 numeric
@attribute Class {Control,BRCA}

@data
7.476788978,6.8772890085,5.876585242,8.735353884,6.888464479,8.440434347,7.4230773135,5.893611729,8.698011038,5.516024013,5.692518737,9.885094283,12.98372673,5.028139516,6.38362276,13.02719506,9.177283189,5.232287804,10.1038422,5.641987591,Control
7.453231788,6.8906417385,6.036839159,9.217703977,7.24025073833,8.487841164,8.3643319965,6.113748025,8.720142595,5.853378958,5.195063332,8.481901451,12.07225833,5.682862067,6.120295558,13.00956452,7.381134364,5.31868854,9.681370693,5.277995204,BRCA
7.462177348,6.771545835,5.98687237,10.16381668,6.84021840933,8.83146649,7.196995946,6.074361597,8.686203838,5.92077637,5.30807618,8.913937397,10.57663577,4.963487128,6.323194968,12.9979954,6.36768175,5.206732344,9.362086899,5.72110688,BRCA
7.601141445,7.226006717,6.1476177,10.21758854,6.610917172,8.646667718,6.7231615275,5.455665247,9.066695429,5.504788206,5.693773551,6.563810693,9.832676886,5.29683478,6.198794315,13.11510467,4.851263383,4.790526167,7.986995525,5.842043069,Control
6.773076963,6.848015995,5.887775801,9.669660678,6.84786461333,9.506942805,9.010303599,5.954086504,8.97289446,5.228252321,5.349976695,9.337042659,11.68740205,5.536217098,6.63172683,12.87743566,7.573687183,4.850263431,9.546605663,5.615159695,BRCA
7.658927519,6.727722821,5.94872421,9.433805075,6.695170111,8.217135121,7.9243325035,6.143337929,8.838889641,5.268482349,6.086619917,9.258413586,11.15310882,5.717272857,6.186714102,12.98372673,8.547261958,5.178725843,11.06412655,5.093825554,BRCA
6.111350232,7.4861886795,5.48205062,9.675551824,7.252915346,8.678425073,8.7523926965,5.821334729,7.985772397,5.66903474,5.86196234,6.875906358,10.10831572,5.442621133,7.026996771,12.64120964,6.049582442,4.959319531,9.132211242,5.486079796,BRCA
6.898937271,6.719520862,6.202570157,8.751335778,6.439102376,9.414337005,7.0132000305,6.338875075,8.510330132,5.967463325,5.380600673,10.49178825,12.76004735,5.865554662,6.403016818,12.98945487,8.11035427,5.229406468,10.18190731,5.42266296,Control
7.321975714,6.995146243,5.352274105,9.919504381,6.907508702,8.843419494,7.2793614545,6.092128797,9.04011237,5.496742949,5.789736585,9.495266002,11.3442156,5.659076304,5.886008211,12.96993872,6.738839176,5.411944154,9.085353696,5.104977394,BRCA
7.469827229,6.432879816,5.586623085,9.681765982,6.995387545,8.872952717,7.9356885615,6.563963185,8.934008606,5.619861398,6.135253322,8.717951507,11.6604752,4.958159726,6.083910741,13.02126635,7.211063618,4.607083101,8.350852048,5.034976365,BRCA
7.616550911,6.4844860445,5.199683385,9.226485123,6.97244898767,8.442664802,7.5026355755,6.530878866,9.350724377,6.298205225,5.346435058,8.286304921,12.94317143,5.704879743,5.994246645,13.00161496,7.365471921,5.452703528,7.23239964,5.091711732,BRCA
7.210454923,6.6696596965,5.628781795,9.260367468,6.389883566,9.163298157,7.2400353085,6.225261069,8.378404463,6.055397005,5.478819157,9.92562903,12.82636383,5.291135005,6.187456621,13.04989878,8.135274649,5.285412622,10.07238089,5.551986008,Control
7.225668073,6.8308282135,5.637792259,8.825389039,6.757115983,9.04801075,7.055096439,6.362562487,8.616586634,5.650485447,5.550447635,10.33248729,13.11366653,5.465820435,6.122264392,13.26893746,8.384871286,5.293711886,10.16363116,5.238988625,Control
8.314312607,6.0566410755,5.427447991,10.09517319,6.61616787567,9.210939846,5.9799251475,6.798118982,9.333972157,6.389270486,5.149758548,10.07411507,11.61680165,5.973617732,6.768981971,13.29995283,6.997860083,5.119782831,9.560920839,5.827953159,BRCA
7.715929611,6.1713175965,5.661643617,9.531343017,6.60558999133,7.763878152,6.9163256205,7.068028862,8.807251164,5.614423668,6.121642945,10.34356359,11.8968755,6.049636893,5.93841004,13.17700839,9.073024297,5.44062939,9.949207023,5.706262025,BRCA
8.095424881,6.211869299,5.276693226,10.26174268,6.784302337,8.979483163,6.976093136,6.86950478,9.157436075,6.663917843,5.995773509,9.641921287,11.32190853,5.732683853,6.655642073,13.33363132,6.821203566,5.110625549,8.788074828,5.641409649,BRCA
8.03491053,5.8868527975,4.800655715,9.81791145,6.51405773367,9.24482828,5.6412905805,7.120059311,9.539954171,6.132685436,5.836183727,9.90199107,11.52829551,5.542111953,6.354827336,13.36856584,6.808678261,5.023045997,8.870851027,5.59381033,BRCA
7.95691498,6.0972822555,5.321757891,10.64035818,6.433898499,9.252961701,6.3980360365,6.63161771,9.306620611,6.202227307,5.527642182,10.08386525,11.49170796,5.655216748,6.385522173,13.36355512,8.086854242,5.24660879,8.673027334,6.083006551,BRCA
8.341164221,6.0356141115,5.532793245,10.08672709,6.36224381667,9.485326755,5.8819921345,7.036891003,9.583727381,6.371171674,5.981059894,10.49650957,11.7674087,6.118635505,6.586919049,13.29267684,7.432878264,4.808142121,9.538005127,5.938762876,BRCA
8.136146677,5.0579964415,5.255700175,8.329326713,6.073822667,9.799800123,5.8308617525,6.360983667,9.930146364,5.59724157,5.052688948,7.075401932,12.75033439,5.537615426,5.687628504,13.38150649,6.412997934,5.077041333,9.576399845,6.034420016,BRCA
