@relation data

@attribute id string
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5573 numeric
@attribute 5575 numeric
@attribute 5576 numeric
@attribute 5603 numeric
@attribute 814 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 891 numeric
@attribute 914 numeric
@attribute 915 numeric
@attribute 916 numeric
@attribute 917 numeric
@attribute 919 numeric
@attribute 983 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.6055969648,-0.0123531642,1.9211698879,0.3766967951,0.0642130354,1.5197282433,-0.1062511549,-0.0635502934,-0.0643923931,0.6420336235,0.1409569047,1.6099218839,-0.1000882763,-0.0947839043,-0.2453502594,0.0172649335,-0.1217983118,1.5315232102,BRCA
GSM480985,0.7695002645,-0.1038192192,2.2771025042,0.1234466186,0.0309261780,0.8917866104,-0.1264687864,-0.0360112713,-0.0954384340,0.7133841506,0.1554803168,0.5083322379,-0.1162363733,-0.0976470362,-0.1420515836,-0.0755412145,-0.1453095515,0.5325953874,BRCA
GSM480986,0.7078176651,-0.0887387330,2.0198128103,0.5190979345,0.1662764031,1.3150411108,-0.1107559652,-0.1068710505,-0.0770829322,0.6441054073,0.1217694167,1.5251714177,-0.0409475534,-0.1025164721,-0.1836532933,-0.0764585939,-0.1005907862,1.0733144594,BRCA
GSM480987,1.0939444790,-0.0234222412,1.9039099027,0.3223923260,0.1367199314,0.5668156716,-0.0822204906,-0.0885894268,-0.0640990646,0.8422779248,0.0131572660,0.9127785694,-0.0522814584,-0.0586565112,-0.1135724699,0.0434554065,-0.0885654808,0.5592251090,BRCA
GSM480988,0.5631931945,-0.0202760463,1.4926301568,0.1654808719,0.0300146427,1.2879227399,-0.1005794919,-0.0432362018,-0.1012624690,0.6047102776,0.1260813951,1.3155103103,0.0564557209,-0.1690102578,-0.0861505206,-0.0714377011,-0.0758738198,1.2855403286,BRCA
GSM480989,0.3538124809,0.0047141360,1.9109501814,0.3053653154,0.1146072071,2.1237873399,-0.1560957574,-0.0476141433,-0.1131204681,0.5547810792,0.1083134365,1.5206583849,0.0187507356,-0.1072041952,-0.2747554749,-0.0726881843,-0.1262440262,0.8374702217,BRCA
GSM480990,0.7935236208,-0.0195084080,1.8563018972,0.3795540563,0.0994964334,1.1991209335,-0.0154691427,-0.0387971694,-0.0783020266,0.5480292028,0.0558532586,0.9279535208,0.0356717811,0.0162873660,-0.0756518555,-0.0923157431,0.0351502841,0.8005220020,Control
GSM480991,0.6564376624,-0.0500267771,1.9251870017,0.3763965595,0.1652794271,1.5476096728,-0.1178059007,-0.0434597657,-0.0664389667,0.5891530063,0.1548473247,0.5849728780,-0.0413351972,-0.0287864372,-0.1731978334,-0.0621004389,-0.0616410336,0.3363024906,Control
GSM480992,0.5008515699,0.0557855016,1.8326816315,0.3750074824,0.1510298427,1.8157576812,-0.1482992642,-0.0718402782,-0.0227440883,0.5535295457,0.0925191902,0.9908523523,0.0178796594,-0.1138536607,-0.1843718206,-0.0304064613,-0.0767812506,0.5412993354,Control
GSM480993,0.5521481080,-0.0571271274,1.8971461036,0.4153331244,0.1768389816,1.6241304980,-0.0999037584,-0.0968572793,-0.0807639728,0.6798162911,0.1127858115,1.7259579934,-0.0634127219,-0.0829404122,-0.1479692379,-0.1244298857,-0.0306474256,0.8794380091,Control
