@relation data

@attribute id string
@attribute 842 numeric
@attribute 1147 numeric
@attribute 2932 numeric
@attribute 7249 numeric
@attribute 5170 numeric
@attribute 4193 numeric
@attribute 1027 numeric
@attribute 2931 numeric
@attribute 1026 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 10000 numeric
@attribute 84335 numeric
@attribute 572 numeric
@attribute Class {Control,BRCACancer}

@data
D04,0.5394,1.0682,0.4132,0.3406,0.7031,1.0667,1.8245,1.0689,1.2943,0.638,0.7289,0.3463,0.2416,0.2212,BRCACancer
D05,0.865,1.0563,0.4322,0.2856,0.6079,1.0201,1.9168,1.0754,1.4329,0.7055,0.6837,0.3754,0.2325,0.1803,BRCACancer
D06,0.7225,1.2845,0.4637,0.369,0.7781,1.2309,2.2198,1.1961,1.48,0.692,0.7939,0.4245,0.3036,0.3165,BRCACancer
D07,0.7613,1.1579,0.3692,0.3515,0.7349,1.216,2.1409,1.1702,1.3377,0.6999,0.773,0.3478,0.3361,0.228,Control
D08,0.4182,0.9017,0.3214,0.2758,0.6407,0.9137,1.6889,0.7985,1.3303,0.5626,0.595,0.3066,0.1391,0.2537,Control
D09,0.7407,1.0917,0.3942,0.2727,0.6937,1.0241,2.0724,1.0984,1.3465,0.6435,0.7035,0.3962,0.2373,0.202,Control
D10,0.5946,1.1025,0.3646,0.2305,0.6946,1.0223,1.5009,0.9993,1.2266,0.4594,0.6459,0.3118,0.1656,0.1809,Control
D11,0.2618,0.3623,0.2333,0.1743,0.4467,0.5979,0.9832,0.6168,0.7113,0.378,0.4,0.1708,0.0463,0.1739,Control
D12,0.3598,0.9289,0.3141,0.2302,0.6671,0.8866,1.8377,0.9346,0.7849,0.5797,0.5423,0.2792,0.1867,0.3169,Control
E01,0.4527,0.8615,0.428,0.2398,0.4987,0.8855,1.7949,0.9348,0.6005,0.4622,0.6014,0.3479,0.1084,0.0506,BRCACancer
E02,0.8474,1.1221,0.5266,0.2502,0.6113,1.082,1.9187,1.1369,1.5831,0.5914,0.7641,0.4643,0.2269,0.2484,Control
