@relation data

@attribute id string
@attribute 10157 numeric
@attribute 501 numeric
@attribute 51166 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.3375,-0.025,-0.1518,Control
A02,0.2138,-0.0204,-0.0422,Control
A03,0.1465,-0.018,-0.0566,Control
A04,0.2155,-0.0816,-0.0598,Control
A05,0.2504,0.0229,-0.0303,Control
A06,0.3138,0.071,-0.1188,Control
A07,0.2727,0.0383,-0.0325,Control
A08,0.4895,-0.0664,-0.0924,Control
A09,0.1722,-0.0198,-0.0479,Control
A10,0.3477,-0.0258,-0.0705,Control
A11,0.131,0.0171,-0.0906,Control
A12,0.1996,-0.0364,-0.0364,Control
B01,0.6137,0.0297,-0.1436,Control
B02,0.4881,-0.0243,-0.0745,Control
B03,0.5077,-0.0581,-0.0833,BRCACancer
B04,0.4101,-0.0889,-0.0992,BRCACancer
B05,0.4135,0.0692,-0.0437,BRCACancer
B06,0.3805,0.0392,-0.1021,BRCACancer
B07,0.6922,-0.0228,-0.0221,BRCACancer
B08,0.3185,-0.0376,-0.0747,Control
B09,0.2284,-0.0518,-0.0605,Control
B10,0.1677,-0.053,-0.0476,Control
B11,0.1285,-0.0126,-0.0705,Control
B12,0.0818,0.0922,-0.0859,Control
C01,0.2634,0.0494,-0.0864,BRCACancer
C02,0.4948,0.0148,-0.0131,BRCACancer
C03,0.4288,0.0349,0.0148,BRCACancer
C04,0.1426,0.1316,0.0372,Control
C05,0.1614,0.0412,-0.0041,BRCACancer
C06,-0.0665,0.1081,-0.03,Control
C07,0.3121,0.0227,-0.0223,Control
C08,0.2559,-0.0249,-0.048,Control
C09,0.1884,0.0755,-0.0153,Control
C10,0.2533,0.0056,0.0245,BRCACancer
C11,0.1861,-0.0381,-0.0075,Control
C12,0.0532,0.0351,-0.0232,BRCACancer
D01,0.269,0.0254,-0.0754,BRCACancer
D02,0.053,-0.0298,-0.038,BRCACancer
D03,0.0871,0.0899,-0.0412,BRCACancer
D04,0.113,0.0337,-0.1118,BRCACancer
D05,0.174,0.1245,0.0052,BRCACancer
D06,0.2827,0.0578,-0.0722,BRCACancer
D07,0.2386,0.0283,-0.0665,Control
D08,-0.0204,-0.0338,-0.0931,Control
D09,0.2107,-0.0222,-0.0395,Control
D10,0.0622,-0.009,-0.0296,Control
D11,0.021,-0.0811,-0.0975,Control
D12,0.0636,-0.1221,-0.0784,Control
E01,0.095,0.0164,1e-04,BRCACancer
E02,0.3339,0.0107,-1e-04,Control
E03,0.1165,-0.0068,0.0059,Control
E04,0.4445,-0.046,-0.0239,Control
E05,0.2845,-0.0279,-0.0179,Control
E06,0.0993,0.0574,-0.073,BRCACancer
E07,0.2768,-0.0712,-0.0326,BRCACancer
E08,0.3135,0.019,-0.0475,Control
E09,0.1101,0.0127,-0.0224,BRCACancer
E10,0.231,-0.1354,-0.0755,BRCACancer
E11,0.1274,-0.0793,-0.0393,Control
E12,0.1397,-0.1645,-0.0848,BRCACancer
F01,0.2628,0.13,-0.0881,Control
F02,0.4112,0.0112,-0.0405,Control
F03,0.4153,-0.0031,-0.01,Control
F04,0.2181,0.0042,-0.0784,Control
F05,0.3479,0.0148,-0.0152,Control
F06,0.0847,0.0923,-0.0371,Control
F07,0.3962,0.0678,-0.0778,Control
F09,0.3768,0.0448,-0.0597,Control
F10,0.2569,0.024,-0.0252,Control
F11,0.1331,-0.0159,-0.0215,Control
F12,0.2928,-0.0137,-0.086,Control
G01,0.0336,-0.0891,-0.1347,Control
G02,0.1055,0.0123,-0.0766,Control
G03,0.1867,0.0188,-0.0449,Control
G04,0.1288,0.0425,-0.0361,BRCACancer
G05,0.1286,0.0038,-0.1567,BRCACancer
G06,0.2931,-0.0415,-0.0569,BRCACancer
G07,0.2202,-0.2013,-0.0937,Control
G08,0.1987,-0.0042,-0.0932,Control
G09,0.1474,-0.0582,-0.0908,Control
G10,0.217,-0.0805,-0.0153,BRCACancer
G11,0.0995,-0.003,-0.0026,BRCACancer
G12,0.2264,0.0694,0.001,BRCACancer
H01,0.116,-0.0567,-0.0833,Control
H02,0.1297,0.0123,-0.0646,Control
H03,0.1828,-0.0126,-0.0805,Control
H04,0.4107,0.0035,-0.095,Control
H06,0.1812,-0.0213,-0.0092,Control
H07,0.2449,0.05,-0.0684,BRCACancer
H08,0.0403,0.0407,-0.0603,BRCACancer
H09,0.1555,0.1434,-0.0346,BRCACancer
H10,0.1581,0.0712,-0.0015,BRCACancer
H11,0.2887,-0.0167,-0.0317,BRCACancer
H12,0.454,-0.075,-0.044,BRCACancer
I01,0.3422,-0.0387,-0.0748,Control
I02,0.3258,-0.0204,-0.0778,Control
I03,0.1699,0.0296,-0.0889,Control
I04,0.2069,0.0482,-0.0163,Control
I05,0.2293,0.0078,-0.0226,Control
I06,0.2905,0.0735,-0.0606,Control
