@relation data

@attribute id string
@attribute 2645 numeric
@attribute 3098 numeric
@attribute 3099 numeric
@attribute 3101 numeric
@attribute 80201 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.1242674589,1.3994206257,1.7011339678,-0.1480660112,-0.1124818271,BRCA
GSM480985,-0.1258860016,1.3098771902,1.3442627093,-0.1439106563,-0.1174212970,BRCA
GSM480986,-0.0910298228,1.6515836384,1.8043109128,-0.1370047250,-0.0587125160,BRCA
GSM480987,0.0194667790,1.4759236767,1.6637811182,-0.1325641309,-0.0792917933,BRCA
GSM480988,-0.0952093873,2.3745053726,1.4660367218,-0.1056502893,-0.0942539158,BRCA
GSM480989,-0.0005144539,1.5326526310,1.7733178045,-0.1354447571,-0.0977247296,BRCA
GSM480990,-0.0437816894,1.6475055946,1.7035346558,-0.1071262657,-0.0738550263,Control
GSM480991,-0.0791121414,1.6430448198,1.6775755478,-0.1468512447,-0.0571918005,Control
GSM480992,-0.0514066756,1.8549194104,1.6706130355,-0.1097586988,-0.0763448442,Control
GSM480993,-0.0899998086,1.9034907849,1.8064600663,-0.1340181460,-0.0713515956,Control
GSM480994,-0.0814359669,1.6344191167,1.8607480910,-0.1403112278,-0.1047761109,Control
GSM480995,-0.1105230941,1.5033320008,1.6275521468,-0.2203200628,-0.1039607070,Control
GSM480996,-0.0942073702,1.6139943053,1.7341924912,-0.1631199529,-0.0694000278,BRCA
GSM480997,-0.0271857821,1.5748751709,1.5295293155,-0.1521728457,-0.0419184377,BRCA
GSM480998,-0.0490661691,1.6972922814,1.3406884272,-0.1894919428,-0.0768221249,BRCA
GSM480999,-0.0701423821,1.5144686002,1.3833886287,-0.1388785171,-0.0911371057,BRCA
GSM481000,-0.1150649814,1.6697019406,1.4248686258,-0.1471304588,-0.0938287639,BRCA
GSM481001,-0.1041005279,1.6576406772,1.3007823403,-0.1606923392,-0.0718752147,BRCA
