@relation data

@attribute id string
@attribute 10963 numeric
@attribute 1958 numeric
@attribute 2002 numeric
@attribute 2534 numeric
@attribute 3303 numeric
@attribute 3309 numeric
@attribute 3552 numeric
@attribute 3553 numeric
@attribute 3569 numeric
@attribute 3915 numeric
@attribute 4684 numeric
@attribute 4685 numeric
@attribute 4851 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 5613 numeric
@attribute 5621 numeric
@attribute 581 numeric
@attribute 6352 numeric
@attribute 6647 numeric
@attribute 712 numeric
@attribute 713 numeric
@attribute 714 numeric
@attribute 727 numeric
@attribute 729 numeric
@attribute 730 numeric
@attribute 731 numeric
@attribute 732 numeric
@attribute 733 numeric
@attribute 735 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.9862908282,1.6894240314,0.4598573640,0.4023514937,3.3360325097,2.2544924615,0.1661164924,0.4983481401,2.1287122038,1.5254462504,0.0083338210,-0.0874492497,0.2849820421,0.9091838176,0.8322542454,-0.0220457165,0.3768321643,1.1201675758,0.1390805759,0.0696381372,1.3945055625,0.7895966098,-0.1199459792,2.6477843375,-0.0989793460,-0.1360977886,0.0233612703,0.2206503238,-0.0316571054,0.0543389736,-0.0982164078,-0.0094479186,-0.1610758412,-0.2398920687,BRCA
GSM481003,1.0098218122,1.6489873572,0.5094530717,0.4055141435,3.7385061980,1.4121392310,0.2313655682,1.0770822940,0.8208781174,1.2720754503,0.2493366491,-0.0674432113,0.3358662222,0.9189770192,0.6319902162,0.0102665505,0.4223379152,1.1333078442,0.1453346393,0.3544240996,1.4480353748,1.1044230957,-0.0766953883,2.7052017749,-0.0371813529,-0.1429027843,-0.1128650076,0.0519670447,-0.0483439761,-0.0039802469,-0.0294029896,0.0220542894,-0.0326806614,-0.1132884906,BRCA
GSM481004,0.9353199356,1.8858109309,0.3519630753,0.6183126943,3.5415028036,2.1522390246,0.4731824256,2.5220021768,2.5183840991,1.5119729768,0.0594986145,-0.1034266773,0.3009108987,0.6950635329,0.6800325786,-0.0396932616,0.5495924441,1.3982536542,0.0639251527,-0.0129986513,1.6426371932,0.4883667428,-0.0907408854,2.3499542176,-0.1108125282,-0.0814708638,-0.0583282519,0.0802196252,-0.0661081743,0.0675518612,-0.0807708470,0.0114771891,-0.0679523770,-0.1685048441,BRCA
GSM481005,1.0317136401,1.7511875715,0.4627470135,0.4258142904,3.3680374623,2.0787871359,0.1596501422,0.5863126215,2.3123772144,1.6468504383,0.0157184281,-0.0651258546,0.2530161229,0.7765841372,1.2306991819,-0.0333261071,0.4403047296,1.3712493853,0.0764267961,0.0699015529,1.7146599734,1.0273913688,-0.1215470509,2.9997989983,-0.0554622218,-0.1383994270,-0.0621204238,0.1132721341,-0.0577726082,-0.0357100159,-0.1121824553,-0.0590055577,-0.0516821090,-0.0553203123,BRCA
GSM481006,1.1843313790,1.9193543493,0.7458138092,0.4241999837,3.5637452900,1.3783304394,-0.0282404839,0.4520055540,1.9709999030,1.3316771426,0.2749650400,-0.0818339200,0.6738934841,1.0743387982,0.9264100611,-0.0789564253,0.3909603753,0.9865753614,0.1169393467,0.2576344930,1.4693608941,0.8656490569,-0.1162517042,2.5241018831,-0.1095530791,-0.1477345804,-0.0351368830,0.0384150393,-0.0897615058,0.1827919615,-0.0683669964,-0.1299533620,-0.1136782347,-0.0892744577,BRCA
GSM481007,0.8319840267,1.3999011325,0.6824327353,0.3561066310,4.0088908971,0.7209900856,0.0713577823,0.3051382034,1.5888246496,0.7626510071,0.0189746347,-0.0590740323,0.2721732832,0.9259418572,0.7558958770,0.0370700779,0.2606000659,1.0516917631,0.1837086821,0.1321595838,1.4225729533,0.9085509542,-0.0979786190,2.5976988672,-0.0479881281,-0.0970773859,0.0026085648,-0.1005217177,-0.0678757876,0.1838832336,-0.0893463434,-0.0476985401,0.0006906012,-0.1420604883,BRCA
GSM481008,1.1158897796,2.1467815075,0.6088109500,0.5704126423,3.3265556395,1.2566341757,1.0422426972,3.7100130320,2.6366142299,1.6720022468,0.0812003916,-0.1217983797,0.3260349436,0.9102283842,0.7458980968,0.0274709704,0.4047704326,1.0726860836,0.1199409844,0.1268309088,1.7668068455,0.9423102802,0.1081364036,2.1214077659,-0.1437051381,-0.1406099637,0.0183143989,0.2468214429,-0.0778393463,0.0549570068,-0.0987033349,-0.0136270150,-0.0261407105,-0.1014287414,Control
GSM481009,0.4615251455,1.6677562358,0.4693302326,0.1867759509,3.9816480276,1.3611692488,0.0095844022,0.3269794668,0.9991316413,1.3447017482,-0.0565020959,-0.1129214648,0.0987727793,0.6558841348,0.8545450949,0.0046873059,0.2795271149,0.7096309500,-0.0310865428,-0.0978849678,1.1411275206,0.5673530965,-0.2472444937,2.3663890571,-0.1552172712,-0.1205459856,-0.0480901508,0.2447938071,-0.0665676064,0.0638915498,-0.1607266552,-0.0821130227,-0.0717951190,-0.1815179397,Control
GSM481010,1.1723431253,1.4615762978,0.4728208937,0.7505683312,3.1308566926,2.3768785478,0.4967245454,1.3842930889,1.8094631367,1.5185710891,0.1930039476,-0.0879621665,0.2667312132,0.6685453986,1.0751941698,-0.0846129696,0.5158594621,1.1154199801,0.1620686616,0.0711872429,1.4836467796,0.8686887410,-0.1211244072,3.0150474759,-0.0223536321,-0.0678413932,-0.1093509761,0.2075690609,-0.0432688666,0.0024785350,-0.0479057486,0.0375403180,-0.1021153090,-0.1134602569,Control
GSM481011,0.7249792868,1.8542606222,0.4902841595,0.2638565085,3.7609323560,1.6893632411,0.1365389772,0.0802930284,1.6893038817,0.9402506900,-0.0834430861,-0.0549121374,0.3253308557,0.8796043668,0.7629880970,0.0440684883,0.3978262835,1.5733309313,0.2404869166,-0.0120833156,1.4467245919,0.8156974314,0.1061483734,2.9558201135,-0.0626981794,-0.1235076798,-0.0040261240,-0.1352648936,-0.0384308788,0.0282514988,-0.0435392537,-0.0534243657,-0.0791592961,-0.1346279692,Control
