@relation data

@attribute id string
@attribute 5682 numeric
@attribute 9861 numeric
@attribute 5686 numeric
@attribute 5685 numeric
@attribute 5684 numeric
@attribute 5683 numeric
@attribute 9491 numeric
@attribute 10197 numeric
@attribute 5708 numeric
@attribute 5709 numeric
@attribute 5706 numeric
@attribute 5707 numeric
@attribute 5704 numeric
@attribute 5691 numeric
@attribute 5705 numeric
@attribute 5690 numeric
@attribute 5702 numeric
@attribute 5693 numeric
@attribute 5692 numeric
@attribute 5700 numeric
@attribute 5695 numeric
@attribute 7314 numeric
@attribute 5701 numeric
@attribute 5694 numeric
@attribute 5696 numeric
@attribute 5687 numeric
@attribute 5688 numeric
@attribute 5689 numeric
@attribute 8454 numeric
@attribute 8312 numeric
@attribute 5717 numeric
@attribute 5718 numeric
@attribute 5719 numeric
@attribute 1452 numeric
@attribute 2932 numeric
@attribute 8945 numeric
@attribute 5710 numeric
@attribute 5711 numeric
@attribute 5713 numeric
@attribute 5714 numeric
@attribute 5715 numeric
@attribute 6500 numeric
@attribute 1499 numeric
@attribute 5716 numeric
@attribute 5516 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 5699 numeric
@attribute 5698 numeric
@attribute 324 numeric
@attribute 10213 numeric
@attribute 5720 numeric
@attribute 5721 numeric
@attribute 5525 numeric
@attribute 5528 numeric
@attribute 5527 numeric
@attribute 5526 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.8596,1.6985,1.3837,2.23,1.1859,1.0788,1.2257,1.8062,1.083,1.1006,0.987,1.202,1.2375,1.0647,1.0043,0.4652,1.0985,0.7959,2.2354,0.6496,0.8796,0.6845,0.9471,1.8241,2.1298,0.6655,1.2318,1.6119,1.0937,0.3495,1.3754,1.3764,1.1096,1.5925,0.6628,0.5487,0.3589,1.3609,1.6253,1.2572,0.3515,1.308,2.1378,1.0593,0.8892,1.7098,1.3951,1.0472,1.094,1.6112,0.6808,0.6743,0.9103,0.8422,1.5217,1.0884,1.4624,0.631,Control
A02,0.5137,1.4954,1.2128,2.3945,0.8084,0.9698,0.93,1.7625,0.9447,0.9215,0.7092,1.0822,0.9832,0.8826,0.7985,0.3431,0.9748,0.5899,1.975,0.3519,0.6531,0.7725,0.7812,1.5839,2.0411,0.4068,1.1461,1.386,0.9814,0.2528,1.1564,1.2653,0.8281,1.2727,0.4686,0.3102,0.31,1.0224,1.5575,1.1112,0.2465,0.9213,1.9406,1.1872,0.6903,1.5505,1.195,0.8042,1.0415,1.5619,0.5297,0.5746,0.9193,0.7539,1.3281,1.0223,1.0187,0.5406,Control
A03,0.6591,1.6515,1.3296,2.4264,1.1197,1.0437,1.1693,1.931,1.1458,1.0988,0.9629,1.2534,1.2057,1.1098,1.0279,0.4919,1.2869,0.8136,2.1623,0.5382,0.8751,0.8244,0.8826,2.0253,2.2441,0.5077,1.3087,1.5998,1.156,0.4299,1.3995,1.4239,1.0135,1.4737,0.609,0.4467,0.3245,1.2787,1.6677,1.3112,0.3817,1.2111,2.228,1.1068,0.9187,1.7523,1.3815,0.9485,1.2538,1.848,0.6545,0.7213,1.0651,1.0982,1.494,1.1628,1.3884,0.8018,Control
A04,0.5814,1.6076,1.1802,2.3475,0.6941,0.8841,1.0336,1.7866,1.0659,0.9659,0.6328,1.1143,1.1178,0.8817,0.8572,0.356,1.0465,0.6132,2.2238,0.4617,0.6542,0.6344,0.8397,1.922,2.1637,0.4136,1.1375,1.5159,0.9187,0.2928,1.1596,1.044,0.7962,1.4132,0.5054,0.3892,0.3075,1.014,1.5881,1.077,0.2675,1.174,2.1149,1.0605,0.6057,1.7078,1.4064,0.6822,1.1602,1.5433,0.4447,0.6248,1.061,0.5499,1.3379,1.0777,1.2109,0.5604,Control
A05,0.6486,1.677,1.2792,2.4234,0.8807,1.1057,1.1974,1.9942,1.1685,1.1384,0.7171,1.2123,1.2175,1.1094,0.9576,0.391,1.2642,0.8145,2.3325,0.3854,0.784,0.7355,0.8281,2.1175,2.4047,0.5258,1.2508,1.5606,1.0506,0.3723,1.3354,1.2825,1.0444,1.4668,0.6009,0.423,0.346,1.1785,1.6254,1.1774,0.3777,1.1553,2.1217,1.0914,0.8883,1.7874,1.5397,0.8529,1.3544,1.5122,0.6046,0.6159,1.1497,0.7752,1.5543,1.1295,1.1808,0.7541,Control
A06,0.614,1.588,1.1631,2.323,0.8395,0.9386,1.133,1.8308,1.0339,1.0316,0.64,1.1286,1.1539,1.0529,0.8887,0.4003,1.1888,0.6042,2.1362,0.4191,0.7977,0.8108,0.7339,1.848,1.9984,0.4726,1.2155,1.4008,0.9191,0.2844,1.2841,1.1788,1.0107,1.3612,0.5351,0.3873,0.3383,1.1669,1.504,1.2096,0.3347,1.1913,2.0671,1.0992,0.7009,1.5855,1.375,0.757,1.143,1.4404,0.5559,0.5752,0.9374,0.6033,1.3851,0.9649,1.1202,0.6482,Control
A07,0.7558,1.6846,1.2924,2.2649,1.0875,1.0653,1.3766,1.795,1.0345,1.0484,0.9209,1.2592,1.141,1.063,0.9701,0.4197,1.1147,0.8618,2.0729,0.5,0.9085,0.5046,0.9266,1.9482,2.111,0.552,1.2479,1.6201,1.1347,0.3981,1.3049,1.4461,0.9255,1.6353,0.8251,0.5287,0.4804,1.3321,1.558,1.1801,0.3942,1.2257,2.242,1.1426,1.0068,1.762,1.4216,0.9246,1.0979,1.7103,0.7198,0.7026,0.8786,0.8229,1.4774,1.0159,1.4992,0.4864,Control
A08,0.8117,1.5603,1.4062,1.9507,1.0718,0.9549,1.3436,1.5846,0.9188,0.9226,1.0001,1.2006,0.9362,0.7853,0.7956,0.5345,0.9098,0.6076,1.8304,0.5945,1.0102,0.6334,0.8591,1.4112,1.7088,0.5216,1.0216,1.4567,1.2153,0.3981,1.2899,1.2874,0.8967,1.6719,1.0661,0.6707,0.3119,1.2892,1.3457,1.0848,0.3676,1.4337,2.2731,0.9656,0.767,1.654,1.2584,1.0312,0.9641,1.6054,0.8468,0.6891,0.8766,0.811,1.5864,0.9696,1.6722,0.5186,Control
A09,0.6932,1.4845,1.1457,2.2969,1.0093,0.8813,1.2973,1.7204,0.9393,0.9544,0.7607,1.0908,1.142,0.9023,0.9042,0.3836,1.0608,0.6346,2.0341,0.445,0.9319,0.5004,0.7139,1.6625,1.9348,0.5396,1.1176,1.3751,1.0356,0.3286,1.2522,1.3846,0.7321,1.448,0.7154,0.524,0.3283,1.2524,1.5017,1.2131,0.245,1.1582,2.1764,1.0221,0.7961,1.6406,1.3688,0.9102,1.081,1.5146,0.5846,0.5883,0.9465,0.7246,1.3386,0.9724,1.4674,0.5664,Control
A10,0.6794,1.7632,1.2511,2.1439,0.9286,1.0886,1.355,1.6673,1.0189,0.9143,0.78,1.3758,1.1031,1.0174,0.9095,0.4269,1.0714,0.5937,2.0354,0.5078,0.9633,0.4407,0.9036,1.8548,2.0257,0.4968,1.1384,1.5005,1.165,0.3863,1.3111,1.2411,0.815,1.6292,0.9142,0.5675,0.3729,1.2615,1.5067,1.191,0.3562,1.1829,2.3614,1.0037,0.7449,1.7064,1.331,0.9284,1.1476,1.7638,0.7425,0.6375,0.9281,0.7918,1.5766,0.9809,1.6014,0.5633,Control
