@relation data

@attribute 64805 numeric
@attribute 2788 numeric
@attribute 10681 numeric
@attribute 2787 numeric
@attribute 59345 numeric
@attribute 2773 numeric
@attribute 2784 numeric
@attribute 2783 numeric
@attribute 2786 numeric
@attribute 2785 numeric
@attribute 2770 numeric
@attribute 2790 numeric
@attribute 2791 numeric
@attribute 2771 numeric
@attribute 2792 numeric
@attribute 2782 numeric
@attribute 2793 numeric
@attribute 54331 numeric
@attribute 51764 numeric
@attribute 55970 numeric
@attribute 94235 numeric
@attribute Class {Control,BRCA}

@data
8.180905107,8.735353884,6.888464479,8.440434347,7.4230773135,8.056110832,5.893611729,8.698011038,5.516024013,5.692518737,7.1915641815,9.885094283,12.98372673,11.95442182,5.028139516,13.02719506,6.38362276,9.177283189,5.232287804,10.1038422,5.641987591,Control
4.795210185,9.217703977,7.24025073833,8.487841164,8.3643319965,8.621833133,6.113748025,8.720142595,5.853378958,5.195063332,6.0573658185,8.481901451,12.07225833,11.95691889,5.682862067,13.00956452,6.120295558,7.381134364,5.31868854,9.681370693,5.277995204,BRCA
6.121642945,10.16381668,6.84021840933,8.83146649,7.196995946,8.38961104,6.074361597,8.686203838,5.92077637,5.30807618,5.457103785,8.913937397,10.57663577,11.84327345,4.963487128,12.9979954,6.323194968,6.36768175,5.206732344,9.362086899,5.72110688,BRCA
5.470383322,10.21758854,6.610917172,8.646667718,6.7231615275,8.480952861,5.455665247,9.066695429,5.504788206,5.693773551,5.725019338,6.563810693,9.832676886,11.56304622,5.29683478,13.11510467,6.198794315,4.851263383,4.790526167,7.986995525,5.842043069,Control
6.750007239,9.669660678,6.84786461333,9.506942805,9.010303599,7.944479462,5.954086504,8.97289446,5.228252321,5.349976695,6.8901006515,9.337042659,11.68740205,12.12850358,5.536217098,12.87743566,6.63172683,7.573687183,4.850263431,9.546605663,5.615159695,BRCA
7.258898404,9.433805075,6.695170111,8.217135121,7.9243325035,8.556449653,6.143337929,8.838889641,5.268482349,6.086619917,6.5536864175,9.258413586,11.15310882,11.63993091,5.717272857,12.98372673,6.186714102,8.547261958,5.178725843,11.06412655,5.093825554,BRCA
4.73770262,9.675551824,7.252915346,8.678425073,8.7523926965,8.162543804,5.821334729,7.985772397,5.66903474,5.86196234,5.366277458,6.875906358,10.10831572,11.48011881,5.442621133,12.64120964,7.026996771,6.049582442,4.959319531,9.132211242,5.486079796,BRCA
8.117774412,8.751335778,6.439102376,9.414337005,7.0132000305,8.2669635,6.338875075,8.510330132,5.967463325,5.380600673,6.2928801065,10.49178825,12.76004735,11.95442182,5.865554662,12.98945487,6.403016818,8.11035427,5.229406468,10.18190731,5.42266296,Control
6.293246892,9.919504381,6.907508702,8.843419494,7.2793614545,8.546914832,6.092128797,9.04011237,5.496742949,5.789736585,6.2675959045,9.495266002,11.3442156,11.46383867,5.659076304,12.96993872,5.886008211,6.738839176,5.411944154,9.085353696,5.104977394,BRCA
6.730983353,9.681765982,6.995387545,8.872952717,7.9356885615,8.628081972,6.563963185,8.934008606,5.619861398,6.135253322,6.489380715,8.717951507,11.6604752,11.67867508,4.958159726,13.02126635,6.083910741,7.211063618,4.607083101,8.350852048,5.034976365,BRCA
5.851693612,9.226485123,6.97244898767,8.442664802,7.5026355755,8.276218788,6.530878866,9.350724377,6.298205225,5.346435058,6.097670028,8.286304921,12.94317143,11.98415862,5.704879743,13.00161496,5.994246645,7.365471921,5.452703528,7.23239964,5.091711732,BRCA
6.805296083,9.260367468,6.389883566,9.163298157,7.2400353085,8.495976037,6.225261069,8.378404463,6.055397005,5.478819157,6.6687748565,9.92562903,12.82636383,12.06588572,5.291135005,13.04989878,6.187456621,8.135274649,5.285412622,10.07238089,5.551986008,Control
8.463842227,8.825389039,6.757115983,9.04801075,7.055096439,8.069988244,6.362562487,8.616586634,5.650485447,5.550447635,7.184102984,10.33248729,13.11366653,12.19850959,5.465820435,13.26893746,6.122264392,8.384871286,5.293711886,10.16363116,5.238988625,Control
7.967631374,10.09517319,6.61616787567,9.210939846,5.9799251475,7.185869332,6.798118982,9.333972157,6.389270486,5.149758548,5.4787995935,10.07411507,11.61680165,12.44264168,5.973617732,13.29995283,6.768981971,6.997860083,5.119782831,9.560920839,5.827953159,BRCA
7.197317764,9.531343017,6.60558999133,7.763878152,6.9163256205,8.076790383,7.068028862,8.807251164,5.614423668,6.121642945,6.159811817,10.34356359,11.8968755,11.06323009,6.049636893,13.17700839,5.93841004,9.073024297,5.44062939,9.949207023,5.706262025,BRCA
8.733287497,10.26174268,6.784302337,8.979483163,6.976093136,7.526814397,6.86950478,9.157436075,6.663917843,5.995773509,5.6032236615,9.641921287,11.32190853,12.03914706,5.732683853,13.33363132,6.655642073,6.821203566,5.110625549,8.788074828,5.641409649,BRCA
7.198816104,9.81791145,6.51405773367,9.24482828,5.6412905805,7.296712346,7.120059311,9.539954171,6.132685436,5.836183727,5.6081323905,9.90199107,11.52829551,12.10567621,5.542111953,13.36856584,6.354827336,6.808678261,5.023045997,8.870851027,5.59381033,BRCA
7.224390341,10.64035818,6.433898499,9.252961701,6.3980360365,7.53251397,6.63161771,9.306620611,6.202227307,5.527642182,5.800661023,10.08386525,11.49170796,11.80901857,5.655216748,13.36355512,6.385522173,8.086854242,5.24660879,8.673027334,6.083006551,BRCA
7.443981873,10.08672709,6.36224381667,9.485326755,5.8819921345,6.843359327,7.036891003,9.583727381,6.371171674,5.981059894,5.52926424,10.49650957,11.7674087,12.54827894,6.118635505,13.29267684,6.586919049,7.432878264,4.808142121,9.538005127,5.938762876,BRCA
6.472573571,8.329326713,6.073822667,9.799800123,5.8308617525,8.285946739,6.360983667,9.930146364,5.59724157,5.052688948,5.47662364,7.075401932,12.75033439,12.35457868,5.537615426,13.38150649,5.687628504,6.412997934,5.077041333,9.576399845,6.034420016,BRCA
