@relation data

@attribute id string
@attribute 1644 numeric
@attribute 218 numeric
@attribute 220 numeric
@attribute 221 numeric
@attribute 222 numeric
@attribute 259307 numeric
@attribute 2805 numeric
@attribute 2806 numeric
@attribute 314 numeric
@attribute 3242 numeric
@attribute 4128 numeric
@attribute 4129 numeric
@attribute 4282 numeric
@attribute 5053 numeric
@attribute 6898 numeric
@attribute 8639 numeric
@attribute 9588 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0875897597,-0.2854896040,1.2724361456,0.4390143225,-0.1159840439,-0.2454691876,0.5626744674,2.8148930073,-0.0317160022,-0.2214313621,0.1451245776,-0.0869280419,2.8571139971,-0.1020297610,-0.1039383443,-0.1886582139,1.8044159024,BRCA
GSM481003,-0.0910439536,-0.2035900616,2.3741602134,0.3642119825,-0.0836361832,0.1988751299,0.4312056128,3.0352369150,0.0301934800,-0.0644792560,0.0484505714,0.0015658356,3.0290108126,-0.0338578507,-0.0294739802,-0.1504128043,1.5157296297,BRCA
GSM481004,-0.0636410970,-0.2686957158,2.1709424416,0.5950805777,-0.0865501958,0.6251669753,0.4539665281,3.1931924820,-0.1242649171,0.0277454964,0.2435479094,-0.0635522279,2.0678131581,-0.0872683025,-0.0780701595,-0.0840600951,1.5569255806,BRCA
GSM481005,-0.1217813995,-0.2333305496,1.3321897744,0.2255821759,-0.1352569876,-0.1438278636,0.4137655492,2.6438763537,-0.1447849048,-0.2451757248,0.1857583780,-0.1267775762,2.7063416906,-0.1384508652,-0.0928968261,0.2788623667,1.5042880124,BRCA
GSM481006,-0.0822029562,-0.3008817545,2.0070518163,0.4114961186,-0.1216376777,0.0760559282,0.5263185232,2.5650868017,-0.0033132997,-0.1810597430,0.2731100519,-0.0209217585,3.1831733517,-0.1188404846,-0.0911331807,0.0930584413,1.4965509459,BRCA
GSM481007,-0.0765860844,-0.3107484635,1.7591606010,0.5989918505,-0.1305413990,0.3044010517,0.4112270022,2.5857946080,-0.0802383079,-0.2469661724,0.4147273969,-0.0663053751,3.5401644178,-0.1063208740,-0.0485382267,-0.0888141567,1.4195672571,BRCA
GSM481008,-0.0771261006,-0.2534886757,1.7301716414,0.3176785913,-0.0930229935,0.4847984499,0.4905906091,3.0588130157,-0.1749120204,-0.2113904879,0.0451314856,-0.1486230927,2.8907331094,-0.0994437283,-0.0572749781,-0.1237392973,1.4152109648,Control
GSM481009,-0.1145213829,-0.4060247298,2.1016619261,0.2640226102,-0.0507299871,-0.2309491953,0.4440469943,2.0944252810,-0.1110957666,-0.4016623809,-0.0830280202,-0.0906468695,2.3090589013,-0.1768551683,-0.0798087349,-0.0893934176,1.7573768723,Control
GSM481010,-0.1344144997,-0.0958842543,2.3740760535,0.3253444095,-0.0682366275,0.0672627829,0.6426227603,3.0485917730,-0.1006249860,0.0309763646,0.0537018078,0.0547498727,2.7385778692,-0.1467608174,-0.0933794826,-0.0319023414,1.4175393240,Control
GSM481011,-0.1056464588,-0.2011037404,1.1143954872,0.3225665058,-0.1064031793,-0.1174775181,0.5536915518,2.8247204623,-0.1085641736,-0.0663515140,-0.0094730394,-0.1208987912,2.8712642589,-0.1023651143,-0.0392444069,-0.1815969126,1.5421779948,Control
GSM481012,-0.0835451103,-0.2548927479,1.9857749837,0.3324479876,-0.1124323025,0.1563813737,0.7814992125,3.0625976720,-0.0421571383,-0.0002197255,0.0814725191,-0.1051259570,1.8419563836,-0.1069854640,-0.0773925514,-0.1060041536,1.5552267356,Control
GSM481013,-0.0608614168,-0.1762991650,1.1051708123,0.2618319734,-0.1198602065,0.4656281154,0.6171060714,3.0070898533,-0.0361946011,-0.1284819406,-0.0005384729,-0.0456763907,3.3800132539,-0.0878910258,-0.0457458005,-0.0704532708,1.4339215154,Control
GSM481014,-0.0453830303,-0.2180738450,1.6544708211,0.5036838599,-0.1241808488,0.5003993961,0.5390603007,2.2234520517,-0.1521609170,-0.1576588220,0.0198605014,-0.1061101545,2.5455418163,-0.1267587453,-0.0712176357,-0.0860498509,1.1922279844,BRCA
GSM481015,-0.0855579111,-0.2874146440,0.4882127332,0.9506077614,-0.1269817500,0.1443102323,0.5048413552,2.6427870593,-0.1643036094,-0.1914489865,-0.0136525102,-0.0825329420,2.9301109314,-0.0868799845,-0.0195665193,-0.1271535222,1.4037319718,BRCA
GSM481016,-0.0991288922,-0.2656064938,1.7154753748,0.2105954311,-0.0659806155,0.2810877263,0.4696906302,2.9555517040,-0.0685675083,-0.2597000265,-0.0230232794,-0.1032028017,2.3757619858,-0.1213544403,-0.0417120073,-0.0777312433,1.4929403532,BRCA
GSM481017,-0.0720791773,-0.2449720288,2.0582552049,0.1102708190,-0.1347657275,-0.0133303522,0.4868896512,2.5096082290,-0.0700142143,-0.2139772679,0.2143070714,-0.1174112729,1.6865380076,-0.1333860397,-0.0630349408,-0.0022627069,1.4187651179,BRCA
GSM481018,-0.0637530201,-0.2275446225,1.2248911806,0.7159106450,-0.0800605458,-0.2846008124,0.6328786892,2.4659692050,-0.1354133920,0.0046962542,-0.0264975350,-0.0847982762,2.1978329950,-0.1414020547,-0.0118368456,-0.1126340296,1.3791639979,BRCA
GSM481019,-0.0436881248,-0.1964409574,2.6041925290,0.3899771312,-0.1220999744,0.2804491997,0.5355693448,2.6677055357,-0.0666996940,-0.1489076680,0.6797293503,-0.0985296682,2.9178931183,-0.1416128318,-0.0838043058,-0.0912651639,1.4722129627,BRCA
