@relation data

@attribute id string
@attribute 10076 numeric
@attribute 3454 numeric
@attribute 3456 numeric
@attribute 3716 numeric
@attribute 5967 numeric
@attribute 6772 numeric
@attribute 6773 numeric
@attribute 7297 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.3245636639,0.2954013840,-0.0765595098,0.5082450581,0.0289958751,0.7381155855,1.3586393981,1.3983509587,BRCA
GSM481003,0.1187233908,0.3482769076,-0.0320325630,0.4776535522,-0.0502169841,0.8860665159,1.3704885968,1.6564943293,BRCA
GSM481004,0.3367731174,0.5104742534,-0.0809765638,0.5671119911,-0.0152131415,0.9381063713,1.3747833751,1.6212597584,BRCA
GSM481005,0.2467392221,0.4722485527,-0.0306531701,0.5830370403,-0.0560040417,1.1652991205,1.3042705339,1.4486135101,BRCA
GSM481006,0.2467862758,0.4692675604,-0.1508883867,0.5490418825,-0.0622251789,1.0724941031,1.6334221279,1.1674732929,BRCA
GSM481007,0.4491090524,0.2278537135,-0.0492152067,0.2825788311,0.0003528190,0.6220977374,1.4995795300,1.4454073766,BRCA
GSM481008,0.0802802566,0.2882225191,-0.0616991531,0.4309778051,0.0374997551,0.6182682188,1.1095502487,1.9935437673,Control
GSM481009,0.0296357002,0.3001605223,-0.0367782738,0.4693481246,0.0256226424,0.7020093558,1.6191287208,1.0330606219,Control
GSM481010,0.4587298317,0.4574914529,-0.1134077050,0.6016551096,-0.0965258449,0.9930470879,1.2437989137,1.4427850469,Control
GSM481011,0.2629265306,0.1784434234,-0.0754183352,0.3680541691,0.0079628350,0.6050271742,1.0904010859,1.7791477543,Control
GSM481012,-0.0121448810,0.4115568186,-0.1441127111,0.5566328427,0.0418456241,0.8064178176,1.3759329174,1.5261692640,Control
GSM481013,-0.0162958782,0.0413573570,-0.1161812398,0.3336732206,0.0270148436,0.3724243887,1.0108135847,1.8359116581,Control
GSM481014,0.4117200911,0.6441554700,-0.0368181732,0.4573446206,-0.0436986682,0.8559759963,1.5305845584,1.4343880778,BRCA
GSM481015,0.1654414569,0.3148113376,-0.0726501383,0.4442043349,-0.0194014202,0.6861230966,1.4282783193,1.6245575382,BRCA
GSM481016,-0.0351557322,0.4152982295,-0.1350944410,0.5840072209,-0.0034042936,0.9687278556,1.1993748084,1.3602366564,BRCA
GSM481017,0.0290358984,0.5800444868,-0.0557547716,0.5594045820,-0.0347992246,0.9661784758,1.2392334324,1.0148024319,BRCA
GSM481018,0.5056456237,0.2114277900,-0.1009488974,0.5066691867,-0.0094189316,0.5583250304,1.4125870697,1.3760871682,BRCA
GSM481019,0.2815411672,0.5076374366,-0.1315593804,0.4720759611,-0.0369275460,0.7549836982,1.1629056724,1.5765954708,BRCA
