@relation data

@attribute id string
@attribute 3002 numeric
@attribute 3105 numeric
@attribute 3106 numeric
@attribute 3107 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3112 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3117 numeric
@attribute 3119 numeric
@attribute 3122 numeric
@attribute 3123 numeric
@attribute 3133 numeric
@attribute 3134 numeric
@attribute 3135 numeric
@attribute 3458 numeric
@attribute 355 numeric
@attribute 3552 numeric
@attribute 3553 numeric
@attribute 3558 numeric
@attribute 356 numeric
@attribute 3569 numeric
@attribute 3812 numeric
@attribute 3824 numeric
@attribute 5551 numeric
@attribute 7124 numeric
@attribute 940 numeric
@attribute 941 numeric
@attribute 942 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0980125262,1.6537600474,1.3405720888,2.1069503623,0.0626108013,-0.0021598573,-0.0444646151,0.1910638078,0.0322430879,0.0734804541,-0.0575062146,-0.1060773984,-0.1346518659,-0.0876011369,1.1231825212,0.2924461898,0.3239665159,-0.1502639149,0.5622643714,0.2482422408,-0.0177594677,-0.0967912121,-0.0677221629,0.1266020980,-0.0607703884,-0.1101566781,-0.0737931601,-0.0286056817,-0.1338171530,-0.1011132785,-0.0745038521,BRCA
GSM480985,-0.0900072862,2.4575460184,2.4352716603,3.1083826223,0.6915450320,0.1251381343,-0.0231436351,0.2698293427,-0.0650405677,0.0428558186,-0.1290383934,0.1628512691,0.0374173649,-0.1197701725,1.8947312062,0.9323109125,0.4446605109,-0.1919777421,0.6094995523,-0.0314154737,0.2870424135,-0.1313371339,-0.0922413117,-0.0603622181,-0.0707471493,0.0011808020,-0.0413435920,0.0503361004,-0.1120574987,-0.1492929473,-0.1244322729,BRCA
GSM480986,-0.0444491689,2.0518530268,1.2703523437,2.4764992397,0.4945947789,0.1963292633,0.0140152021,0.2892794812,-0.0956911196,0.1620062226,-0.1481252838,0.1136571739,-0.0432058185,-0.1058928922,1.4104321598,0.3907815265,0.4288124712,-0.1827084002,0.4264019540,0.0009803817,-0.0239051148,-0.0704303690,-0.0697262036,0.1871303074,-0.0240202736,-0.0314933395,-0.0744782160,-0.0117659394,-0.0338983699,-0.1117738267,-0.0023996997,BRCA
GSM480987,-0.0959783561,1.5371368601,0.6320671228,1.8324638603,0.0661166904,0.1146925516,-0.0216950949,-0.0708309157,0.1852427243,0.2594022517,-0.1046273241,-0.1178809743,-0.1097697392,-0.1023941331,1.4748642164,0.0766551047,0.2709267356,-0.0920013336,0.5515944428,-0.0380365687,0.1687085862,-0.1189128644,-0.0680922132,0.4079698621,-0.0118740331,-0.0158892594,-0.0917332178,-0.0407701192,-0.0878388124,-0.0754210073,-0.1124246916,BRCA
GSM480988,-0.0758203932,1.8993243343,1.3362236422,2.2586958013,0.4122418322,0.0454927820,0.0066495671,0.2402783686,-0.0805971442,0.0238832242,-0.0136553543,-0.0180359739,-0.1178864969,-0.0838345339,1.0490108484,0.2393908122,0.3191216097,-0.1157230785,0.2691697425,0.3082212135,-0.0187831094,0.0630258011,-0.0621939344,0.0463543034,-0.0502397537,-0.0465752083,-0.0673862337,0.0001304974,-0.0262229780,-0.0961179183,-0.0799456790,BRCA
GSM480989,-0.1182184828,2.3293326482,1.6630823217,3.0372506777,0.8770841099,0.1130909237,-0.0627682461,0.5084585080,-0.0473541224,0.0141822898,-0.0902577417,0.2084253303,-0.1505416402,0.0919470743,1.7113409392,0.3886206459,0.4232647989,-0.2689341306,0.2305710107,0.0643515889,-0.0912345345,0.0045405086,-0.0434693121,0.0336776683,0.0210698834,-0.0271696066,-0.0275269422,-0.0217998318,-0.1424229563,-0.1004848999,-0.1106895457,BRCA
GSM480990,-0.0905509926,2.1450957076,0.6589503208,1.9529268740,0.1208910512,0.1960860100,0.0098015560,0.0771852141,0.0482923948,0.1855409761,-0.0054088302,-0.0469217674,0.0769794038,0.0021974898,1.5506209451,0.2228912147,0.5529283491,-0.1534946757,0.3596986547,0.8070518219,1.2702010869,-0.0676458303,-0.0242624128,0.1569095779,0.0692344261,-0.1040510756,-0.0333159728,-0.0152148257,-0.1355011998,-0.1337979434,-0.0556228180,Control
GSM480991,-0.0645297521,2.4425219173,1.6814781328,2.7070651850,0.8700902536,0.2280225680,-0.0335729512,0.2943344935,0.0232491174,0.0698537100,-0.0889617601,0.7456210894,-0.0470037273,0.0457426893,1.8251722632,0.4402090488,0.4654662125,-0.1411837970,0.3676016834,0.0797228272,0.1146655146,-0.0905232279,-0.0387195160,0.0010899390,0.0261982086,-0.0208668880,-0.0416413261,0.1726690396,-0.1265710275,-0.1235739371,-0.0741128972,Control
GSM480992,-0.0531262704,2.0768291049,0.8279471597,2.0167463620,0.3343284855,0.1347692112,0.0117455605,0.1602105837,0.0454827089,-0.0322465841,-0.0244123454,-0.0797030918,-0.0839464270,-0.0198893765,1.5038647161,0.3282676265,0.3809352829,-0.1471509594,0.1906451891,0.2392629278,0.2461778623,-0.0796946813,-0.0268258417,0.0448783156,-0.0251651127,-0.0550066709,0.0074094109,-0.0538811761,-0.1144072044,-0.1403645249,-0.1292212323,Control
GSM480993,-0.0910372453,2.2138408538,1.6431057453,2.7194665273,0.5518651867,0.0842804099,-0.0596483520,0.2476261285,0.1215528380,0.1667407294,-0.0892533154,0.9970571118,-0.0267558961,-0.0672223516,1.5650096220,0.4914898902,0.5762706393,-0.1658804081,0.2692942816,0.1554126427,0.0334400552,-0.0853780674,-0.0520990045,0.2203348601,-0.0217197123,-0.0790436161,-0.0474629456,-0.0270253466,-0.0634848428,-0.1134077825,-0.0880129331,Control
