@relation data

@attribute id string
@attribute 10855 numeric
@attribute 138050 numeric
@attribute 23553 numeric
@attribute 2588 numeric
@attribute 2720 numeric
@attribute 2799 numeric
@attribute 2990 numeric
@attribute 3073 numeric
@attribute 3074 numeric
@attribute 3373 numeric
@attribute 3423 numeric
@attribute 3425 numeric
@attribute 411 numeric
@attribute 4669 numeric
@attribute 60495 numeric
@attribute 6448 numeric
@attribute 6677 numeric
@attribute 8372 numeric
@attribute 8692 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.1169782230,0.9024366391,-0.1278968507,0.5042466316,1.3211398201,1.6560281682,1.0022968016,0.3507235573,2.2105856687,-0.0265687264,0.6480726647,0.1329945061,0.2237255989,0.2203093329,-0.0257007246,2.0587116946,-0.0736805664,0.0475127961,0.1833891089,BRCA
GSM481003,0.1467203732,0.9505213503,-0.1006655484,0.5139746523,1.2869664039,1.5929710060,1.5546326898,0.3218090397,1.8163248673,-0.0496226322,0.6630039905,0.1607946640,0.2352848903,0.2172508209,0.0309457591,1.9318291660,-0.0973194258,0.1651042716,0.4450866743,BRCA
GSM481004,0.2880948307,0.8758131671,-0.1044601149,0.6298117824,1.4539299724,1.8975576544,1.3645094112,0.3748042107,2.2049198449,0.1180080707,0.8450968054,0.2927189070,0.3766406863,0.2851512513,0.0771152605,2.3560076215,-0.0368312307,0.3267151121,0.3614095294,BRCA
GSM481005,0.1916096462,0.8396933577,-0.0822849718,0.3644020155,1.3513513043,1.8502021200,1.1367801614,0.3339944189,2.1429838835,0.0781860037,0.8809065329,0.1319373668,0.3246714035,0.1572621675,-0.0045230761,1.9855579863,-0.0409561931,0.1540421544,0.1846602667,BRCA
GSM481006,-0.0735404659,0.9737400846,-0.1142424903,0.5276180186,1.2356399811,2.0817864374,1.0638228693,0.5171834323,2.4283133895,-0.0589736787,0.7015850226,0.0820186969,0.2127254644,0.1752607177,-0.0244742781,2.4044503556,-0.0964534307,0.0531946229,0.3588625149,BRCA
GSM481007,0.2343000930,0.7265182748,-0.0423595284,0.5624217631,1.1572872574,1.8057828261,1.0404155928,0.5339561337,2.5390702636,0.0882316249,0.6226783535,0.0695838810,0.3404529315,0.5272776570,0.0599537477,2.6734590763,0.0705603409,0.3887899246,0.6784984693,BRCA
GSM481008,0.4423196494,0.6421363978,-0.1142757501,0.6015576112,1.1828356828,1.6240169634,2.5466886760,0.3994629763,2.3086913675,-0.0573253249,0.6379099473,-0.0063191124,0.2485664418,0.2422903634,0.0531209899,1.3793220322,-0.0178121117,0.2976585370,0.5420649834,Control
GSM481009,0.2523503058,0.8258075051,-0.1012058598,0.2879296547,0.8699406669,2.0272410527,1.1237201281,0.4350312138,2.0689419508,0.0201164342,0.4795418792,-0.0722092488,0.2487471062,0.0960463518,0.1142247851,1.5380164415,0.0266759562,-0.0308742499,-0.1545235417,Control
GSM481010,0.2594941068,0.9762493018,-0.1554311426,0.4184265942,1.2891108194,1.8168270510,1.2269909494,0.3452242649,2.3908400535,0.0598594230,0.6205742708,0.0587080676,0.1210163763,0.0351571003,-0.0110669916,1.4833568370,-0.1099567539,0.2882277154,0.1712504244,Control
GSM481011,0.3727574774,0.8199009869,-0.1872800546,0.5439262945,1.2433110922,1.0944711071,0.7599050700,0.3106826876,1.8305273875,-0.0424410969,0.5832138406,0.2026695871,0.2704287194,0.2497514270,0.1106583254,2.5500593275,-0.0320850703,0.2735519899,0.4650152822,Control
GSM481012,0.6728254722,0.8395337193,-0.0754633056,0.5305703138,1.3568899102,2.0175833059,2.1022501587,0.4525692727,2.6642101704,0.2984642499,0.5872276106,0.1763820673,0.2487451673,0.2489072048,0.0322040079,1.7970590508,-0.0901261886,0.1617095404,0.1382853920,Control
GSM481013,0.4897005994,0.5884106524,-0.1174069123,0.6684428609,0.8895237347,1.3735648440,1.8152544796,0.4412845257,1.8039071710,0.0279410608,0.6377975336,-0.0696645206,0.1094879008,0.2498944959,0.1294847673,1.2941526854,-0.0925939817,0.4341276702,0.5984388069,Control
GSM481014,0.0296856594,0.7200533510,-0.0004375306,0.5247366115,1.1754089341,2.0098602637,1.8795258703,0.7499324245,2.9025222213,-0.0756579299,0.9471467167,0.3600038214,0.3818793556,0.3277577696,0.1688238724,2.4083423354,0.0219480402,0.1613336477,0.3690369283,BRCA
GSM481015,0.3158669466,0.8347840710,-0.0815823427,0.6497119863,1.5358996275,1.6879442550,2.3615006806,0.7389854650,2.4234369249,-0.0001223288,0.5619095339,0.2286913776,0.3053198322,0.6345598566,0.1078516059,2.5769456677,-0.0324109547,0.1856906918,0.5931881721,BRCA
GSM481016,0.2388310713,0.9693905689,-0.1573124733,0.3846288872,1.1627816526,1.5879489938,1.2694074176,0.2658376969,1.6639404969,0.1702561906,0.7834372135,0.0769058016,0.2160409567,0.1605565042,0.0803171767,1.5020591187,-0.0493674833,0.1048734106,0.3512370841,BRCA
GSM481017,0.1405915229,0.7083738978,-0.0756808274,0.3721720634,1.2552852796,1.9280646700,1.5062209666,0.4336871933,3.0323007405,-0.0004381137,0.6877745562,0.0454797914,0.2261548113,0.1054847934,-0.0150356080,1.1661469257,-0.0317293399,-0.0314578886,0.1642070195,BRCA
GSM481018,0.6233310219,1.2251636758,-0.1866339093,0.4303246693,1.1031085612,1.7334114028,2.0706408919,0.7550765921,2.2343735024,-0.0794265362,0.5045298822,0.2085533063,0.2315151641,0.3639775269,0.2141121096,2.1174841297,0.0016573089,-0.0586850560,0.1921581130,BRCA
GSM481019,0.1480567498,0.8228225218,-0.0767777478,0.5678085902,1.2710283052,1.7016554048,1.7256758586,0.6254210535,2.1146705746,-0.0766357747,0.5523835029,0.1781777741,0.2131382933,0.2501373576,-0.0034734730,1.9173197967,-0.0001137497,0.2663718144,0.6524328940,BRCA
