@relation data

@attribute 5436 numeric
@attribute 5437 numeric
@attribute 4331 numeric
@attribute 5435 numeric
@attribute 5438 numeric
@attribute 5439 numeric
@attribute 2071 numeric
@attribute 6874 numeric
@attribute 6872 numeric
@attribute 2068 numeric
@attribute 6908 numeric
@attribute 5440 numeric
@attribute 2957 numeric
@attribute 2959 numeric
@attribute 2958 numeric
@attribute 5441 numeric
@attribute 6882 numeric
@attribute 6883 numeric
@attribute 6884 numeric
@attribute 6880 numeric
@attribute 6881 numeric
@attribute 2966 numeric
@attribute 2965 numeric
@attribute 1022 numeric
@attribute 2963 numeric
@attribute 2962 numeric
@attribute 2961 numeric
@attribute 6875 numeric
@attribute 2960 numeric
@attribute 6878 numeric
@attribute 6877 numeric
@attribute 5431 numeric
@attribute 5430 numeric
@attribute 5433 numeric
@attribute 5432 numeric
@attribute 2968 numeric
@attribute 902 numeric
@attribute 2967 numeric
@attribute Class {Control,BRCA}

@data
11.06244102,10.33896506,6.69676284,12.07353083,11.03306523,7.484019523,10.0776573,9.687087433,8.164904587,8.220113618,9.808393548,6.365977347,6.19672199167,10.27876338,10.74598122,9.950818724,6.021097265,9.785191339,7.3903396625,6.350618223,10.89144978,5.474931823,6.107234293,9.361681261,10.64948099,10.15511583,11.58443655,5.911039136,8.647639314,7.834513538,7.971286497,9.502643438,11.4871292,9.588630847,9.734545643,10.43957668,8.45525079,8.439499644,Control
11.20928598,11.03103278,7.086882265,12.14356347,11.31379869,6.750074255,10.50841903,9.75485875,9.135722787,8.497094498,10.0579109,6.504704302,6.546755609,10.07359638,10.36236061,8.536044277,5.428620839,8.631014334,7.7342694025,5.5164426775,11.18055585,5.210049084,6.586162299,9.155780297,10.72254311,10.98225228,11.41027128,5.99820185,8.485226676,7.4807953015,8.225979952,9.076489033,11.94573106,9.975440003,9.498501844,9.94572954,7.832012647,8.965352223,BRCA
11.27344029,11.02625388,6.839081327,12.38193096,11.43055462,6.90941648,10.71269919,10.16084871,8.307388572,8.892012333,10.09283678,6.401780305,6.85562510067,10.18842847,10.38640712,8.618450775,6.095402957,9.210172782,7.1818242975,6.070670496,11.29154789,5.664561948,6.582656103,9.394656215,11.17512864,11.02694718,11.23391938,5.458620899,8.561241279,7.773135859,7.588473151,9.480992671,11.65775177,9.936402792,9.55547611,10.27514127,7.667131787,8.580466923,BRCA
11.08706186,11.73846187,7.265055029,12.34948589,11.62261253,7.827852559,10.43052602,9.991097026,7.892431063,8.85164062,9.728779829,6.648325671,7.05714631167,9.386358915,9.683346055,8.674016666,5.504788206,8.173203811,6.6136457995,5.5449805545,11.70539708,6.002540089,6.970019164,9.99050151,10.8849167,11.21644291,11.44938612,5.540408023,8.088365735,7.639337982,7.816841466,8.607368346,11.94385185,9.42569906,9.5760667495,10.44466839,7.517316273,7.704562712,Control
11.3442156,10.79386361,6.867961695,12.13760287,11.5269639,6.693630261,9.889641277,9.595509779,9.091903594,8.312657375,9.633676921,6.908516092,6.393300929,9.659657526,10.39839664,7.919118257,5.757564188,8.913428843,6.9668096915,6.3218157935,11.62333067,5.206341637,7.045217151,9.627078354,11.02198648,11.01557728,11.1371034,5.931866956,8.460968914,8.0452593375,7.773437814,9.566592153,11.82274022,9.787507202,9.5036457565,9.47543003,8.195898639,8.732388881,BRCA
10.31037169,9.875964751,6.499332184,10.92233559,9.599160216,6.361510132,10.75975321,9.783674007,8.460644928,8.645353223,9.121838552,5.738505243,6.12875716333,9.681765982,9.709023968,7.686957644,5.868397398,8.850359642,7.645528089,6.2796543925,10.35756331,5.527329405,6.922969386,9.01498366,10.94132297,10.5362572,11.27072181,6.364489812,7.788752789,7.6045245685,7.327600078,10.07813116,11.63953303,10.20626383,9.9366689445,9.72642302,8.0884774495,8.769772669,BRCA
10.67974863,11.62683849,5.895672973,12.15346979,11.33246195,6.933398915,10.0173308,9.802294663,8.2889014185,8.838495753,9.568545732,6.973327498,6.77246409467,8.997272028,9.240762195,8.661565351,6.035630095,8.121094588,8.751271778,5.775584767,11.63838852,6.082580853,6.719438847,9.547121611,10.21664921,10.47933595,11.2607492,6.512547399,8.020564879,7.182653392,6.78836312,7.728874776,11.94707994,8.931979298,9.310331427,9.822443813,7.0980443305,8.357575234,BRCA
11.18055585,11.02111204,6.573196985,12.42339047,11.33541843,5.975453214,10.17798975,10.18512356,7.303212255,7.900747773,10.09936791,7.098982487,5.942053216,10.31245505,10.89094843,8.961436038,5.884604788,10.02000108,7.054603226,6.626526383,11.14770754,5.520745364,6.479895483,9.825825817,11.07640162,10.18342483,11.43055462,5.265109838,8.703844,7.53936133,7.705565218,9.579754867,11.36417449,9.659501442,9.9425822725,9.751904322,8.2150115435,8.78938784,Control
11.62550351,11.34089896,7.327824597,12.19349773,11.31701417,6.260971855,10.24019539,9.845200356,8.2507507325,8.755431019,10.068557,6.517673816,6.17643489533,10.03037096,10.61564829,8.771812245,6.153507065,9.368168734,6.561836431,6.85104186,10.8507848,5.082799703,7.1126508515,10.15470456,11.32848436,10.89238744,11.12137181,6.522546714,8.446185008,7.940330264,7.581748786,9.777995431,11.48468963,9.969027107,9.5458512545,9.751444107,8.2231503775,8.620110863,BRCA
11.31223081,11.14633337,6.996504912,12.31595909,11.64258438,6.154418781,10.10676612,9.518988037,8.961559041,8.379801934,9.813452991,6.645878602,6.51099236,10.04541878,10.38034502,9.146391192,5.416004724,8.918297617,7.3391111975,6.237159834,11.22892405,5.287630431,7.07342704,9.154553037,10.59878323,10.67333141,11.20148395,6.22371757,8.132128405,7.952250149,7.564418422,8.832954179,12.0199261,9.532570767,9.4451757265,10.12301596,8.1149854775,8.305344864,BRCA
