@relation data

@attribute 4208 numeric
@attribute 3725 numeric
@attribute 7867 numeric
@attribute 5599 numeric
@attribute 148022 numeric
@attribute 257397 numeric
@attribute 4205 numeric
@attribute 1432 numeric
@attribute 2002 numeric
@attribute 9261 numeric
@attribute 7189 numeric
@attribute 6416 numeric
@attribute 5516 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 1386 numeric
@attribute 23118 numeric
@attribute 5519 numeric
@attribute 1849 numeric
@attribute 1848 numeric
@attribute 1845 numeric
@attribute 1846 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5600 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 9252 numeric
@attribute 5604 numeric
@attribute 5609 numeric
@attribute 1385 numeric
@attribute 5608 numeric
@attribute 6885 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 466 numeric
@attribute 7098 numeric
@attribute 5528 numeric
@attribute 5595 numeric
@attribute 10454 numeric
@attribute 5598 numeric
@attribute 2353 numeric
@attribute 5594 numeric
@attribute 6195 numeric
@attribute Class {Control,BRCA}

@data
9.521659876,14.72492149,10.72737618,5.939777752,8.990502651,5.7827021795,7.78313105,7.09994864525,9.719046985,7.3429582785,7.37822060033,8.585478725,8.82094285433,11.688477345,12.47196608,8.727649179,6.0750662075,8.486261975,6.089906589,9.368411083,12.65135565,7.713639689,7.621649748,6.7523535558,7.4995792045,11.44994835,5.86129168933,7.256578464,10.49127719,7.887344199,10.707890538,5.85530403967,9.487800372,7.65857270567,6.52702968625,6.205212267,6.277029476,7.96756283667,11.634256725,6.76556701167,7.03030591433,14.72004222,8.27215776867,6.75911088,Control
10.58265505,14.11502538,11.28922369,5.0886580415,8.8269228395,6.0886892785,7.902708426,6.60639379225,9.192268846,7.508147197,7.05787236967,8.106593131,8.45745837133,11.725137905,12.56790862,7.390558334,6.2352424805,7.037171767,6.13986403,8.973347824,12.87602003,7.9725748555,7.563421716,6.347242776,7.383968157,11.52169626,5.85702554217,7.931104142,9.559434991,7.798165773,11.4528809893,6.054235957,9.4310771815,7.51923145167,6.64235424625,5.424931532,6.1753908245,7.44463675467,11.27623323,6.67949367567,7.157624222,13.75148289,7.85669691467,6.746992115,BRCA
9.044121624,14.41297137,11.524772,5.6701097255,8.854112445,5.6822479045,7.507995028,6.58493097,9.676230874,7.067906808,7.01943370733,8.6701660175,8.297715334,11.639330205,12.66850837,7.432878264,6.077757674,6.469405549,6.064587171,8.7236802925,12.21350534,8.42336365,7.8060539105,5.84197348,7.0833900895,11.72288448,5.82716031317,7.428122563,9.65317699,8.166013814,10.8440250817,6.35618041933,8.9013859115,7.197314467,6.2422901355,6.225935832,5.9744687035,7.775337819,11.198356615,7.13302304567,6.689778979,14.33042537,8.11094053067,7.136685014,BRCA
9.709937252,14.08054111,11.77058762,5.7758281875,9.374046924,5.8913697235,7.016310012,6.0589973865,9.684192438,7.5757878185,6.46814411567,8.231806127,7.178084026,11.80875598,12.57347448,6.4694836,6.211699109,7.27396389367,5.01682082,8.5467491645,12.56946885,6.4582917475,6.9189611885,6.4393043462,7.0038486335,11.42772678,5.05698450317,7.4437513505,9.580847928,8.473463378,11.337274206,6.36100294267,8.417672848,6.97936211167,6.33404855075,6.574181472,5.0089445615,7.15936184067,11.274247985,7.27747024367,7.046663354,12.01436934,7.98209816267,7.5978930125,Control
10.17606751,13.43392773,11.29922535,5.704258658,9.049980109,5.7240857145,7.945504008,6.730522711,9.981439248,7.645516256,7.059741909,8.6043275615,8.52183209933,11.458095575,12.75620088,7.558059277,6.0872080685,7.069555338,6.188000892,8.9107455465,12.40419699,8.0824437485,8.1880407455,6.3743216144,6.931778481,11.8471671,6.07725681717,7.794648318,9.966174165,8.264326623,11.0490871027,5.979395943,9.2133861525,7.28840672033,6.76922237325,5.965559928,6.298171367,7.58979746267,11.21839075,6.68095800667,6.79859870533,12.40857396,7.82991936767,7.021079646,BRCA
9.550766562,13.80946823,11.31140223,6.517858181,8.959527725,6.029552273,8.516705752,6.87151716925,9.979768545,7.5964459115,7.331943975,8.9337864765,9.370871616,12.40345346,12.86342169,8.61053686,6.15580083,7.561705909,6.497057936,8.7958369315,12.89109452,9.518144322,8.3174977465,6.511764621,7.4215310095,11.5852209,7.15443493,7.69743404,10.23164154,7.443878302,10.8002004453,5.98125183967,9.9163703245,7.361977291,7.19245125,6.478491062,6.4009452435,7.917623909,11.07534033,6.273083892,6.70524643733,13.96600025,8.18650002,7.5246001185,BRCA
10.64474883,13.91249272,11.77105209,5.6011167705,8.833378894,6.236986736,7.842729237,6.362735412,9.212867878,7.3846532985,6.42166024533,8.457614913,7.46461112133,12.072677105,12.04072818,6.689582656,6.572961414,6.68902141267,5.263890047,9.2109085805,13.23377623,7.717614527,6.747341416,5.495877927,6.239058915,11.16076662,5.4415442,7.844629794,8.977681421,8.963388234,11.1354255073,6.79660585167,8.575344218,7.46619594767,6.5621458705,4.84060329,5.345123689,7.05650117433,11.151396135,6.779059113,7.32404088833,10.44201071,8.451561107,6.923040761,BRCA
8.670303166,13.96294256,11.03612228,5.401013329,8.588742572,5.7126180115,7.642631408,7.0975611175,9.290572499,7.097562405,7.018808194,8.519260169,9.17209626933,11.932399345,12.30526243,8.441575941,6.095394251,7.08180120033,5.865554662,8.501125356,11.86752597,8.2197528715,7.762308173,6.3190254744,6.487104221,11.28922369,5.8607249385,7.921844917,10.00443156,8.267911597,10.258386433,5.93944441167,8.9471097785,7.49696018667,6.575528975,6.691119292,6.1474658955,7.630858662,11.40345044,7.020737198,7.14839452233,14.08516788,8.171538624,6.824884907,Control
8.626175475,14.44356588,11.27393851,5.8779809975,9.2449642545,5.505202515,7.29632232,6.41978303225,10.01823535,7.4254276565,7.05702786333,8.505661469,8.63116965933,11.55756824,12.62816419,7.598929252,6.3311955985,6.71771492967,6.047457275,9.3886960075,12.44264168,8.864788033,8.3694050275,6.1710283688,6.9655385505,11.82274022,6.020187685,7.9904688245,9.452231522,8.382668468,10.6759547673,6.398579306,9.204869818,6.894570391,6.443440984,6.507006194,6.4335405075,7.539110223,10.99057863,6.649348596,6.63685147833,14.82357723,7.91861634733,7.242305488,BRCA
9.596921694,13.15952927,11.09393927,5.5839936855,8.4216094845,6.0411300525,7.098982487,6.2012063225,9.726661428,7.581342169,6.71155131933,8.616861979,8.44322777467,11.593713005,12.69546762,6.79980331,6.2017657865,8.46005630567,5.372961888,8.7461260365,12.83066776,8.0649007185,7.524249938,6.6645194764,6.9279187635,11.64681981,5.75900304267,8.0356480365,9.69476318,8.896605722,11.1110274023,5.92169088967,8.9430429875,6.81342298733,6.26822091,6.207019812,5.4338499695,7.42782175433,11.551814785,7.04562845567,6.691964128,11.55023948,7.74245236133,6.8978346455,BRCA
