@relation data

@attribute 6093 numeric
@attribute 6714 numeric
@attribute 3265 numeric
@attribute 5747 numeric
@attribute 3672 numeric
@attribute 5894 numeric
@attribute 6464 numeric
@attribute 2934 numeric
@attribute 394 numeric
@attribute 5604 numeric
@attribute 5290 numeric
@attribute 4633 numeric
@attribute 3688 numeric
@attribute 1729 numeric
@attribute 4638 numeric
@attribute 387 numeric
@attribute 5595 numeric
@attribute 7094 numeric
@attribute 2534 numeric
@attribute 5294 numeric
@attribute 5829 numeric
@attribute 5295 numeric
@attribute 5216 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCA}

@data
8.331209336,6.75911734333,7.4423513115,9.55016911,9.101017795,10.11570732,9.15105029633,12.56555645,6.360325315,10.49127719,6.685313404,5.711516483,9.30169669467,9.7532516605,9.50331156833,12.37603319,11.634256725,10.9484368,9.2289642325,6.299304767,7.441203595,7.0703331436,12.94594262,8.27215776867,Control
8.399610251,6.586005659,7.8897640555,9.45642471,7.86511636,10.34726733,8.42779587067,10.8456057065,5.609778043,9.559434991,7.098719371,5.8271941275,8.828078384,10.287020445,9.09094023867,12.57624761,11.27623323,10.35004996,8.8907159655,7.09127967,7.229350286,7.6111323212,12.79419988,7.85669691467,BRCA
7.854652002,7.22912163867,7.856102429,8.9981409465,7.148936963,10.45388564,8.45925672733,9.765254005,6.086195285,9.65317699,6.212526175,5.407860596,8.9042892375,10.2421571675,9.01551201767,12.07257321,11.198356615,10.20981921,8.275073194,6.323194968,7.347468842,7.448654099,13.181245845,8.11094053067,BRCA
7.179165475,6.91032494133,8.398114105,9.0133211855,6.516492413,10.09500831,7.73867912133,8.6877288325,6.369340517,9.580847928,5.584068992,5.8881516615,8.75186424133,10.191063992,8.53219426233,12.17972416,11.274247985,10.43742988,8.08464112175,6.299945779,7.84508404,7.6522265588,12.7802358,7.98209816267,Control
7.894031227,6.72839437467,7.697637374,9.0250253645,7.441058314,10.22872886,8.10318445333,11.3981144845,6.195107022,9.966174165,7.405441727,5.573662743,9.13491446,10.0664483445,9.705586173,12.74633592,11.21839075,9.987545106,8.34620788925,7.300126299,7.615006311,7.950268865,13.28927478,7.82991936767,BRCA
9.001704532,6.38912935567,7.3388634815,9.420287121,7.98845907,10.624983,8.70127661067,12.730337715,6.291866548,10.23164154,7.460253403,5.8595748445,9.489530799,10.5044251965,9.68830932967,13.08540943,11.07534033,10.55627639,8.716652398,6.725540512,7.335951076,7.4183463498,12.77346919,8.18650002,BRCA
8.073955593,7.54701473933,7.9742866725,8.8796586,7.580354917,9.961088297,8.36198243367,8.8330062305,6.234822818,8.977681421,6.662423158,6.2923220485,9.251714595,10.080701669,9.12043218767,12.27941189,11.151396135,10.32302692,8.39165280725,7.476910459,7.91692611,8.3350079456,12.884686225,8.451561107,BRCA
7.856831861,7.00963552967,7.7095138065,9.585335464,7.865827785,10.12277013,8.53051419067,12.251012705,6.255128327,10.00443156,6.020263967,5.3157706865,9.23773095817,9.8375875095,9.486682492,11.89259415,11.40345044,10.49035982,8.80415305075,6.726903149,7.737283051,7.757716558,13.27590732,8.171538624,Control
7.307431087,6.85674479767,7.94496816,9.2675642675,7.418993406,9.9831294,8.16926655967,11.001280424,6.351695128,9.452231522,7.205282841,5.5998750555,9.05065703483,10.0531784175,9.58901573033,12.60350703,10.99057863,9.984080577,8.0162301535,6.426437217,7.766232595,7.6719006758,13.49181197,7.91861634733,BRCA
7.897680799,6.973025285,8.148239231,8.984597332,7.512564929,10.28660429,8.39504068233,10.801586248,6.465734233,9.69476318,7.606018576,5.354306944,9.06946628383,10.126245276,9.227921381,12.28213433,11.551814785,10.50808719,8.42904151725,6.76752611,7.647892114,7.3060563712,13.018593535,7.74245236133,BRCA
