@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10451 numeric
@attribute 1432 numeric
@attribute 1437 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2205 numeric
@attribute 2206 numeric
@attribute 2207 numeric
@attribute 23533 numeric
@attribute 2534 numeric
@attribute 26279 numeric
@attribute 27040 numeric
@attribute 2885 numeric
@attribute 30814 numeric
@attribute 3265 numeric
@attribute 3562 numeric
@attribute 3565 numeric
@attribute 3567 numeric
@attribute 3596 numeric
@attribute 3635 numeric
@attribute 3845 numeric
@attribute 3937 numeric
@attribute 4067 numeric
@attribute 4893 numeric
@attribute 50487 numeric
@attribute 5163 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5580 numeric
@attribute 5581 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5609 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5894 numeric
@attribute 6300 numeric
@attribute 6416 numeric
@attribute 64600 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6850 numeric
@attribute 695 numeric
@attribute 7124 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 84647 numeric
@attribute 8503 numeric
@attribute 8681 numeric
@attribute 9846 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,0.0961183231,0.6466643338,-0.1695937390,1.9397812022,0.1866127024,0.0289540433,-0.1200261502,0.0379314159,-0.0448427393,-0.0119043016,-0.1308020603,0.1305850978,1.3452941188,-0.1347588014,1.0380567778,-0.0373341867,-0.1635283750,-0.0627090877,-0.0203942615,-0.0209340285,0.4153290968,-0.1056819162,0.5398415216,1.3243965731,0.1775570724,0.9942950769,0.6502234032,0.0817053106,0.1255568270,-0.1624264398,0.7694715564,0.5895123826,-0.0692120709,0.0252815856,0.4649290608,-0.1550159959,0.5204422609,0.5526649599,0.1474579691,-0.1072664774,0.0410287807,-0.0355448809,0.5276523813,0.4586358647,0.7139937217,-0.0717742680,0.6164951165,-0.1298536299,1.5197282433,0.0778244350,2.0539485763,-0.0495949284,0.2957080686,2.7923812542,0.8595501635,-0.0037733043,0.6409841057,-0.0068966250,0.8519533800,-0.1908973019,0.1797246685,0.5492388602,0.4766545553,-0.1016100206,-0.0286056817,0.1073409411,-0.0013073965,1.1452264407,0.0381532877,-0.0939727227,0.8580704628,0.1745285649,-0.0185022595,BRCA
GSM480985,0.6712534413,0.5367252741,0.5214375071,-0.1215593730,1.4054429928,0.2867683454,0.0329193385,0.0127824537,-0.0435632045,-0.0263181581,0.0315317513,-0.1633702948,0.1473681094,1.1583383579,-0.1858438792,0.5481084954,-0.0726235659,-0.1799587318,-0.0660942230,-0.0459955214,-0.0114801410,0.4587173745,-0.1149276042,0.8633735524,0.8611773475,0.1968964171,0.8471601896,0.8534231111,0.1992576002,0.3438852307,-0.1454714285,1.5476133191,0.4284647065,-0.1087060317,-0.0403548065,0.5753227008,-0.1288519075,0.6196571301,1.2582838460,0.0900841358,-0.0931613796,0.0470336382,-0.0572575263,0.4521202200,0.5649788797,0.7487222366,-0.0165247075,0.6136501327,-0.1761504112,0.8917866104,0.0538346215,1.6670765338,0.0406736651,0.2382422053,2.9129755730,0.7016111224,-0.0928695901,0.6127393824,-0.0052304801,0.9115112276,-0.1585804079,0.2011654340,0.6409502427,0.0235731251,-0.1003832841,0.0503361004,0.1538996255,0.0045720668,0.7300716419,0.1266848337,-0.0914744142,1.1287610356,0.3294028115,-0.0256671410,BRCA
GSM480986,0.3637514705,0.4511935614,0.5058162958,-0.1289680449,1.7577156492,0.2145363198,0.0295116649,-0.0726692492,-0.0710671727,-0.0236322101,0.0265829566,-0.1176880921,0.0857671689,1.5127595663,-0.1426732093,0.9493732134,-0.0494047877,-0.1821055065,-0.0732426170,0.0224967756,-0.0195116988,0.4106089262,-0.1009592382,0.6575351594,1.3830056341,0.1914317616,1.0312913730,0.3758222094,0.0859145318,0.3109857890,-0.1337267348,0.9370587028,0.9117966590,-0.0928383326,-0.0611857715,0.4623138313,-0.1167053968,0.5424212613,0.5517398660,0.1559347632,-0.1167993353,0.1376239613,-0.0447582517,0.5276161861,0.5706250406,0.7966307569,0.0824834229,0.5081571897,-0.1388460667,1.3150411108,0.0844743560,2.3174076223,-0.0793845745,0.2837639618,3.0052631994,1.0316260259,-0.0443309298,0.4839221177,0.0253748071,0.8755208067,-0.1876272273,0.0952468054,0.4793911673,0.3622629331,-0.0526870978,-0.0117659394,0.0129711927,0.0373677311,1.2307780730,0.0289571715,-0.0944506390,0.9668687962,0.1878795014,-0.0375672869,BRCA
GSM480987,0.4741756265,-0.0624555265,0.6135009341,-0.1630511601,1.6769249506,0.2593453904,-0.0206565357,-0.1175609144,0.2019710821,-0.0190172376,0.6367091207,-0.1645482877,-0.0208479114,1.4599798470,-0.1564467188,0.6616964770,-0.0800775427,-0.1676234927,-0.0101402886,-0.0589916677,-0.0762224417,0.2296363310,-0.1015399447,0.2205355243,1.3380605279,0.1067250141,0.5568740662,0.4246866423,-0.0142156617,0.3279566426,-0.1022734639,0.9460729968,0.7047411791,-0.0453715307,-0.0638511606,0.0518714578,-0.1067179610,0.7127369387,-0.0047308279,0.0835026311,-0.1432857454,-0.0638800151,-0.0255207615,0.4570317386,0.5260457562,0.7170214796,0.1031593607,0.3891538004,-0.0662291722,0.5668156716,0.0511663564,1.9121642141,-0.0082405777,0.2364959457,3.1002503070,0.6193592016,-0.0792779010,0.3882937707,0.1567118048,0.4823463641,-0.1317001768,0.0700896732,0.1445394283,-0.1189019291,-0.0333157243,-0.0407701192,-0.1229293533,0.0506385963,0.6115066399,-0.0108663554,-0.0674739266,0.1919102957,-0.0291044030,-0.0200303043,BRCA
GSM480988,0.3666419161,0.3249056081,0.4483090917,-0.1010744666,1.1675294143,0.1712146028,0.0283459227,-0.0844059322,-0.0183549198,-0.0933597851,-0.0273392516,-0.1630984694,0.1404316868,1.6300611323,-0.1585323161,0.4589619954,-0.0292149216,-0.1232804301,-0.0796688943,-0.0282015741,-0.0287684768,0.2562269165,-0.1109214428,0.4268805936,1.0662603861,0.2933101654,0.9700278779,0.5025178531,0.1213094126,0.3674768847,-0.0889533257,0.6583551200,0.6638981731,-0.0905275040,0.0497683862,0.4471929131,-0.0916173798,0.5192004788,0.5682803235,0.0817065693,-0.0806064152,0.1020999426,-0.0458214811,0.4923907940,0.4829891018,0.6912962379,-0.0181701116,0.5512484685,-0.0789457363,1.2879227399,-0.0383270433,1.3670162843,-0.0020592896,0.0441387518,3.0203843170,1.0542960657,-0.0808153128,0.4704262694,-0.0337513612,0.8547642460,-0.1180592581,0.0896705153,0.3725107078,0.1783020112,0.0189469970,0.0001304974,-0.0868716438,0.0609464488,1.2192751382,0.0771683031,-0.0970073136,1.0844853694,0.3824695014,-0.0067790070,BRCA
GSM480989,0.2517094096,0.1505207717,0.4561344552,-0.2037951662,2.3074461223,0.2270790681,0.1155050109,-0.0654569282,0.0487330010,-0.0318046184,-0.0600568494,-0.2095764414,-0.0337748888,1.6843677122,-0.2244989387,1.1103506463,-0.0545651176,-0.1595126757,-0.0296488404,-0.0506024629,0.0041832565,0.2400973081,-0.1408892441,0.4953212294,1.2916537300,0.5070958574,0.8723785451,0.3040667095,-0.0454611126,0.2117079990,-0.1893403782,0.5104212239,0.8988893313,-0.1293772552,0.0892012249,0.0851336450,-0.1360183945,0.5099837124,0.7895882334,0.0811992555,-0.1211765001,-0.0322800519,-0.0312786761,0.4168803811,0.8519349658,0.5911021925,0.0375987290,0.2192373374,-0.0408563306,2.1237873399,0.0375365682,2.3223415930,0.1581356411,0.3176934777,3.3091132243,1.1131860649,0.0289643569,0.4437155496,0.0401129422,0.4700387904,-0.2381484006,-0.0037837656,0.2630944657,0.3515520029,0.0206640526,-0.0217998318,0.0192166491,-0.0004577507,0.9678320248,0.0016130909,-0.1266324983,1.0210926999,0.0964685533,-0.0429004788,BRCA
GSM480990,0.3166647480,0.1058793579,0.3805084057,-0.1786900770,2.3939645291,0.2749733657,0.0175347657,-0.1234474166,-0.0813402728,-0.0240894286,0.2139598701,-0.1961200461,-0.0615145761,1.6475978081,-0.1642219100,1.1067612915,0.0218796361,-0.1643242365,-0.0061980326,-0.1067628994,0.1226884197,0.3191353141,-0.0870639890,0.3857769494,0.9421872181,0.2884922469,0.3677679448,0.4307222246,0.1950829520,0.8327552467,-0.1406402458,0.5701667320,1.2032701898,-0.0395780219,0.0689168425,0.0535681572,-0.0898634362,0.7009938896,0.2493265960,0.1371517299,-0.1211324487,0.0342884361,-0.0712438510,0.4040678319,0.5468216389,0.5124700949,0.1545863018,0.1815268757,-0.1292774052,1.1991209335,0.1245269666,2.2060846408,-0.0766200014,0.3639611033,3.4219261243,2.0059911716,-0.0021857500,0.3387474729,0.1445519146,0.3495328669,-0.1509928071,0.0120991491,0.3107558547,0.0213613135,-0.0075551886,-0.0152148257,-0.0486021041,0.0988269611,0.7456460687,0.0907412291,-0.0644726796,0.6030732589,0.0420042299,-0.0335217410,Control
GSM480991,0.2500861962,0.2550788322,0.4695376563,-0.2068232434,1.8290236989,0.2449685031,0.0476327059,-0.1031589601,0.0327042871,0.0096481766,0.0233230338,-0.1503309552,0.0564424087,1.5652074934,-0.1530424226,0.9763167946,-0.0695734364,-0.1673133309,-0.0719654648,-0.0838136621,0.0189339676,0.3643042232,-0.1350603652,0.6900864716,1.1985398679,0.2061829277,0.6418447939,0.3718392522,0.0580118667,0.4582523614,-0.1590461786,0.6246844594,0.9586069049,-0.0974779120,0.0170060712,0.3006239996,-0.1325406850,0.5280418684,1.0544374994,0.0569693500,-0.0960165404,0.0229694380,-0.0437575242,0.5071865046,0.6482640730,0.7236467786,0.1750445278,0.3723191662,-0.1158871563,1.5476096728,0.0588836264,2.3923240316,-0.0620754509,0.2691069538,3.2534763878,1.3671808253,-0.1098704728,0.3654298311,0.1220167010,0.4903383693,-0.1555784853,0.0441448208,0.3851343730,0.2107880569,-0.0544032358,0.1726690396,0.1669772696,0.0497137843,1.1582878667,0.0888705028,-0.0359721972,1.0204976901,0.1965026405,0.0014457776,Control
GSM480992,0.2476967987,0.1594127794,0.3800862124,-0.2047364831,2.3328941266,0.3295684198,0.0556084164,-0.0821689117,-0.0269275308,0.0098416810,0.0886958316,-0.0807515533,0.0273010123,1.5792976092,-0.1702371733,1.1827308424,0.0362902686,-0.1594729364,-0.0574405404,0.0006584926,0.0103130608,0.2580534183,-0.1192715805,0.5914832216,0.6252961718,0.2007235593,0.5632396906,0.3555988693,-0.0417928508,0.7112178834,-0.1480111448,0.5310987036,1.3458300016,-0.0784324081,-0.0428917559,0.0649529850,-0.1171101684,0.6497552522,0.9864738678,0.1225340664,-0.1356904655,0.1067663197,-0.0563441113,0.4130200728,0.9082788116,0.4097217267,0.1619838233,0.3079451628,-0.0921796232,1.8157576812,0.1346057261,2.7852531727,-0.0874094128,0.3634628315,3.4460021522,1.7252863166,-0.0008847047,0.3105769333,0.0927470139,0.3735262640,-0.2370605347,0.0183351703,0.4019502806,0.2635266241,-0.0302590407,-0.0538811761,-0.0769597430,0.0592768053,1.0597993181,0.1023189561,-0.1020730189,0.7441449755,0.4621570739,0.0493092931,Control
GSM480993,0.3786722400,0.1350385027,0.5930127984,-0.1150382765,1.9907199673,0.3003267815,0.0153901557,-0.1059925269,-0.0097680694,0.0090587195,0.0776393937,-0.0912148149,0.0333401057,1.5582134934,-0.1093270703,0.9945207685,-0.0319663664,-0.1424055492,0.0129006933,0.0230614987,0.0294688444,0.2800151646,-0.1314677842,0.6061963768,1.2895348594,0.1502779570,1.0416793153,0.3556248992,-0.0141177758,0.3843497409,-0.1081225405,0.7338769277,0.9450695349,-0.1271151884,-0.0462477463,0.1574272978,-0.1147723211,0.5661468516,1.1561504492,0.1051260916,-0.1144585606,0.0480869768,-0.0636180496,0.4741801064,0.7940912880,0.7140314231,0.0750380798,0.5537918077,-0.0937452182,1.6241304980,0.0415849929,2.5135206126,-0.0401579579,0.2558302714,3.0886874926,1.2646617638,-0.0278967686,0.3602931440,0.0791702164,0.6978857851,-0.2043673582,0.0562111053,0.4506590302,0.3405437194,-0.0557189019,-0.0270253466,0.0286861091,0.0656672766,1.1964946893,0.1047748183,-0.1019331116,1.0595477061,0.1647578252,0.0282645599,Control
