@relation data

@attribute 841 numeric
@attribute 596 numeric
@attribute 8837 numeric
@attribute 5147 numeric
@attribute 836 numeric
@attribute 1072 numeric
@attribute Class {Control,BRCA}

@data
5.6639776582,8.4944607845,11.98737426,8.730589968,7.931813168,12.5506675,Control
5.8528914586,7.97569312475,12.5292244,8.183475504,8.1988449165,12.5801856,BRCA
5.7897319854,7.84053328475,11.86027624,8.595072003,8.03923302,12.67483341,BRCA
5.6257131728,7.5957045875,12.50251243,8.773239058,8.049352819,12.73346456,Control
5.7767472574,7.8450723755,12.26224618,8.969617568,8.040914571,12.90048482,BRCA
6.1557894346,7.89616385625,11.64430934,8.477749287,8.276164252,12.64577331,BRCA
5.645039366,7.264331835,12.89557628,8.675799285,8.3070644095,13.07861622,BRCA
6.1264922834,8.05261194825,11.28307404,9.442757511,8.3666695385,12.73346456,Control
5.8838277246,7.87109163775,11.75034492,9.093306057,8.288078818,12.83574159,BRCA
5.7581840748,8.23267903825,12.5617021,8.390557125,7.806017873,12.64987931,BRCA
5.3816807882,7.66150020625,11.30927755,8.698323652,8.021098551,12.6255337,BRCA
6.0308489854,7.69919135975,11.86370244,8.919415413,8.158617651,12.73839215,Control
5.9638642464,8.09596774125,11.85228967,9.158168561,8.264536249,12.71973005,Control
6.0564723368,8.2876995905,11.32122928,9.175874557,7.961727034,12.72471214,BRCA
5.9408978668,7.76711974975,11.54164129,9.249149683,8.3844099225,12.41466417,BRCA
5.9484693628,7.94296329425,11.16916418,9.32491247,8.1522695415,13.01183005,BRCA
5.7945629282,8.49738614725,10.91211486,9.018965929,8.071465941,12.62816419,BRCA
5.8306412028,8.0343733815,10.84277875,9.507299682,8.4046207015,12.80568549,BRCA
5.884185454,8.36146716375,10.49079602,8.986873881,8.161427938,12.5850741,BRCA
5.3899325582,6.96857569025,7.00736687,10.54782505,9.1174736295,13.78053775,BRCA
