@relation data

@attribute id string
@attribute 8557 numeric
@attribute 7140 numeric
@attribute 4703 numeric
@attribute 7125 numeric
@attribute 4634 numeric
@attribute 7139 numeric
@attribute 4633 numeric
@attribute 7169 numeric
@attribute 4632 numeric
@attribute 7168 numeric
@attribute 4635 numeric
@attribute 7273 numeric
@attribute 1756 numeric
@attribute 7111 numeric
@attribute 7137 numeric
@attribute 7138 numeric
@attribute 7135 numeric
@attribute 7136 numeric
@attribute 7134 numeric
@attribute 7431 numeric
@attribute 4621 numeric
@attribute 4604 numeric
@attribute 1674 numeric
@attribute 4624 numeric
@attribute 4626 numeric
@attribute 7171 numeric
@attribute 4607 numeric
@attribute 4606 numeric
@attribute 7170 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute Class {Control,BRCACancer}

@data
C05,-0.2599,0.1425,0.0015,0.1,0.0859,-0.0334,-0.0203,0.0591,-0.0511,0.2122,0.1174,0.1848,-0.0763,0.0426,-0.1052,0.1568,0.111,0.1965,0.0539,2.2442,-0.0753,-0.0978,0.1011,-0.056,-0.0704,0.3608,0.1011,-0.0232,0.2645,-0.0427,0.0165,BRCACancer
C06,-0.1422,-0.0457,-0.069,-0.0308,0.1691,0.0499,-0.0459,-0.0908,-0.1796,0.0835,0.1273,0.0423,-0.1676,-0.0047,-0.1191,0.0638,0.0366,0.1765,0.0066,0.7629,-0.1097,-0.045,-0.0133,0.0295,-0.2029,0.3111,0.0942,-0.1997,0.161,0.0011,-0.1964,Control
C07,-0.0174,0.0797,0.0366,0.0666,0.0859,0.007,0.0104,0.0392,-0.0557,0.2884,-0.0864,0.2569,-0.1031,0.0782,-0.0356,0.1737,-0.0011,-0.0309,0.1551,2.1351,-0.1468,-0.0688,0.0813,-0.0809,-0.1139,0.3639,0.075,-0.1196,0.3578,0.0259,-0.0635,Control
C08,-0.0045,0.0465,-0.0027,0.1465,0.0779,0.0296,-0.0577,0.0245,0.0245,0.3473,-0.0431,0.2585,-0.1004,0.1323,-0.0997,0.1061,0.1063,0.0761,0.2652,2.1547,-0.0131,-0.0857,0.0523,-0.1188,-0.1661,0.4303,0.0776,-0.0611,0.4102,0.0101,-0.0734,Control
C09,-0.0899,0.1143,-0.0308,-0.004,0.0795,-0.1133,0.0753,0.0193,-0.0327,0.2033,-0.0727,0.1644,-0.0811,0.0875,-0.1512,0.1306,0.0247,0.0752,0.0509,2.1439,-0.06,-0.0261,-0.0075,-0.039,-0.1267,0.464,0.1389,-7e-04,0.3649,-0.0477,-0.0652,Control
C10,-0.2186,0.0933,0.0187,-0.0378,0.0195,-0.0201,-0.0328,0.0873,-0.0138,0.2834,0.0208,0.2364,-0.0957,0.1246,-0.064,0.1232,0.0895,0.1596,0.1148,1.9828,-0.1001,-0.061,0.0915,-0.0579,-0.1141,0.3748,0.0866,-0.0255,0.4259,-0.0126,0.0124,BRCACancer
C11,-0.3319,0.1282,-0.0235,0.1379,0.0252,-0.04,0.0039,0.1276,-0.0521,0.4701,-0.049,0.2678,-0.0681,0.0993,-0.1288,0.1606,0.0088,0.2047,0.1636,2.2209,-0.0176,-0.1052,-0.0219,-0.0893,-0.1026,0.6883,0.1511,-0.0629,0.4721,-0.0321,0.0327,Control
C12,-0.1149,0.1024,-0.0051,0.1371,0.0803,-0.0253,-0.0405,-0.0452,4e-04,0.3796,0.0266,0.1723,-0.0751,0.0427,-0.1076,0.1355,0.0402,0.0285,0.2814,1.7891,-0.103,-0.0625,0.094,-0.0951,-0.0814,0.3257,0.0742,-0.0928,0.2454,0.0196,0.0048,BRCACancer
D01,-0.1281,0.0543,0.0119,-0.0547,0.2024,0.0753,-0.0067,0.2183,-0.0436,0.3645,-0.0603,0.5913,-0.1314,0.0042,-0.1135,0.0192,0.0045,0.1221,0.3281,1.9163,-0.0355,-0.0589,0.0374,-0.0675,-0.2085,0.7383,0.0616,-0.2125,0.6778,-0.0472,-0.0562,BRCACancer
D02,-0.0561,0.051,-0.0196,0.0063,0.022,-0.0347,0.0349,0.0867,-0.0188,0.4256,-0.0263,0.3231,-0.0572,0.1172,-0.0787,0.1816,-0.0201,0.0708,0.04,2.156,-0.0458,-0.0517,0.0603,-0.0505,-0.0661,0.5382,0.1109,0.0201,0.3615,0.0014,0.0249,BRCACancer
D03,-0.2327,0.0438,-0.0075,0.0033,-0.0194,-0.0585,-0.0233,-0.0544,-0.0792,0.3143,0.1379,0.1782,-0.0977,0.0614,-0.0598,0.0685,0.0836,0.0883,0.144,2.1371,-0.1094,-0.0913,0.0716,-0.0245,-0.1137,0.4158,0.0721,-0.0366,0.3546,-0.0255,-0.0447,BRCACancer
D04,-0.205,0.0186,-0.0335,0.031,0.157,-0.0368,-0.1416,0.0351,-0.1256,0.3131,-0.0918,0.1848,-0.0916,0.0447,-0.092,0.1537,0.0172,0.115,0.1942,2.5598,-0.0689,-0.0719,0.019,-0.0282,-0.1259,0.5231,0.138,-0.1042,0.4413,-0.0063,0.0721,BRCACancer
D05,0.081,0.0602,0.0354,-0.0549,0.093,0.0118,0.0015,0.1111,-0.0646,0.4227,-0.031,0.1549,-0.1074,-0.0185,-0.098,0.0667,0.1701,0.1164,0.2047,2.4518,-0.0996,-0.0955,0.1481,-0.086,-0.0922,0.4574,0.0809,-0.0913,0.4795,0.0096,-0.0142,BRCACancer
D06,-0.0409,0.1046,-1e-04,-0.0144,0.121,-0.0039,1e-04,0.1492,-0.0792,0.3504,0.1464,0.2628,-0.1043,0.0674,-0.0687,0.129,0.0299,0.1097,0.1968,2.482,-0.052,-0.0657,0.0571,-0.0353,-0.147,0.5965,0.1243,-0.0436,0.5078,-0.0259,0.0172,BRCACancer
D07,-0.2446,0.0317,-0.0248,0.0429,0.0783,-0.0432,0.0096,0.0965,-0.0417,0.4645,0.0218,0.159,-0.077,0.0837,0.0205,0.0895,7e-04,0.2032,0.1767,2.5127,-0.0499,-0.0632,0.1037,-0.1057,-0.0785,0.4867,0.0941,-0.0583,0.4487,-0.0345,0.0092,Control
D08,-0.0208,0.0595,-0.0358,0.1032,0.1578,0.0471,0.0318,-0.074,0.0397,0.2761,0.0407,0.1633,-0.1052,0.0774,-0.1058,0.1246,0.0801,-0.0348,0.1634,2.2831,-0.1085,-0.1208,0.065,-0.1178,-0.1308,0.4223,0.0227,-0.1591,0.3547,0.0143,-0.0504,Control
D09,-0.0965,0.0409,-0.0298,0.0421,0.1342,-0.0956,-0.0383,0.0577,0.0247,0.3857,-0.1129,0.2152,-0.1016,-0.0484,-0.1699,0.1408,0.0476,0.2117,0.0982,2.1791,-0.0643,-0.0795,0.0806,-0.04,-0.1781,0.467,0.1307,-0.0905,0.4513,-0.0229,-0.0948,Control
D10,-0.1844,-7e-04,0.0378,0.665,0.1543,0.0584,-0.0274,0.0137,-0.035,0.3043,0.3602,0.1963,-0.0944,0.0919,-0.0985,0.1131,0.0631,0.0455,0.1842,2.3752,-0.0248,-0.0842,0.0572,-0.0602,-0.1124,0.316,0.0395,-0.0587,0.2944,-0.0191,-0.0383,Control
D11,-0.2995,0.0653,-0.0764,0.0328,0.2149,0.0645,0.2382,-0.0842,-0.0622,0.2341,0.0913,0.1331,-0.1295,0.036,-0.1577,0.0313,0.0067,-0.0247,0.1707,1.3392,-0.0731,-0.0793,-0.0808,-0.0305,-0.1618,0.3167,0.0314,-0.2003,0.2967,-0.0402,-0.0208,Control
D12,-0.1129,0.0926,-0.0498,0.0609,0.0299,-0.0405,0.0137,0.1608,-0.0627,0.2954,0.0542,0.1012,-0.0709,0.1369,-0.0285,0.1334,0.0664,-0.0448,0.1132,2.3474,-0.0319,-0.0689,0.1012,-0.0274,-0.0999,0.4419,0.0969,-0.0597,0.2308,-0.0362,0.0643,Control
E01,-0.2088,0.1041,-7e-04,-0.0233,0.0343,-0.0883,0.0705,0.0194,-0.0062,0.1711,-0.061,0.1672,-0.0898,8e-04,-0.0974,0.1233,0.1033,0.0179,0.0094,2.4865,-0.1031,-0.064,0.0411,-0.0898,-0.1111,0.3965,0.0166,-0.1503,0.3716,-0.0695,-0.012,BRCACancer
E02,-0.2731,0.1045,0.0261,0.1131,0.0334,-0.075,-0.1018,0.0355,-0.0671,0.3651,-0.0789,0.366,-0.097,0.0684,-0.0765,0.1044,0.0205,0.1457,0.1129,2.0055,-0.0389,-0.0549,0.0272,-0.0736,-0.1424,0.4792,0.0664,-0.0719,0.5124,-0.0022,0.0271,Control
E03,-0.164,0.1789,0.0127,0.0474,0.0181,-0.0231,-0.0173,0.0484,-0.0959,0.3885,-0.0472,0.2051,-0.0697,0.0874,-0.0305,0.1004,0.0418,0.1362,0.0598,2.3841,-0.0175,-0.0533,0.1234,-0.0595,-0.1326,0.4223,0.1296,-0.0677,0.2835,-0.0097,0.0159,Control
E04,-0.2224,0.2374,-0.0096,0.3329,0.0212,0.0822,0.0269,0.1506,-0.1147,0.4338,-0.0457,0.3088,-0.083,0.0816,-0.0441,0.167,0.1045,0.0675,0.2257,2.4017,0.0181,-0.0427,0.1103,-0.0786,-0.0705,0.7024,0.12,-0.0101,0.4884,0.0161,0.0514,Control
E05,0.0838,-0.0137,0.038,0.0538,0.2686,-0.0066,-0.1339,0.0766,-0.0483,0.3682,0.202,0.3827,-0.1386,0.4222,-0.1728,-0.0198,0.0811,-0.0092,0.2299,1.7916,-0.0581,-0.0977,0.0391,-0.0676,-0.1324,0.4186,0.0348,-0.1438,0.4744,0.0123,-0.0487,Control
E06,-0.266,-0.1262,0.0547,-0.2039,0.304,0.2002,-0.0253,-0.1374,0.0266,0.187,0.0223,0.1966,-0.1695,-0.0513,-0.3245,-0.0875,0.0431,-0.1878,0.3585,2.285,-0.1799,-0.1405,0.0504,-0.1085,-0.2054,0.3232,-0.006,-0.2871,0.6537,-0.0515,-0.1944,BRCACancer
E07,0.0039,0.0706,0.0023,0.0919,0.0319,-0.0255,-0.0068,0.2597,-0.0565,0.5865,-0.0715,0.1648,-0.0674,0.044,0.1442,0.2929,0.0419,0.1014,0.1467,2.7981,-0.0627,-0.0415,0.0832,-0.0345,-0.0958,0.6464,0.0277,-0.0317,0.5372,-0.0385,-0.0292,BRCACancer
E08,-0.2064,0.0647,0.0011,0.0236,-0.0055,-0.048,-0.049,0.0414,-0.0734,0.3962,-0.0696,0.2695,-0.0693,0.0761,0.05,0.1465,-0.0764,0.1342,0.1161,2.3625,-0.0814,-0.0878,0.095,-0.0808,-0.1261,0.4501,0.1173,-0.0636,0.4673,-0.0069,-0.0027,Control
E09,-0.1078,0.1502,0.0238,0.5652,0.0271,-0.0049,0.0375,0.0099,-0.1077,0.4907,-0.0734,0.2572,-0.0645,0.1798,-0.0337,0.1799,0.0368,0.0736,0.0911,2.1972,-0.0637,-0.0307,0.0023,-0.1003,-0.1075,0.5576,0.0435,-0.0583,0.4247,-0.0309,-0.0055,BRCACancer
