@relation data

@attribute id string
@attribute 1605 numeric
@attribute 2776 numeric
@attribute 3706 numeric
@attribute 3707 numeric
@attribute 427 numeric
@attribute 820 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,2.1143498631,0.5726595125,-0.0670061112,0.1322087557,1.4941328913,-0.0910400845,BRCA
GSM480985,1.7600219601,0.6760796893,-0.0230735734,0.1966778544,2.2418435123,-0.0228043250,BRCA
GSM480986,2.1784036439,0.5903858004,-0.0389096712,0.1661377090,1.6952060321,0.0147778929,BRCA
GSM480987,1.3052779489,0.6081153182,0.2089352406,0.1685485557,1.3319369191,-0.1030090239,BRCA
GSM480988,1.9334251161,0.4102926908,-0.0851195735,0.1168976396,1.6632971279,-0.0674661944,BRCA
GSM480989,2.9312561751,0.5169472916,-0.0714727500,0.2858949723,1.3767889477,-0.0813194266,BRCA
GSM480990,2.5415902278,0.5721652171,0.0643069084,0.3496424193,1.0959475488,0.0191974478,Control
GSM480991,2.5050056121,0.6132513040,-0.0954564459,0.2424068378,1.7887687180,-0.0238906682,Control
GSM480992,2.7262230341,0.4795048717,0.0143967219,0.2748354820,1.3274090029,-0.0014812882,Control
GSM480993,2.3176537262,0.5834782023,-0.0401737979,0.2564080019,1.5633234018,0.0083633621,Control
GSM480994,2.8173393362,0.4947699059,-0.0411929514,0.2256572022,1.3961486848,-0.0651014981,Control
GSM480995,2.3782729402,0.6575045561,-0.0282662301,0.2674333772,1.7394011933,-0.1106746280,Control
GSM480996,2.1475778748,0.5177001104,0.0933670514,0.2382927253,1.2604175116,0.0156014024,BRCA
GSM480997,2.0196074212,0.5036468079,0.0136374157,0.2697126481,1.2956830636,-0.0761960184,BRCA
GSM480998,1.8670196113,0.4583889345,-0.1457155575,0.1275421348,1.3475050372,0.1644774591,BRCA
GSM480999,2.1675638311,0.6660052047,-0.0454558816,0.1828318072,1.8052986338,-0.0841598879,BRCA
GSM481000,1.8031246626,0.5036987881,-0.0004733385,0.0773505831,1.8960752040,-0.1168095236,BRCA
GSM481001,2.4000820624,0.7671558328,-0.0627818266,0.1879438072,1.8926327973,-0.0632486726,BRCA
