@relation data

@attribute id string
@attribute 5436 numeric
@attribute 5437 numeric
@attribute 56949 numeric
@attribute 5434 numeric
@attribute 4331 numeric
@attribute 5435 numeric
@attribute 5438 numeric
@attribute 5439 numeric
@attribute 2072 numeric
@attribute 2071 numeric
@attribute 2074 numeric
@attribute 2073 numeric
@attribute 2068 numeric
@attribute 5440 numeric
@attribute 5441 numeric
@attribute 2067 numeric
@attribute 2965 numeric
@attribute 1022 numeric
@attribute 6917 numeric
@attribute 5431 numeric
@attribute 5430 numeric
@attribute 5433 numeric
@attribute 1161 numeric
@attribute 5432 numeric
@attribute 2968 numeric
@attribute 902 numeric
@attribute 2967 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.4112,1.1046,0.7861,0.9985,0.3161,0.7216,0.1991,0.8592,0.8897,0.9639,0.8001,1.8812,0.3536,1.1193,0.8237,0.6365,0.9361,0.5741,0.4905,2.0596,1.5867,0.7907,0.2869,1.1733,0.3109,1.626,1.2507,Control
A02,1.1321,0.9106,0.6823,0.873,0.1346,0.4074,0.0868,0.7115,0.6126,0.7176,0.5142,1.6434,0.2581,0.925,0.6974,0.5973,0.5947,0.3587,0.269,2.0604,1.4247,0.6527,0.1674,0.913,0.1316,1.2003,0.9149,Control
A03,1.3466,0.9876,0.7951,1.0436,0.2105,0.7004,0.1291,0.8542,0.7144,0.9385,0.6716,1.7519,0.3958,1.1115,0.691,0.6674,0.7758,0.5493,0.4675,2.0325,1.6028,0.7658,0.2184,1.1436,0.235,1.5333,1.0688,Control
A04,1.2275,1.0146,0.7661,0.9307,0.1798,0.5789,0.2888,0.8809,0.5935,0.7658,0.4821,1.6039,0.3302,1.1223,0.7874,0.5678,0.5436,0.5533,0.2934,2.1122,1.4929,0.672,0.1971,1.0835,0.2444,1.4337,0.8439,Control
A05,1.4238,1.0117,0.8794,1.1613,0.1989,0.7281,0.4039,0.9178,0.7061,0.8599,0.7011,1.6721,0.4459,1.0206,0.9355,0.7223,0.6282,0.5475,0.3704,2.0898,1.6063,0.7545,0.2766,1.0597,0.3158,1.4419,1.0253,Control
A06,1.3221,0.9888,0.7457,1.0126,0.1536,0.634,0.2062,0.9302,0.768,0.7976,0.6448,1.6779,0.301,0.9865,0.8716,0.6778,0.6772,0.4938,0.2505,1.991,1.4852,0.6394,0.2438,1.063,0.2892,1.421,1.0165,Control
A07,1.2395,1.0136,0.7217,0.9793,0.3843,0.7275,0.1469,0.7142,0.8271,0.8856,0.7426,1.7194,0.3376,0.932,0.6767,0.6844,0.8017,0.5297,0.4042,2.0837,1.5124,0.805,0.3327,1.107,0.2985,1.7099,1.0785,Control
A08,1.0783,0.8421,0.65,0.6605,0.5743,0.5969,0.0162,0.8682,0.8076,0.9227,0.8079,1.7679,0.2761,0.9012,0.6333,0.5925,0.7686,0.5947,0.6647,1.9818,1.6185,0.6453,0.3041,0.9158,0.1543,1.8094,0.9915,Control
A09,1.3253,0.9198,0.7805,0.9128,0.3797,0.5718,0.2098,0.8829,0.6822,0.8179,0.7302,1.7704,0.2396,0.8544,0.5969,0.5485,0.634,0.5279,0.4225,2.0086,1.4899,0.6954,0.2114,0.9853,0.1649,1.6033,1.139,Control
A10,1.2843,0.9751,0.7233,0.9619,0.3731,0.6541,0.3109,0.9141,0.6982,0.9627,0.7594,1.6955,0.331,1.0208,0.7347,0.5777,0.6367,0.6165,0.3801,2.1441,1.5522,0.6526,0.3131,0.9887,0.1928,1.8899,0.9752,Control
