@relation data

@attribute 6655 numeric
@attribute 5599 numeric
@attribute 9459 numeric
@attribute 50649 numeric
@attribute 9828 numeric
@attribute 26574 numeric
@attribute 57580 numeric
@attribute 9826 numeric
@attribute 50650 numeric
@attribute 84033 numeric
@attribute 23370 numeric
@attribute 27237 numeric
@attribute 10276 numeric
@attribute 4803 numeric
@attribute 25791 numeric
@attribute 2245 numeric
@attribute 221472 numeric
@attribute 4804 numeric
@attribute 572 numeric
@attribute 8997 numeric
@attribute 10018 numeric
@attribute 1894 numeric
@attribute 9500 numeric
@attribute 6453 numeric
@attribute 393 numeric
@attribute 26230 numeric
@attribute 11214 numeric
@attribute 8874 numeric
@attribute 23365 numeric
@attribute 7409 numeric
@attribute 5923 numeric
@attribute 5924 numeric
@attribute 23229 numeric
@attribute 29 numeric
@attribute 89846 numeric
@attribute 9181 numeric
@attribute 23263 numeric
@attribute 7410 numeric
@attribute 7074 numeric
@attribute 57449 numeric
@attribute 121512 numeric
@attribute 10451 numeric
@attribute 5879 numeric
@attribute 64857 numeric
@attribute 7204 numeric
@attribute 6654 numeric
@attribute 4168 numeric
@attribute Class {Control,BRCA}

@data
7.867620258,5.939777752,12.79680929,6.3517901525,9.676706901,10.13424056,7.464221286,7.02290830967,11.35888208,6.158968739,10.94302045,5.922204539,10.556253043,7.388170429,5.97762982,7.946147637,6.9975990305,5.934641074,7.546352606,5.232084664,5.87108590033,7.470132382,8.75314695675,8.58509549533,9.102619505,6.7730895085,9.75407577167,7.11874968225,8.942471345,6.878146348,5.609342323,6.338429429,7.42286607,7.662020075,9.385852225,11.83642135,4.608708777,6.567960352,7.267093607,5.5039318632,6.58845652,7.93680944967,8.85850435833,8.209503475,8.413925243,8.001564595,5.549215754,Control
7.609956448,5.0886580415,11.91536041,6.1249982985,9.387667941,10.07879165,7.664111461,7.21726232233,11.66148208,7.534266158,10.980761,6.234966481,9.793071169,7.536346549,6.579885831,8.417790424,7.374543743,6.734171472,7.48196166867,5.28598330633,5.827033654,8.242341843,8.506284956,8.00817691533,9.126240571,7.4265821265,10.1021508257,6.81468351325,8.967342365,6.418236866,5.4226454465,5.667687262,7.466547848,7.91308819033,9.932695001,11.86434298,5.210049084,6.809868189,6.708673956,5.5296944874,6.724483583,7.27227977433,9.23532012167,6.59182572,7.815256994,7.481398095,5.309804873,BRCA
7.575257723,5.6701097255,12.27822446,6.0455148775,9.154932713,10.39014238,6.699055749,7.14763954633,11.67556248,8.031551137,11.31587145,6.681523496,9.72766784533,7.765321119,6.570846646,8.656193446,7.0695944005,6.822829314,7.496409352,5.38249687267,5.72023499933,7.976365247,8.92632866025,7.35940366733,8.727325837,7.402572591,10.3766047927,6.9184467285,8.842775487,6.805650779,5.6524911955,5.321216715,7.473768904,7.65395101367,9.731446799,11.64258438,5.014814152,6.661354578,7.120655524,5.187591916,6.372086382,9.43574702267,9.280236709,6.52305663,7.564418422,7.228580927,5.751484642,BRCA
6.838009842,5.7758281875,12.44726543,6.641050264,9.296423637,10.50744312,8.649598507,8.05055294367,12.06924173,8.531109589,11.08987103,7.902979691,8.86323802867,7.799736743,5.876032641,8.483192145,7.501898582,6.822733732,7.166098701,5.33101714433,6.192824595,8.783359349,8.5746755305,7.43531200933,9.464776035,8.1271944075,9.73313979633,6.8753532685,9.400581223,6.327333135,5.626407627,5.182703468,6.492979261,7.75211328,10.05209289,12.14617574,5.088111112,7.454260475,6.018929689,5.4178203034,5.89251929,9.46805618433,9.422761191,6.894214872,7.054634501,6.648325671,6.252954533,Control
7.652900753,5.704258658,11.8295207,6.1770987645,8.542839504,10.44344636,7.356190313,7.28998991667,11.21556957,7.473626866,10.6623838,6.309981606,10.766641762,7.144329712,6.265667198,8.053791683,7.68209973,6.25333282,7.33013335533,5.34723426533,5.97099375467,7.97154517,9.1288215945,7.84607777533,8.798116248,7.4227526125,10.2220662527,7.042316968,8.361144506,6.328276055,5.523825652,5.527485802,7.306383297,7.65495777833,9.292592616,11.49963678,4.595204309,6.817626854,6.811667297,5.3066397206,5.808521004,9.27353650767,9.29741101033,6.124023706,7.52505313,7.634958261,5.923036985,BRCA
8.522033306,6.517858181,12.2142175,6.1064243495,8.851312673,10.77988986,7.322516605,7.03831259267,11.63008747,6.899541591,11.12068843,6.245415441,11.2722185687,7.044998189,7.069103653,8.031385719,6.4788142175,5.569408493,6.96976629,5.67713604133,5.793631731,8.237976077,8.76354118,8.27037808833,9.250168786,7.56770175,10.5437227833,7.04212019375,8.091899625,6.682787905,5.1523846775,6.134996739,7.699678504,7.850845558,9.379552262,11.42649031,5.0188247,6.255789266,8.157600995,5.3064054026,6.583726382,8.79005616867,9.14697742367,6.940786709,8.372735718,8.19601328,5.098043929,BRCA
6.760091594,5.6011167705,11.65213254,6.621286377,9.186362588,9.672072194,8.485800258,8.002113911,12.32769025,8.178666251,11.0724812,7.569269157,8.755852544,8.198753346,5.51191964,9.185817698,7.630703593,6.682577247,6.54175895867,6.03593257567,5.92888653467,9.588822892,8.74581380875,7.38624643133,9.604535218,7.7634108645,9.50452125533,7.086501719,10.10617723,5.926361974,5.1035551,5.414821571,6.62585904,7.293267547,10.81714378,11.9128857,5.14487361,7.449419254,7.929822244,5.2348226062,5.949599858,9.720502086,9.62804284167,6.929261738,8.480952861,7.292025067,6.169329391,BRCA
7.907583411,5.401013329,12.04345466,6.290448296,9.32491247,10.21608532,7.364684318,6.58638857667,11.59376472,6.692968069,10.97310559,6.26697916,10.2599018737,8.277683912,6.304516175,7.94040335,7.953855834,5.956063188,7.84441516067,5.58096659333,6.28299683,7.614417457,8.74613938975,7.87147887667,8.619973359,6.5642383295,9.90966181633,6.878128638,8.742748263,6.739851899,5.4833273435,5.745379368,7.187206373,7.47000387167,9.684643931,11.46940666,5.083438106,6.117700885,7.166115682,5.176479827,6.350634813,8.909896709,8.82865486733,7.475816758,8.831846471,7.787382059,6.040898593,Control
7.65031782,5.8779809975,11.90965135,6.4100339915,9.13113101,10.39283825,8.178554217,6.90880436167,10.98367433,7.108919379,10.84509426,6.442284701,10.6694347653,7.431458167,6.967402441,8.160162778,6.7631719435,6.599024363,7.80894971567,5.160524924,5.86033894467,8.339762197,8.85434223525,7.54019452867,8.793563584,7.2045344835,10.322016492,6.68912259525,8.532863482,6.37387057,5.3404876065,5.589022814,7.416293235,7.45541438933,9.124399951,11.42258795,5.414483349,6.489210244,6.540171154,5.2274778904,6.37387057,7.48084491567,9.29235500067,6.751146091,7.998577914,6.878728789,5.536838744,BRCA
6.965931792,5.5839936855,12.55918115,6.284706067,9.296423637,10.3235449,8.683407961,7.28371304933,11.56729791,8.392683551,11.15442592,6.803650446,9.15788831867,7.109833592,5.967693869,8.096637583,7.0557807065,6.367550714,7.79374473733,5.659631352,5.494062488,8.1487195,9.003782525,7.981460242,8.89713537,7.137465468,9.63013702833,6.83729661375,9.242210154,6.73809606,5.0743020605,5.238033268,7.626842693,7.51256273833,10.38589505,11.94269603,5.641120592,6.749303381,6.687659557,5.299257722,6.467773141,9.58170631967,9.23513699733,6.924548653,7.344298405,7.4960371,5.340750292,BRCA
