@relation data

@attribute id string
@attribute 1361 numeric
@attribute 2147 numeric
@attribute 2149 numeric
@attribute 2162 numeric
@attribute 2243 numeric
@attribute 2244 numeric
@attribute 2266 numeric
@attribute 5054 numeric
@attribute 5055 numeric
@attribute 5327 numeric
@attribute 5328 numeric
@attribute 5340 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0391748585,-0.2142724890,0.3161278931,-0.0875431200,-0.1337402769,-0.1338066185,-0.0093080291,3.0971668291,0.0316217320,1.3154431507,-0.0165646971,0.0064908145,BRCA
GSM481003,0.0071025080,-0.1989544242,0.3005077078,-0.0702441079,-0.1309632186,-0.1040900125,-0.0739448218,2.5698548448,3.0802933110,2.6771923454,0.5233701138,0.0248844036,BRCA
GSM481004,-0.0685423365,-0.2138664767,0.1744622019,-0.0673217343,-0.1464092568,-0.0766112734,-0.0318216407,3.0840943361,2.6853998104,1.8140934110,0.2259472757,-0.0253498340,BRCA
GSM481005,-0.0894610541,-0.1704830490,0.2666255229,-0.1416255637,-0.0965031531,-0.1340541364,-0.0281883657,2.8895452333,1.7356403007,2.8935028909,0.1085019058,-0.0350841924,BRCA
GSM481006,0.1088348876,-0.1301296197,0.2667393694,-0.1140688804,-0.1302992665,-0.1443073794,-0.1003913861,2.7820571792,1.8612661759,2.2386723012,0.4887556362,-0.0094500684,BRCA
GSM481007,0.1331269590,-0.1632449288,0.7077321922,0.0009496239,-0.1447376906,-0.1059853564,-0.0382484025,2.2132332134,1.3548268082,2.7578269243,0.5420827701,0.0043118942,BRCA
GSM481008,-0.0860556001,-0.2231113640,0.7885261093,-0.0900205340,-0.1204742205,-0.1344527091,-0.0526968611,2.4474974322,2.9136683676,1.5483437291,1.3113724676,-0.0225707609,Control
GSM481009,-0.0648024938,-0.4358481598,0.4930541399,-0.0627613166,-0.1098639981,-0.2159782159,-0.0546535244,2.0585756833,-0.0357677153,2.3752598985,0.0801156576,0.0445180078,Control
GSM481010,-0.1016995969,-0.1824565928,0.2349366939,-0.0993298349,-0.0944624883,-0.0999778244,-0.0886922837,2.7471628225,1.8198508553,0.8593679311,-0.0454186356,-0.0547676398,Control
GSM481011,-0.0383583614,-0.2587490313,0.7345491990,-0.0030264426,-0.0686773083,-0.1072986642,0.0151894431,2.8480850698,2.4655403826,2.5009843859,0.1288683159,0.0015411845,Control
GSM481012,-0.0954837554,-0.2072924103,0.2081825429,-0.0634420040,-0.1055382308,-0.1204782099,-0.0228121431,2.3756577092,1.5122483704,1.7325238214,0.5989393146,-0.0292796085,Control
GSM481013,-0.0804299213,-0.1524092977,0.6646416839,-0.1067287731,-0.0691702739,-0.0453892943,-0.1395414510,2.4639177060,3.2554112011,1.2480086443,1.5320283655,0.0371115698,Control
GSM481014,0.1093587506,-0.1174754783,0.3896957104,-0.0310465866,-0.1114704386,-0.1126806579,0.0216229654,2.2193374374,2.8005987139,1.0913533196,0.2860873290,0.0360098065,BRCA
GSM481015,0.0263488207,-0.2526900420,0.3328479343,-0.0311560765,-0.1119901422,-0.1159707262,-0.0138230163,1.5991075072,0.2203309330,1.8936040029,0.8576251350,0.0337846804,BRCA
GSM481016,-0.1016500751,-0.2073132114,0.2536197579,-0.0726597235,-0.1250951846,-0.0685094022,0.0062175365,2.7653159260,2.7324226563,2.2134165911,0.6570318763,0.0552929750,BRCA
GSM481017,-0.0881060327,-0.1221161471,0.3916873229,-0.1661750246,-0.1257583008,-0.1581278831,-0.0518055836,2.5005209267,2.6804278161,2.3488304765,0.3531850886,-0.0483318891,BRCA
GSM481018,0.2010668507,-0.2563901569,0.0455381339,-0.0667813803,-0.1250526257,-0.1043914516,0.0785906241,1.5031475172,0.9365477329,2.6179083734,0.5886019784,0.0044500879,BRCA
GSM481019,0.1142070464,-0.2261977277,0.0993070571,-0.0902389455,-0.0907216659,-0.1289979314,-0.0929006128,2.6860482478,3.4359665183,3.0431882440,0.1995676921,0.0135941561,BRCA
