@relation data

@attribute id string
@attribute 2002 numeric
@attribute 2205 numeric
@attribute 2207 numeric
@attribute 2353 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 3725 numeric
@attribute 4067 numeric
@attribute 4214 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 5062 numeric
@attribute 5290 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5321 numeric
@attribute 5335 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5579 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5609 numeric
@attribute 5894 numeric
@attribute 6416 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6850 numeric
@attribute 695 numeric
@attribute 7409 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.4598573640,0.1001011659,0.0720853615,-0.0801269710,1.6104626348,0.8212452234,1.7024177213,0.3161357614,0.4242359363,0.0886515304,0.0434628459,0.0288073119,0.0472211881,1.3998379606,0.3417825494,-0.0743738270,0.0027666772,-0.0567561424,0.8370002049,0.6486776985,1.4788247029,1.0400522820,-0.0981862237,0.3768321643,1.1201675758,0.6904673187,0.2973419841,0.3860900013,0.2565123712,2.2882412161,-0.0234144181,-0.1212870654,-0.0538374768,-0.0056752554,1.3564936234,0.8265591783,2.7038153726,BRCA
GSM481003,0.5094530717,0.0571893460,0.0724932240,-0.1516893194,1.7524189089,0.9474795161,2.4163282448,0.1219394536,0.4940745450,0.1072291716,-0.0071023582,0.0284779953,0.1099821702,1.8544124930,0.1791957579,-0.0506758328,0.0220997693,-0.0835485794,0.9900261754,0.5260021543,1.4940092098,0.8106030215,-0.0518483993,0.4223379152,1.1333078442,0.6729280780,0.2656726797,0.2815908568,0.2222999979,2.4272642752,-0.0553885548,0.0222191754,-0.0653783161,-0.0640276709,1.1557139689,0.7173366560,2.6004273182,BRCA
GSM481004,0.3519630753,0.0961489101,0.0867632077,-0.2391101478,1.7306030480,0.8814408686,1.9569436598,0.3341139361,0.2035975778,0.2462961586,0.0134470427,0.0473546795,0.3676690033,1.7169649695,0.1934292825,-0.1540841441,0.0015714503,-0.0147714728,1.0766678804,0.5568734760,1.5397735213,1.2435202534,-0.1085750333,0.5495924441,1.3982536542,0.6871232500,0.1269719892,0.4157156661,0.2880970038,2.7043259995,-0.0500999228,-0.1644663710,-0.0186176126,-0.0649329242,1.0442493542,0.7713027104,2.5539644831,BRCA
GSM481005,0.4627470135,0.0615828423,0.0776338815,-0.1103455591,1.6458761891,0.8521304950,1.9105042447,0.1698534251,0.5196754609,0.1025759120,-0.0190676901,0.1093474198,0.3299111068,1.7067998852,0.2936143763,-0.1223234448,0.3289049813,0.0360093063,0.8211322722,0.8398691173,1.6021617843,1.1356134855,-0.0871069950,0.4403047296,1.3712493853,0.8086081992,0.2336956347,0.3888399490,0.4676337253,2.3308550971,0.0180744121,-0.1354474181,-0.0967047377,-0.0950495207,1.5244798356,0.8702989420,2.5885585249,BRCA
GSM481006,0.7458138092,0.0444140926,0.0514071679,-0.1162875150,1.6704388113,0.8876503406,1.8248747664,0.3630817666,0.4536705289,0.1656357026,0.0079189933,0.0428417770,0.1709810107,1.7934826566,0.2433270854,-0.0515387084,0.2390861619,0.0852915491,0.9354205676,0.6594483865,1.5006651944,1.0245994510,-0.1044239603,0.3909603753,0.9865753614,0.7695189350,0.3444300745,0.3354175018,0.3639865402,2.3295555881,0.0128678733,-0.0939081977,-0.1076792432,-0.1211343683,1.3858446989,0.8328808705,2.7229726611,BRCA
GSM481007,0.6824327353,0.1369508297,-0.0547207209,-0.0361999132,1.7786090209,1.1560421735,2.0019709589,0.3024995799,0.3479610627,0.1427702047,-0.0179671429,0.0187811776,0.1696192184,1.4387447677,0.1014056848,-0.1263724936,0.1471414633,0.2361062177,1.0210435065,0.4920493394,1.1625167250,1.0916134130,-0.0580448157,0.2606000659,1.0516917631,0.3326362380,0.3625428115,0.2957258879,0.2094873252,2.3985712954,-0.0621160632,-0.1150343669,0.0187163064,-0.0768376531,0.8527704083,0.7908645495,2.4574012124,BRCA
GSM481008,0.6088109500,0.1344227992,0.2104557655,-0.1402303537,1.6622805248,1.2938889639,2.1130765477,0.2535372900,0.3505251462,0.0974889337,0.0118374048,-0.0084585631,0.1422189982,1.3603685686,0.1758980179,-0.0720937303,0.0879067641,0.3041578594,0.8990125299,0.7504032691,1.5366616944,0.8087446459,-0.1056714096,0.4047704326,1.0726860836,0.7429268004,0.1903686590,0.3589827556,0.3020598857,2.4446920753,0.0012555714,-0.1333306130,-0.0557772740,-0.0584359721,0.9964291379,0.7930964681,2.4189842773,Control
GSM481009,0.4693302326,0.1030516520,0.0269088492,-0.1590186953,1.3427748691,0.5253295350,1.1429168019,0.1738289398,0.3211863863,-0.0915473821,0.0488742741,-0.0390010705,-0.0762975945,1.0164196166,0.2437746771,-0.1321362915,0.1336468826,0.1206036070,0.4572595951,0.6549914120,1.4563478480,0.4472229415,-0.1066654161,0.2795271149,0.7096309500,0.6203827706,0.0094476892,0.2270372226,0.0517636729,2.4154436141,-0.0048567386,-0.1552854501,-0.1408496846,-0.0048604058,1.0664309090,0.7962288941,2.6979478374,Control
GSM481010,0.4728208937,-0.0161928533,0.0859565825,-0.0893704778,1.7509254467,0.9039840400,2.0214559557,0.5541188944,0.6825766645,0.1015663457,-0.0298674571,0.0293902383,0.1907716952,1.7903627032,0.2892597577,-0.0223426086,0.1319778106,-0.0151800391,0.7915824455,0.7335124992,1.3844987064,1.0618852462,-0.1128206664,0.5158594621,1.1154199801,0.8636795770,0.1599105977,0.3965836786,0.7657218578,2.2814118394,0.0688335455,-0.1347208667,0.0355200546,-0.1376485593,1.4629609655,0.8582563715,2.5320026251,Control
GSM481011,0.4902841595,0.1236108902,-0.0256841576,-0.1973138971,1.9492786230,1.1300241724,1.9929131126,0.1055537684,0.1779143085,0.1526722096,0.0004197034,0.0062426176,0.2919988107,1.1011350507,0.2223992294,-0.0940577877,0.0018939260,-0.0271469704,0.8280705125,0.4358141350,1.4936494496,0.7789269015,-0.0728182171,0.3978262835,1.5733309313,0.4733123278,0.2778184532,0.2711141126,0.1213096739,2.8155515152,-0.0475626586,-0.1223144881,-0.0023091357,-0.0547222076,1.0243768138,0.8445791476,2.9243183808,Control
