@relation data

@attribute id string
@attribute 10130 numeric
@attribute 1649 numeric
@attribute 1965 numeric
@attribute 2081 numeric
@attribute 22926 numeric
@attribute 27230 numeric
@attribute 3309 numeric
@attribute 4189 numeric
@attribute 467 numeric
@attribute 4800 numeric
@attribute 51360 numeric
@attribute 51726 numeric
@attribute 5611 numeric
@attribute 7494 numeric
@attribute 8720 numeric
@attribute 9451 numeric
@attribute 9695 numeric
@attribute 9709 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,2.8350574609,0.2952290566,1.8814041996,0.0737474438,0.1757048886,1.5362583634,2.2544924615,0.9128386792,0.0314411966,0.0968551647,0.0409917352,1.6871777376,0.0142407571,2.3317787437,0.5652759028,0.0167097403,0.3654714843,1.7110950641,BRCA
GSM481003,2.5817765251,0.1061600386,1.5683274246,0.0263771628,0.0997514228,1.4214624386,1.4121392310,0.6928466574,0.2025471977,0.0619174262,-0.0378108222,1.2507746088,-0.0011949802,2.2716246172,0.3733827019,0.2228077530,0.2249101509,1.3064252361,BRCA
GSM481004,2.9335309989,0.2655171766,1.5315217208,0.1668508618,0.1924393703,1.4531069884,2.1522390246,0.6125741183,0.0580280135,0.0980285063,0.0714026628,1.4138548309,0.0592425660,2.4486375538,0.6006609004,0.3544005380,0.3310495278,1.5906972572,BRCA
GSM481005,2.9212386536,0.2966497555,2.1133898829,0.0627568774,0.1618657312,1.7920878719,2.0787871359,1.4395003176,0.0749992163,0.1732574796,0.0003913604,1.5992842847,0.1256889529,2.3187586043,0.5325894586,0.4822234372,0.4535632352,1.6713475569,BRCA
GSM481006,2.8655545387,0.3394337982,1.6681061672,0.1107520456,0.2957226054,1.6743456815,1.3783304394,1.0775025692,0.0701522858,0.0946894598,-0.0381141796,1.8601007728,0.0856713462,2.1218057328,0.4772285907,0.3069176489,0.6359644366,1.5908533686,BRCA
GSM481007,2.4874297362,0.1915885950,0.9793251456,0.1910706374,0.1447611992,1.7440304348,0.7209900856,1.0025935012,0.0395774320,0.0633230991,-0.0136581070,1.4063895874,-0.0063679706,2.0550202282,0.2981920151,0.3703389459,0.4563411867,1.3605430320,BRCA
GSM481008,2.7184600397,0.0943769475,1.5196910524,0.3623198267,0.1131646339,1.6301078482,1.2566341757,0.4996117073,0.0400293209,0.1785624022,0.0596543955,1.1733163793,0.0161561033,1.8479692080,0.4453805279,0.2940741609,0.4404107426,0.9562403755,Control
GSM481009,2.9184811097,0.2555055753,1.6043706046,0.1421651823,0.0720544069,1.4895807803,1.3611692488,0.7631027088,0.0950778002,0.1254829393,0.0492702024,1.0262306403,-0.0909887849,2.4757090857,0.2381851094,0.1947119617,0.3106695476,1.4829588243,Control
GSM481010,2.8918487520,0.4586614989,2.2511457157,0.0910915945,0.2591492412,1.7697050133,2.3768785478,1.3742468310,0.0408153122,0.0692660992,-0.0580432325,1.5782590177,0.0952195898,2.1466471957,0.4670094209,0.5355324250,0.4989412678,1.5627331466,Control
GSM481011,2.6468617139,0.1770675793,1.2710189652,0.0921251166,0.0322725756,1.6921486117,1.6893632411,0.7068001376,0.1538718076,0.0341684120,0.1085640784,1.5624615881,0.0415502166,2.4444954767,0.3233142554,0.0262312180,0.2978668509,1.5804925949,Control
GSM481012,3.1108027298,0.7435165248,1.7112284852,0.2027652521,0.3061641036,1.7524409356,2.6206532359,0.7883930692,0.0907413002,0.1016234852,0.0414854189,1.7206985156,0.1348141194,2.5651585743,0.6430190404,0.1829161715,0.4086626274,1.6795713471,Control
GSM481013,2.8849691875,0.0560354281,1.3857818580,0.2792998483,0.1004143759,1.4245436442,1.2060400009,0.4158178748,0.2988768392,0.1162771066,0.0070460572,1.5994210111,-0.0024073195,1.8725096490,0.3245492137,0.2775572670,0.3669288960,0.9309635866,Control
GSM481014,2.7008284078,1.0466904271,1.9036706973,0.5364326297,0.3045420787,1.7502943592,1.5988683104,1.8658568906,0.2006098331,0.1766610811,-0.0508886556,1.8705398109,0.0392146739,1.7781439620,0.4186361241,0.7047475297,0.6338578034,1.5071002434,BRCA
GSM481015,2.8128888751,0.2360584617,1.5643462133,0.1415729819,0.1198268044,1.6782724669,1.9201496601,0.5429310178,0.1805858568,0.0726359925,-0.0624781629,1.3717719648,0.0423072538,2.4375544242,0.3889557487,0.3304433456,0.4417414777,1.3706330571,BRCA
GSM481016,2.8103294770,0.0672450338,2.3035132790,0.1751416825,0.3111285987,2.1651696344,2.1178843140,1.5749210476,0.1009239552,0.2187176793,0.1058446043,1.4875441856,0.1124161114,2.3537822665,0.6024192361,0.4111022714,0.6363026324,1.6212715850,BRCA
GSM481017,3.1514863173,0.9423723445,2.5380761813,0.2270172938,0.3363918169,2.1950138996,2.2310550333,2.0097750616,0.0422796590,0.1591385616,0.0527404658,2.2277848851,0.2681880126,2.1831865585,0.5330991686,0.9135233014,0.7146859536,1.7205447559,BRCA
GSM481018,2.7189240709,0.1898743867,1.4543326378,0.0222814285,0.0482078441,1.2185734392,1.5370952368,0.3865315913,0.2305671074,0.1554179727,0.0361642427,1.1708683900,-0.0351380077,2.5614335613,0.5075684702,0.0547877795,0.2423492847,1.8078157180,BRCA
GSM481019,2.6208158588,0.1844469638,2.0564355468,0.1342514681,0.2846211337,1.7396441541,1.4491210341,1.0516118764,-0.0033343192,0.0978793375,-0.0080332036,1.5484653447,0.0868614799,1.8303316382,0.4010271646,0.2627540460,0.5167294069,1.2298602204,BRCA
