@relation data

@attribute id string
@attribute 23649 numeric
@attribute 5424 numeric
@attribute 1763 numeric
@attribute 5425 numeric
@attribute 5557 numeric
@attribute 5981 numeric
@attribute 5558 numeric
@attribute 5983 numeric
@attribute 5982 numeric
@attribute 57804 numeric
@attribute 2237 numeric
@attribute 5984 numeric
@attribute 3978 numeric
@attribute 5985 numeric
@attribute 5422 numeric
@attribute 6117 numeric
@attribute 10714 numeric
@attribute 6119 numeric
@attribute 5111 numeric
@attribute 6118 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.9998,0.2617,0.4751,0.382,0.8292,1.486,0.3167,0.4542,1.1096,0.9153,0.2949,0.9032,0.6555,0.7518,0.5104,1.4243,0.937,0.3897,0.9035,0.8764,Control
A02,0.7348,0.099,0.2064,0.285,0.5779,1.215,0.2128,0.2866,0.9707,0.7812,0.1232,0.6426,0.4502,0.5097,0.3386,1.2092,0.5755,0.2466,0.7473,0.7208,Control
A03,0.9759,0.2106,0.3427,0.3595,0.5596,1.3855,0.2911,0.3673,1.1352,0.9344,0.2784,0.6376,0.5046,0.6849,0.4342,1.3513,1.036,0.2993,0.9707,0.8257,Control
A04,0.7354,0.2655,0.1692,0.371,0.5527,1.3284,0.1634,0.2206,1.1213,0.8265,0.2047,0.6101,0.5296,0.4767,0.3117,1.3715,0.6365,0.2713,0.8223,0.8193,Control
A05,0.9211,0.3148,0.3361,0.3664,0.5885,1.4057,0.2152,0.3186,1.2556,1.0764,0.4384,0.7925,0.535,0.5598,0.3877,1.3842,0.9697,0.2845,0.8848,0.8622,Control
A06,0.8274,0.1924,0.2668,0.2252,0.5236,1.3568,0.1806,0.4412,1.161,0.8032,0.0551,0.7451,0.4429,0.4897,0.4295,1.287,0.9507,0.2325,0.6592,0.8196,Control
A07,0.8487,0.2018,0.3528,0.3551,0.6477,1.3942,0.3543,0.4477,1.0976,0.8621,0.2368,0.7404,0.4896,0.5836,0.4729,1.3544,0.9639,0.3008,0.8629,0.8758,Control
A08,0.839,0.136,0.3748,0.351,0.581,1.4589,0.489,0.4018,0.8865,0.716,0.1983,0.673,0.5175,0.5327,0.5478,1.3442,0.9739,0.2751,0.6613,0.7175,Control
A09,0.8173,0.1834,0.2951,0.3534,0.7235,1.3819,0.2837,0.4023,0.9568,0.8269,0.3958,0.5381,0.4678,0.5367,0.4494,1.3771,0.8879,0.2256,0.7883,0.8179,Control
A10,0.8269,0.238,0.3184,0.2448,0.5757,1.4796,0.379,0.3815,1.0653,0.8239,0.2151,0.6957,0.4365,0.5879,0.4606,1.4058,0.8958,0.2379,0.7576,0.8841,Control
A11,0.7262,0.142,0.2806,0.2633,0.6496,1.0996,0.1566,0.32,0.8866,0.697,0.1407,0.5605,0.4416,0.5635,0.4227,1.3033,0.7237,0.2224,0.8315,0.7719,Control
A12,0.4696,-0.0257,0.041,0.3393,0.4081,1.0406,0.2054,0.1092,0.7314,0.3974,-0.0244,0.6485,0.2461,0.3494,0.1873,0.8703,0.3692,0.2135,0.3719,0.7697,Control
B01,0.8148,-0.1261,0.2857,0.3431,0.6063,1.3136,0.3315,0.5584,0.9186,0.5295,0.0415,0.6382,0.441,0.594,0.4327,1.1711,0.7251,0.3664,0.5904,0.5696,Control
B02,0.9346,0.2407,0.2314,0.3949,0.674,1.5136,0.2699,0.4206,1.173,0.9974,0.3167,0.7698,0.6263,0.7038,0.3736,1.4325,0.7124,0.343,0.8469,0.9138,Control
B03,0.872,0.1531,0.2008,0.3608,0.5862,1.3912,0.3033,0.4417,1.0551,0.6931,0.1838,0.5835,0.459,0.5675,0.3796,1.2712,0.648,0.3227,0.7796,0.7349,BRCACancer
B04,0.7034,0.0479,0.2402,0.3682,0.3273,1.2478,0.349,0.3429,0.7844,0.6053,0.0636,0.4637,0.4321,0.3491,0.4616,1.0246,0.6668,0.1981,0.4042,0.7201,BRCACancer
B05,0.6674,0.0822,0.1288,0.3508,0.4508,1.1211,0.2079,0.3221,0.9255,0.7444,0.1082,0.6565,0.4053,0.462,0.2492,1.0899,0.5448,0.2809,0.663,0.8936,BRCACancer
B06,0.5871,-0.2722,0.042,0.2249,0.327,1.1228,0.2249,0.4755,0.7214,0.3233,-0.3124,0.5054,0.1965,0.3939,0.2769,0.7113,0.6612,0.1391,0.2721,0.2559,BRCACancer
B07,1.0084,0.1765,0.2809,0.4154,0.6518,1.5327,0.2704,0.4495,1.086,0.8623,0.218,0.8639,0.5431,0.6971,0.3963,1.2793,0.8804,0.3385,0.8344,0.9212,BRCACancer
B08,0.7796,0.2304,0.3155,0.2872,0.6403,1.1471,0.1278,0.3861,0.9663,0.9029,0.2934,0.6221,0.5255,0.5112,0.333,1.4528,0.7336,0.2123,0.9135,0.7583,Control
B09,0.5542,0.1699,0.2292,0.1833,0.362,1.1065,0.3102,0.3735,0.6955,0.5429,0.1079,0.4023,0.4422,0.298,0.4133,0.9856,0.5042,0.1203,0.2216,0.4445,Control
B10,0.4979,0.0176,0.1243,0.248,0.3396,1.1214,0.2392,0.2004,0.8861,0.4936,0.0549,0.5402,0.3107,0.3014,0.3217,1.0861,0.5476,0.2062,0.4409,0.6674,Control
B11,0.6891,0.1395,0.2445,0.3725,0.5217,1.2192,0.2368,0.2309,0.8874,0.7574,0.2415,0.8068,0.3603,0.4873,0.3741,1.0332,0.6521,0.2628,0.7684,0.9558,Control
B12,0.5564,0.0358,0.0722,0.0641,0.2446,0.7943,0.1375,0.265,0.4518,0.3948,-0.0342,0.1736,0.3034,0.08,0.2909,0.5146,0.442,0.0947,-0.109,0.1422,Control
C01,0.952,0.2158,0.2806,0.4138,0.5135,1.1922,0.1708,0.2945,1.0076,1.0383,0.1827,0.5837,0.5029,0.5242,0.3706,1.1428,0.8471,0.2283,0.7107,0.7399,BRCACancer
C02,0.8958,0.2997,0.2269,0.4625,0.5453,1.2647,0.1437,0.267,1.1024,0.9501,0.2242,0.7824,0.5515,0.4418,0.3264,1.2818,0.6064,0.3141,0.8107,0.8005,BRCACancer
C03,1.0032,0.3419,0.2826,0.4557,0.5438,1.3259,0.2199,0.2637,1.0486,1.0358,0.1642,0.6389,0.6594,0.6046,0.3202,1.2525,0.9001,0.236,0.7656,0.8696,BRCACancer
C04,0.5128,0.2361,0.099,0.1414,0.3296,0.7166,0.0455,0.0634,0.6325,0.5307,-0.0044,0.2816,0.4523,0.4152,0.2073,0.973,0.2959,0.139,0.4161,0.3499,Control
C05,0.4575,0.2035,0.0934,0.2255,0.3589,0.7464,0.0297,0.0635,0.7412,0.5912,0.1785,0.3952,0.4206,0.2212,0.1336,0.9635,0.3417,0.2382,0.5063,0.4849,BRCACancer
C06,0.1857,-0.0036,-0.0863,0.1736,-0.1366,0.2015,-0.0669,-0.0046,0.2763,0.2464,-0.0938,0.1763,0.1676,0.0113,-0.0334,0.2546,-0.0757,-0.0302,0.039,-0.1578,Control
C07,0.5466,0.1402,0.1,0.2566,0.3254,1.0498,0.1193,0.1221,0.9172,0.6066,0.0708,0.3473,0.3777,0.3357,0.2119,1.1354,0.2444,0.1759,0.5892,0.6355,Control
C08,0.8229,0.2286,0.2324,0.3778,0.6139,1.2263,0.1478,0.2656,1.0231,0.8892,0.1787,0.6132,0.5248,0.4499,0.3563,1.2479,0.6748,0.2055,0.7613,0.7478,Control
C09,0.5977,0.1742,0.0402,0.3253,0.3555,1.0207,0.0997,0.1695,0.8321,0.6845,0.054,0.4648,0.4159,0.3603,0.2002,1.0381,0.2613,0.2051,0.554,0.7961,Control
C10,0.4858,0.1672,0.0927,0.3445,0.3927,1.0307,0.0716,0.158,0.9235,0.7704,0.1259,0.4746,0.4261,0.2383,0.1569,1.0693,0.2805,0.2559,0.5208,0.6923,BRCACancer
C11,0.9195,0.2913,0.1598,0.3061,0.5955,1.1008,0.098,0.299,0.9318,0.8724,0.1656,0.5346,0.5553,0.488,0.3296,1.3168,0.5321,0.1828,0.8255,0.7188,Control
C12,0.382,0.1581,0.0276,0.2662,0.1871,0.6527,0.0907,0.0574,0.5768,0.5887,0.2722,0.3935,0.3775,0.2297,0.0909,0.8592,0.2275,0.103,0.4279,0.4181,BRCACancer
D01,0.7986,0.0718,0.0775,0.3508,0.3519,1.0765,0.284,0.3847,0.7016,0.588,2e-04,0.4133,0.5422,0.3377,0.4139,0.8477,0.6659,0.1762,0.4235,0.4516,BRCACancer
D02,0.6335,0.2389,0.1684,0.1962,0.3804,1.1023,0.0047,0.1879,0.8778,0.7412,0.1202,0.4249,0.4602,0.3724,0.2222,1.1054,0.3142,0.1649,0.6471,0.5336,BRCACancer
D03,0.5315,0.1564,0.0262,0.2753,0.3397,0.854,0.0732,0.1361,0.7891,0.6685,0.0647,0.3759,0.3572,0.3267,0.2158,0.9175,0.3105,0.2096,0.4774,0.4703,BRCACancer
D04,0.7108,0.2062,0.0845,0.2673,0.3896,0.9884,0.107,0.2926,0.8669,0.6991,0.0628,0.4292,0.4072,0.2991,0.2267,1.105,0.5103,0.1286,0.5683,0.5909,BRCACancer
