@relation data

@attribute id string
@attribute 10560 numeric
@attribute 113235 numeric
@attribute 113278 numeric
@attribute 151056 numeric
@attribute 158835 numeric
@attribute 2346 numeric
@attribute 25974 numeric
@attribute 2694 numeric
@attribute 335 numeric
@attribute 337 numeric
@attribute 338 numeric
@attribute 4363 numeric
@attribute 5406 numeric
@attribute 55788 numeric
@attribute 5948 numeric
@attribute 6573 numeric
@attribute 686 numeric
@attribute 6948 numeric
@attribute 8029 numeric
@attribute 80704 numeric
@attribute 8884 numeric
@attribute 9227 numeric
@attribute 949 numeric
@attribute 9963 numeric
@attribute Class {Control,BRCACancer}

@data
A11,0.3637,0.0532,-0.1907,0.1156,-0.1827,-0.1905,0.2364,-0.0902,0.0424,0.0782,-0.0969,0.7075,-0.0501,1.214,8e-04,0.377,0.3078,0.2655,0.1082,-0.1036,0.251,-0.0714,0.1113,0.0663,Control
A12,0.2311,0.0686,-0.0336,0.2509,-0.0476,-0.1218,0.1703,-0.1248,0.0104,-0.0488,4e-04,0.4676,-0.0821,1.1447,0.0579,0.2506,0.2835,-0.0251,-0.0498,0.1009,0.3617,0.0464,-0.0423,0.4897,Control
B01,0.4561,0.026,-0.2567,0.2352,-0.0697,-0.2993,0.3276,-0.1062,-0.0394,-0.1476,-0.0498,0.7751,-0.1119,1.4098,0.0846,0.1718,0.2462,0.2,0.3829,0.0167,0.4468,-0.1393,0.0178,0.2308,Control
B02,0.4683,0.1067,-0.1626,0.2481,-0.0838,-0.1544,0.325,-0.0861,0.1285,0.0252,-0.0378,0.829,-0.0904,1.2978,-0.0419,0.4076,0.3657,0.385,0.234,-0.0213,0.6825,-0.095,0.2208,0.2649,Control
B03,0.4137,0.1159,-0.1039,0.2467,-0.0296,-0.1625,0.2271,-0.0952,0.1041,0.07,-0.053,0.8129,-0.0725,1.3882,-0.0183,0.3543,0.3402,0.2598,0.1476,-0.0463,0.5138,-0.1274,0.0538,0.2062,BRCACancer
B04,0.499,0.0961,-0.0484,0.2029,-0.1714,-0.2407,0.1996,-0.1904,0.1083,0.0044,-0.0886,0.907,-0.0826,1.4077,-0.0683,0.438,0.2205,0.0956,0.3801,-0.0681,0.3478,-0.073,0.3213,0.2306,BRCACancer
B05,0.3801,0.0881,-0.1294,0.1633,-0.2271,-0.2301,0.1147,-0.1227,0.1015,0.0501,-4e-04,0.7314,-0.1351,1.2539,0.1063,0.3381,0.2554,0.0425,0.052,-0.0464,0.4622,-0.0306,0.0527,0.2942,BRCACancer
B06,0.3909,0.0658,-0.3447,0.2872,0.0406,-0.2858,0.3384,-0.0341,-0.0359,-0.176,-0.0154,0.5218,-0.0753,1.0961,0.0951,0.068,0.1054,0.1286,0.1444,0.0845,0.2141,-0.0959,-0.1648,0.1327,BRCACancer
B07,0.5067,0.1201,-0.1108,0.2091,-0.187,-0.1767,0.2388,-0.1051,0.1445,0.1136,-0.0386,0.8828,-0.1013,1.3618,-0.0319,0.4506,0.4042,0.3098,0.2177,-0.0559,0.583,-0.0376,0.0901,0.2829,BRCACancer
B08,0.4039,0.1885,0.0037,0.1563,-0.1801,-0.1141,0.2636,-0.0049,0.1831,0.0876,-0.0618,0.7549,-0.0209,1.2407,-0.036,0.5028,0.2565,0.4619,0.0721,-0.0599,0.393,-0.0976,0.2459,0.1776,Control
B09,0.2396,-0.0305,-0.1105,0.1457,-0.2455,-0.1705,0.0675,-0.0796,0.0518,0.0483,-0.0908,0.8506,-0.0908,1.2276,-0.0614,0.3955,0.1065,0.0361,0.2462,-0.0759,0.2271,-0.0889,0.0265,0.2332,Control
