@relation data

@attribute id string
@attribute 259307 numeric
@attribute 2805 numeric
@attribute 2806 numeric
@attribute 5053 numeric
@attribute 6898 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.2026,0.6948,0.5492,-0.1111,-0.0091,Control
A02,0.1319,0.5084,0.3439,-0.0914,-0.0658,Control
A03,0.164,0.5949,0.5226,-0.1258,-0.0566,Control
A04,0.0213,0.3579,0.4388,-0.1025,-0.034,Control
A05,0.2388,0.5031,0.5368,-0.0723,-0.0446,Control
A06,0.0919,0.6417,0.4737,-0.0953,-0.0574,Control
A07,0.0902,0.6146,0.5056,-0.1144,-0.1111,Control
A08,0.0014,0.5409,0.4811,-0.097,-0.0399,Control
A09,-0.0468,0.6007,0.3976,-0.0935,-0.0794,Control
A10,0.1388,0.5226,0.5626,-0.0747,-0.0741,Control
A11,0.0523,0.5535,0.4974,-0.0274,-0.0428,Control
A12,-0.0458,0.2736,0.338,-0.0324,0.012,Control
B01,-0.135,0.5348,0.4508,-0.0166,-0.0198,Control
B02,0.1107,0.5579,0.6101,-0.0559,0.0047,Control
B03,-0.0589,0.5344,0.5516,-0.044,0.0097,BRCACancer
B04,0.0427,0.3351,0.4165,-0.0639,-0.0635,BRCACancer
B05,-0.1471,0.4873,0.3404,-0.0974,-0.0686,BRCACancer
B06,-0.2707,0.4731,0.2829,-0.008,0.0596,BRCACancer
B07,0.0137,0.5765,0.5164,-0.1004,-0.1202,BRCACancer
B08,0.139,0.5791,0.5103,-0.0353,-0.0288,Control
B09,-0.1236,0.2848,0.2962,-0.0798,-0.077,Control
B10,-0.0251,0.3166,0.2033,-0.0652,-0.0527,Control
B11,0.088,0.5181,0.3811,-0.0479,-0.0833,Control
B12,-0.0797,0.0368,0.1642,-0.0534,-0.0709,Control
C01,0.2658,0.5344,0.4598,-0.1155,-0.126,BRCACancer
C02,0.2288,0.486,0.5453,-0.1338,-0.0678,BRCACancer
C03,0.1147,0.6626,0.4524,-0.1157,-0.0766,BRCACancer
C04,0.0656,0.2537,0.3092,-0.0943,0.0278,Control
C05,0.0599,0.2337,0.3208,-0.1022,0.0147,BRCACancer
C06,-0.135,0.0743,0.0258,5e-04,-0.0395,Control
C07,0.1006,0.3448,0.3396,-0.0583,-0.0346,Control
C08,0.1416,0.5245,0.4214,-0.0704,0.0016,Control
C09,0.1035,0.3504,0.3193,-0.0702,0.0043,Control
C10,0.1095,0.2868,0.3394,-0.1311,-0.1137,BRCACancer
C11,0.1004,0.4405,0.5229,-0.0779,-0.0282,Control
C12,0.1121,0.176,0.1909,-0.0395,-0.039,BRCACancer
D01,-0.0292,0.2263,0.3037,-0.0907,-0.0664,BRCACancer
D02,0.2344,0.3361,0.406,0.0117,-0.0274,BRCACancer
D03,0.1882,0.2229,0.2882,-0.0649,-0.058,BRCACancer
D04,0.1788,0.3023,0.3257,-0.0797,-0.0866,BRCACancer
D05,0.0967,0.2791,0.4143,-0.0612,-0.014,BRCACancer
D06,0.196,0.5667,0.4438,-0.0702,-0.062,BRCACancer
D07,-0.0116,0.4139,0.5134,-0.0433,-0.0085,Control
D08,-0.1602,0.2407,0.2772,-0.0615,-0.078,Control
D09,0.2123,0.4326,0.3879,-0.0888,-0.0919,Control
D10,0.0433,0.5037,0.4191,-0.0248,-0.0491,Control
D11,-0.0401,0.1198,0.0669,-0.0422,-0.0075,Control
D12,0.0895,0.2352,0.3891,-0.0375,-0.0464,Control
E01,-0.0376,0.3342,0.3476,-0.0013,-0.0051,BRCACancer
E02,-0.0256,0.4979,0.4774,-0.0797,-0.0183,Control
E03,0.0854,0.46,0.4962,-0.0508,-0.0055,Control
E04,0.1904,0.3955,0.4711,-0.0835,0.0239,Control
E05,-0.1172,0.3809,0.3265,-0.1135,-0.019,Control
E06,-0.1913,0.263,0.2271,-0.085,-0.0805,BRCACancer
E07,-0.0103,0.4436,0.3609,-0.0556,0.0132,BRCACancer
E08,0.0969,0.5076,0.4818,-0.0621,-0.0404,Control
E09,0.0582,0.4794,0.4611,-0.0633,-0.0122,BRCACancer
E10,-0.035,0.5148,0.502,-0.0943,-0.0851,BRCACancer
E11,-0.1008,0.2688,0.2083,-0.0384,-0.0806,Control
E12,0.0052,0.3143,0.2896,8e-04,-0.0441,BRCACancer
F01,-0.0156,0.4701,0.519,-0.1562,-0.0616,Control
F02,0.1306,0.6635,0.5674,-0.0959,-0.0212,Control
F03,0.0495,0.4945,0.4176,-0.1137,-0.025,Control
F04,-0.0345,0.3454,0.4126,-0.1049,-0.0687,Control
F05,0.1629,0.4602,0.4777,-0.0791,-0.0506,Control
F06,0.1113,0.3348,0.3269,-0.0929,-0.0114,Control
F07,0.07,0.3868,0.4737,-0.0983,0.0273,Control
F09,0.3106,0.6164,0.5827,-0.0734,0.0054,Control
F10,0.29,0.6195,0.5591,-0.0917,-0.0318,Control
F11,0.2311,0.6206,0.4671,-0.0635,-0.0557,Control
F12,-0.0131,0.4732,0.4048,-0.1243,-0.0903,Control
G01,0.2126,0.489,0.3157,-0.0369,-0.0437,Control
G02,0.1989,0.359,0.3738,-0.0655,-2e-04,Control
G03,0.3028,0.4867,0.5812,-0.1158,-0.08,Control
G04,0.2175,0.4857,0.4959,0.0174,-0.03,BRCACancer
G05,-0.1683,0.1801,0.1751,0.0319,-0.013,BRCACancer
G06,0.1912,0.3709,0.4032,-0.0614,-0.0248,BRCACancer
G07,-0.0039,0.3208,0.4221,-0.0485,-0.0303,Control
G08,0.1477,0.4779,0.5111,-0.0847,-0.0156,Control
G09,0.0061,0.2351,0.2804,-0.0696,-0.0128,Control
G10,-0.0978,0.3252,0.3483,-0.0087,-0.0598,BRCACancer
G11,0.1631,0.1534,0.4625,0.19,0.1804,BRCACancer
G12,0.0438,0.2418,0.3587,-0.0642,-0.0089,BRCACancer
H01,-0.1535,0.176,0.2419,-0.1171,-0.0864,Control
H02,0.1879,0.411,0.4881,-0.0432,-0.0379,Control
H03,-0.0921,0.4704,0.4791,-0.0298,-0.0306,Control
H04,0.0728,0.6011,0.4213,-0.0628,-0.0675,Control
H06,0.216,0.335,0.2063,-0.0425,0.0114,Control
H07,-0.0867,0.3751,0.2665,-0.1009,-0.0741,BRCACancer
H08,0.0298,0.2997,0.2274,-0.004,-0.0489,BRCACancer
H09,-0.1701,0.0677,0.1211,-0.0099,-0.0623,BRCACancer
H10,-0.0303,0.2056,0.0657,-0.0166,-0.0883,BRCACancer
H11,-0.0346,0.2754,0.2338,-0.1025,-0.0517,BRCACancer
H12,0.0261,0.6323,0.4172,-0.1323,-0.0886,BRCACancer
I01,0.0542,0.5007,0.4077,-0.0824,-0.0354,Control
I02,0.1528,0.281,0.3452,-0.0581,-0.0792,Control
I03,0.0054,0.2711,0.2064,0.0186,0.0478,Control
I04,0.153,0.5214,0.4376,-0.0922,-0.0219,Control
I05,0.1015,0.5111,0.4966,-0.0425,-0.0209,Control
I06,0.084,0.3879,0.5066,-0.058,-0.1351,Control
I07,0.2464,0.5786,0.4803,-0.1059,0.0066,Control
I08,0.1224,0.4565,0.4735,-0.0785,-0.0683,Control
I09,0.0074,0.3729,0.2817,-0.0419,-0.0069,Control
I10,0.1773,0.5116,0.4742,-0.0877,-0.0477,Control
I11,-0.1655,0.1709,0.1402,-0.0712,-5e-04,Control
I12,-0.1383,0.4879,0.473,-0.0923,-0.0898,Control
I13,0.0774,0.4327,0.4085,-0.0578,-0.0481,Control
J01,0.0448,0.2645,0.3877,-0.0323,0.0303,Control
J02,0.165,0.3372,0.3043,-0.0619,0.0165,Control
J03,0.1733,0.6693,0.6259,-0.0649,-0.0396,Control
J04,0.0514,0.4128,0.3772,-0.0623,-0.0089,Control
J05,0.0433,0.3635,0.2403,-0.1354,-0.1333,Control
J06,-0.0644,0.3092,0.2219,-0.0698,-0.1359,Control
J07,0.2306,0.4695,0.5942,-0.0884,-0.0281,Control
J08,0.1106,0.3838,0.3029,-0.0899,-0.0567,Control
J09,-0.1807,0.2488,0.2055,-0.1141,-0.0386,Control
J10,-0.0252,0.4702,0.4602,-0.1123,-0.1031,Control
J11,0.0892,0.4135,0.3958,-0.0586,-0.047,Control
J12,0.0059,0.3628,0.3107,-0.0431,-0.012,Control
K01,0.1683,0.5322,0.4371,-0.1182,-0.064,BRCACancer
K02,0.1276,0.4495,0.4723,-0.0818,-0.042,BRCACancer
K03,-0.0482,0.4712,0.4754,-0.0256,-0.0984,BRCACancer
K04,0.1263,0.4933,0.5115,-0.0829,-0.0401,BRCACancer
K05,0.1726,0.4064,0.464,-0.1163,-0.0388,Control
