@relation data

@attribute id string
@attribute 5605 numeric
@attribute 1432 numeric
@attribute 5606 numeric
@attribute 4214 numeric
@attribute 5970 numeric
@attribute 5604 numeric
@attribute 5925 numeric
@attribute 1385 numeric
@attribute 5608 numeric
@attribute 6667 numeric
@attribute 207 numeric
@attribute 5290 numeric
@attribute 5595 numeric
@attribute 4790 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.4307,1.4449,0.7706,2.265,1.4383,0.7341,1.0363,1.8356,0.7145,1.998,0.6157,1.5746,1.0952,1.6981,1.8406,1.4982,1.76,Control
A02,0.3006,1.1614,0.751,1.9132,1.258,0.48,0.801,1.527,0.296,1.9439,0.5686,1.3014,1.0379,1.2732,2.0413,1.1993,1.6579,Control
A03,0.4986,1.3753,1.0109,2.1264,1.4813,0.7059,1.0565,1.7022,0.4348,2.0537,0.6805,1.3967,1.0752,1.4485,2.162,1.3339,1.9065,Control
A04,0.4277,1.2634,0.8035,2.2551,1.484,0.5113,0.8205,1.6873,0.3699,2.0346,0.6225,1.353,1.0602,1.4304,2.0983,1.4882,1.7434,Control
A05,0.5021,1.514,0.9784,2.4117,1.5368,0.726,1.0433,1.7772,0.5114,2.2283,0.7463,1.4836,1.2157,1.5181,2.0939,1.3381,1.9721,Control
A06,0.3564,1.2099,0.8378,2.0422,1.338,0.6824,0.8912,1.6188,0.62,2.0808,0.6458,1.3845,1.0037,1.3497,1.9853,1.3761,1.8749,Control
A07,0.4096,1.5901,0.7733,2.3762,1.2584,0.8669,1.0213,1.8387,0.6062,2.0251,0.597,1.5934,0.9863,1.6897,1.9624,1.6231,1.9127,Control
A08,0.3414,1.6278,0.7195,2.6059,1.2448,0.8829,1.0826,1.919,0.7395,1.8094,0.5375,1.7501,1.0102,1.8669,2.0579,1.714,1.9432,Control
A09,0.356,1.4374,0.8261,2.4502,1.3302,0.7767,1.0359,1.7005,0.5541,2.0487,0.5633,1.4582,1.0062,1.606,1.976,1.5464,1.8616,Control
A10,0.4749,1.7306,0.7781,2.3575,1.3233,0.8171,0.9646,1.9569,0.6865,2.0175,0.5633,1.6941,0.9394,1.641,2.115,1.6535,1.9537,Control
A11,0.4262,1.1347,0.7193,1.776,1.2245,0.6056,0.8355,1.3699,0.5432,1.8738,0.54,1.2025,0.9926,1.1005,1.5981,1.2442,1.8347,Control
A12,0.1908,0.8684,0.7238,1.3066,0.8238,0.3165,0.4273,1.1942,0.2172,1.2763,0.3955,0.9215,0.6672,1.0527,1.6271,1.0289,1.3126,Control
B01,0.1449,1.2269,0.6186,2.2101,1.2082,0.6567,0.8919,1.6304,0.6547,1.7271,0.3916,1.4577,0.7793,1.5169,1.9184,1.5918,1.5662,Control
B02,0.4126,1.3173,0.8924,2.0489,1.5865,0.6188,0.8229,1.7362,0.5326,2.0178,0.6693,1.4219,1.0963,1.4394,2.0553,1.7587,1.7427,Control
B03,0.3093,1.3028,0.7386,2.2094,1.4088,0.6536,0.8578,1.7208,0.6021,1.9408,0.5703,1.5109,0.9479,1.4822,1.9803,1.9459,1.7521,BRCACancer
B04,0.3653,1.5564,0.7718,2.5339,1.1378,0.8115,0.8418,1.7166,0.6629,1.6992,0.5203,1.5671,0.7243,1.6554,1.9926,1.5967,1.9229,BRCACancer
