@relation data

@attribute 10452 numeric
@attribute 11261 numeric
@attribute 1432 numeric
@attribute 1616 numeric
@attribute 2876 numeric
@attribute 2890 numeric
@attribute 2891 numeric
@attribute 2902 numeric
@attribute 2903 numeric
@attribute 2904 numeric
@attribute 2905 numeric
@attribute 2906 numeric
@attribute 317 numeric
@attribute 4217 numeric
@attribute 4741 numeric
@attribute 4744 numeric
@attribute 4747 numeric
@attribute 4842 numeric
@attribute 54205 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5535 numeric
@attribute 5600 numeric
@attribute 5603 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5630 numeric
@attribute 572 numeric
@attribute 57679 numeric
@attribute 581 numeric
@attribute 5868 numeric
@attribute 5879 numeric
@attribute 596 numeric
@attribute 5961 numeric
@attribute 598 numeric
@attribute 6300 numeric
@attribute 637 numeric
@attribute 63928 numeric
@attribute 6506 numeric
@attribute 6647 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7133 numeric
@attribute 7157 numeric
@attribute 79139 numeric
@attribute 834 numeric
@attribute 836 numeric
@attribute 84134 numeric
@attribute 842 numeric
@attribute 847 numeric
@attribute 9973 numeric
@attribute Class {Control,BRCA}

@data
11.04264453,8.635084252,7.09994864525,9.030281671,9.7740910645,5.716930037,6.607852271,6.288309337,5.73309076,5.765475903,5.84424205,5.451055498,7.460673902,9.636896969,5.7109519,6.32409558,5.07383228,5.166124157,8.464342681,7.181967161,11.8054921,9.584314798,11.95847307,5.326799101,7.4995792045,9.595220702,5.86129168933,5.85530403967,8.572009618,7.546352606,9.560390696,7.63009585267,9.963792397,8.85850435833,8.4944607845,7.377212971,9.8313225965,6.752518218,7.03937931067,5.580455499,5.586773185,13.18229429,8.519696323,12.08918571,8.084942721,8.333402628,11.23391938,8.56617106,7.931813168,6.780663799,7.924560768,10.8175146855,8.68064418,Control
11.13926213,8.66542575,6.60639379225,9.473939649,9.0955924715,5.301232095,6.469157955,6.079541724,5.420053896,5.287261033,5.934994833,5.066101302,7.8219347,9.908805826,5.331285345,6.257770271,4.732013908,5.323740468,8.779925425,7.328338472,11.54241539,9.028818534,11.93616504,4.255773643,7.383968157,9.166697324,5.85702554217,6.054235957,8.151373203,7.48196166867,9.920282552,7.28221449733,9.369641578,9.23532012167,7.97569312475,6.381720843,9.2628993675,6.478329262,7.36277768733,6.026363672,5.563242994,13.0689563,7.177920594,12.001308,7.532124306,8.508984299,10.88836296,8.401474517,8.1988449165,6.370334546,7.7506065195,9.866045097,8.785688247,BRCA
11.42322901,8.278880489,6.58493097,9.369221698,9.7320719145,5.633294061,5.777427112,6.23418041267,6.089429956,5.469732364,5.79507289,5.387682411,7.4969355985,9.513535713,5.914212446,7.42827877,4.971786376,4.795989381,8.42928237,7.238491368,11.24175993,8.789730168,11.74088764,4.77953729,7.0833900895,10.50005538,5.82716031317,6.35618041933,6.803004585,7.496409352,9.82934264,7.63291516533,9.804663915,9.280236709,7.84053328475,6.201345317,9.6706944665,6.215392848,7.39390802233,5.379561399,5.527329405,12.92133986,8.414834386,11.63162057,7.074920481,9.660905593,10.90219441,8.934581571,8.03923302,6.088121684,8.1061247785,9.7836577405,8.92771148033,BRCA
11.29330224,8.829493729,6.0589973865,9.851765094,9.3939382355,5.123512303,7.10371039,6.45691638667,5.327517838,4.645326303,6.340211188,4.736756024,7.949551686,10.2853274,6.229208766,9.604947496,4.984374307,4.71357532,8.584211958,6.422323287,11.56978693,8.74769044,11.09993968,4.978894894,7.0038486335,10.578656,5.05698450317,6.36100294267,7.524681032,7.166098701,9.746657544,7.33493823133,8.905402895,9.422761191,7.5957045875,6.281471652,8.999297312,6.355796501,7.22347936333,5.229406468,5.78869305,13.10574654,8.370459788,11.41027128,8.059386544,8.338826757,10.16944939,8.63013770333,8.049352819,6.9389725085,7.389583129,9.442940266,8.766664812,Control
11.23522461,9.132211242,6.730522711,9.396953172,8.8306549555,5.692518737,6.060539901,6.003456948,5.588723066,5.518229233,5.778741634,5.206341637,7.4088003525,9.842350785,6.007650337,6.872462884,4.885099957,5.336650487,8.435838088,7.7125980515,11.00452968,9.157246578,11.83833739,4.801431976,6.931778481,11.00715715,6.07725681717,5.979395943,6.762286105,7.33013335533,9.157726588,6.91556020333,10.18714825,9.29741101033,7.8450723755,5.806975681,9.819947042,6.095297454,7.344893544,5.458948931,5.455665247,13.22219118,6.675961001,11.76197512,7.497654525,9.701150974,10.89468537,8.69594604867,8.040914571,6.707372677,7.637528126,10.7680640095,8.90863950367,BRCA
11.57100849,8.695716467,6.87151716925,8.235417282,9.474784696,5.665201768,5.684966848,6.12810835567,5.70895367,4.569953748,6.064587171,4.512547026,7.755466278,9.445998278,6.408546818,6.715073541,5.925887445,5.377480603,9.008765532,7.745704965,11.73619062,9.836169177,12.08138533,5.048989481,7.4215310095,10.15284924,7.15443493,5.98125183967,7.609956448,6.96976629,9.731277076,6.71227636133,10.79917457,9.14697742367,7.89616385625,6.059945345,9.444171974,5.996451597,7.41519809933,5.749206573,5.206341637,12.40728377,6.320264091,11.96720294,8.260238737,8.868576523,11.50362218,8.58775556733,8.276164252,6.591384273,8.5459358775,10.2219737915,8.55011618967,BRCA
11.61377578,7.344808806,6.362735412,9.700778298,9.592628378,5.396614413,8.097585943,6.32230220733,5.832707292,5.188253784,5.472984221,5.072332275,7.5815822955,10.88558411,6.023372494,8.238179151,4.77796061,4.85650179,6.998198677,6.5896621115,11.41213066,7.747456426,11.2413041,5.077041333,6.239058915,9.662659976,5.4415442,6.79660585167,7.818967364,6.54175895867,9.498061903,7.38616007233,8.36573313,9.62804284167,7.264331835,6.512547399,9.718924317,6.107065996,6.55666256233,5.183299167,5.544509535,12.74140174,6.423120638,11.42772678,7.800739973,8.315445233,10.08017501,8.637746395,8.3070644095,6.131045331,6.9179834015,9.657563976,8.75272381533,BRCA
11.30576268,8.7216983,7.0975611175,8.817432296,9.554096283,4.93252334,5.682019293,6.325284749,5.54798282,5.185481295,6.498295252,4.93252334,7.645327129,8.478204487,5.659219053,6.655677847,4.888756945,4.759970032,8.819732939,7.480559564,11.39154181,9.508320259,11.67233485,4.963487128,6.487104221,10.21059864,5.8607249385,5.93944441167,8.506288859,7.84441516067,9.633368144,7.43240197667,10.11844835,8.82865486733,8.05261194825,6.233241578,9.632114784,6.332712967,7.116277725,5.064162066,5.699614961,13.16916718,6.14308278,11.92850738,7.711014946,8.92056956,11.09277384,8.48783089,8.3666695385,6.690086944,8.3320404855,10.3436672635,8.685450801,Control
11.56193958,8.761435816,6.41978303225,9.320067806,9.6248298825,5.422242462,6.672888927,6.57114183333,6.068139401,5.511603435,6.179665925,5.172938736,7.8288732835,9.024350935,5.56072355,8.281398189,5.620154746,4.88668579,8.738583034,7.5245411315,10.77439198,9.212004536,11.67233485,5.391468086,6.9655385505,10.55937736,6.020187685,6.398579306,6.843830389,7.80894971567,9.463289929,7.18054352333,9.9479076,9.29235500067,7.87109163775,6.286424343,9.7227322955,6.387246745,7.61039616467,5.668822064,6.110463081,13.41290062,8.252974189,11.36056745,7.59152445,9.680166591,10.50744312,8.65269777133,8.288078818,6.66320588,7.7930385845,10.3644012085,8.941396335,BRCA
11.28654637,8.594083007,6.2012063225,9.83968846,9.8176306835,4.233626673,7.038153897,6.591071042,5.538702079,5.190230876,6.031666056,4.049108953,7.5688881555,9.918602815,5.874558002,6.354739197,4.987561048,5.468103682,8.85611511,7.3344224225,11.36752411,9.015945424,11.71789713,4.441438586,6.9279187635,10.19143901,5.75900304267,5.92169088967,8.121716271,7.79374473733,9.608310793,7.481413311,9.286477553,9.23513699733,8.23267903825,6.560107813,9.564546958,6.271748387,6.96601306267,5.431298057,5.790974804,13.43914135,6.105390642,11.57911804,7.286837552,7.766597025,10.73861188,8.40102196767,7.806017873,6.933258291,7.6247556515,10.524733561,9.092287744,BRCA
