@relation data

@attribute id string
@attribute 10488 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 11211 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 1385 numeric
@attribute 1387 numeric
@attribute 148327 numeric
@attribute 1499 numeric
@attribute 163688 numeric
@attribute 1638 numeric
@attribute 1855 numeric
@attribute 1856 numeric
@attribute 1857 numeric
@attribute 1906 numeric
@attribute 1910 numeric
@attribute 196883 numeric
@attribute 2033 numeric
@attribute 23236 numeric
@attribute 2535 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 2775 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 2932 numeric
@attribute 3265 numeric
@attribute 3815 numeric
@attribute 3845 numeric
@attribute 4157 numeric
@attribute 4254 numeric
@attribute 4286 numeric
@attribute 434 numeric
@attribute 4893 numeric
@attribute 51176 numeric
@attribute 51384 numeric
@attribute 51806 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 54361 numeric
@attribute 5443 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5613 numeric
@attribute 5894 numeric
@attribute 64764 numeric
@attribute 6932 numeric
@attribute 6934 numeric
@attribute 7299 numeric
@attribute 7306 numeric
@attribute 7471 numeric
@attribute 7472 numeric
@attribute 7473 numeric
@attribute 7474 numeric
@attribute 7475 numeric
@attribute 7476 numeric
@attribute 7477 numeric
@attribute 7478 numeric
@attribute 7479 numeric
@attribute 7480 numeric
@attribute 7481 numeric
@attribute 7482 numeric
@attribute 7483 numeric
@attribute 7484 numeric
@attribute 7855 numeric
@attribute 7976 numeric
@attribute 801 numeric
@attribute 80326 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 81029 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8321 numeric
@attribute 8322 numeric
@attribute 8323 numeric
@attribute 8324 numeric
@attribute 8325 numeric
@attribute 8326 numeric
@attribute 83439 numeric
@attribute 84699 numeric
@attribute 89780 numeric
@attribute 90993 numeric
@attribute Class {Control,BRCACancer}

@data
A11,0.9237,-0.0037,-0.0447,0.1771,-0.0329,0.1431,-0.2334,1.647,-0.1336,0.4234,1.3699,1.3339,-0.004,1.8734,0.1301,-0.1235,0.2527,0.7418,0.7266,-0.0417,-0.0142,0.1056,1.7953,0.6393,0.1712,-0.0464,0.5898,1.5047,0.0806,0.5344,0.6091,0.4848,0.2904,0.0262,1.4146,0.1023,-0.072,0.0586,0,2.4753,0.9207,0.1015,-0.188,1.4793,0.5867,-0.0621,-0.0508,0.2996,0.9115,0.9113,-0.0051,0.3263,0.9853,-0.1178,1.8347,0.9926,0.6056,0.4262,0.8719,1.2804,0.2722,0.7619,0.3638,-0.0815,-0.0651,0.1626,-0.1421,-0.1,-0.0866,-0.0752,-0.0051,0.0741,0.0528,0.0926,0.0109,0.0368,-0.1539,-0.1324,0.0163,-0.0204,0.1742,2.2562,0.0307,0.7584,2.1908,0.0769,-0.0176,0.1602,-0.0087,0.6099,0.4877,0.0762,-0.0355,0.1375,-0.0154,0.0439,0.0353,-0.0608,-0.0376,0.0552,-0.1033,Control
A12,0.62,0.1315,0.0846,0.2876,0.106,0.1753,-0.3862,0.9007,-0.1268,0.0378,1.1942,0.7983,0.1998,1.615,0.1369,-0.1267,0.2785,0.4931,0.73,0.0377,-0.1309,0.0937,1.0459,0.1726,-0.2287,-0.0219,0.5364,1.3056,0.0412,0.1356,0.3465,0.3984,0.2032,-0.029,0.8721,0.0779,-0.0829,0.1124,0.1666,2.575,0.7845,0.0238,-0.2893,0.8977,0.2473,-0.0411,-0.0652,0.2857,0.786,0.9203,-0.3279,0.1184,0.5269,-0.2487,1.3126,0.6672,0.3165,0.1908,0.5241,1.1644,0.2983,0.7174,0.1106,-0.1984,-0.1416,0.0447,-0.0011,0.0084,-0.0976,-0.1428,0.1927,-0.0059,0.0945,0.0964,-0.0034,-0.0286,-0.1358,-0.0271,0.0777,0.1435,0.1194,1.7774,0.0618,0.602,1.965,0.1727,-0.0667,0.5306,0.1424,0.4145,0.2663,0.0657,-0.0439,0.1431,-0.0514,-0.1891,-0.0818,0.055,0.0149,0.173,-0.1934,Control
B01,0.7006,0.1108,0.0389,0.25,0.0013,0.1403,-0.5358,1.2525,-0.1404,0.1165,1.6304,1.305,0.083,2.2274,-0.0138,-0.059,0.1195,0.6382,0.9013,-0.0257,-0.1022,0.1035,1.7251,0.3587,-0.3995,0.1658,0.7127,1.4935,-0.0075,0.5769,0.5895,0.6768,0.1584,0.0425,1.5366,0.0255,-0.0188,0.1243,-0.2931,2.5536,1.7142,-0.1799,-0.5906,1.4475,0.2449,-0.0318,-0.2235,0.0269,0.7574,0.9718,-0.2682,0.5839,0.9472,-0.434,1.5662,0.7793,0.6567,0.1449,0.9051,1.6434,0.3558,1.5057,0.5719,-0.1658,-0.0632,-0.1627,-0.081,-0.0446,-0.3443,-0.3076,0.179,-0.1703,0.0646,0.0646,-0.1404,-0.1068,-0.2864,-0.2278,-0.1029,-0.0384,0.2754,2.4459,-0.207,1.5527,1.8265,-0.1601,-0.2434,0.3381,-0.0327,0.7835,0.4253,-0.0794,-0.0796,0.1725,-0.2835,-0.3076,-0.2599,-0.0223,-0.0696,0.0557,-0.2638,Control
B02,1.0441,0.0233,-0.0187,0.2884,-0.0035,0.1148,-0.1188,1.7995,-0.1385,0.3118,1.7362,1.342,0.1384,2.3355,0.08,-0.1205,0.4366,0.9215,1.0393,0.0129,-0.0191,0.1452,1.784,0.2607,0.1704,0.0312,0.9572,1.7025,0.0337,0.34,0.704,0.5494,0.3404,0.0764,1.5341,0.1628,-0.0443,0.0705,0.0809,3.1429,1.3256,-0.0694,-0.1537,1.8017,0.5812,-0.0654,-0.0553,0.2748,0.9736,1.0268,-0.1548,0.3378,0.785,-0.1472,1.7427,1.0963,0.6188,0.4126,1.006,1.8632,0.3238,1.5713,0.4183,-0.0949,-0.0925,0.1566,-0.1244,-0.0793,-0.1443,0.0018,0.1449,0.0228,-0.0258,0.047,0.126,0.0698,-0.1307,-0.0232,0.0909,-0.0215,0.2603,2.7299,0.1312,1.4591,2.189,0.0854,0.0233,0.2735,0.0412,0.6112,0.5478,0.3321,-0.0673,0.1454,-0.0688,0.0402,0.1952,-0.0466,-0.0277,0.2383,-0.1052,Control
B03,0.88,-0.0151,-0.0213,0.2657,-0.009,0.112,-0.1779,1.5743,-0.1297,0.2259,1.7208,1.3124,0.0477,2.3868,0.0668,-0.0815,0.2728,0.715,0.9746,-0.0308,-0.0823,0.1393,1.7618,0.3661,-0.0195,0.0294,0.7691,1.6628,0.0284,0.4581,0.6633,0.6557,0.2646,-0.0095,1.6305,0.0154,-0.0774,0.0716,-0.0911,2.9071,1.3481,-0.093,-0.2824,1.6027,0.4731,-0.0366,-0.1805,0.175,0.9021,1.0272,-0.1715,0.3907,0.9095,-0.1904,1.7521,0.9479,0.6536,0.3093,1.0673,1.7244,0.3688,1.4131,0.4352,-0.1768,-0.0943,0.075,-0.0875,-0.019,-0.2052,-0.1764,0.1383,0.0374,-0.0513,0.0527,0.0156,-0.0706,-0.1732,-0.1377,0.1133,0.055,0.2323,2.6651,-0.04,1.4948,2.042,0.0256,-0.0949,0.2655,-0.0252,0.7042,0.5171,0.1155,-0.029,0.1652,-0.1431,-0.0339,0.011,-0.05,-0.0907,0.1737,-0.139,BRCACancer
B04,0.6418,0.0312,-0.0182,0.2717,-0.0145,0.0924,-0.2313,1.7749,-0.2223,0.4276,1.7166,1.5339,8e-04,2.1299,0.1428,-0.2057,0.3293,0.588,0.9899,-0.092,-0.0698,0.1181,1.9323,0.8222,-0.1348,0.0393,0.8921,1.3641,0.0146,1.0542,0.6721,1.0929,0.1782,0.0398,1.3969,0.2067,0.0433,0.1701,-0.0105,2.4183,1.8222,-0.0875,-0.2884,1.6955,0.4117,-0.1142,0.0339,0.1278,0.8631,1.2233,-0.0225,0.6402,1.5857,-0.1718,1.9229,0.7243,0.8115,0.3653,0.9176,1.7237,0.5657,1.3954,1.0028,-0.1338,-0.1159,0.1141,-0.1616,0.0037,-0.0844,-0.1666,0.0368,-0.0396,-0.0263,0.1272,-0.0596,-0.0409,-0.1171,-0.1055,-0.0093,0.0897,0.3542,2.1452,0.0094,1.4654,1.8968,-0.0211,-0.0374,0.1714,0.0595,1.1106,0.5915,-0.0346,-0.073,0.2205,-0.1119,-0.041,-0.0521,-0.0392,-0.0845,0.1845,-0.1803,BRCACancer
B05,0.6726,0.0971,0.0219,0.2407,0.0753,0.085,-0.2023,1.6009,-0.1957,0.2881,1.3458,1.3523,0.0304,1.9932,0.1,-0.1769,0.3273,0.6707,0.9775,-0.0492,-0.1186,0.1352,1.773,0.1639,-0.2801,-0.018,0.8147,1.5271,0.0042,0.2673,0.5904,0.5382,0.2381,0.1403,1.2745,0.1338,-0.0861,0.0141,0.1151,2.3386,0.7677,-0.0692,-0.3381,1.6773,0.4203,-0.1119,0.0132,0.382,0.9923,0.8631,-0.1351,0.1887,0.8601,-0.2041,1.8007,0.8239,0.4972,0.3668,0.8413,1.4156,0.3697,1.0139,0.6239,-0.1565,-0.1109,0.0331,-0.0455,-0.0363,-0.1322,-0.0441,0.1038,-0.0232,0.0486,0.1517,-0.0123,0.011,-0.1264,-0.1056,0.0386,-0.0375,0.3565,2.5472,0.1309,1.2033,2.0581,0.0802,-0.0475,0.3113,0.1058,0.5174,0.379,0.0591,-0.0244,0.2023,-0.1792,-0.0426,0.018,0.0045,-0.0635,0.2061,-0.1535,BRCACancer
B06,0.4487,-8e-04,0.076,0.1237,-0.0411,0.0647,-0.6245,1.1394,-0.1503,-0.0293,1.4075,0.9722,0.0167,1.9638,-0.0205,-0.087,0.0396,0.3719,0.7588,-0.0875,-0.0515,0.0621,1.3562,0.3007,-0.3786,0.1532,0.4868,1.3365,0.015,0.3375,0.3913,0.4945,-0.0061,0.0935,1.0451,0.0828,-0.0012,0.1229,-0.277,2.0849,1.0744,-0.153,-0.6717,1.3882,0.1163,0.0084,-0.1556,-0.0811,0.5286,0.7513,-0.3816,0.1906,0.7212,-0.4449,1.3023,0.5177,0.5394,-0.0057,0.6527,1.4461,0.3094,0.8462,0.247,-0.0503,-0.0832,-0.2446,-0.0239,-0.1799,-0.3574,-0.3831,-0.003,-0.1769,0.2448,0.1536,-0.1526,-0.283,-0.2367,-0.2011,-0.2311,0.0125,0.1509,2.1772,-0.1553,1.2894,1.5456,-0.1649,-0.2098,0.2679,-0.0603,0.5292,0.258,-0.2748,-0.0718,0.2297,-0.2649,-0.3236,-0.2933,0.0151,-0.1474,0.0525,-0.3396,BRCACancer
B07,1.0027,0.0391,-0.041,0.3381,0.0244,0.0305,-0.216,1.8352,-0.1607,0.3871,1.8107,1.4398,0.0948,2.3083,0.1379,-0.1226,0.4679,0.8904,1.139,-0.103,-0.0399,0.1993,1.9229,0.3325,0.0681,0.0062,0.9767,1.7369,0.0569,0.3625,0.7489,0.6372,0.38,0.0084,1.5831,0.1025,-0.0848,0.0694,0.0568,2.8997,1.2821,-0.045,-0.1638,1.8805,0.5681,-0.0749,-0.0151,0.2696,1.0257,1.149,-0.1569,0.2531,0.9385,-0.1719,1.8217,1.0487,0.6951,0.4908,1.0379,1.9525,0.372,1.3473,0.316,-0.108,-0.048,0.1548,-0.0885,-0.018,-0.1255,-0.0027,0.1288,0.0696,-0.073,0.0811,0.159,-0.0677,-0.1415,0.1175,0.1002,0.0653,0.3849,2.7059,0.2345,1.3429,2.1058,5e-04,-0.0335,0.1944,0.0766,0.7886,0.6192,0.2348,-0.0577,0.2794,-0.1337,0.0503,0.2574,-0.0386,-0.0555,0.2413,-0.136,BRCACancer
B08,0.9213,-0.0051,-0.0526,0.2855,-0.0384,0.1778,0.0121,1.7385,-0.1052,0.2252,1.561,1.2348,-0.0455,1.9576,0.1198,-0.0948,0.3905,0.7408,0.8154,-0.1476,-0.0129,0.1498,1.6835,0.2795,0.3137,0.0308,0.7613,1.7617,0.0717,0.2896,0.6844,0.4347,0.3687,-0.0193,1.4559,0.207,0.0731,0.058,-0.0675,3.0033,0.98,-0.0669,-0.1929,1.7224,0.7038,-0.023,-0.1287,0.2452,1.0223,1.0355,-0.0317,0.242,0.7048,-0.0759,1.7268,1.0739,0.682,0.4491,0.9504,1.5696,0.2557,1.0273,0.2886,-0.1066,-0.0476,0.2476,-0.1018,0.0257,-0.1221,-0.0368,0.0097,0.0537,-0.1028,0.1039,0.0971,0.0753,-0.1039,-0.0316,0.1946,0.045,0.1017,2.443,0.0953,1.1707,2.4631,0.1187,-0.0011,0.1849,0.0394,0.4253,0.5316,0.3381,-0.0159,0.1398,-0.0818,0.1103,0.0768,-0.0382,0.0037,0.1111,-0.0443,Control
