@relation data

@attribute id string
@attribute 259307 numeric
@attribute 2805 numeric
@attribute 2806 numeric
@attribute 5053 numeric
@attribute 6898 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.1615,0.6229,0.5097,-0.1065,-7e-04,Control
A02,0.1069,0.4765,0.3421,-0.0884,-0.0566,Control
A03,0.1317,0.5444,0.488,-0.12,-0.0475,Control
A04,0.0215,0.3582,0.4196,-0.0986,-0.0252,Control
A05,0.1895,0.4723,0.4996,-0.0709,-0.0357,Control
A06,0.076,0.5812,0.4481,-0.092,-0.0483,Control
A07,0.0747,0.5599,0.4741,-0.1096,-0.1012,Control
A08,0.0061,0.502,0.4541,-0.0935,-0.031,Control
A09,-0.0311,0.549,0.3859,-0.0904,-0.07,Control
A10,0.1122,0.4876,0.5207,-0.0731,-0.0647,Control
A11,0.0454,0.5119,0.4674,-0.0296,-0.0339,Control
A12,-0.0303,0.292,0.3372,-0.0342,0.0202,Control
B01,-0.0992,0.4972,0.4294,-0.0196,-0.0112,Control
B02,0.0905,0.5153,0.5595,-0.0558,0.0129,Control
B03,-0.0404,0.4969,0.5117,-0.0448,0.0179,BRCACancer
B04,0.0381,0.3403,0.4014,-0.0631,-0.0543,BRCACancer
B05,-0.1085,0.4599,0.3392,-0.0939,-0.0593,BRCACancer
B06,-0.2039,0.4488,0.2922,-0.0117,0.067,BRCACancer
B07,0.0157,0.5299,0.483,-0.0967,-0.1102,BRCACancer
B08,0.1124,0.532,0.4779,-0.0368,-0.0201,Control
B09,-0.0903,0.3009,0.3031,-0.0778,-0.0676,Control
B10,-0.0143,0.3258,0.2272,-0.0643,-0.0436,Control
B11,0.073,0.4841,0.3725,-0.0484,-0.0738,Control
B12,-0.0564,0.106,0.1953,-0.0534,-0.0616,Control
C01,0.2103,0.4969,0.4368,-0.1105,-0.1159,BRCACancer
C02,0.1817,0.4589,0.5065,-0.1274,-0.0586,BRCACancer
C03,0.0936,0.5976,0.4307,-0.1108,-0.0672,BRCACancer
C04,0.0557,0.2764,0.3138,-0.0911,0.0357,Control
C05,0.0513,0.2607,0.3232,-0.0983,0.0227,BRCACancer
C06,-0.0992,0.1355,0.0823,-0.0039,-0.0307,Control
