@relation data

@attribute 128312 numeric
@attribute 3013 numeric
@attribute 8360 numeric
@attribute 3012 numeric
@attribute 8362 numeric
@attribute 8361 numeric
@attribute 8364 numeric
@attribute 54145 numeric
@attribute 8363 numeric
@attribute 65057 numeric
@attribute 8366 numeric
@attribute 8365 numeric
@attribute 8368 numeric
@attribute 8970 numeric
@attribute 8367 numeric
@attribute 8349 numeric
@attribute 8294 numeric
@attribute 8359 numeric
@attribute 8290 numeric
@attribute 474382 numeric
@attribute 8338 numeric
@attribute 8339 numeric
@attribute 8340 numeric
@attribute 121504 numeric
@attribute 8346 numeric
@attribute 8345 numeric
@attribute 8348 numeric
@attribute 8347 numeric
@attribute 8342 numeric
@attribute 8341 numeric
@attribute 8344 numeric
@attribute 8343 numeric
@attribute 7014 numeric
@attribute 7013 numeric
@attribute 3018 numeric
@attribute 8370 numeric
@attribute 26277 numeric
@attribute 3014 numeric
@attribute 3015 numeric
@attribute 54386 numeric
@attribute 3017 numeric
@attribute 25913 numeric
@attribute 8337 numeric
@attribute 8335 numeric
@attribute 85236 numeric
@attribute 8334 numeric
@attribute 8330 numeric
@attribute 255626 numeric
@attribute Class {Control,BRCA}

@data
5.118745153,5.174537499,5.257964097,6.080503777,8.127196202,5.169936271,14.05593823,9.603728853,6.059945345,8.791530131,5.68566776,7.01480474,4.668481241,9.079385528,6.730643776,8.440029384,5.536217098,5.952107108,5.197719213,5.213358218,10.76039169,6.680046949,4.871364705,5.823629162,4.708204487,5.264922245,5.261729425,5.568040657,6.49377991,5.279853137,5.139767484,6.139557107,9.823908995,6.27599381767,5.155031965,6.917524621,11.46435444,7.8736305755,12.06323168,11.4675955,7.428939017,5.794650695,10.55455797,5.434637608,12.04345466,8.487007054,6.051867589,4.663367841,Control
5.096779711,4.964758163,4.689877288,5.730104109,6.839868676,5.268108014,13.96600025,8.215303806,5.817246707,8.448705991,5.919108385,5.776374632,4.881923051,7.646272708,6.170531632,8.322132227,5.157863534,5.385785842,4.981180512,4.663367841,9.674329611,5.789606185,5.323740468,5.808134829,4.905220009,5.076613872,5.124960054,5.70044752,6.432128971,5.331285345,5.076613872,5.36458228,9.941260812,6.66413084,5.110416751,6.546165695,11.66204091,7.8908509875,12.24301336,11.4871292,6.353301929,5.60696957133,8.9788285505,5.580530872,11.42963442,6.276594949,5.576228285,4.173910121,BRCA
4.628224624,4.558389106,5.144669712,6.272308437,7.800286988,5.066316611,14.10257573,9.670085752,5.395243853,9.084051721,5.598879718,6.079650777,5.245658467,8.797792112,5.995434345,8.532999807,4.720021333,5.042218873,4.628224624,4.419595675,9.896635567,6.451215749,4.919591852,5.583918611,4.47893856,4.919591852,5.001702332,4.971786376,6.236545833,5.202624638,4.933585915,5.583918611,9.835837694,6.59450135867,5.16953547,7.132579734,11.5054743,8.4900776405,12.53965448,11.40579844,7.52248330367,5.601736039,9.582685718,5.757030749,12.29684318,8.190863129,5.316879984,4.950248224,BRCA
5.693773551,4.916490079,4.814821191,6.528106825,8.863443805,5.352274105,14.49088818,8.044122393,5.850631456,9.42208113,5.916363929,6.090118375,4.366293438,4.92244912,6.701137054,9.896446364,5.689726348,5.554290497,4.766080198,4.748208435,10.88094205,6.311526388,5.438135838,5.332538997,4.608266403,5.450890591,5.01682082,4.938534277,5.89251929,5.229406468,5.377480603,5.438135838,9.574508914,6.64360809167,4.766080198,7.152338403,11.55186698,8.530230259,12.30321003,11.59410425,6.90529433767,5.363247585,10.5173890535,5.182703468,12.79374357,6.408122185,5.859106883,4.667062321,Control
5.406342144,5.057679059,5.241660263,5.776374632,6.890693297,5.133924369,14.08054111,9.171627882,5.403788568,8.740810482,4.870871734,5.148335483,5.213747029,8.821312505,5.759829109,8.186907968,5.297935366,4.972360944,5.447836413,4.927672792,9.72142441,5.957921126,5.025484272,6.139403622,4.734183662,4.649642211,5.297935366,6.022207581,6.718844926,5.689866096,5.029244428,5.65593226,9.695555047,6.85724003533,5.17473722,7.365100051,11.34349681,8.185466732,12.39294532,11.42258795,6.983161939,5.58178575633,9.383214294,4.985285523,11.858053,7.142926798,5.291135005,4.91887665,BRCA
5.36773034,4.900638916,4.925775462,5.545359333,6.326794047,5.447257868,12.24753009,8.035817876,5.080669653,8.591747779,5.804912672,6.261065912,4.985513237,7.866569768,5.109685724,8.772645411,5.163308771,4.862465343,5.127025752,5.401742447,8.508201951,6.195057794,5.241850906,5.214330049,5.062436111,5.075972442,5.515077886,5.625863148,6.237741162,5.234397132,5.249266367,5.440131024,9.510972362,6.608823679,4.972360944,6.331549038,11.68900437,7.6042942415,12.29242381,11.55657325,6.330174048,6.11200878633,8.316796841,5.427783188,10.93481154,7.455781587,4.769786816,5.46712559,BRCA
5.36650691,4.732013908,5.114586962,6.194663913,8.740068382,4.93712219,14.7817055,7.601810012,6.149549624,8.591018414,6.62585904,7.246291987,5.139972076,6.097827379,8.870627591,8.33257494,5.149758548,5.077041333,5.164113728,5.046808884,10.66841992,6.5560888,4.595204309,6.053334703,5.213941395,5.650629048,5.460260315,5.899484569,5.971607496,6.117700885,5.579701547,6.13566376,9.628928997,7.36590583167,5.744303238,6.893972281,11.22961513,8.160140768,11.25779165,10.90219441,7.23571497,5.44361563733,9.692660621,5.391983545,13.074006,6.658144078,6.488889022,4.867169068,BRCA
5.844744204,5.2209212,4.898947471,6.264072495,8.533603375,5.540872931,13.7210223,10.42177586,6.211553127,8.792042831,5.256643908,7.126784799,4.688059546,9.433126963,5.716175548,8.732490639,5.047681518,5.154424477,4.703782956,4.81315432,10.17096442,6.9557694,5.163308771,5.929442617,4.918399651,5.193979903,5.479142629,5.313437469,6.272261775,5.002490161,5.277995204,5.638081984,9.542626187,6.322827848,5.346169084,7.831435711,11.55749974,7.787027341,12.45804007,11.56304622,8.36211980967,6.00729484233,10.0318327905,4.983234478,12.29242381,9.946928611,5.93470004,4.835559392,Control
5.419801156,5.255700175,5.545359333,5.993510911,7.364881259,5.178725843,13.31043176,10.00810682,5.69600164,8.830325945,5.117810604,6.715691352,4.497725104,8.876387348,5.936526788,9.982822895,5.570167841,5.662925563,5.032113243,5.511603435,10.68693842,6.853562589,4.715361226,5.751417692,4.672729652,5.250403832,5.229983196,5.763950127,6.314610999,5.700724934,5.144669712,6.316060301,9.670935523,6.88067378067,5.233246971,7.621669354,11.31253714,8.5057825605,12.89900003,11.46239505,7.731063702,5.64992613367,10.549058171,5.427950757,12.3968015,8.894060699,5.839966671,4.897254041,BRCA
5.557663769,4.585033079,4.821979637,5.970169897,8.647873119,4.490583929,14.29890208,9.091846003,6.021041727,9.125801619,4.963487128,6.228150688,5.233822166,9.033320526,5.822354928,9.05864872,5.745379368,4.981865493,5.168332398,5.250782787,10.4183642,6.723152797,5.2209212,6.320850743,4.421060285,5.229598736,5.422747045,5.279296008,6.408334517,5.476390801,5.634020526,5.360725299,9.567148551,6.86057592467,4.937593039,7.713525923,11.27319403,7.7151803595,12.22983432,11.51908594,7.94413342067,5.667427373,10.2223433115,5.279296008,12.26341894,8.2864551,6.090647705,4.42789603,BRCA
