@relation data

@attribute id string
@attribute 10971 numeric
@attribute 2194 numeric
@attribute 2645 numeric
@attribute 31 numeric
@attribute 51085 numeric
@attribute 51422 numeric
@attribute 5313 numeric
@attribute 53632 numeric
@attribute 5515 numeric
@attribute 5516 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 5520 numeric
@attribute 5521 numeric
@attribute 5522 numeric
@attribute 5523 numeric
@attribute 5524 numeric
@attribute 5525 numeric
@attribute 5526 numeric
@attribute 5527 numeric
@attribute 5528 numeric
@attribute 5562 numeric
@attribute 5563 numeric
@attribute 5564 numeric
@attribute 5565 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5571 numeric
@attribute 5573 numeric
@attribute 5575 numeric
@attribute 5576 numeric
@attribute 55844 numeric
@attribute 6945 numeric
@attribute 7529 numeric
@attribute 7531 numeric
@attribute 7532 numeric
@attribute 7533 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.8977078460,-0.0463881260,-0.1242674589,0.6033823811,-0.2120121776,0.7942531938,0.1637492007,-0.1903709059,1.7623662382,0.3081120378,0.7647704655,0.7174999820,0.8280982228,-0.1094415527,0.0769328680,0.8729071493,1.5687750280,0.9490801855,0.0047996029,0.7051099895,0.3854039603,0.6972816498,0.5368377324,0.2999920529,0.5431077458,0.5931362181,0.6055969648,-0.0123531642,1.3033668929,1.9211698879,0.3766967951,0.0642130354,0.3984676105,1.2129701798,2.8649117788,2.1320210693,3.3017348942,0.2840659279,BRCA
GSM480985,0.7658785862,-0.0055299930,-0.1258860016,0.5125465995,-0.1753758630,0.6079364413,0.1821799505,-0.1687008130,1.5972294421,0.2363182238,0.5275128255,0.4824771165,0.6375519826,-0.1311084704,0.0453235230,1.1741136705,1.7871272628,1.4096147597,-0.0356001569,0.7057918679,0.3409020890,0.8830770498,0.5711894630,0.3504684004,0.7091160180,0.7376574537,0.7695002645,-0.1038192192,1.2706286577,2.2771025042,0.1234466186,0.0309261780,0.2506681306,0.8452454784,2.6496851841,2.1926461853,3.3812768759,0.2868869492,BRCA
GSM480986,0.8961630866,0.0667630159,-0.0910298228,0.6008922316,-0.1497422561,0.8370573357,0.0966888740,-0.1877095143,1.6820185006,0.3124934828,0.7615997205,0.7131900114,0.6806659546,-0.1152539310,0.0592372055,1.0049449365,1.5001651270,0.9288615450,0.0688032554,0.7133226926,0.3827300649,0.6173110976,0.4924874472,0.3304187802,0.4465487137,0.6712817949,0.7078176651,-0.0887387330,1.4931620293,2.0198128103,0.5190979345,0.1662764031,0.4443250835,1.0824401646,3.0484460116,2.5239436627,3.5162105559,0.2451798338,BRCA
GSM480987,0.9140171910,-0.1078268113,0.0194667790,0.3403941065,-0.0890637037,0.4190751875,0.0097332111,-0.1255765253,1.7100764543,0.3315473428,0.6131601911,0.5315221477,0.4434901190,-0.1264129629,0.0728529078,0.3656489045,1.2921829677,0.4929498471,-0.0061240092,0.4414973196,0.3297560222,0.5598070415,0.1182318989,0.2737920291,0.4880580428,0.4481176670,1.0939444790,-0.0234222412,1.2468129198,1.9039099027,0.3223923260,0.1367199314,0.2787342311,0.8666853889,2.8611823956,2.3751924037,3.7342699767,0.1725909245,BRCA
GSM480988,0.7300454369,0.0125870132,-0.0952093873,0.5317130196,-0.0679580540,0.7425629368,0.0375145020,-0.0784951129,1.5759464525,0.3109120772,0.4110367248,0.6810503945,0.5630921404,-0.0409799413,0.0399752743,0.7393020719,1.8072036439,1.0736490343,-0.0025899021,0.5714537580,0.2888080597,0.5218059314,0.4654544679,0.4236023692,0.3572364971,0.3137383716,0.5631931945,-0.0202760463,0.7106158957,1.4926301568,0.1654808719,0.0300146427,0.3432787602,1.0786653998,2.7963664452,1.9517735643,3.2479327320,0.1968091326,BRCA
GSM480989,0.9536321424,0.0139751016,-0.0005144539,0.4634414304,-0.1090746008,0.8018479110,0.0825043132,-0.2168305382,1.3931663536,0.0226131609,1.0587791578,0.5312064313,0.4833833664,-0.1011753005,0.1921022146,0.5486043980,2.1386314605,0.7545787605,0.0049876286,0.5964250152,0.4202536828,0.4183589999,0.2841369687,0.3537920004,0.3215075144,0.9056678476,0.3538124809,0.0047141360,1.5055198472,1.9109501814,0.3053653154,0.1146072071,0.2071824134,1.2118795883,2.9099976381,2.5266134737,3.6160825491,0.3122929088,BRCA
GSM480990,0.8753826609,-0.0316980068,-0.0437816894,0.3936909323,-0.2175378701,0.5004763796,0.0356109999,-0.1984981659,1.4343192951,0.2047472435,0.9752111733,0.4948035199,0.5190951805,-0.0898131300,0.1991758036,0.5442353866,2.0264567383,0.6389422269,0.0617652096,0.6573617734,0.4702045261,0.4202362334,0.0393349569,0.2651418656,0.2109162985,0.8428640298,0.7935236208,-0.0195084080,1.0926298862,1.8563018972,0.3795540563,0.0994964334,0.3392335310,1.0268720413,3.0515313069,2.2605771227,3.8424132466,0.2054380223,Control
GSM480991,0.8124476158,-0.0706011798,-0.0791121414,0.4705012386,-0.1138387791,0.7138718524,-0.0017519026,-0.2136778654,1.4974810705,0.1986639752,0.9436757888,0.6351671688,0.5461958677,-0.0539851167,0.1473591978,0.7405351884,2.1395349089,0.8343841075,0.1168246841,0.6418374375,0.4595783168,0.5643821552,0.3465647588,0.3778735274,0.3635253890,0.7147501284,0.6564376624,-0.0500267771,1.3601767089,1.9251870017,0.3763965595,0.1652794271,0.4123026472,1.0105362361,2.9438177745,2.2935149670,3.5766208769,0.2894791155,Control
GSM480992,0.9112154756,0.0629602390,-0.0514066756,0.4933570848,-0.1072729434,0.6387557607,0.0948297891,-0.2237809359,1.2969635930,0.1431735181,1.1712464989,0.5340362522,0.6923516668,-0.0616241511,0.2228041516,0.7922845089,2.4873148981,0.5707024353,0.0651173290,0.6351517523,0.4955356443,0.3441480973,0.1885730066,0.2391999368,0.2324048330,1.1381731691,0.5008515699,0.0557855016,1.0753398239,1.8326816315,0.3750074824,0.1510298427,0.1930754964,1.0567646997,3.0823179564,2.0128209990,3.8861452936,0.2041087145,Control
GSM480993,1.0168038179,0.0306629837,-0.0899998086,0.6359579581,-0.1790842509,0.7082894048,0.0762583770,-0.1266901352,1.6592786313,0.2477899835,0.7930191697,0.5554828322,0.6579530155,-0.0954193931,0.0549426040,0.8658221022,2.2241652907,0.9574886425,0.0632081772,0.6700381332,0.4348709144,0.5277534072,0.4264199110,0.3573280849,0.2972319146,0.8387103804,0.5521481080,-0.0571271274,1.3913483091,1.8971461036,0.4153331244,0.1768389816,0.2754902696,1.1290173130,2.9598939657,2.5240129627,3.6253513395,0.2556822760,Control
