@relation data

@attribute id string
@attribute 6559 numeric
@attribute 11254 numeric
@attribute 6558 numeric
@attribute 6557 numeric
@attribute 6519 numeric
@attribute 10991 numeric
@attribute 283652 numeric
@attribute 54716 numeric
@attribute 23657 numeric
@attribute 56301 numeric
@attribute 8671 numeric
@attribute 6512 numeric
@attribute 57030 numeric
@attribute 65010 numeric
@attribute 6522 numeric
@attribute 6521 numeric
@attribute 6520 numeric
@attribute 6565 numeric
@attribute 9498 numeric
@attribute 206358 numeric
@attribute 57282 numeric
@attribute 8501 numeric
@attribute 6564 numeric
@attribute 9497 numeric
@attribute 84679 numeric
@attribute 6560 numeric
@attribute 6549 numeric
@attribute 115019 numeric
@attribute 121260 numeric
@attribute 57835 numeric
@attribute 6546 numeric
@attribute 6509 numeric
@attribute 389015 numeric
@attribute 6548 numeric
@attribute 6547 numeric
@attribute 6505 numeric
@attribute 142680 numeric
@attribute 6506 numeric
@attribute 160728 numeric
@attribute 6507 numeric
@attribute 10861 numeric
@attribute 5172 numeric
@attribute 6508 numeric
@attribute 9056 numeric
@attribute 6511 numeric
@attribute 140679 numeric
@attribute 9057 numeric
@attribute 6510 numeric
@attribute 10479 numeric
@attribute 1811 numeric
@attribute 6553 numeric
@attribute 10723 numeric
@attribute 285195 numeric
@attribute 23315 numeric
@attribute 6550 numeric
@attribute 117247 numeric
@attribute 246213 numeric
@attribute 153201 numeric
@attribute 55117 numeric
@attribute 6539 numeric
@attribute 83697 numeric
@attribute 84889 numeric
@attribute 6543 numeric
@attribute 6542 numeric
@attribute 6541 numeric
@attribute 57468 numeric
@attribute 51296 numeric
@attribute 11136 numeric
@attribute 80024 numeric
@attribute 340024 numeric
@attribute 10568 numeric
@attribute 23428 numeric
@attribute 8140 numeric
@attribute 92745 numeric
@attribute 57419 numeric
@attribute 348932 numeric
@attribute 6568 numeric
@attribute 6569 numeric
@attribute 26503 numeric
@attribute 115111 numeric
@attribute 81539 numeric
@attribute 25769 numeric
@attribute 9990 numeric
@attribute 124935 numeric
@attribute 6528 numeric
@attribute 54407 numeric
@attribute 57084 numeric
@attribute 9187 numeric
@attribute 6533 numeric
@attribute 123041 numeric
@attribute 6574 numeric
@attribute 6575 numeric
@attribute 1836 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.0906,-0.1966,0.7273,-0.1372,0.0091,-0.0853,-0.0392,0.0354,0.0023,0.2145,-0.0193,0.0894,-0.0308,0.4725,0.3564,0.1315,1.0623,0.8574,0.1907,0.4742,0.1128,0.2792,-0.1235,1.3868,0.4588,0.6146,-0.2038,-0.1425,1.1662,0.2151,0.5013,0.2343,-0.0656,0.4598,-0.0758,-0.0806,0.0388,-0.0975,-0.088,-0.0093,0.0781,-0.0504,-0.0361,1.9066,-0.0292,-0.1494,1.5795,0.6964,1.4185,-0.0786,0.107,0.4259,0.3401,0.8358,-0.0767,0.3211,-0.1663,-0.0777,-0.1491,0.2541,-0.0882,-0.1039,-0.022,-0.0545,0.4602,-0.0845,1.2348,4e-04,1.0975,0.0643,-7e-04,-0.0316,0.5128,0.4804,0.0504,0.0621,-0.1287,0.0294,1.0241,-0.1623,2.1441,-0.0619,1.5605,0.7279,0.0246,2.9139,-0.1107,0.2147,0.654,0.4048,1.7861,0.6315,0.8383,Control
A02,-0.0235,-0.2205,0.6218,-0.1821,0.0171,0.0075,0.0214,0.1825,0.0539,0.2257,0.0743,0.2105,-0.0054,0.4075,0.4293,1.1207,0.8408,0.4449,0.0775,0.3326,0.2448,0.1272,-0.1306,0.8931,0.2709,0.5073,-0.0939,-0.1089,1.0766,0.1138,0.4411,0.2893,0.0244,0.4227,-0.1464,-0.1459,0.2135,-0.1065,-0.1153,0.0318,0.1198,0.0802,0.0941,2.2171,-0.0654,0.0541,1.016,0.6917,1.1525,-0.0222,0.0297,0.5109,0.2392,0.5078,0.0602,0.1858,-0.1818,-0.0361,-0.1486,0.3661,0.0397,-0.1721,-0.0863,-0.0428,0.2501,-0.1002,1.1811,-0.1125,0.7958,0.1776,0.0495,-0.0013,0.4814,0.3234,-0.0131,0.1332,-0.0648,0.1873,0.8763,-0.1559,1.8236,-0.0335,1.1832,0.6396,-0.0376,2.8934,-0.1346,0.0189,0.5812,0.2307,1.7734,0.4026,0.6591,Control
A03,0.0801,-0.2807,0.7053,-0.1989,-0.0709,-0.018,-0.054,0.1276,0.0919,0.1931,0.0829,0.24,0.0383,0.5849,0.4661,1.2503,1.1252,0.6232,0.2676,0.66,0.0067,0.2763,-0.162,1.1965,0.2918,0.7085,-0.1582,-0.0872,1.3625,0.0565,0.7211,0.566,-0.023,0.5502,-0.0943,-0.0868,0.1226,-0.1428,-0.0678,0.0452,0.1383,0.0604,0.043,2.288,-0.1197,0.0602,1.0364,1.0853,1.3053,-0.0287,0.0963,0.7487,0.3586,0.8758,0.0318,0.1244,-0.1628,-0.0415,-0.1689,0.5587,0.0318,-0.1767,0.0461,-0.0739,0.3742,-0.1039,1.5213,-0.1018,0.9388,0.152,0.009,-0.0492,0.6069,0.512,-0.018,0.1287,-0.1103,0.1714,0.9948,-0.1027,1.7786,-0.1012,1.3473,0.8696,0.0093,2.8429,-0.0818,0.0739,0.8131,0.3619,2.1206,0.5595,0.7444,Control
A04,0.0619,-0.1149,0.6737,-0.1462,6e-04,0.0228,-0.0186,0.1319,0.0647,0.2803,0.0822,0.1686,-0.0143,0.4187,0.4401,0.3823,1.0758,0.589,0.0567,0.3493,0.0684,0.2718,-0.0786,1.1856,0.3568,0.4494,-0.1296,-0.0752,1.0586,0.1223,0.3564,0.2574,-0.0652,0.52,-0.0627,-0.0874,0.2979,-0.1314,-0.0753,-0.0047,0.1777,0.0701,0.1306,1.911,-0.0406,-0.0394,1.0526,0.5703,1.2546,-0.0236,0.0586,0.4051,0.2347,0.6093,0.1014,0.2118,-0.171,-0.061,-0.0878,0.1397,-0.0354,-0.1393,0.0427,-0.069,0.3355,-0.0551,1.0683,0.0114,0.8582,0.1138,1e-04,-0.0851,0.5224,0.32,0.0119,0.1003,-0.0737,0.1598,0.9366,-0.1364,1.9781,-0.0672,1.2261,0.6819,0.0245,2.7408,-0.0972,-0.0017,0.5885,0.2659,1.6574,0.5129,0.6378,Control
A05,0.073,-0.1887,0.6842,-0.1455,0.0331,-0.0366,-0.0557,0.1037,0.0133,0.2391,0.0849,0.1664,-0.0194,0.6141,0.5534,0.9778,1.2657,0.6472,0.2785,0.5351,0.0721,0.2862,-0.1003,1.1024,0.3725,0.6323,-0.1461,-0.1155,1.224,0.1009,0.6528,0.4025,-0.1078,0.6507,-0.0431,-0.0864,0.2838,-0.0445,-0.0726,-0.0173,0.1814,0.0462,0.0815,2.4048,-0.0185,-0.0461,1.1373,1.0261,1.3459,-0.0662,0.0137,0.7106,0.3375,0.7513,-2e-04,0.1399,-0.1007,-0.0987,-0.1084,0.4404,-0.0162,-0.1591,0.0197,-0.0773,0.3639,-0.084,1.616,-0.0267,1.0426,0.1281,-0.0444,-0.0565,0.7302,0.3937,0.0762,0.0733,-0.1116,0.1078,1.0613,-0.1446,1.792,-0.0683,1.5072,0.9446,0.0164,2.7545,-0.0692,0.1021,0.7848,0.5292,1.8763,0.521,0.8041,Control
A06,0.1097,-0.1732,0.6566,-0.162,-0.0107,-0.0589,-0.0798,0.124,0.176,0.2118,0.0854,0.1675,-0.0654,0.5556,0.3548,0.0417,1.1126,0.5523,0.1425,0.5808,0.2592,0.2255,-0.1076,0.9388,0.2836,0.5889,-0.0963,-0.1473,1.1603,0.0843,0.4262,0.3343,-0.0049,0.5326,-0.1179,-0.0709,0.0906,-0.1459,-0.1121,-1e-04,0.007,0.0276,0.0664,2.4197,-0.0462,-0.1515,1.1412,0.7284,1.2344,-0.0672,-0.0317,0.5572,0.2847,0.6404,-0.0082,0.2136,-0.1703,-0.0825,-0.1489,0.3098,-0.0347,-0.1036,-0.0099,0.0144,0.3744,-0.103,1.4471,-0.1094,0.9861,0.0636,-0.0112,-0.0748,0.5735,0.3242,0.0089,0.0921,-0.0633,0.1538,0.8662,-0.1384,1.8182,-0.1048,1.3637,0.7987,-0.0405,2.7225,-0.105,0.1076,0.6628,0.4745,1.5977,0.5211,0.7749,Control
A07,0.1335,-0.2154,0.7105,-0.2151,0.0029,0.0484,-0.0858,0.1301,0.159,0.1525,0.0865,0.214,-0.0162,0.487,0.4347,0.0363,0.9693,0.8237,0.2962,0.7129,0.1266,0.2182,-0.1457,1.2401,0.3542,0.5273,-0.1063,-0.0845,1.3269,0.1773,1.147,0.3133,-0.0016,0.5259,-0.1485,-0.1318,0.239,-0.14,-0.0959,0.05,0.1163,0.0327,0.1071,2.249,-0.0811,-0.0797,1.323,0.7883,1.3613,-0.0274,-0.0182,0.7303,0.5119,0.7482,0.0747,0.2936,-0.2367,-0.049,-0.1919,0.2202,0.0045,-0.2212,-0.0338,-0.0795,0.3071,-0.1623,1.3976,-0.065,1.0433,0.1387,-0.0012,0.0823,0.4429,0.3566,0.0107,0.1361,-0.0885,0.12,0.9734,-0.0975,2.097,-0.0726,1.5654,0.8394,-0.0077,3.0507,-0.1289,0.1465,0.8141,0.4492,2.002,0.5572,0.8266,Control
A08,0.0635,-0.226,0.8092,-0.1548,-0.0404,-0.043,-0.0195,0.0398,0.0321,0.202,0.098,0.1943,-0.0327,0.3715,0.252,0.0935,0.7489,0.999,0.2851,0.6483,0.1924,0.2066,-0.132,1.4906,0.3907,0.5344,-0.1306,-0.1323,1.2715,0.2224,1.1858,0.4232,-0.0374,0.4653,-0.0901,-0.0309,0.0318,-0.1208,-0.0757,-0.0306,0.0383,-0.0396,-0.0171,1.7701,-0.0081,-0.0408,1.433,0.5124,1.1054,-0.0558,0.0265,0.3634,0.5586,0.9179,-0.0883,0.4177,-0.1844,-0.1296,-0.1336,0.1499,0.0058,-0.1687,-0.0476,-0.0703,0.4482,-0.1136,1.0632,-0.0861,1.004,0.0985,-0.0671,-0.0459,0.3587,0.2601,-0.028,0.0488,-0.1026,0.0898,0.8479,-0.1119,2.2755,-0.0392,1.6037,0.659,-0.0086,2.6221,-0.148,0.1802,0.7886,0.3865,2.006,0.6786,0.7506,Control
A09,0.0218,-0.1662,0.6578,-0.1661,-0.009,0.0606,-0.0986,0.1481,0.0858,0.1571,0.0365,0.1685,-0.0057,0.3959,0.3428,-0.0228,0.8788,0.747,0.1875,0.4976,-0.0072,0.2368,-0.1537,1.2048,0.3068,0.5404,-0.1118,-0.0692,1.159,0.1174,1.0106,0.2696,-0.0304,0.4645,-0.0916,-0.0853,0.2654,-0.1316,-0.1011,0.0135,0.1228,0.0256,0.0543,2.0088,-0.0872,-0.133,1.3304,0.7678,1.2991,-0.0944,-3e-04,0.3652,0.4311,0.8112,0.0157,0.168,-0.1793,-0.071,-0.1424,0.1242,-0.0024,-0.1316,-0.0295,-0.1009,0.4466,-0.1621,1.2466,-0.0797,1.0048,0.1879,0.0292,-0.0574,0.4405,0.3209,0.0417,0.1316,-0.0982,0.1801,0.8291,-0.1123,2.1747,-0.0683,1.4488,0.6416,0.0238,2.9299,-0.1505,0.0765,0.7299,0.4049,1.7509,0.5615,0.7105,Control
A10,-0.0051,-0.164,0.7714,-0.1298,0.0237,-0.0432,-0.0581,0.0564,0.0165,0.2082,0.1923,0.1295,0.0022,0.4709,0.4498,0.002,0.9442,0.7069,0.2231,0.6973,0.0344,0.23,-0.1235,1.5138,0.2235,0.5128,-0.103,-0.1424,1.3068,0.0532,1.0871,0.2817,-0.0811,0.5731,-0.0909,-0.0652,0.1868,-0.0911,-0.0606,0.0095,0.0637,0.0129,-0.0381,2.1734,-0.0357,-0.0623,1.1007,0.6516,1.2444,-0.0676,0.0689,0.2845,0.5325,0.7797,-0.0236,0.0806,-0.1516,-0.1032,-0.1096,0.3209,-0.0421,-0.1489,-0.0269,-0.0956,0.4373,-0.111,1.2875,-0.082,0.838,0.0949,-0.0642,-0.0613,0.4941,0.3489,0.0711,0.0073,-0.0854,0.0159,0.9823,-0.1133,2.1222,-0.0803,1.4491,0.7672,-0.018,2.7497,-0.0624,0.1716,0.8223,0.5388,2.2838,0.6006,0.8009,Control
