@relation data

@attribute id string
@attribute 10000 numeric
@attribute 1026 numeric
@attribute 1027 numeric
@attribute 1147 numeric
@attribute 117145 numeric
@attribute 1385 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2308 numeric
@attribute 2309 numeric
@attribute 23239 numeric
@attribute 2475 numeric
@attribute 253260 numeric
@attribute 2931 numeric
@attribute 2932 numeric
@attribute 3164 numeric
@attribute 3667 numeric
@attribute 387 numeric
@attribute 4193 numeric
@attribute 4303 numeric
@attribute 4803 numeric
@attribute 4914 numeric
@attribute 5170 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 572 numeric
@attribute 5728 numeric
@attribute 57761 numeric
@attribute 6199 numeric
@attribute 64223 numeric
@attribute 7249 numeric
@attribute 79109 numeric
@attribute 842 numeric
@attribute 84335 numeric
@attribute 8660 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,2.1393974684,1.5075298383,1.5553736859,1.1373665630,0.3960468965,1.9397812022,0.1866127024,0.2803029246,1.1574716995,1.1884415706,0.2820005649,0.7232495991,0.3847639441,1.2060972602,0.1509834581,1.7296059516,1.9894220193,-0.0070708373,0.1986061981,-0.1472829417,-0.2048701937,0.7530524665,0.6502234032,0.0817053106,0.7694715564,0.5895123826,0.2177100353,0.2529164747,0.3075884084,0.2796197917,0.4520576176,0.1938736673,0.4211273982,0.2530695895,0.6361798657,1.7108986220,BRCA
GSM480985,0.6712534413,2.2990302591,1.7779963680,1.1625347307,1.1544078001,0.2730189453,1.4054429928,0.2867683454,0.4747745401,1.1360831860,1.3369015788,0.2869626373,0.8562989867,0.2208471612,0.8787267861,0.0624215275,1.1172559793,1.8852531751,-0.0835794543,0.5201574658,-0.1080499572,-0.1765105570,0.6827738690,0.8534231111,0.1992576002,1.5476133191,0.4284647065,0.2315313540,0.1930055995,0.1706669584,0.1474694401,0.2324328587,0.2345843728,0.3516083191,0.2134292614,0.3046045342,1.6925420276,BRCA
GSM480986,0.3637514705,2.2193307467,1.4769461321,1.3508609449,1.2318787573,0.3807973232,1.7577156492,0.2145363198,0.3390806218,0.8864078883,1.2680741894,0.3590194074,0.6213930346,0.4747341742,1.3099040800,0.0293618367,1.5409271829,2.0062507787,0.0441754822,0.4330569416,-0.1034840642,-0.1504109834,0.6777039026,0.3758222094,0.0859145318,0.9370587028,0.9117966590,0.3771760837,0.1655263530,0.2730668063,0.3787171307,0.5213745431,0.2363372804,0.3865776133,0.4383908262,0.7060334841,1.7672813784,BRCA
GSM480987,0.4741756265,2.7037154810,1.0660495198,0.9561490119,1.4451843989,0.2020458693,1.6769249506,0.2593453904,0.8205201659,0.6600868327,1.0433671009,0.3142830003,0.4485521264,0.3696534395,1.1273281686,-0.0376698991,1.0927224898,1.8972162525,0.0336754173,0.0828136739,0.0772469334,-0.2177714218,0.5721121385,0.4246866423,-0.0142156617,0.9460729968,0.7047411791,0.1247138026,0.0919696689,0.9264364848,0.1659972948,0.5380178713,0.0932189133,0.2636712288,0.1857093530,0.4121880388,2.1135375007,BRCA
GSM480988,0.3666419161,2.3901760505,1.5072410189,1.0976330084,1.1129582889,0.2373043370,1.1675294143,0.1712146028,0.2266399856,0.8252818583,1.4085032504,0.3580759724,0.3159547246,0.3171393004,1.5309302174,0.2974257044,1.0320390261,1.6231118301,-0.0762924356,0.3053389473,-0.0620756386,-0.1793920208,0.3119734156,0.5025178531,0.1213094126,0.6583551200,0.6638981731,0.0354253387,0.1527773529,0.2053659119,0.2095705721,0.2623723376,0.0900821621,0.2481310732,0.4995689597,0.0979185208,1.7855566228,BRCA
GSM480989,0.2517094096,2.7720669135,0.9980840938,0.6682628254,0.7144241506,0.1316228062,2.3074461223,0.2270790681,0.2295918705,0.5693502668,1.6105470368,0.2633598632,0.2882838497,0.5796718367,1.3318944331,0.1378828564,1.2921628499,2.4842128198,-0.0633361472,0.5532085599,-0.0762286128,-0.2747799248,0.6968581951,0.3040667095,-0.0454611126,0.5104212239,0.8988893313,0.5766588003,0.0676769989,0.1600328848,0.4830073930,0.4247554607,0.2283198774,0.2779189533,0.5414225689,0.6059234764,1.8098528195,BRCA
GSM480990,0.3166647480,2.7343542910,0.8929153473,0.8183849113,1.0394195629,0.1244135859,2.3939645291,0.2749733657,0.4235436995,0.6452506264,1.4898500098,0.3352952178,0.4980508136,0.6039142581,1.3889006043,0.1243684697,1.1927469964,2.3151370526,-0.0377953903,0.2703153002,-0.0433772932,-0.1807882367,0.6259951810,0.4307222246,0.1950829520,0.5701667320,1.2032701898,0.4847173588,0.1218786214,0.1451181350,0.5312946617,0.5090261073,0.2879380461,0.3566921970,0.3181734394,0.9322563104,1.6690170063,Control
GSM480991,0.2500861962,2.7373882608,1.2088463109,1.0469395604,0.9854386886,0.1756075131,1.8290236989,0.2449685031,0.4034148015,0.6417928310,1.2863518116,0.3894767673,0.4232814026,0.5656238077,1.2929992116,0.1354206102,1.3663153568,2.0687043151,-0.0037197388,0.5576218268,-0.1841129842,-0.2045579894,0.7252390346,0.3718392522,0.0580118667,0.6246844594,0.9586069049,0.4295866277,0.1739077011,0.1885062516,0.3664313708,0.5430102912,0.3037084810,0.4179106417,0.5430663557,0.7221702653,1.6580591199,Control
GSM480992,0.2476967987,2.7673748358,1.2364530282,0.6665939561,0.7395304490,0.1568766059,2.3328941266,0.3295684198,0.4763361109,0.6069080535,1.6241448556,0.3958090664,0.3109372491,0.6426354701,1.5241501815,0.2050679183,1.4904017857,2.4234709023,-0.0464381419,0.7386886148,-0.1251400337,-0.1586291030,0.6805748290,0.3555988693,-0.0417928508,0.5310987036,1.3458300016,0.4719536303,0.1157030584,0.3636012536,0.6564284331,0.7602454607,0.3770529599,0.2383239614,0.4716532580,1.1829393429,1.8067525298,Control
GSM480993,0.3786722400,2.7103066743,1.5603325564,1.1139041867,0.9756929396,0.2239596708,1.9907199673,0.3003267815,0.3284763837,0.7283609089,1.4169495188,0.3445785162,0.5290712786,0.5157713251,1.3381779529,0.2090662451,1.3915128690,2.1975401044,0.0065748730,0.5502200807,-0.0431781644,-0.1555380717,0.7050229798,0.3556248992,-0.0141177758,0.7338769277,0.9450695349,0.4597184245,0.1433829642,0.4811750927,0.4081141494,0.5801787774,0.2714700667,0.4092765477,0.4849967851,0.7576134103,1.9773138965,Control
GSM480994,0.2401695627,2.5664842689,1.3420894476,0.7696443500,0.6746724944,0.0844783567,2.2647942436,0.1553611641,0.2537544074,0.5525732266,1.5715544231,0.3299252589,0.4022194089,0.4201776569,1.2446289214,0.1591151374,1.2816379753,2.5272347848,-0.0779596573,0.3859176073,-0.1910128100,-0.1860475559,0.5992773101,0.3275596730,-0.0213671374,0.5206810317,0.8714825208,0.4635025530,0.1103797782,0.1850171950,0.4545472182,0.4402484396,0.1985795051,0.2856134787,0.3930036376,0.8220791658,1.7158317000,Control
GSM480995,0.4409180506,2.8292390630,1.0572354892,1.2089841623,0.9409030528,0.2509406057,2.2447793616,0.2290969502,0.6689106550,1.0571787220,1.2302312471,0.3326354056,0.6098418556,0.5911510015,1.3662336024,0.0896695618,1.2372506374,2.4257646243,0.0385711598,0.5170432908,-0.0541586333,-0.2492287143,1.0833046500,0.4566130469,0.1018878077,0.5458690926,0.7113377480,0.2460421790,0.1639444389,0.2868546832,0.3631877999,0.3373310781,0.2038932479,0.4592597585,0.3980003041,0.7512951863,2.1652957548,Control
