@relation data

@attribute id string
@attribute 10018 numeric
@attribute 10134 numeric
@attribute 10197 numeric
@attribute 10213 numeric
@attribute 118 numeric
@attribute 140735 numeric
@attribute 1499 numeric
@attribute 1676 numeric
@attribute 1677 numeric
@attribute 1828 numeric
@attribute 1829 numeric
@attribute 1830 numeric
@attribute 1832 numeric
@attribute 1869 numeric
@attribute 207 numeric
@attribute 22985 numeric
@attribute 2339 numeric
@attribute 2620 numeric
@attribute 27113 numeric
@attribute 28988 numeric
@attribute 2934 numeric
@attribute 3002 numeric
@attribute 3005 numeric
@attribute 3006 numeric
@attribute 3007 numeric
@attribute 3008 numeric
@attribute 3009 numeric
@attribute 3024 numeric
@attribute 317 numeric
@attribute 324 numeric
@attribute 329 numeric
@attribute 331 numeric
@attribute 355 numeric
@attribute 356 numeric
@attribute 3836 numeric
@attribute 3837 numeric
@attribute 4000 numeric
@attribute 4001 numeric
@attribute 4137 numeric
@attribute 4836 numeric
@attribute 5062 numeric
@attribute 51765 numeric
@attribute 5317 numeric
@attribute 5339 numeric
@attribute 5366 numeric
@attribute 54205 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5580 numeric
@attribute 5588 numeric
@attribute 5599 numeric
@attribute 56616 numeric
@attribute 5682 numeric
@attribute 5683 numeric
@attribute 5684 numeric
@attribute 5685 numeric
@attribute 5686 numeric
@attribute 5688 numeric
@attribute 5689 numeric
@attribute 5690 numeric
@attribute 5691 numeric
@attribute 5692 numeric
@attribute 5693 numeric
@attribute 5694 numeric
@attribute 5695 numeric
@attribute 5696 numeric
@attribute 5698 numeric
@attribute 5699 numeric
@attribute 5701 numeric
@attribute 5702 numeric
@attribute 5704 numeric
@attribute 5705 numeric
@attribute 5707 numeric
@attribute 5708 numeric
@attribute 5709 numeric
@attribute 5710 numeric
@attribute 5711 numeric
@attribute 5713 numeric
@attribute 5714 numeric
@attribute 5715 numeric
@attribute 5716 numeric
@attribute 5717 numeric
@attribute 5719 numeric
@attribute 572 numeric
@attribute 5720 numeric
@attribute 5747 numeric
@attribute 581 numeric
@attribute 596 numeric
@attribute 598 numeric
@attribute 6093 numeric
@attribute 637 numeric
@attribute 63967 numeric
@attribute 660 numeric
@attribute 6709 numeric
@attribute 7027 numeric
@attribute 7082 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7186 numeric
@attribute 7431 numeric
@attribute 7529 numeric
@attribute 79658 numeric
@attribute 836 numeric
@attribute 839 numeric
@attribute 840 numeric
@attribute 841 numeric
@attribute 842 numeric
@attribute 8428 numeric
@attribute 843 numeric
@attribute 8717 numeric
@attribute 8737 numeric
@attribute 8743 numeric
@attribute 8772 numeric
@attribute 8795 numeric
@attribute 8837 numeric
@attribute 90427 numeric
@attribute 9414 numeric
@attribute 9491 numeric
@attribute 9861 numeric
@attribute 999 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.1524220372,1.9698491497,1.7593188546,3.0705487729,0.8096764447,0.6545094989,0.9433099893,0.8219632786,1.3562898702,-0.1296647965,0.3141537156,1.4648114555,2.4608101843,0.8789772263,1.9397812022,0.7237977219,0.5964420643,0.0542614254,0.0239596368,0.9061986340,0.1981429978,-0.0980125262,2.3101986779,1.5594863098,0.7943270039,-0.1490837751,0.0843433328,0.9633874032,0.2989577477,0.3981079434,1.4761933286,0.6591489996,0.5622643714,-0.0677221629,1.1156418634,2.3536647187,1.0035073719,2.2340153156,-0.1144442779,0.8506876528,1.9176566821,1.1796513018,0.3694526276,0.2581106624,1.4456629788,0.2962079536,0.9049248654,0.5655952376,0.0410287807,-0.0425356007,0.7139937217,1.7735363642,2.2073402414,1.8006257919,0.7097291802,2.9412509601,0.3913682441,2.9388146252,1.9019856943,1.2583440552,2.2415560880,3.7269645849,2.6642370224,2.0618758600,1.5838720549,1.0434957966,0.1622273526,0.8584559786,0.9876390278,0.8556338059,1.7747724253,2.3314954341,2.4640681253,2.0613655445,0.6910933228,1.1590418604,1.4673050791,0.3878368930,2.2083607513,1.4262807779,0.8661886280,1.6020574199,1.9667338198,0.2177100353,1.9308002658,0.3606912876,0.9030967818,0.0813294935,0.1900893384,0.0312767470,0.7954551236,-0.0131642177,0.2771109389,0.9525858890,1.0284706676,0.6034259981,-0.0286056817,0.9943679759,-0.0161119644,0.4627743182,2.8649117788,0.7614508262,0.4014198135,0.8588852247,1.0425204001,0.2062981343,0.2530695895,1.2196325421,-0.0135339439,0.4405293713,0.3025678801,0.2065734030,1.0118299987,1.0897716172,0.2891910347,0.0324349749,0.5032541135,1.5399761489,1.2636217729,1.3886794052,BRCA
GSM480985,0.1118061828,1.9329895973,1.0737894159,2.3746759741,0.8491686986,0.5626409157,1.1109306672,0.4940670051,1.0382587114,-0.1192124330,0.4868192508,1.4342614281,2.4930259520,0.0818430733,1.4054429928,0.6741407311,0.5524745472,0.0947771810,0.0785158289,0.5371435580,0.2915093994,-0.0900072862,2.5409528281,0.7105020998,-0.0854692544,-0.1947861069,-0.2412409116,-0.0242192426,0.3494800181,0.2601429904,1.9360077248,0.7464130471,0.6094995523,-0.0922413117,1.0993945984,2.1634807624,0.6331189783,0.9480292702,-0.1194314305,0.8513812788,1.5525041097,0.9536546285,0.0014777742,0.0270712518,1.1908403144,0.0386221876,0.8493034308,0.4722626175,0.0470336382,-0.0797153226,0.7487222366,1.7238998348,1.9675475846,1.3080146634,0.6447591107,2.6366691590,0.2405135073,2.1245409846,1.7676415873,1.0201265613,1.5213540000,3.8218628408,2.2097178697,1.5911949210,1.2645772577,1.1899532302,0.6939739012,0.8885713741,0.7663843195,0.3498222147,1.3107205862,1.9363897890,2.0477833116,1.5865950387,0.3985210825,0.9361137499,1.3377952331,0.3240292655,1.7433454197,1.1472269632,0.8193743725,0.9107755365,1.4204570089,0.2315313540,2.0249512593,0.4434307657,0.8407814422,0.1096045168,0.2041814914,0.0755929606,0.8824251903,-0.0952552603,0.1407400696,1.2506461444,0.3033442030,0.4959358562,0.0503361004,0.8512390850,0.0039439453,1.0581197848,2.6496851841,0.4915906425,0.3647103445,1.0974155774,1.2673644275,0.1230658667,0.2134292614,1.2432815503,0.0119626756,0.7702170055,0.3405707169,1.4504289925,0.9433996992,1.0081416080,0.7033090449,0.1677120386,0.6090416684,1.1520689110,1.1188458664,1.4782442701,BRCA
GSM480986,0.1247908180,2.1974978447,1.8491583764,2.8595618605,0.8606005571,0.7801658012,0.9477347201,0.8810630536,1.0956824224,-0.0376572774,0.3845045691,1.4800096563,2.7795651620,0.3414531027,1.7577156492,0.5564559400,0.4914367552,0.0904672574,0.0129383448,0.8602225880,0.1853134645,-0.0444491689,2.2592940330,1.6788957648,0.3550877131,-0.1493296801,-0.1343756800,0.6662461003,0.2234449131,0.2144276956,1.3394183649,0.8325190790,0.4264019540,-0.0697262036,1.2530697547,2.3916749247,0.7987302632,2.0511318817,-0.0597866220,0.8794849720,2.0052070367,1.0847504797,0.4346836628,0.1111137820,0.9137061851,0.3220589667,0.6729391185,0.5177595145,0.1376239613,-0.0370660395,0.7966307569,1.8238358564,2.0185471616,1.5925446658,0.4961553135,2.7614941466,0.2536827037,2.8320338726,1.7564823548,1.1450107998,1.9008631310,3.8489695709,2.6748867483,1.8237879276,1.4507928061,0.8309021704,0.2029656323,0.9676624611,0.8575561165,0.5596497871,1.8286897210,2.2213526815,2.6071301067,2.2693831920,0.6759793310,1.0260378638,1.3178322236,0.3632296386,2.0609956980,1.5441710017,0.7495514079,1.2397070136,1.7497033941,0.3771760837,1.9915900364,0.2375885064,0.9887473217,-0.0262396362,0.2293706130,0.0069230790,1.1835862659,-0.0911062904,0.2073276498,1.3520656727,0.7894512997,0.4868997302,-0.0117659394,1.0988370049,0.0043865108,0.7211503378,3.0484460116,0.5911828057,0.2347654519,1.1415667872,1.1672225745,0.1717739808,0.4383908262,1.1757185109,0.0226212136,0.8699044535,0.3061211907,0.6654362376,1.1722454262,1.1387518238,0.3971310668,0.0647069429,0.5299071202,1.5674212921,1.1291056564,1.5077302921,BRCA
GSM480987,0.0641107020,2.1645497480,1.7688858435,2.8639203607,0.7643633785,0.6791869249,0.7213038760,0.7898034717,0.9964570336,-0.0382978110,-0.0542538168,-0.1116218903,0.4565657554,0.4329001224,1.6769249506,0.4745972451,0.5201581279,0.0184767455,0.0935844723,0.4857630960,-0.0087194403,-0.0959783561,2.4493039184,1.2041568326,0.2592240815,-0.0874143014,-0.1796680154,0.3479803042,0.1720295425,0.0411869942,1.0348310271,0.7040909265,0.5515944428,-0.0680922132,1.3282864069,2.6441825219,0.6519408185,1.7293552122,-0.0847599605,0.8590533864,1.8267602669,0.7806694737,-0.0319298184,-0.0048551378,1.6374730222,0.4047028517,0.9346764925,0.4873980932,-0.0638800151,-0.0565996444,0.7170214796,1.8759201052,2.1830363299,1.1467354411,0.4725399185,2.8822536202,0.2460166967,3.0399624704,1.7245372396,1.1122580485,1.8721716803,4.1376752855,2.8045297413,1.5132337742,1.5806218573,0.7913747263,0.6498941136,0.9045703037,0.7773260902,0.4109195821,1.8626209431,2.1181592641,2.4234962184,2.2019174297,0.5670724790,1.0121421953,1.3204048381,0.2886954858,2.3301489353,1.7020493485,0.8017072354,1.0597597286,1.5147223439,0.1247138026,1.8858662712,0.2307216385,0.7455377609,0.1066961603,0.1363549686,0.0234027272,1.0083390245,-0.1340474299,0.2555702417,0.9907094884,0.7839339237,0.3342415194,-0.0407701192,1.2855681681,0.0084098196,1.6886679466,2.8611823956,0.6027624517,0.2230391835,0.5030375027,1.3617466612,0.1670144839,0.1857093530,1.1187809094,-0.0374388536,0.5612895813,0.2509096731,-0.0739625144,1.2946500264,1.2204825070,0.1308179210,-0.0478529319,0.1233750546,1.3824992103,1.0777177316,0.2715312235,BRCA
GSM480988,0.0686467013,1.7346886793,1.8225000948,2.9258421065,0.6950487847,0.5836941418,0.8318137222,0.7003005376,0.9722278052,-0.1300898576,0.2124698123,0.9729396571,2.5033683446,0.2557647115,1.1675294143,0.7901582522,0.5051252765,0.0352924859,0.0499345936,0.7452242907,0.1401436306,-0.0758203932,2.2695668539,0.5389599451,0.1628669825,-0.2562845619,-0.1933670926,0.5442464562,0.2048250465,0.1999644395,1.0180345278,0.2873332743,0.2691697425,-0.0621939344,1.0716301718,2.2289448325,0.6097793105,1.8363362403,-0.0445661712,0.8399377741,1.9803916247,0.9388458776,0.2023792994,0.0786478915,0.5550585359,0.0992772953,0.7414630045,0.1617906544,0.1020999426,0.0736688121,0.6912962379,1.8895693670,2.1585000711,1.2574726573,0.5656251633,2.5555683244,0.2439208655,2.0399914459,1.5017216142,1.0128488662,0.8926516573,3.6417503199,2.4234132768,1.2435510490,1.2748121728,0.5176818755,0.2469822872,0.5112905699,0.9155785242,0.2854670190,1.7320428490,1.9390811474,2.9703062001,2.2876025440,0.3214548384,0.7253218794,1.2627856149,0.2664544750,1.8447708287,1.1882866008,0.6402117280,1.1759281231,1.0644178142,0.0354253387,1.9116452998,0.3012423917,0.6583364474,-0.0332379836,0.0633321519,0.0022991031,1.0864184139,-0.0637834010,0.1455488209,1.6180760887,0.7349518405,0.3951769205,0.0001304974,0.9984557778,0.1082906400,0.4809863035,2.7963664452,0.6511693737,0.1758982928,0.9760163357,0.8498932711,0.2149495928,0.4995689597,1.2608170027,-0.0271093216,0.7674596748,0.2956867596,0.7909122567,1.1240172577,1.1679295203,0.2134835936,0.1193227720,0.5156396559,1.1562894400,1.0202307156,1.3151372973,BRCA
GSM480989,0.1115567636,2.5531369050,1.9073935897,2.0497237445,1.0974653453,0.9194895384,0.9154817797,0.7707026811,1.4159827828,-0.1631530391,0.2075850903,0.7324503281,2.2090326912,0.6630024992,2.3074461223,0.3190222106,0.4578210029,-0.0827001504,-0.0185529106,1.1392598518,0.3169035358,-0.1182184828,2.4532504876,1.6937582029,0.6752693784,-0.2378221461,-0.1633267561,1.0823110203,0.2827313408,0.1645981787,0.5974664341,0.4871916152,0.2305710107,-0.0434693121,0.8030967616,2.0772467871,1.0251753460,2.0576279089,-0.0804080172,0.9056047350,1.8099314634,0.7752932477,0.3016239154,0.1065985739,0.5995011515,0.0888926102,0.5870933372,0.4391528262,-0.0322800519,-0.0388321333,0.5911021925,2.0576404861,1.8589254519,0.9485145487,0.3611434739,2.2959700957,0.1926976523,2.9647475331,1.5194761063,1.2173278549,2.5915988287,4.5057553927,2.6381588131,2.0860008928,1.6970876416,1.3166937233,0.4767502910,1.5596292094,0.6635153531,0.8440375627,1.8526001043,2.1095351127,2.0516980396,2.3302920460,0.7212230265,0.9553307191,1.2426151514,0.2508438974,2.3379210630,1.7375720107,0.5485009588,1.1067867132,1.9378589523,0.5766588003,2.4617627858,0.1835803039,1.2923590124,0.0373846114,0.2982636617,0.0616616788,1.1803532361,-0.0649257679,0.1642094631,1.2766650192,0.9755881841,0.3290606150,-0.0217998318,1.1939883348,0.0247480945,0.6521307571,2.9099976381,0.4821461486,0.1138846011,1.0338136663,0.9651047886,0.1998820402,0.5414225689,1.2714954203,0.0340671556,0.9244262918,0.1041393924,0.4955591939,1.3094834884,1.3942249417,0.3479697749,0.0783848653,0.3982754930,1.6353111883,0.8638154286,1.6750301521,BRCA
GSM480990,0.1162255702,2.5661988260,1.9044463635,2.5034759937,0.9683434831,0.7850042028,0.8344820888,0.8894835735,1.0432805152,-0.1307863817,-0.0023995027,1.0295290864,2.4938288828,0.4578135087,2.3939645291,0.4002038845,0.5042534608,-0.0913239355,0.0284083723,0.9764877491,0.1196123258,-0.0905509926,2.2226270570,1.8063760202,0.8500897549,-0.1858879980,-0.0973294100,0.9410926882,0.2409829762,0.1217091008,1.0544136399,0.5567332020,0.3596986547,-0.0242624128,0.7596026584,2.1777327023,1.0428094412,1.8361590654,-0.0639093516,0.7847436044,2.1385234782,0.8630667425,0.7635783305,0.2519848243,0.8585260274,0.0356193407,0.5830522417,0.4347083518,0.0342884361,0.0608631610,0.5124700949,1.8246020708,2.0271611329,0.8501380980,0.3823457347,2.3948051927,0.1904167056,2.8774783389,1.4347388300,1.0848612408,1.7423893210,4.5048998354,2.6800882520,1.7278615104,1.5994681015,0.6955706701,0.2217045019,0.9081680514,0.6389651656,0.5100831413,1.8075009120,1.9555052741,2.1912706249,2.6141268810,0.7104415091,0.9665051731,1.2673510688,0.2353488549,2.4668089150,1.6946846508,0.5301729460,1.1464720816,1.7035875950,0.4847173588,1.7466791339,0.2556535407,1.0487284085,-0.0140931005,0.1835390031,0.0384436129,0.5828239298,-0.0224742980,0.2196775843,1.2300627898,0.9321988967,0.4179667185,-0.0152148257,1.1523818072,-0.0334197225,1.3730363339,3.0515313069,0.4924489936,0.0401264709,0.7887910386,0.7934966236,0.0764739330,0.3181734394,1.3065709271,-0.0721569419,0.9544915450,0.0876675515,0.1815451245,1.3122771946,1.2203301272,0.2711160333,0.1339803252,0.3751401998,1.4963267980,0.8947838340,1.5135529946,Control
GSM480991,0.1162118429,2.5179651577,1.7922020852,2.5254729390,0.9166456502,0.9531700880,0.9456861730,0.8289711413,0.9980369673,-0.0625547939,0.2491367467,1.2581041567,2.5836692786,0.2786995493,1.8290236989,0.5792367279,0.3731358511,-0.0043225456,0.0608475572,0.9310055274,0.3437153258,-0.0645297521,2.1623738341,2.1598193512,0.4373581195,-0.1036266987,-0.2056963871,0.2670784660,0.1191125174,0.1253455669,1.1403018867,0.6502202311,0.3676016834,-0.0387195160,1.0520156908,1.8644463290,0.9744097795,0.9310791286,-0.0478810930,0.8749861261,1.9004271532,1.0301830506,0.5023659501,0.2394487015,0.8064820518,0.1039387215,0.6608008562,0.3957455124,0.0229694380,-0.0388739597,0.7236467786,1.8833924252,1.8563768306,1.1478258233,0.4257154862,2.4562734896,0.2123464005,2.7812048569,1.6106534052,1.1927282117,1.8416862883,4.0195023060,2.7262809576,1.7762824299,1.3942010023,0.9840603023,0.4666677879,1.2104553805,0.5619151303,0.5117781859,1.8001384040,2.1972816589,2.1859802290,2.3295708100,0.7090388426,0.9844841587,1.2376323867,0.2870655284,2.3132479590,1.4966919869,0.7394488404,1.2476795501,1.6545095873,0.4295866277,2.1818544863,0.2348265328,1.0059922760,-0.0490740068,0.3156223285,0.0374511476,1.2640591513,-0.0561463026,0.1594279764,1.5558186108,0.7361247614,0.4793805461,0.1726690396,1.1897217152,0.0421075354,0.5784783558,2.9438177745,0.4148368972,0.1772719718,1.0622444002,1.1244575976,0.2183779771,0.5430663557,1.2577393539,0.0404280946,0.9954326866,0.2397026908,0.7520541633,1.1380086821,1.1966550216,0.4669592679,0.0724671993,0.4723663080,1.6275674124,0.9661887334,1.6498906129,Control
GSM480992,0.2180758546,2.6792759103,1.9878609218,2.2633216233,0.9480287919,1.0135374924,0.7282237562,0.8639072258,0.8184984393,-0.0678061485,-0.0656239506,1.4049329124,3.1294084127,0.5189908397,2.3328941266,0.4871967361,0.3545852816,-0.0470892694,0.0887204598,1.0837298864,0.1875599245,-0.0531262704,2.0705649919,1.7896270687,0.6702605927,-0.1258164096,-0.0697637597,1.0537719362,0.0999823145,0.1554057272,0.7287117838,0.4538401720,0.1906451891,-0.0268258417,0.8956672226,1.9721125551,1.2713552237,2.0671053601,-0.0944941031,0.8778623443,2.0045540961,0.8619381082,0.8615534395,0.2047702074,0.3610368095,-0.0133180718,0.4972681324,0.4195187698,0.1067663197,-0.0755431891,0.4097217267,1.8015780449,1.9470665303,0.7617480983,0.3720775344,2.0802210038,0.1049487142,2.5421525538,1.4351751020,1.2153816159,1.9397900107,4.3413267137,2.7089334876,1.9553286831,1.3022716794,0.9964155780,0.2011608248,0.9354733041,0.3648373661,0.6415492041,1.8337168824,1.9498871939,1.9373889181,2.4435079693,0.8453843741,0.9653077245,1.0807630825,0.3092850267,2.3749431373,1.3819751292,0.5512549343,1.1383788195,1.5750498077,0.4719536303,2.2309278118,0.1477922502,1.2841898705,-0.0325755605,0.2538740384,-0.0010797481,0.7394272332,-0.1031195977,0.1120965310,1.4653365954,0.9405100065,0.5257718921,-0.0538811761,1.3154176546,-0.0174076045,0.2845625890,3.0823179564,0.3056487549,0.0732875811,0.5849737667,0.5313503416,0.1025927702,0.4716532580,1.3588817080,0.0038334804,1.0342417146,0.2120288617,0.3821939927,1.1863660183,1.2654160160,0.2941609059,0.1494165940,0.4084597651,1.6904229138,0.9245691404,1.6639675334,Control
GSM480993,0.1327235562,2.4116198223,1.8616356552,2.3908473255,0.8807469583,0.9398610898,0.8789024687,0.9237758369,1.0230447188,-0.0997209654,0.2306834187,0.9715970103,2.5370167494,0.7052419788,1.9907199673,0.4519489749,0.3828003767,-0.0181467022,0.0559652076,1.0184349517,0.2191697203,-0.0910372453,2.6192005607,1.6026608348,0.8725896031,-0.2706990102,-0.0156677818,0.7449831792,0.2123312633,0.0713412618,0.9733922681,0.6618218835,0.2692942816,-0.0520990045,1.0546213103,2.1503201872,0.9385050160,2.3362839819,-0.0648814374,0.9015273100,1.9982736738,1.0253092762,0.2118381153,0.1820481202,0.7839237925,0.1211480606,0.7091649962,0.5504608139,0.0480869768,-0.0927636825,0.7140314231,1.9468192590,1.8764149353,1.1152045637,0.4715218885,2.3538808954,0.2072038372,2.6720158680,1.6913663838,1.2243270863,1.9234234890,3.9878728708,2.6524897961,1.8181509573,1.4848391836,1.2876011059,0.6328711621,1.0396554694,0.6283735601,0.5177623539,1.7456921671,2.1369374991,2.2438349653,2.3053646883,0.6424581836,0.9897042004,1.2571674703,0.3338063993,2.1276670697,1.4768432305,0.7040909280,1.2577366306,1.6345224711,0.4597184245,2.3526830144,0.3103372069,1.1132435460,0.0269303651,0.2890880678,0.0340418489,1.0875472625,-0.0744421860,0.1555671467,1.3821796289,0.8964617675,0.4565247414,-0.0270253466,0.9243113236,0.1364159654,0.6476907477,2.9598939657,0.5641408681,0.1338819088,1.0152393227,1.0948829279,0.1875540034,0.4849967851,1.2529057708,0.0207828306,0.8602189127,0.3169923441,0.3704225713,1.3608774774,1.2428585407,0.3669146274,-0.0087979564,0.4747022405,1.5453341795,1.0085132794,1.5387369182,Control
