@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10096 numeric
@attribute 10097 numeric
@attribute 1029 numeric
@attribute 10298 numeric
@attribute 1398 numeric
@attribute 1434 numeric
@attribute 1793 numeric
@attribute 2048 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 22801 numeric
@attribute 22808 numeric
@attribute 23162 numeric
@attribute 23421 numeric
@attribute 23452 numeric
@attribute 23542 numeric
@attribute 25 numeric
@attribute 2534 numeric
@attribute 2885 numeric
@attribute 2886 numeric
@attribute 2909 numeric
@attribute 3611 numeric
@attribute 3655 numeric
@attribute 3672 numeric
@attribute 3673 numeric
@attribute 3675 numeric
@attribute 3676 numeric
@attribute 3678 numeric
@attribute 3679 numeric
@attribute 3680 numeric
@attribute 4296 numeric
@attribute 4638 numeric
@attribute 5034 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5313 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 54386 numeric
@attribute 5594 numeric
@attribute 5599 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5609 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 5728 numeric
@attribute 5747 numeric
@attribute 5894 numeric
@attribute 5898 numeric
@attribute 6010 numeric
@attribute 6093 numeric
@attribute 6416 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6714 numeric
@attribute 673 numeric
@attribute 7094 numeric
@attribute 7408 numeric
@attribute 7454 numeric
@attribute 7791 numeric
@attribute 83660 numeric
@attribute 8515 numeric
@attribute 8516 numeric
@attribute 85366 numeric
@attribute 857 numeric
@attribute 87 numeric
@attribute 8874 numeric
@attribute 9459 numeric
@attribute 9475 numeric
@attribute 9479 numeric
@attribute 9564 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.6797332095,2.6704547483,1.0604422325,0.9588716673,0.8276971420,1.4674782144,0.9788802724,0.0595911519,0.2627328906,2.3584245311,0.3070585448,1.0318960402,0.5942341807,0.1191081243,0.6711353312,0.6561815798,-0.1002226743,2.0763668117,0.4023514937,1.6104626348,0.0527806390,0.3163274045,1.6674114862,0.3311502892,0.0703873523,0.2081827146,1.2207996887,0.1586799756,3.2670671940,-0.1181063122,-0.0605403240,0.1428040859,1.3625687624,1.8074132955,0.4033383753,1.3998379606,-0.2075630972,0.3417825494,-0.1444193100,0.0799311028,0.8370002049,0.1043059106,2.7284207158,0.3768321643,0.6904673187,0.2417233829,0.0663815941,0.2973419841,-0.0465546501,-0.0592862589,0.1344134227,0.3568962877,0.3860900013,3.6529270112,0.0227785978,-0.0235738736,0.2565123712,2.2882412161,-0.0234144181,0.2904654710,-0.0124092440,0.1777965052,0.8473812143,0.0289360628,0.0081226462,2.2139230594,0.2318142596,-0.0715410201,-0.0795373934,-0.1932507438,1.9374832941,3.1035592704,0.1577197406,0.5672101140,-0.1834590614,-0.1024148047,0.4715196540,0.2411862325,BRCA
GSM481003,0.3007907103,2.7087351958,0.8538836091,1.5168189790,1.1253490030,1.3612618425,0.6410775895,-0.0159079281,0.8584753257,2.5114432043,0.3973698837,0.2197591107,0.5333899087,0.1975940831,0.2220919121,0.3430409111,0.0289279232,2.0323438495,0.4055141435,1.7524189089,0.1673607436,0.2662321729,2.0944729381,0.3293958788,0.0857827171,0.3543389166,2.3638862711,0.0405183853,3.6435139973,0.1021977655,-0.0903159117,0.3455467618,1.2856500560,1.6233224429,0.5633794381,1.8544124930,0.1058954411,0.1791957579,-0.1042557524,0.1048826503,0.9900261754,0.1816668325,2.8507698925,0.4223379152,0.6729280780,0.1985753451,0.0085564985,0.2656726797,0.3781885714,-0.0721497796,0.0819050467,0.1244303655,0.2815908568,3.3513499945,-0.0480037108,-0.0279678789,0.2222999979,2.4272642752,-0.0553885548,0.0839562974,-0.0016825477,0.0848102706,0.6912779407,0.4301923150,-0.0235366961,2.5743629336,0.4011923075,-0.1539065239,-0.0968554359,0.0046769435,2.6432794133,3.0309254428,0.0871189219,0.2962089152,-0.1093169571,-0.0164267435,0.5374243757,0.1941480732,BRCA
GSM481004,0.4733082638,2.6817583561,0.6083312878,1.3482990906,1.1147533317,1.1921263276,0.7070948300,0.1146506945,0.5064544733,2.2194539971,0.4676012300,0.6589193445,0.6310385382,0.2178884834,0.4015138613,0.8635271427,-0.0423740688,2.0528732984,0.6183126943,1.7306030480,0.0510235026,0.3542718301,2.0663433903,0.1119323884,0.0463520392,0.4201459893,1.5380832553,0.1066328658,3.6928061645,0.1390625413,-0.0688428182,0.3896824101,1.3817822669,1.8999520741,0.4561246896,1.7169649695,-0.1194602421,0.1934292825,-0.0326631340,0.0306983874,1.0766678804,0.0046874581,3.0663113198,0.5495924441,0.6871232500,0.3435010134,0.2215437899,0.1269719892,-0.0053526709,-0.1071991661,0.1194911064,0.2292358492,0.4157156661,3.3902719915,0.0010089994,-0.0400819974,0.2880970038,2.7043259995,-0.0500999228,0.1372055122,-0.0060122215,0.1890694758,0.8583761311,0.2901734749,-0.0393887593,2.6925727426,0.5410033700,-0.1373724190,-0.1020450556,-0.0679591146,2.3045703338,2.9765772323,0.0842149444,0.8315192394,-0.1202374537,-0.0626453012,0.5396083990,0.2163254187,BRCA
GSM481005,0.7983672971,3.0546207269,1.2547981746,1.3626846816,0.9063413034,1.6299835334,1.1360583806,0.0739778179,0.2134509836,2.3890128664,0.4302809539,1.1530846675,0.5241438705,0.1248440424,1.0572889381,0.5466638337,0.0011991745,2.0808352083,0.4258142904,1.6458761891,0.0645652690,0.3095598578,1.8666966261,0.5618593327,0.1258562207,0.8104297589,1.1360747644,0.2469138296,2.9753657183,0.1986208208,-0.0687515454,0.1297319469,1.5834928939,1.7108651224,0.5092585007,1.7067998852,0.1787671845,0.2936143763,-0.0949890131,0.0806566990,0.8211322722,-0.0240801696,2.8949345648,0.4403047296,0.8086081992,0.4124403786,-0.0083928048,0.2336956347,-0.0377524438,-0.0588336760,0.1420803729,0.2669062797,0.3888399490,3.4256180822,-0.0721601101,-0.0235281201,0.4676337253,2.3308550971,0.0180744121,0.2881692323,0.0075601748,0.1629802437,0.6834549974,0.3535624693,-0.0089982061,2.2690481991,0.2043961836,-0.0608134340,-0.0442960088,-0.0698196353,3.0437032382,2.9770357410,0.0488178599,1.0253801594,-0.0457425530,-0.0440386262,0.3919551472,0.1866518880,BRCA
GSM481006,0.6102282105,2.7843696753,1.0519388872,1.1842627120,0.6073877504,1.5784780925,0.9198048738,0.0834404912,0.5170728783,2.7993582883,0.4174783649,0.6371785822,0.5209148745,0.0203621306,0.8798698387,0.5098899697,-0.0141720435,2.3677308262,0.4241999837,1.6704388113,0.1920799177,0.2718983890,1.9057561290,0.4575556130,0.2863816976,0.3456578131,1.3974689841,0.1961680456,2.8718997637,0.0708143079,-0.0353155639,0.1565391899,1.7353061437,2.2958192463,0.5787126888,1.7934826566,0.0293747667,0.2433270854,-0.0674328190,0.1733284795,0.9354205676,0.0274722780,2.7484609338,0.3909603753,0.7695189350,0.0839668039,0.0616213327,0.3444300745,0.1408993934,-0.0511582738,0.1587185629,0.2529420034,0.3354175018,3.5294765530,0.0079141982,0.0318450583,0.3639865402,2.3295555881,0.0128678733,0.2175775908,-0.0179128214,0.2528915434,0.6011486065,0.7631579092,-0.0469949022,2.1209890991,0.2231749356,-0.1207161642,-0.0786305891,-0.0826171698,2.7452009917,2.9921479324,0.1569244603,0.9315912557,-0.1468752514,-0.1680062265,0.4917253337,0.1984657517,BRCA
GSM481007,0.3836162349,2.2228720189,0.5496640543,1.5764191804,0.8128373353,0.9207133585,0.2943158308,0.0239821117,0.4945416311,2.4604020782,0.2757121727,0.2884305982,0.5329626073,0.0159169993,0.2009032039,0.3889769892,0.1095929662,1.7807312609,0.3561066310,1.7786090209,0.2972008096,0.2271756674,1.9287019769,0.5650354502,0.1095050505,0.1127845207,2.6161405700,-0.0270793494,2.1931279500,0.2247213486,-0.1077399169,0.3683668696,1.3010591835,1.8971201683,0.4080061787,1.4387447677,0.0480180450,0.1014056848,-0.0381952070,0.0768746610,1.0210435065,0.1631172095,3.0018356145,0.2606000659,0.3326362380,0.0752705452,-0.0035135532,0.3625428115,0.3359596031,-0.0591788655,0.0631843703,0.1849544916,0.2957258879,3.0044312328,-0.0076362946,0.0398056174,0.2094873252,2.3985712954,-0.0621160632,0.2030390211,0.0468923578,0.2699643974,0.6480991445,0.4821233730,-0.0475543798,2.4960341454,0.2993360089,-0.1131437610,-0.0755375851,-0.0521336305,1.7954202627,2.7754765402,0.1085153274,0.3496775628,-0.1416027276,-0.0430750858,0.5178588897,0.2322261396,BRCA
GSM481008,0.5217626055,2.6326411169,0.7784299327,2.0075535520,1.3750984623,1.0476466187,1.6755722697,0.0789628777,0.6236502800,2.1300801171,0.4476290999,0.1573544645,0.3374556670,0.1910946474,0.8503955403,1.2751437728,-0.1248869309,1.9073203204,0.5704126423,1.6622805248,0.1245033364,0.3316378098,1.6997278268,0.2387165987,0.1862932138,0.9229596694,1.0337207864,0.0454254805,3.1072435775,-0.0115996973,-0.0592409613,0.5828610297,0.6000032061,1.5288688046,0.4095634027,1.3603685686,0.0553188919,0.1758980179,-0.0852505426,0.0299265512,0.8990125299,-0.0617019828,2.7453665832,0.4047704326,0.7429268004,0.5512299970,-0.0611492244,0.1903686590,0.0569283839,-0.0117023872,0.1297484952,0.2445528730,0.3589827556,3.2712527515,0.0020144128,0.0280642769,0.3020598857,2.4446920753,0.0012555714,0.1490175020,-0.0086323968,0.1605632000,0.8231768893,0.3188313121,-0.0600692714,2.0435574129,0.0787608080,-0.0573775533,-0.1183564594,-0.0784364260,2.1589759621,2.2804966147,0.0616711039,0.4601788066,-0.1292381197,-0.0207483693,0.6578799410,0.1960819449,Control
GSM481009,0.5489170128,3.0010254145,0.8722944565,0.5626646933,0.3823645677,1.4302532645,0.7518691677,-0.0198686067,0.2531449715,1.7882246540,0.1436777954,0.9195279889,0.3913389759,-0.1172849938,0.3761183603,0.5983225552,-0.1194610104,1.8072166741,0.1867759509,1.3427748691,0.0913076709,0.2152201382,1.5454977487,0.2941268267,0.0512844025,0.2340035045,0.2928126499,0.0679936685,2.5266020498,-0.1502322429,-0.0201958709,0.0447656179,1.4763323557,1.7687625780,0.0829424338,1.0164196166,-0.0773522686,0.2437746771,-0.0950082633,-0.0059484150,0.4572595951,0.0492418256,2.8426500607,0.2795271149,0.6203827706,0.0966468778,0.0261609364,0.0094476892,-0.0407355876,-0.0921382968,0.0174211498,0.1822121439,0.2270372226,3.7532215416,-0.0174724006,-0.0420569494,0.0517636729,2.4154436141,-0.0048567386,0.0807280921,-0.0607615665,-0.0320870272,0.5292777442,0.1316067713,-0.0863543264,1.6617057323,-0.0292932691,-0.1464830269,-0.1446147852,-0.1924796685,2.7093283336,2.4714063083,0.0656985323,0.7020718792,-0.0908145631,-0.2459239387,0.0301783830,0.2414110834,Control
GSM481010,0.6249280034,3.0272252799,1.1327665299,1.0465271884,0.8913619245,1.5761229206,1.4358728220,0.0867101651,0.3988981935,2.1086231072,0.3798376370,0.4269010135,0.5074034643,0.2106112485,1.0364087821,0.3994845438,0.0905441982,2.1198156030,0.7505683312,1.7509254467,0.0199369617,0.2999584299,1.6348837514,0.4107004470,0.0979645552,0.3112823277,1.5243606313,0.0781252100,2.9012349447,0.1142580407,-0.0902991760,0.2757064239,1.2637862307,1.5886308428,0.5802971647,1.7903627032,0.0307533367,0.2892597577,0.0721562371,-0.0186438779,0.7915824455,-0.0599373686,2.7951567870,0.5158594621,0.8636795770,0.4178132884,0.0607782995,0.1599105977,0.0070077871,-0.0368277670,0.1197620314,0.2743944092,0.3965836786,3.4649480580,-0.0078240518,-0.0273664836,0.7657218578,2.2814118394,0.0688335455,0.2435579410,-0.0237400801,0.2509317977,0.7593827262,0.1463151797,-0.0255729896,1.9619473965,0.2784157249,-0.1321031476,0.0060873871,-0.0672883936,2.6743146248,2.6965886255,0.1186533748,0.7012065333,-0.1366913221,-0.0180845883,0.3574118243,0.2052486207,Control
GSM481011,0.3773361022,2.3907867273,0.6911595158,1.3616899894,1.3098342415,1.1232241080,0.6515812352,-0.0063179054,0.3663352276,2.7272794777,0.4895673924,0.2134904924,0.5388133855,0.0445690922,0.5281672247,0.5192536692,-0.0077216905,2.0290059297,0.2638565085,1.9492786230,0.1810482474,0.2272050983,2.2645160224,0.0860105640,-0.0307999963,0.3692471853,1.0867041347,0.0861695422,2.9495386283,0.0620558802,-0.0423831238,0.4920773424,1.6839087480,1.4578454456,0.2936353860,1.1011350507,-0.1137642160,0.2223992294,-0.1192103243,0.1130411916,0.8280705125,0.0042137171,3.1923910775,0.3978262835,0.4733123278,0.2790668897,0.0246392575,0.2778184532,0.0127240843,-0.0550816169,0.1251327870,0.1690626889,0.2711141126,2.8821109831,-0.0517069724,-0.0538524333,0.1213096739,2.8155515152,-0.0475626586,0.0857347009,0.0394449375,0.2114646371,0.7561733133,0.8838909699,0.0030414629,3.2355615944,0.1454861563,-0.0731823341,-0.0784938757,-0.1516213226,2.1285121442,3.2065094609,0.0474358449,0.4208626890,-0.1477645581,-0.0564892343,0.5802328967,0.2254770854,Control
