@relation data

@attribute id string
@attribute 4208 numeric
@attribute 4209 numeric
@attribute 4149 numeric
@attribute 3265 numeric
@attribute 4207 numeric
@attribute 4205 numeric
@attribute 8550 numeric
@attribute 1432 numeric
@attribute 2002 numeric
@attribute 6464 numeric
@attribute 6772 numeric
@attribute 9261 numeric
@attribute 3315 numeric
@attribute 3316 numeric
@attribute 7042 numeric
@attribute 6416 numeric
@attribute 8569 numeric
@attribute 7040 numeric
@attribute 7186 numeric
@attribute 8737 numeric
@attribute 1649 numeric
@attribute 1386 numeric
@attribute 7046 numeric
@attribute 8717 numeric
@attribute 3150 numeric
@attribute 9693 numeric
@attribute 7043 numeric
@attribute 4217 numeric
@attribute 4214 numeric
@attribute 5321 numeric
@attribute 9252 numeric
@attribute 4293 numeric
@attribute 6885 numeric
@attribute 5608 numeric
@attribute 1385 numeric
@attribute 1616 numeric
@attribute 2885 numeric
@attribute 5879 numeric
@attribute 998 numeric
@attribute 4609 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.9236,0.8414,1.1891,0.4236,0.1252,1.0708,1.4218,1.4449,0.4506,0.7565,2.3654,0.9459,0.2558,0.2531,0.0614,0.7496,0.7881,2.044,0.2394,1.4118,0.9381,1.5681,1.3569,1.2857,1.3952,0.7668,0.0793,0.9766,2.265,0.523,0.959,0.1801,1.4658,0.7145,1.8356,0.762,1.6355,0.6575,1.3548,1.4375,Control
A02,0.6974,0.7927,0.9215,0.3716,0.1083,0.7174,1.1405,1.1614,0.2934,0.8046,2.5389,0.8406,0.1638,0.2353,0.0739,0.4989,0.6075,2.0529,0.1809,1.2609,0.6606,1.4031,1.222,0.9355,0.9222,0.714,0.0163,0.8038,1.9132,0.4043,0.5224,0.0301,1.1532,0.296,1.527,0.7013,1.481,0.5148,1.0825,1.0182,Control
A03,0.8021,0.973,1.1153,0.3757,0.064,1.0447,1.3261,1.3753,0.364,0.7989,2.8972,1.1179,0.247,0.1747,0.1569,0.6475,0.8199,2.233,0.2439,1.4831,0.8525,1.448,1.3969,1.0236,1.0935,0.9039,0.0486,1.0007,2.1264,0.4922,0.7076,0.1179,1.3103,0.4348,1.7022,0.7294,1.7658,0.7441,1.3582,0.8555,Control
A04,0.9031,0.8861,0.9816,0.3609,0.1488,0.7296,1.1822,1.2634,0.3909,0.8019,2.379,0.9438,0.2464,0.1031,0.0657,0.518,0.6786,2.1844,0.2334,1.3343,0.7239,1.4894,1.2572,1.2084,1.0323,0.6434,0.1175,0.9294,2.2551,0.3103,0.5985,0.1607,1.2639,0.3699,1.6873,0.6506,1.4795,0.4666,1.2386,1.35,Control
A05,0.9885,0.9349,1.2411,0.4772,0.0982,0.9808,1.3004,1.514,0.4547,0.8988,2.648,1.0178,0.4146,0.2153,0.0409,0.6041,0.7458,2.5268,0.2185,1.487,0.8096,1.4991,1.3194,1.1146,1.1104,0.8654,0.0159,1.0396,2.4117,0.632,0.7351,0.0916,1.3977,0.5114,1.7772,0.709,1.8562,0.6929,1.2977,1.0965,Control
A06,0.8475,0.9216,1.0331,0.2467,0.0957,0.8926,1.2588,1.2099,0.4061,0.7671,2.2254,1.009,0.234,0.0803,0.0736,0.5939,0.7175,2.0798,0.1498,1.4109,0.8054,1.3895,1.2809,0.9425,0.9956,0.7234,0.0485,0.8535,2.0422,0.3969,0.6021,0.0443,1.2785,0.62,1.6188,0.6521,1.5705,0.5468,1.1472,1.2048,Control
A07,1.1251,0.9626,1.1675,0.364,0.0815,1.2632,1.3947,1.5901,0.3002,0.7989,2.2112,1.0917,0.3459,0.1693,0.0618,0.8022,0.8159,2.1037,0.2171,1.4606,0.6802,1.5918,1.5979,1.1008,1.0756,0.8534,-0.0304,1.0896,2.3762,0.5996,0.8635,0.0484,1.5067,0.6062,1.8387,0.691,1.8609,0.7206,1.571,1.1245,Control
A08,1.0175,0.819,1.1187,0.2967,0.0781,1.401,1.3888,1.6278,0.3245,0.784,2.5672,1.041,0.0827,0.1741,0.0458,0.9913,0.7827,1.7967,0.179,1.4451,0.5446,1.6346,1.6228,0.843,1.014,0.905,0.106,1.2317,2.6059,0.4074,1.0676,0.1807,1.6258,0.7395,1.919,0.5872,1.7198,0.8123,1.6801,1.0832,Control
A09,0.8946,0.8058,1.2069,0.349,0.0638,1.1848,1.3381,1.4374,0.3747,0.7778,2.4187,1.0265,0.2177,0.1713,0.065,0.7463,0.6488,2.0877,0.2167,1.3453,0.6894,1.4828,1.4273,1.063,0.9409,0.744,0.0338,1.0157,2.4502,0.3952,0.8757,0.1018,1.3494,0.5541,1.7005,0.6613,1.8278,0.5927,1.4154,1.1598,Control
A10,1.0239,0.931,1.2417,0.398,0.1033,1.1913,1.2783,1.7306,0.3376,0.79,2.7033,1.0756,0.2915,0.1264,0.0906,0.8644,0.8,2.136,0.2099,1.4193,0.6004,1.7203,1.695,0.9078,0.9891,0.9983,0.0508,1.284,2.3575,0.6761,0.8235,0.0991,1.611,0.6865,1.9569,0.6496,1.802,0.7228,1.5851,0.9502,Control
