@relation data

@attribute id string
@attribute 11197 numeric
@attribute 1452 numeric
@attribute 1453 numeric
@attribute 1457 numeric
@attribute 1487 numeric
@attribute 1488 numeric
@attribute 1499 numeric
@attribute 166 numeric
@attribute 1855 numeric
@attribute 1856 numeric
@attribute 2033 numeric
@attribute 2249 numeric
@attribute 22943 numeric
@attribute 23002 numeric
@attribute 23291 numeric
@attribute 2487 numeric
@attribute 2488 numeric
@attribute 2535 numeric
@attribute 2597 numeric
@attribute 26190 numeric
@attribute 2931 numeric
@attribute 2932 numeric
@attribute 324 numeric
@attribute 3251 numeric
@attribute 3725 numeric
@attribute 4040 numeric
@attribute 4041 numeric
@attribute 4609 numeric
@attribute 51176 numeric
@attribute 51384 numeric
@attribute 51701 numeric
@attribute 5308 numeric
@attribute 53944 numeric
@attribute 54361 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 567 numeric
@attribute 56998 numeric
@attribute 58480 numeric
@attribute 59343 numeric
@attribute 595 numeric
@attribute 60 numeric
@attribute 607 numeric
@attribute 6422 numeric
@attribute 6424 numeric
@attribute 64321 numeric
@attribute 6468 numeric
@attribute 64840 numeric
@attribute 6862 numeric
@attribute 6932 numeric
@attribute 7088 numeric
@attribute 7089 numeric
@attribute 7471 numeric
@attribute 7472 numeric
@attribute 7473 numeric
@attribute 7474 numeric
@attribute 7475 numeric
@attribute 7476 numeric
@attribute 7477 numeric
@attribute 7478 numeric
@attribute 7481 numeric
@attribute 7482 numeric
@attribute 7483 numeric
@attribute 7855 numeric
@attribute 7976 numeric
@attribute 80326 numeric
@attribute 8061 numeric
@attribute 81029 numeric
@attribute 8312 numeric
@attribute 8321 numeric
@attribute 8322 numeric
@attribute 8323 numeric
@attribute 8324 numeric
@attribute 8325 numeric
@attribute 83439 numeric
@attribute 83999 numeric
@attribute 8456 numeric
@attribute 85407 numeric
@attribute 85458 numeric
@attribute 8840 numeric
@attribute 894 numeric
@attribute 8945 numeric
@attribute 896 numeric
@attribute 9368 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0591600927,0.7749692683,0.7693158464,0.7051456760,1.5287569798,0.2752227061,0.6174689995,0.4197575064,1.5403237708,1.2512556236,1.5206031688,-0.1637894607,1.2363757027,0.4636050077,1.5686397417,-0.0825255701,-0.1703783210,0.2974508487,4.2395171323,0.6688124583,0.6282775754,0.8950817100,0.0387382352,0.2539202141,1.7024177213,0.2053701962,0.4169445177,0.1863047483,-0.0819218758,-0.0693783264,0.2454021027,0.6936653244,0.4640961258,0.1095612807,1.2238418325,0.8568766135,1.6511866775,0.4985748884,0.3527812859,0.7244274211,1.4593906332,2.0794160451,0.8291148344,0.1594290040,1.8882495920,0.1084212227,0.2832694692,0.0406073837,0.0685503567,0.0388651469,0.7436368095,0.3653935384,-0.3945480586,0.0060842624,-0.2014402350,1.0991054247,0.0138609237,-0.0872401451,-0.0658604255,-0.1008841115,-0.1242441562,0.0170828879,-0.0414223101,-0.1384880379,0.0407348561,-0.2703875750,0.9586542847,-0.0433322968,-0.0583147597,0.5178176453,1.2294193541,0.4202692439,2.5381216722,0.4896193914,1.2487681582,-0.0525589748,-0.1141785563,-0.0208626371,0.1185238668,0.2721987077,0.0639185195,0.1120133967,1.1050196102,0.4175513438,BRCA
GSM481003,0.0058388452,0.5022556961,0.9270227291,0.7230326441,1.6374357489,0.1055080124,0.5368674805,0.4742083580,1.6316522890,1.2125606228,1.5765347331,-0.1434229577,1.1691645318,0.2713594145,1.4605255890,-0.1096132459,-0.0667625878,0.3096774467,4.1421803630,0.4066919845,0.6853814301,0.9718543944,0.0567640029,0.2715907501,2.4163282448,0.1092764729,0.8406192693,0.2694517161,-0.0555656530,-0.0711894622,0.2238996295,0.0485051640,0.3276300064,0.3030448142,1.1675652556,1.1742187960,1.5482868770,0.5210862946,0.4344674846,0.4726885488,1.6346685103,2.0472658149,1.1798929429,0.3016362033,1.1638342091,0.9337419918,0.2015326598,0.1250418554,-0.0376467061,0.3832931219,0.5913749196,0.1807594577,-0.2837386110,0.2620541867,-0.1763356365,1.2871466040,0.0805596044,0.0086955691,-0.0085104138,-0.0511799914,-0.0742290326,0.6722705480,-0.0506247050,0.0773259308,0.0183893998,-0.1387209467,0.8848584251,0.0699068837,-0.0233808412,0.5154947008,1.1748903621,0.3427900223,1.7296087743,0.3949784789,1.0709934719,0.0882954742,-0.1403105711,-0.0009759321,0.1034352574,-0.0834714660,0.6913303141,0.0996191137,1.8609408588,1.8956872671,BRCA
GSM481004,-0.0084024777,0.5846829968,1.0995267555,0.6788964829,1.5116502008,0.2299313519,0.5084360550,0.4816976079,1.7601004838,1.3879509694,1.4211680973,-0.0819836333,2.4766519337,0.2712411666,1.6410631902,-0.1101715326,-0.1245853845,0.3574216091,3.6309192973,0.6389450883,0.7605310136,1.3618418052,0.0156502626,0.4708690842,1.9569436598,0.1046174558,0.8672787846,0.3419797647,-0.0759171264,-0.0733080359,0.2081791199,0.5617744869,0.4125062794,-0.0715792978,1.2944579630,0.9518654371,1.2007790074,0.7027396207,0.5090892706,0.6565242874,1.6619296756,1.4240456010,0.9288896471,0.5349414673,2.6583093325,0.2840233116,0.3108116573,0.0428539729,0.0536641272,0.0808795862,0.6421688085,0.5280158185,-0.3105351274,0.0032477002,-0.1127112779,1.2167072096,-0.0188852585,-0.0638865936,-0.0485719460,-0.0359497991,-0.0909554661,0.0893885440,-0.0690000361,-0.0646847112,0.0518062069,-0.1845646587,1.0461477381,0.1364099701,-0.0195342790,0.4954510418,0.8735682719,0.2407727359,3.0849989021,0.3031011952,1.4482506214,0.0346142573,-0.0850563206,-0.0766710311,0.0476329193,0.0119989966,0.3320232958,0.1211709580,1.6100524143,0.4989674444,BRCA
GSM481005,-0.0114657412,0.8952178020,1.0284580922,0.7450451644,1.5837440587,0.1756565297,0.6957511474,0.3798456432,1.2660262982,1.1898594431,1.5339801088,-0.0601882339,2.5389746294,0.3839905932,1.4555339366,-0.0842108430,-0.0202543511,0.4337945098,4.0039327147,0.7408448975,0.5514022044,0.9572651076,0.1923242811,0.3823863131,1.9105042447,0.2269648675,0.3878716163,0.1626732602,0.0912356529,-0.0804068081,0.2253906769,-0.1350840951,0.3363416497,-0.0903669529,1.2343815744,0.9505772538,1.4086831123,0.3261551544,0.4296011125,0.9475457416,2.1236051734,1.8347277684,1.2995626246,0.2960722153,2.8231953382,-0.0290233928,0.1677648548,0.0853956052,0.0564086296,0.0376215268,0.4864851684,0.0876702948,-0.2622130004,0.3739300018,-0.0578352279,2.7604660591,0.0426390920,-0.0200725873,-0.0482768963,-0.0910808531,-0.0685347691,-0.0662294183,-0.0690765642,-0.1600683510,0.0253307247,-0.2487369648,0.9426634864,0.2255749310,-0.0176479652,0.5995431432,1.0973899575,0.4940518402,3.1216985056,0.3341969794,1.3552098126,0.0945146680,-0.1709697518,0.0169129932,0.2297496835,-0.0696763332,0.6047610591,0.1284480545,1.0460347944,0.2623023259,BRCA
GSM481006,-0.0619639290,0.7858931990,0.7724465803,0.8821366779,1.7279376312,0.1510319460,0.6774093451,0.4658124519,1.6513754858,1.4516223233,1.9997731411,-0.1402315589,1.6212366356,0.4682163633,1.6704343226,-0.0878240112,-0.1274666446,0.5730865085,4.1958898700,0.6304480990,0.5057105281,1.0202108809,0.0629272980,0.4499148935,1.8248747664,0.3116749472,0.4777604582,0.2744588943,0.0818538499,-0.0425234946,0.2466157777,-0.0590833068,0.3384378918,0.1349259974,1.1296645254,1.1646123734,1.9025335787,0.4106613709,0.3525477610,0.8038373718,1.6552993021,3.2827063971,1.2794676210,0.2701994026,2.2183610915,0.4533920264,0.2332319610,0.1114796716,0.0606226462,0.1508554700,0.5152999029,0.6792336538,-0.3156871875,0.9761466979,-0.1288715185,2.6283631843,-0.0367680197,-0.0259634039,0.0027629747,-0.1056243051,-0.1108920901,0.3665609332,-0.0490511070,0.0737847136,-0.0607598760,-0.2056177399,1.0638561419,0.0909788225,-0.0344282651,0.6352266884,1.0352304034,0.3469776163,2.2450029360,0.3349695516,1.4518673271,0.0927184554,-0.1368376799,0.0093336500,0.1939809963,0.0388879761,0.9767439025,0.0903202268,1.1141627877,1.2948815303,BRCA
GSM481007,-0.0270262821,0.4159057388,0.4520211312,0.6039152184,1.7280974020,0.2158234717,0.6134111168,0.6655516372,1.9319358701,1.7445892150,1.4547199384,-0.1242752757,2.6272452276,0.2620224131,1.5588143059,-0.0370189912,-0.0866338995,0.3394778481,3.8619840940,0.4083331314,0.7364221625,0.5586554259,0.2163079727,0.2606255089,2.0019709589,0.0852052735,0.7830472821,0.2869294803,-0.0362453415,0.0349866823,0.2665355380,-0.1068653911,0.2592513632,0.4547389333,0.9218534496,1.3182984778,1.9477904402,0.2701666820,0.8321109876,0.7311596308,1.2351145123,2.1308796236,1.0806842891,0.6238864969,2.5744106372,0.5287192468,0.3255698774,0.0443302779,-0.0555300389,0.0523900811,0.5470145915,0.8919471619,-0.2656063915,0.1312263660,-0.0424479322,1.5694840899,0.0665562646,-0.0116927956,0.0067818588,-0.1159979064,-0.1010664200,0.7914069314,-0.1936255641,0.0897157400,0.0269764186,-0.0515251742,1.0908969897,0.1317516231,0.0191384241,0.5411662431,0.5598054998,0.0400525054,1.9039682361,0.1684061680,1.2766758504,0.0458588748,-0.0897692909,-0.0483286456,0.1187048584,-0.1177870269,1.2270470462,-0.0121771720,2.1608109623,2.5971975178,BRCA
GSM481008,-0.0223884174,0.5904208655,0.9891898446,0.6618162519,1.7569416098,0.2711479732,0.5762742963,0.3532608428,1.6606386056,1.5465012026,1.5937150419,-0.0694569153,1.2630858620,0.4404110412,1.4403287746,0.1133307316,-0.0930621341,0.3225789310,3.6773881910,0.5906545935,0.9535613207,1.0892350491,0.1321390251,0.6622693682,2.1130765477,0.3065423061,0.4701483340,0.2562567367,0.2017045878,-0.0439203969,0.2689977738,0.1070143061,0.3756625434,-0.0216365628,1.4909315973,1.0114390291,1.5310236899,0.3102385793,0.0890311357,0.6411620913,1.6781765093,1.4083411269,0.8272706419,0.8070204960,-0.1633684683,0.4626962490,0.2342744020,0.0292268971,-0.0014297281,0.4492832672,0.3099862269,0.2830376208,-0.3722561604,-0.0818936168,-0.0649520755,2.6761983316,-0.0130235439,-0.0438404034,0.0238258963,0.0177650731,-0.0973834079,-0.1006630483,-0.0836435636,-0.0263637421,-0.0587898058,-0.2866146009,1.5582522666,0.3285105641,0.0002120643,0.7522004461,0.3710079451,0.3907292088,1.2485071176,0.7163926493,0.7799835039,0.0542818985,-0.1557499538,0.0115028164,0.0637323419,-0.0845306588,0.0363795552,0.0324204724,1.9954392909,1.1480380371,Control
GSM481009,-0.1393855648,0.6226818040,0.2031548033,0.5734758147,1.5540169552,0.0376218577,0.6379877187,-0.0191022918,0.9712759356,1.1541839863,1.3526445291,-0.1548736967,0.8197733726,0.3425019008,1.3666762173,-0.0680504082,-0.1853991469,0.1195252147,4.6684551240,0.4016062915,0.2072424322,0.4939206066,0.0385478688,0.2607906638,1.1429168019,0.2183673992,-0.1390573133,0.0096561856,-0.0457928035,-0.0109911502,0.1611730894,-0.0859485700,0.2343552861,-0.0947817922,1.1786218321,0.3147968069,1.9638434743,0.1157703624,0.4471616740,0.6150743960,0.9449293574,1.6037546610,0.6483347775,0.2702900927,2.6224651179,-0.0137129132,0.1106201136,-0.2513919112,0.1196363703,0.0965627080,0.2893497132,0.1007363078,-0.6643026724,0.3702629479,-0.2396392688,1.5475423524,-0.0934621583,-0.2625131060,0.0109606397,-0.0948671154,-0.1927612391,-0.0008563446,-0.1355779901,-0.1901101222,0.0691758244,-0.3837322319,0.2636092880,-0.2633427495,-0.2033955997,0.2263547377,0.9253043751,0.1085814988,2.8495090359,0.1045048643,0.8893958329,-0.0656685524,-0.1344142153,0.0725833715,0.0581731809,0.0199819383,0.1835387064,-0.0376876255,0.7593061587,0.3190693364,Control
GSM481010,-0.0921136408,0.8328421336,0.9171681664,0.7929901754,1.4977005953,0.2811138460,0.7343420027,0.3518357022,1.1539768628,1.1889527265,1.6499485337,-0.1724767346,1.2656153109,0.5746824579,1.6286549394,-0.0691972981,-0.1130718994,0.1426105212,4.0522372723,0.7368631840,0.5189746011,0.9262991083,0.0640800452,0.6376940510,2.0214559557,0.1873326846,0.7547363507,0.2640629692,-0.0746804124,-0.0828891163,0.2248685884,-0.1534437910,0.4942532383,0.2415542743,1.5060444668,0.9558448684,1.8792734133,0.6082637780,0.7766043766,0.8674369441,1.1449683505,2.1124519960,0.9260910520,0.6350300262,1.5724501491,0.4434564979,0.1592654353,-0.0546683492,-0.0840357524,0.0227985563,0.9254897477,0.1562790274,-0.2394890915,-0.0618860749,-0.0936019128,1.7162404021,-0.0528586305,0.0075313146,-0.0343432225,-0.1204891543,-0.0687700288,0.3475609784,-0.0442746121,-0.0047525896,0.0063128392,-0.1516297620,0.9427496110,-0.0633099011,-0.0026645693,0.5297393522,1.3494504129,0.3972433979,1.4520974686,0.2440859387,0.9106897973,-0.0176908615,-0.1269529790,0.0028972509,0.2749149855,0.0049485801,0.8237188119,0.2240257637,1.0468303748,0.9046365326,Control
GSM481011,0.0331848206,0.4575096548,0.9789002165,0.5969067344,1.7220819780,0.2567658980,0.4369135557,0.5537175854,1.9777225687,1.4405376034,1.0696674976,-0.0989124637,1.6262097492,0.2818668918,1.4047438270,-0.0760351726,-0.0980909650,0.4529687186,4.7205428280,0.4305529350,0.9022890391,0.8232649406,0.0466596353,0.3579973787,1.9929131126,0.1233902548,1.0833763216,0.2834044827,-0.0571184079,0.0175757171,0.1999244929,-0.1245865751,0.2378813275,-0.0201940086,1.1535155438,1.2443000358,1.0525147868,0.4510899270,-0.0339501188,0.4928294120,2.1114134911,2.0010260307,1.0535396307,0.6452240635,2.8830288807,-0.0431128072,0.3637786938,-0.0491248130,0.0242857540,0.0344876326,0.4366767541,0.3298894547,-0.3263226391,0.1123705800,-0.1127214742,1.6167891246,0.0338085365,0.0335077664,-0.0299045145,-0.0683776503,-0.0605126296,0.2160085205,-0.0952629641,-0.0211311191,0.1043020672,-0.2860836664,1.5284678934,0.0897567195,-0.0613471039,0.4226314719,0.9487753072,0.1416005218,2.5316526047,0.3143766776,1.5787073300,-0.0066006078,-0.1519887621,0.0020411775,-0.0391756655,-0.1152828460,0.5914034456,-0.0036052681,2.4305225610,1.0002488606,Control
