@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10096 numeric
@attribute 10097 numeric
@attribute 10298 numeric
@attribute 1072 numeric
@attribute 1073 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23368 numeric
@attribute 23452 numeric
@attribute 2664 numeric
@attribute 2665 numeric
@attribute 3636 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 392 numeric
@attribute 393 numeric
@attribute 3984 numeric
@attribute 4638 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 5163 numeric
@attribute 5290 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5308 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 5728 numeric
@attribute 6010 numeric
@attribute 6093 numeric
@attribute 6295 numeric
@attribute 695 numeric
@attribute 85366 numeric
@attribute 8936 numeric
@attribute 8976 numeric
@attribute 9475 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,2.9194653351,1.3618270764,0.7444360137,2.3185293673,1.2752404540,1.9397812022,0.1866127024,0.9530668362,-0.0939599818,0.9017630200,2.6660589724,0.5690341583,0.1313168648,0.1067213277,0.5609436097,0.7179713931,-0.0367072816,1.3786196138,0.5541366695,0.3334267199,1.9176566821,0.2940123944,0.9942950769,0.6502234032,0.1255568270,-0.1624264398,0.7694715564,-0.1466830224,0.6115640560,-0.1086105190,0.2529164747,-0.0660083079,0.0312767470,-0.1452552925,-0.1016100206,-0.0205399986,1.4890702023,0.4649006747,-0.0796944764,0.2693405723,BRCA
GSM480985,0.6712534413,2.7676791986,1.1597004277,0.6800185540,1.9290970167,1.1496221342,1.4054429928,0.2867683454,1.1936810870,-0.0909847393,1.1885755472,2.6253296881,0.5645611170,0.4415400387,0.5849629343,0.3553600297,0.7593570758,-0.0901071523,1.2969016295,0.6572212968,0.5376056928,1.5525041097,0.9674722773,0.8471601896,0.8534231111,0.3438852307,-0.1454714285,1.5476133191,-0.1785420816,0.2890646078,-0.0886895525,0.1930055995,-0.0757256946,0.0755929606,-0.1607986376,-0.1003832841,-0.0418416476,1.2682979496,0.4061208683,-0.0687286226,0.2437138550,BRCA
GSM480986,0.3637514705,2.9146574021,1.2750440651,0.9048564412,2.6057420970,1.3628642274,1.7577156492,0.2145363198,1.0440999767,-0.1031082883,1.3747110888,2.6090935170,0.5134776199,0.2835222208,0.1536485495,0.6212419597,0.8317756207,-0.0487704312,1.4918706133,0.6469340230,0.5214103467,2.0052070367,0.4927383830,1.0312913730,0.3758222094,0.3109857890,-0.1337267348,0.9370587028,-0.0558428063,0.3945332915,-0.0471249062,0.1655263530,-0.0734469545,0.0069230790,-0.1603906600,-0.0526870978,-0.0402566179,1.6463169577,0.5008925419,-0.0732849970,0.2337614380,BRCA
GSM480987,0.4741756265,2.9701363484,1.1106433871,0.5215355268,2.3601241903,1.7601572115,1.6769249506,0.2593453904,0.5547736657,0.4497029637,1.3997343890,2.8605077712,0.4782583479,0.3327935711,-0.0104492808,0.3998152808,0.6542829745,-0.0931103057,1.4120813263,0.4042619580,0.4951465396,1.8267602669,0.1303720306,0.5568740662,0.4246866423,0.3279566426,-0.1022734639,0.9460729968,0.1621742338,-0.0295104620,-0.0378936660,0.0919696689,-0.0468280758,0.0234027272,-0.0984417888,-0.0333157243,-0.0787319230,2.1800480800,0.3895272783,-0.0519221399,0.2226472523,BRCA
GSM480988,0.3666419161,2.7344264426,1.0816635710,0.9508889556,1.7501517537,1.1883286537,1.1675294143,0.1712146028,1.4051394819,-0.0941039338,1.0233521066,2.5704391599,0.4314604641,0.1991312819,0.2297151421,0.5623337450,0.7008158211,-0.0359084169,1.3669745201,0.3890996335,0.4710813121,1.9803916247,0.2542246198,0.9700278779,0.5025178531,0.3674768847,-0.0889533257,0.6583551200,-0.1499734049,0.4609995752,-0.0761343380,0.1527773529,-0.0137847263,0.0022991031,-0.0911019428,0.0189469970,-0.0445927659,1.4418734162,0.3321739982,-0.0317350667,0.1930281139,BRCA
GSM480989,0.2517094096,2.7021229506,0.9803545578,1.1523790095,2.9739281333,1.3053115380,2.3074461223,0.2270790681,1.2704041178,-0.0846824725,1.1322652158,2.8241890221,0.3208382477,0.2200210720,0.0458035868,0.4976210030,1.0401316601,-0.1370594150,1.5982619581,0.4228847174,0.5198385118,1.8099314634,0.1801736687,0.8723785451,0.3040667095,0.2117079990,-0.1893403782,0.5104212239,-0.1210485597,0.3935015834,-0.0274831994,0.0676769989,-0.0791709235,0.0616616788,-0.2017270699,0.0206640526,-0.0091691538,1.3438190445,0.3012315244,-0.1349797046,0.2852107126,BRCA
GSM480990,0.3166647480,3.0487507741,1.1490391967,0.9801169453,3.1392434437,1.5611404061,2.3939645291,0.2749733657,1.1200390657,-0.0627843428,1.2556228899,2.6857711821,0.3733161202,0.1628782986,0.0021861719,0.5061100200,1.0891320292,-0.0627307187,1.8377779026,0.5807186725,0.6607572544,2.1385234782,0.5839403074,0.3677679448,0.4307222246,0.8327552467,-0.1406402458,0.5701667320,-0.1091623201,0.6784652798,-0.0090193702,0.1218786214,-0.0900589282,0.0384436129,-0.0959811594,-0.0075551886,-0.1029091439,1.7045574429,0.3934687308,-0.1541326487,0.1617002876,Control
GSM480991,0.2500861962,2.8861336788,1.0360721810,1.1151435263,2.8201174737,1.2370998651,1.8290236989,0.2449685031,1.1631401910,-0.1012236203,1.6039863340,2.6093140840,0.5787859380,0.2311761151,0.1075655196,0.7279821927,0.9936076746,-0.0364083487,1.6326199131,0.6529166640,0.5980931108,1.9004271532,0.3437215163,0.6418447939,0.3718392522,0.4582523614,-0.1590461786,0.6246844594,-0.0140054368,0.3850563242,-0.0346813186,0.1739077011,-0.0315061201,0.0374511476,-0.0616122266,-0.0544032358,-0.1167807288,1.5119326300,0.4812086169,-0.0669590193,0.2150321878,Control
GSM480992,0.2476967987,2.5511685928,0.9729120283,1.4277543859,3.1759457587,1.5355485714,2.3328941266,0.3295684198,1.3635008657,-0.0969419653,1.5810481385,2.4258100838,0.6518977029,0.0994592431,0.0161160152,0.7308892569,1.1358237950,-0.0108861114,1.9263710032,0.6435555792,0.4647197556,2.0045540961,0.3293317450,0.5632396906,0.3555988693,0.7112178834,-0.1480111448,0.5310987036,-0.1302371952,0.8328277925,-0.0477632556,0.1157030584,-0.0032957685,-0.0010797481,-0.1224279915,-0.0302590407,-0.1059863180,1.9600874623,0.4017187652,-0.1714860920,0.2135051408,Control
GSM480993,0.3786722400,2.9544675668,0.9920959999,1.1702798946,2.6895048220,1.4685571706,1.9907199673,0.3003267815,1.2682003710,-0.0872289291,1.5422922746,2.6966473906,0.6347330034,0.1916949626,0.1179360291,0.7271375300,0.9077021489,-0.0110236899,1.6787058631,0.6101985172,0.5712389041,1.9982736738,0.2987102078,1.0416793153,0.3556248992,0.3843497409,-0.1081225405,0.7338769277,-0.1409539937,0.6463455347,-0.0256107600,0.1433829642,-0.0950392094,0.0340418489,-0.1690155388,-0.0557189019,-0.0631811516,1.7876102989,0.3928130415,-0.1117413986,0.2080415856,Control
