@relation data

@attribute id string
@attribute 183 numeric
@attribute 185 numeric
@attribute 1906 numeric
@attribute 1909 numeric
@attribute 1910 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2353 numeric
@attribute 3265 numeric
@attribute 3725 numeric
@attribute 387 numeric
@attribute 4609 numeric
@attribute 4790 numeric
@attribute 5335 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5970 numeric
@attribute 8038 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0169406613,-0.0660282744,0.6381982602,-0.0426772024,-0.0414549883,0.6516626943,0.4345339728,0.1948640191,1.0380567778,0.7463167697,1.9894220193,0.5926393938,0.4754300158,0.5204422609,0.1474579691,-0.1072664774,0.8525465690,-0.0087387160,BRCA
GSM480985,0.2199821969,-0.0510698676,1.3853836805,0.0085917020,-0.0747167063,1.2256539837,0.3325850749,0.3309724640,0.5481084954,0.9612028782,1.8852531751,0.2717646782,0.4509238059,0.6196571301,0.0900841358,-0.0931613796,0.8536376064,0.1415888330,BRCA
GSM480986,0.0197999421,-0.1267201663,0.7647701036,-0.0792635307,-0.0603378373,0.4262836435,0.3517915079,0.3619466726,0.9493732134,0.9059672051,2.0062507787,0.4492141063,0.3572855135,0.5424212613,0.1559347632,-0.1167993353,0.9353946786,0.0923088672,BRCA
GSM480987,0.8610898719,1.3864176907,0.0137137714,0.3667438397,1.0950507612,0.0239258781,0.1587947994,-0.0610097518,0.6616964770,1.2356612913,1.8972162525,0.7697951637,0.2389650019,0.7127369387,0.0835026311,-0.1432857454,0.8780260834,0.2032899666,BRCA
GSM480988,0.0694702046,-0.1249507846,0.7892006804,-0.0807218904,-0.0594985227,0.3245137288,0.1726689534,0.3942711436,0.4589619954,0.5378554523,1.6231118301,0.4848055529,0.2502003758,0.5192004788,0.0817065693,-0.0806064152,0.6707278885,0.0848823038,BRCA
GSM480989,0.2477838278,-0.1383574481,0.7516749007,-0.0624036275,-0.0467954570,0.6720767098,0.2135165615,0.0513401362,1.1103506463,0.5993327181,2.4842128198,0.3984325587,0.1723780840,0.5099837124,0.0811992555,-0.1211765001,1.1224099571,-0.0005728641,BRCA
GSM480990,0.0095471656,-0.0846046932,0.2123640113,0.3471388185,-0.0288492947,0.0702140510,0.2635990058,0.1955064154,1.1067612915,0.9502829010,2.3151370526,0.5031338535,0.3219937040,0.7009938896,0.1371517299,-0.1211324487,1.1399565821,0.0260167836,Control
GSM480991,0.2282817443,-0.0877550375,0.9155950824,0.0086765222,-0.0446889103,0.8736306505,0.2092083807,0.5429381570,0.9763167946,0.9142568514,2.0687043151,0.3545671447,0.3367405246,0.5280418684,0.0569693500,-0.0960165404,1.0769064036,0.0387437989,Control
GSM480992,-0.0145717701,-0.1288262847,0.3392567319,0.0177572168,-0.0313304170,0.1679068491,0.2100246319,0.3445932802,1.1827308424,0.5848525959,2.4234709023,0.5397554174,0.1333302662,0.6497552522,0.1225340664,-0.1356904655,1.2896809784,0.0914089818,Control
GSM480993,0.1377103847,-0.0761828409,0.7532246475,0.0848687456,-0.0545884828,0.4212769849,0.2942363708,0.4851258332,0.9945207685,1.0657076714,2.1975401044,0.5181170303,0.2735164897,0.5661468516,0.1051260916,-0.1144585606,0.9961075650,0.0175198076,Control
GSM480994,-0.0407983913,-0.0870374276,0.5097898402,-0.0726521130,-0.0118812960,0.5657964832,0.1903169752,0.4939027579,0.9641585409,0.5563842119,2.5272347848,0.4485219349,0.1787086215,0.4282210015,0.1282837399,-0.1302939479,1.0543388821,0.0172945087,Control
GSM480995,0.3667157069,0.6745447033,2.0349481181,0.1880376219,0.0488723006,1.1379546598,0.5217593632,0.1775458926,1.0583383925,1.9688322091,2.4257646243,0.4980991434,0.3540730737,0.7010075127,0.1549260844,-0.1366150506,1.1591183341,0.0589720100,Control
GSM480996,-0.0182655661,-0.0415097747,0.4842473319,0.1160540105,0.0755407845,0.1915650606,0.4382426251,0.2972178226,1.5339100845,1.1081883643,2.2180271069,0.7537075156,0.1904408052,0.7422953586,0.1266842851,-0.1023722273,1.0762969156,-0.0369500678,BRCA
GSM480997,0.0662595686,0.1846990502,0.0742112896,-0.0548311248,0.3795109659,0.3133909763,0.2648860105,-0.1969313083,1.0607690384,1.4992139659,2.4668474355,0.3535957234,0.1267871698,0.7791516716,0.3052101101,-0.0603807799,1.1341954818,0.2562197082,BRCA
GSM480998,-0.0455025009,-0.0997400572,0.6876472504,-0.0537719001,-0.0369678650,0.4491573981,0.2039249242,0.4853948928,1.3928146588,0.5623371863,1.8991035700,0.8580861243,0.1354134279,0.6266471785,0.2023127026,-0.0860605537,0.8914366579,0.1201736281,BRCA
GSM480999,0.0302682806,-0.1103476867,1.2513413205,-0.0753618115,-0.0276135932,0.6780377738,0.4440171438,0.3528046992,0.6999813840,0.8877214403,1.9882173934,0.2517886319,0.7189646635,0.6269430375,0.1332951783,-0.1419028194,0.9518814928,0.1050638445,BRCA
GSM481000,0.0828037954,-0.0317740416,1.0649198592,-0.0625323224,-0.0493895633,1.1900375411,0.2628517869,0.3186011869,0.8529196009,0.9541519526,1.9006932061,0.3210571348,0.4366804063,0.7278815275,0.2112378953,-0.0985733992,0.8998429909,0.0169287882,BRCA
GSM481001,0.3529062320,-0.1060898963,1.4911356419,-0.0587965240,-0.0505785634,0.9539825245,0.6662413150,0.1838395956,0.8871232791,1.2256693399,2.3635019381,0.4399477396,0.5967181248,0.5405121342,0.0994878260,-0.1122984693,1.1184988925,0.0744867545,BRCA
