@relation data

@attribute id string
@attribute 10000 numeric
@attribute 1017 numeric
@attribute 1027 numeric
@attribute 1029 numeric
@attribute 10298 numeric
@attribute 10488 numeric
@attribute 10682 numeric
@attribute 10971 numeric
@attribute 1385 numeric
@attribute 1647 numeric
@attribute 2066 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2151 numeric
@attribute 23368 numeric
@attribute 2549 numeric
@attribute 2810 numeric
@attribute 2885 numeric
@attribute 2931 numeric
@attribute 2932 numeric
@attribute 3429 numeric
@attribute 3479 numeric
@attribute 3484 numeric
@attribute 3636 numeric
@attribute 3667 numeric
@attribute 4233 numeric
@attribute 4609 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 50855 numeric
@attribute 5163 numeric
@attribute 5290 numeric
@attribute 5293 numeric
@attribute 56288 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 572 numeric
@attribute 5728 numeric
@attribute 5747 numeric
@attribute 57580 numeric
@attribute 5770 numeric
@attribute 598 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 6198 numeric
@attribute 6464 numeric
@attribute 6517 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 7248 numeric
@attribute 7249 numeric
@attribute 7529 numeric
@attribute 7531 numeric
@attribute 7532 numeric
@attribute 7533 numeric
@attribute 8471 numeric
@attribute 8660 numeric
@attribute 9221 numeric
@attribute 9586 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,0.5834629533,1.5075298383,0.4842657652,0.7444360137,0.3815667658,2.0747911589,0.8977078460,0.3960468965,1.7342155276,-0.0921212359,1.9397812022,0.1866127024,-0.0526896823,0.9530668362,0.1568159528,3.2241453454,1.3452941188,0.3847639441,1.2060972602,0.0661987319,-0.0297777642,-0.1380732789,0.5690341583,1.7296059516,0.8759700277,0.5926393938,0.3334267199,1.9176566821,0.2940123944,0.1989185824,0.9942950769,0.6502234032,0.1255568270,0.3152182770,0.6115640560,-0.1086105190,0.2177100353,0.2529164747,0.3606912876,-0.1593771330,0.0424724815,0.1900893384,0.8590166551,0.4753331980,0.3490809082,1.0731972919,1.9096234484,-0.1520311560,0.1797246685,0.5492388602,0.7897334355,0.1938736673,2.8649117788,2.1320210693,3.3017348942,0.2840659279,-0.0516592746,1.7108986220,1.3441346777,0.0516735649,0.2693405723,BRCA
GSM480985,0.6712534413,0.4411996799,1.7779963680,0.6616161629,0.6800185540,0.3347815426,1.7793970997,0.7658785862,0.2730189453,2.0508048685,-0.0630453830,1.4054429928,0.2867683454,-0.0158890861,1.1936810870,0.2529188136,2.3231554627,1.1583383579,0.2208471612,0.8787267861,0.1748051911,-0.0726949804,-0.1136651376,0.5645611170,1.1172559793,0.7798522333,0.2717646782,0.5376056928,1.5525041097,0.9674722773,0.0274051996,0.8471601896,0.8534231111,0.3438852307,0.3989806053,0.2890646078,-0.0886895525,0.2315313540,0.1930055995,0.4434307657,-0.1685254412,0.0475079711,0.2041814914,0.5620005916,0.4960677786,0.3743994703,1.1561554869,1.9413004944,-0.1374936132,0.2011654340,0.6409502427,0.8176683512,0.2345843728,2.6496851841,2.1926461853,3.3812768759,0.2868869492,-0.1592092707,1.6925420276,0.7625931277,0.0775757754,0.2437138550,BRCA
GSM480986,0.3637514705,0.4792193069,1.4769461321,1.0047740482,0.9048564412,0.4146094497,2.3227953976,0.8961630866,0.3807973232,1.2829225361,-0.1203677614,1.7577156492,0.2145363198,-0.0873086066,1.0440999767,0.1934399384,3.6006316618,1.5127595663,0.4747341742,1.3099040800,0.1769929736,-0.0318582082,-0.0243940359,0.5134776199,1.5409271829,0.9021996147,0.4492141063,0.5214103467,2.0052070367,0.4927383830,0.1593352445,1.0312913730,0.3758222094,0.3109857890,0.2756254022,0.3945332915,-0.0471249062,0.3771760837,0.1655263530,0.2375885064,-0.1577176325,0.0863987993,0.2293706130,0.7839062919,0.4085617637,0.3229744066,0.9039376048,2.0243224118,-0.0801955923,0.0952468054,0.4793911673,0.8369606192,0.2363372804,3.0484460116,2.5239436627,3.5162105559,0.2451798338,-0.0665175091,1.7672813784,1.0927462601,0.0308706047,0.2337614380,BRCA
GSM480987,0.4741756265,0.4050084262,1.0660495198,0.7178355278,0.5215355268,0.3269995508,1.6530135622,0.9140171910,0.2020458693,2.1893143059,-0.0423392128,1.6769249506,0.2593453904,0.1676650669,0.5547736657,0.0150168047,0.8840734573,1.4599798470,0.3696534395,1.1273281686,0.3938123450,-0.0316742232,-0.0894767059,0.4782583479,1.0927224898,0.2276951068,0.7697951637,0.4951465396,1.8267602669,0.1303720306,-0.0532572559,0.5568740662,0.4246866423,0.3279566426,0.1251903196,-0.0295104620,-0.0378936660,0.1247138026,0.0919696689,0.2307216385,-0.0887570234,0.0599899064,0.1363549686,0.1390306237,0.8660132522,0.2145047075,0.7655862770,1.9975022057,-0.1326161029,0.0700896732,0.1445394283,0.8187753238,0.0932189133,2.8611823956,2.3751924037,3.7342699767,0.1725909245,-0.0731863224,2.1135375007,1.2182269037,0.1920744523,0.2226472523,BRCA
GSM480988,0.3666419161,0.4529012942,1.5072410189,0.7294182159,0.9508889556,0.2138069177,2.0936684743,0.7300454369,0.2373043370,1.1994663142,-0.1169293479,1.1675294143,0.1712146028,-0.0414356186,1.4051394819,0.0162218561,3.3110941611,1.6300611323,0.3171393004,1.5309302174,0.0223396355,-0.0315514604,-0.0110663009,0.4314604641,1.0320390261,0.6423381358,0.4848055529,0.4710813121,1.9803916247,0.2542246198,0.1754091490,0.9700278779,0.5025178531,0.3674768847,0.3105019539,0.4609995752,-0.0761343380,0.0354253387,0.1527773529,0.3012423917,-0.1041714360,0.0438732898,0.0633321519,0.6210581084,0.2209763757,0.3158808795,1.0328786273,1.9610705971,-0.1383585218,0.0896705153,0.3725107078,1.0524424439,0.0900821621,2.7963664452,1.9517735643,3.2479327320,0.1968091326,-0.1382719812,1.7855566228,0.8653366112,-0.0728814765,0.1930281139,BRCA
GSM480989,0.2517094096,0.6269943672,0.9980840938,0.8383054727,1.1523790095,0.7048604438,2.8313986889,0.9536321424,0.1316228062,1.1784485579,-0.0707651589,2.3074461223,0.2270790681,-0.0372670215,1.2704041178,0.0295218532,3.5424084142,1.6843677122,0.5796718367,1.3318944331,0.1854439839,-0.0311918096,-0.0062452274,0.3208382477,1.2921628499,0.7024636094,0.3984325587,0.5198385118,1.8099314634,0.1801736687,0.3784832741,0.8723785451,0.3040667095,0.2117079990,0.1698386624,0.3935015834,-0.0274831994,0.5766588003,0.0676769989,0.1835803039,-0.1592328136,0.0027866456,0.2982636617,1.0677040443,0.3754435785,0.1254392710,0.2883380064,1.9755967301,-0.0412789477,-0.0037837656,0.2630944657,0.7036933890,0.2283198774,2.9099976381,2.5266134737,3.6160825491,0.3122929088,-0.1089138100,1.8098528195,0.7445180709,-0.0303864510,0.2852107126,BRCA
GSM480990,0.3166647480,0.5995322283,0.8929153473,0.8380976487,0.9801169453,0.4908841857,2.6008662855,0.8753826609,0.1244135859,1.7728323936,-0.1128753082,2.3939645291,0.2749733657,-0.0814260791,1.1200390657,0.0224591854,4.0529878587,1.6475978081,0.6039142581,1.3889006043,0.1520961924,-0.0190866980,-0.1091467905,0.3733161202,1.1927469964,0.5615265150,0.5031338535,0.6607572544,2.1385234782,0.5839403074,0.1663968669,0.3677679448,0.4307222246,0.8327552467,0.1310873326,0.6784652798,-0.0090193702,0.4847173588,0.1218786214,0.2556535407,-0.0568278389,0.1731044282,0.1835390031,1.0079710025,0.7074387894,0.2346333858,0.6969770806,2.5765053460,-0.1000015383,0.0120991491,0.3107558547,0.7404210174,0.2879380461,3.0515313069,2.2605771227,3.8424132466,0.2054380223,-0.0848510136,1.6690170063,0.9869689182,0.0738705947,0.1617002876,Control
GSM480991,0.2500861962,0.2669265534,1.2088463109,1.0779144312,1.1151435263,0.6921047724,2.2760811509,0.8124476158,0.1756075131,1.6012346595,-0.1356229971,1.8290236989,0.2449685031,-0.0615348046,1.1631401910,0.1424582922,3.7690806314,1.5652074934,0.5656238077,1.2929992116,0.4020895380,-0.0214013296,0.0517540650,0.5787859380,1.3663153568,0.7570488190,0.3545671447,0.5980931108,1.9004271532,0.3437215163,0.2517039030,0.6418447939,0.3718392522,0.4582523614,0.2417833404,0.3850563242,-0.0346813186,0.4295866277,0.1739077011,0.2348265328,-0.0983593629,0.0574075645,0.3156223285,0.7941210804,0.5811723371,0.2548893520,0.6293849200,2.1101571236,-0.2055335632,0.0441448208,0.3851343730,0.8705600685,0.3037084810,2.9438177745,2.2935149670,3.5766208769,0.2894791155,-0.1155622800,1.6580591199,0.7511812569,0.0730779654,0.2150321878,Control
GSM480992,0.2476967987,0.4398213812,1.2364530282,0.8590256640,1.4277543859,0.5746289731,2.5494931134,0.9112154756,0.1568766059,1.2786797881,-0.1444516020,2.3328941266,0.3295684198,-0.0574106353,1.3635008657,0.1112684448,4.0420022160,1.5792976092,0.6426354701,1.5241501815,0.0851360284,-0.0093784845,-0.0014373824,0.6518977029,1.4904017857,0.4905067957,0.5397554174,0.4647197556,2.0045540961,0.3293317450,0.3662272805,0.5632396906,0.3555988693,0.7112178834,0.1502051424,0.8328277925,-0.0477632556,0.4719536303,0.1157030584,0.1477922502,-0.1532480139,0.0905741918,0.2538740384,1.0579590626,0.5338543657,0.2154794810,0.6317377240,2.4270785623,-0.1633972467,0.0183351703,0.4019502806,0.7955047986,0.3770529599,3.0823179564,2.0128209990,3.8861452936,0.2041087145,-0.0831399270,1.8067525298,1.0265578678,0.0023715713,0.2135051408,Control
GSM480993,0.3786722400,0.6524033558,1.5603325564,0.5618893513,1.1702798946,0.5301898761,2.5192131624,1.0168038179,0.2239596708,1.5869673565,-0.1328913012,1.9907199673,0.3003267815,-0.0493948066,1.2682003710,0.1246793050,3.7246564776,1.5582134934,0.5157713251,1.3381779529,0.3741315771,-0.0238642222,0.1078207140,0.6347330034,1.3915128690,0.6604025472,0.5181170303,0.5712389041,1.9982736738,0.2987102078,0.2880333906,1.0416793153,0.3556248992,0.3843497409,0.2836307050,0.6463455347,-0.0256107600,0.4597184245,0.1433829642,0.3103372069,-0.1593987301,0.1039075791,0.2890880678,0.8928548188,0.5429977189,0.2677287386,0.5767357118,2.0765592329,-0.1625273310,0.0562111053,0.4506590302,0.7766399224,0.2714700667,2.9598939657,2.5240129627,3.6253513395,0.2556822760,-0.1127374287,1.9773138965,1.0973651570,0.0852198344,0.2080415856,Control
