@relation data

@attribute id string
@attribute 3725 numeric
@attribute 9530 numeric
@attribute 841 numeric
@attribute 8517 numeric
@attribute 4796 numeric
@attribute 7124 numeric
@attribute 330 numeric
@attribute 6416 numeric
@attribute 7186 numeric
@attribute 8772 numeric
@attribute 8837 numeric
@attribute 8737 numeric
@attribute 8717 numeric
@attribute 7182 numeric
@attribute 329 numeric
@attribute 4215 numeric
@attribute 10928 numeric
@attribute 6885 numeric
@attribute 836 numeric
@attribute 7132 numeric
@attribute 7128 numeric
@attribute 4791 numeric
@attribute 4790 numeric
@attribute 4793 numeric
@attribute 4792 numeric
@attribute 4795 numeric
@attribute 4794 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.2901,0.5762,1.4595,0.3604,0.0664,0.4149,2.5052,0.7496,0.2394,0.887,1.8285,1.4118,1.2857,0.9178,2.2157,1.1199,0.723,1.4658,1.208,1.2819,2.1134,1.1558,1.6981,0.9055,2.2123,0.1903,0.719,Control
A02,0.8169,0.6067,1.188,0.3492,0.0749,0.4378,2.0414,0.4989,0.1809,0.7184,1.624,1.2609,0.9355,0.7402,2.0071,0.9351,0.5222,1.1532,1.1875,1.2163,1.8554,0.9284,1.2732,0.76,2.0603,0.2038,0.7479,Control
A03,1.1876,0.6116,1.4115,0.3742,0.094,0.5438,1.9664,0.6475,0.2439,0.8106,1.8985,1.4831,1.0236,0.8511,2.1775,1.1399,0.6801,1.3103,1.3243,1.4301,2.6801,1.0624,1.4485,1.0903,2.7503,0.3145,1.017,Control
A04,1.2809,0.5996,1.3025,0.3772,0.1652,0.3481,2.3285,0.518,0.2334,0.7485,1.6301,1.3343,1.2084,0.7943,1.8568,0.9778,0.6186,1.2639,1.1111,1.1297,2.4188,1.0316,1.4304,0.8727,2.2761,0.1961,0.6893,Control
A05,1.2201,0.7013,1.3533,0.6097,0.1936,0.3701,2.0297,0.6041,0.2185,0.9748,1.7826,1.487,1.1146,0.8865,2.0805,1.2072,0.8011,1.3977,1.4127,1.4212,2.07,1.126,1.5181,1.1142,2.4615,0.3187,1.0047,Control
A06,0.8267,0.621,1.2424,0.3246,0.0623,0.4186,1.6049,0.5939,0.1498,0.8327,1.6482,1.4109,0.9425,0.7805,2.0344,1.0787,0.6459,1.2785,1.1328,1.3082,2.1097,0.8596,1.3497,0.8971,2.472,0.2461,0.6753,Control
A07,1.2177,0.5788,1.4468,0.3276,0.1276,0.4733,2.0424,0.8022,0.2171,0.929,1.9022,1.4606,1.1008,0.9472,2.2666,1.1857,0.6172,1.5067,1.3997,1.5049,1.9812,0.9967,1.6897,0.8526,1.9798,0.2749,0.9462,Control
A08,0.8932,0.5373,1.5231,0.1674,0.0928,0.2487,1.9632,0.9913,0.179,0.577,1.9455,1.4451,0.843,1.0744,2.1819,1.152,0.6256,1.6258,1.0162,1.1624,1.9463,0.8752,1.8669,0.7484,1.9095,0.2617,0.6932,Control
A09,0.9938,0.5004,1.2405,0.2539,0.0738,0.3534,2.2797,0.7463,0.2167,0.8045,1.6857,1.3453,1.063,0.8206,2.1975,1.1391,0.5744,1.3494,1.0099,1.1854,1.9863,0.9958,1.606,0.8347,2.1911,0.2682,0.7026,Control
A10,1.3414,0.6008,1.377,0.3962,0.1364,0.4561,1.7725,0.8644,0.2099,0.7286,2.0584,1.4193,0.9078,0.9595,2.1232,1.1807,0.6233,1.611,1.2126,1.3738,1.9703,0.983,1.641,0.8363,2.1251,0.1754,0.8472,Control
