@relation data

@attribute id string
@attribute 11261 numeric
@attribute 1432 numeric
@attribute 1616 numeric
@attribute 2890 numeric
@attribute 2891 numeric
@attribute 2902 numeric
@attribute 2903 numeric
@attribute 2904 numeric
@attribute 2905 numeric
@attribute 2906 numeric
@attribute 317 numeric
@attribute 4217 numeric
@attribute 4741 numeric
@attribute 4744 numeric
@attribute 4747 numeric
@attribute 4842 numeric
@attribute 54205 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5600 numeric
@attribute 5603 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5630 numeric
@attribute 572 numeric
@attribute 57679 numeric
@attribute 581 numeric
@attribute 5868 numeric
@attribute 5879 numeric
@attribute 596 numeric
@attribute 5961 numeric
@attribute 598 numeric
@attribute 6300 numeric
@attribute 637 numeric
@attribute 63928 numeric
@attribute 6506 numeric
@attribute 6647 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7133 numeric
@attribute 7157 numeric
@attribute 79139 numeric
@attribute 834 numeric
@attribute 836 numeric
@attribute 84134 numeric
@attribute 842 numeric
@attribute 847 numeric
@attribute 9973 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.7714346136,0.6466643338,0.6902029403,-0.1189617532,-0.1057068686,-0.1505823830,-0.0754578801,-0.0192656675,0.0364585096,-0.2124075075,0.2989577477,0.5599281276,-0.0902217464,0.0335240909,-0.0914058923,-0.1667377298,0.2962079536,1.1392389064,1.3485143633,0.9049248654,0.5655952376,-0.0717742680,1.5197282433,2.0539485763,-0.0495949284,0.1047435858,0.2177100353,0.4556567484,0.9030967818,0.6075369654,2.7923812542,0.0813294935,0.0803192712,0.1900893384,-0.0068966250,0.7954551236,-0.1348413536,-0.0726019741,3.1076389551,-0.0286056817,0.9943679759,0.0818973198,0.8841919228,1.5597498248,0.4522592268,0.4014198135,0.9509728387,0.2530695895,0.7831723009,0.0966727687,BRCA
GSM480985,0.8597149872,0.5214375071,0.5630448351,-0.1287743736,0.0240851168,-0.1157428850,-0.0203434413,-0.0500140645,0.0295304598,-0.2090418982,0.3494800181,0.7985456627,-0.0678317043,0.0139203836,-0.1093180862,-0.1698064190,0.0386221876,1.0624773818,1.2292638585,0.8493034308,0.4722626175,-0.0165247075,0.8917866104,1.6670765338,0.0406736651,0.0827163937,0.2315313540,0.2919203367,0.8407814422,0.6375350535,2.9129755730,0.1096045168,-0.0273867986,0.2041814914,-0.0052304801,0.8824251903,-0.1474278699,-0.0759999011,3.1423662602,0.0503361004,0.8512390850,0.0937775947,0.5955694337,1.3576694153,0.9006385636,0.3647103445,0.6946923450,0.2134292614,1.0651633611,0.1062487971,BRCA
GSM480986,0.8397588544,0.5058162958,0.9167026343,-0.0995415323,-0.0902023388,-0.1420936314,0.0294416636,-0.0183347330,0.0145375388,-0.1795135874,0.2234449131,0.5228419722,-0.0418716679,0.1643733302,-0.0991810384,-0.1820124130,0.3220589667,1.1325124873,1.4755984701,0.6729391185,0.5177595145,0.0824834229,1.3150411108,2.3174076223,-0.0793845745,0.1613686072,0.3771760837,0.3404625082,0.9887473217,0.4979175688,3.0052631994,-0.0262396362,0.0710888066,0.2293706130,0.0253748071,1.1835862659,-0.1310103294,-0.0871767768,3.0492029190,-0.0117659394,1.0988370049,-0.0235445299,0.8508987498,1.6684209839,0.7058817346,0.2347654519,1.0466885931,0.4383908262,0.8137668663,-0.0107641358,BRCA
GSM480987,0.6984377671,0.6135009341,0.8676597425,-0.0716288448,-0.1308166077,-0.1389292797,0.0160529329,-0.0567495614,0.0301300406,-0.0009821425,0.1720295425,0.3928613255,1.5501424472,0.4579310263,1.3982471575,-0.1239295452,0.4047028517,0.7104099762,1.6084967972,0.9346764925,0.4873980932,0.1031593607,0.5668156716,1.9121642141,-0.0082405777,0.1705811381,0.1247138026,0.3479340900,0.7455377609,0.3543124227,3.1002503070,0.1066961603,0.2508476638,0.1363549686,0.1567118048,1.0083390245,-0.1119046295,-0.0316355400,2.9562984109,-0.0407701192,1.2855681681,0.3446434658,0.8372933389,1.6715078812,0.5260525023,0.2230391835,0.7256779820,0.1857093530,0.5692306155,-0.0304008609,BRCA
GSM480988,0.8607449488,0.4483090917,0.9553799635,-0.0650744193,-0.0325215318,-0.1350362458,-0.0800450467,-0.0110762134,-0.0086869514,-0.1859210652,0.2048250465,0.5021468532,-0.0504273787,0.1436728323,-0.1006051413,-0.1169324567,0.0992772953,1.0280710610,1.3750535183,0.7414630045,0.1617906544,-0.0181701116,1.2879227399,1.3670162843,-0.0020592896,0.1278096939,0.0354253387,0.2885730387,0.6583364474,0.2872674861,3.0203843170,-0.0332379836,-0.0054066827,0.0633321519,-0.0337513612,1.0864184139,-0.1084911532,-0.0824772020,2.6136877539,0.0001304974,0.9984557778,0.0156573691,0.6972457048,1.2784955825,0.6540142843,0.1758982928,0.9005996634,0.4995689597,0.6964130580,-0.0403258039,BRCA
GSM480989,1.0229797038,0.4561344552,0.9731549913,-0.0548027214,-0.1140418602,-0.1920192803,0.0461123774,0.0548789222,0.1042212602,-0.2459162741,0.2827313408,0.2859210503,-0.0710144806,0.2706425423,-0.0581991040,-0.1815289483,0.0888926102,0.8617932616,1.4386271053,0.5870933372,0.4391528262,0.0375987290,2.1237873399,2.3223415930,0.1581356411,0.1740897693,0.5766588003,0.1961319275,1.2923590124,0.3360150366,3.3091132243,0.0373846114,-0.0973020919,0.2982636617,0.0401129422,1.1803532361,-0.0811708468,0.0035955286,2.9885713906,-0.0217998318,1.1939883348,0.1105701827,1.2405139033,1.8237688964,0.4809265797,0.1138846011,1.3136571148,0.5414225689,0.4805365370,-0.1269193255,BRCA
GSM480990,0.8392681946,0.3805084057,0.9972239329,-0.0741489506,-0.1340680596,-0.1500345451,-0.0147949093,-0.0182855369,-0.0218555795,-0.1758436667,0.2409829762,0.2198563085,0.1034977997,0.0729972403,0.7036230114,-0.1103736918,0.0356193407,0.9861059069,1.2886391192,0.5830522417,0.4347083518,0.1545863018,1.1991209335,2.2060846408,-0.0766200014,0.1563879424,0.4847173588,0.2397713649,1.0487284085,0.3968275713,3.4219261243,-0.0140931005,-0.1267988796,0.1835390031,0.1445519146,0.5828239298,-0.1053477980,-0.0711715612,2.6986314506,-0.0152148257,1.1523818072,0.1467166150,1.1059742302,1.5781596168,0.5210922026,0.0401264709,0.9138764740,0.3181734394,0.4207360511,0.0183814792,Control
GSM480991,0.9410596814,0.4695376563,0.8308391752,-0.0886032136,-0.1649963296,-0.1862277094,-0.0516968131,-0.0447101730,0.0439284059,-0.2541372158,0.1191125174,0.4909439993,0.0052725809,0.1768357402,0.1365444100,-0.1491961213,0.1039387215,1.0007687234,1.3283271537,0.6608008562,0.3957455124,0.1750445278,1.5476096728,2.3923240316,-0.0620754509,0.1090730934,0.4295866277,0.2670691787,1.0059922760,0.4750065618,3.2534763878,-0.0490740068,-0.0775992554,0.3156223285,0.1220167010,1.2640591513,-0.1263488267,-0.0307651288,2.9224400969,0.1726690396,1.1897217152,0.1265208385,0.9629745603,1.7223947310,0.6388226521,0.1772719718,1.0079226959,0.5430663557,0.6217107250,-0.0731140545,Control
GSM480992,0.9758864265,0.3800862124,0.9343769022,-0.0981577248,-0.1126769885,-0.1645202101,-0.0048636670,-0.0401170705,0.0399397690,-0.2211485713,0.0999823145,0.3903702807,-0.0039088238,0.0771815755,0.0652978047,-0.1647119857,-0.0133180718,1.0355044920,1.4482076389,0.4972681324,0.4195187698,0.1619838233,1.8157576812,2.7852531727,-0.0874094128,0.0299667134,0.4719536303,0.1962786919,1.2841898705,0.4015203798,3.4460021522,-0.0325755605,0.0407709244,0.2538740384,0.0927470139,0.7394272332,-0.0713407049,-0.0125441216,2.6729399114,-0.0538811761,1.3154176546,0.1332247741,1.0991194739,1.5604244280,0.5112602225,0.0732875811,0.9896148162,0.4716532580,0.4330736412,-0.0501452825,Control
GSM480993,0.8986200048,0.5930127984,1.0452470036,-0.1233562875,-0.1076846812,-0.1053195155,-0.0645106739,-0.0630610927,-0.0232858544,-0.1751255267,0.2123312633,0.3858281619,-0.0805451411,0.2795153895,-0.0342872620,-0.1304087607,0.1211480606,1.0264566022,1.5829170607,0.7091649962,0.5504608139,0.0750380798,1.6241304980,2.5135206126,-0.0401579579,0.0725924787,0.4597184245,0.3394462108,1.1132435460,0.4996459948,3.0886874926,0.0269303651,-0.0035627774,0.2890880678,0.0791702164,1.0875472625,-0.0537399848,-0.0578398887,3.0971553921,-0.0270253466,0.9243113236,0.0828548684,1.0900611624,1.7491131449,0.6297207689,0.1338819088,1.1131681833,0.4849967851,0.5199452512,-0.0432740103,Control
